ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
ACC,2024,2,1.1291327787,1459499902700,104999993,20.4875111313,2.1800049838,5.1169668607,71.51495413909218,12310.3325510507,19.3601248968,0.17668965727909403,0.052177019324178814,0.0567856882,0.0538702042,0.0308058845,0.14222800336038732,110903535265.0,20468781124,0.071942446,2.0986138836,0.021648344,0.8301523977,-1.6030466339125482,1.7774951873703362,0.2895112192,72.8306059875,211.92816465697834,690.9003591743,115.8319285033,1018.6604523345783,0.5282961503,0.6774603169,0.7774951874,0.006167853566506579,1.2398196774403594
ACC,2024,1,1.1062411971,1422749905150,104999993,19.7159876696,2.1881374455,-45.8070017765,97.746482173575,12248.6850387028,20.329825539,0.22075069103450423,0.09215231375882103,0.059317293,0.0502376356,0.0305639714,0.16176168925609222,107288153400.0,18016060688,0.073800738,1.9899398222,0.0255466212,0.8237819618,-1.8800501278614905,1.8054730191061201,0.2753935244,64.9606088843,210.59359222797758,727.178587334,111.8275413406,1049.5997209025775,0.5019399723,0.7189020059000001,0.8054730191,0.00678873983760398,1.233666622000632
ACC,2023,4,1.2303576329,1569749895350,104999993,22.586499186,2.4091051781,-4.1472784103,281.14557976208624,12150.9385565292,23.1854542487,0.2178146579941627,0.12118636904375006,0.0559703363,0.04690004,0.031222969,0.1869159848076462,100053614715.0,45531630181,0.0668896321,1.980864298,0.0219244894,0.8429954796,-3.4865503267306566,1.8317807350488762,0.2927300847,60.2549240887,203.46267395518402,666.8851113538,104.1999819541,974.5477672630839,0.5473206611,0.7338297628,0.8303253232,0.007456981104258715,1.2228949235577569
ACC,2023,3,1.1000274599,1280999914600,104999993,18.6697576363,2.1540282275,-1.7437508075,228.05509242272043,11090.6322292231,24.506275845,0.1798862658797768,0.14035360660990726,0.0580280592,0.0409278919,0.0296796352,0.13838492941877745,82878301807.0,23609906331,0.0819672131,1.9046804199,0.0171460677,0.753930886,-2.8021330878048296,1.9130676411816143,0.2572443519,51.8815325815,195.91248315379153,804.1016545772,85.8382364167,1085.8523741476915,0.4539227073,0.8141540441,0.9130676412,0.008837294659735302,1.1177401186341032
ACC,2023,2,1.095370942,1249499916700,104999993,19.9794491273,2.0775380968,-1.2900179452,80.31235437320457,10863.8996559933,28.9613904954,0.18882446212726792,0.0676616162936552,0.05270269,0.0339300095,0.02774344,0.13380127124473112,77693554591.0,16675908341,0.0840336134,1.661942095,0.0264844766,0.6969039928,-1.2030080169855808,2.1812789212809833,0.2668055274,49.5471044568,188.97334879904957,693.875313661,75.3680325799,958.2166950399496,0.5260311079,1.0626879115999999,1.1812789213,0.009824780054887676,1.0950616256136323
ACC,2023,1,1.1736753968,1427999904800,104999993,17.4732412569,2.3502421176,-1.7303790986,94.54857635085747,11587.5309617306,34.0397350452,0.1722765228066301,0.08804650944035605,0.0685419461,0.0300541965,0.0382999449,0.08416232945144196,68206021878.0,9489642860,0.0735294118,2.1249158186,0.0207305828,0.8412271006,-1.558529835171939,1.9542252177189297,0.2847469088,40.843682071,175.05799826516764,568.0812345349,65.3758176002,808.5150504002676,0.6425137424,0.9125327571,0.9542252177,0.009899790757184678,1.1668830478712509
ACC,2022,4,1.2216467415,1475249901650,104999993,17.8831451573,2.2970613338,-3.3556610891,250.54719997933714,11500.8697056104,27.4300016253,0.21860627096682073,0.14090510310896567,0.0973622233,0.0373905381,0.0502727983,0.15633964051812732,73485987987.0,29189134025,0.0711743772,2.166075331,0.1264839122,1.1205318763,-4.142094232478743,1.7261760318601809,0.3921632758,39.1927574679,128.9588986160019,489.8740275187,61.0002547502,679.8331808849019,0.7450895118,0.5234127246,0.7266060845,0.009909236532725069,1.1583932519938358
ACC,2022,3,0.9820973442,1160249922650,104999993,14.0999939789,1.9884686839,-12.4207236709,170.20388663264006,11251.4304872763,23.7432398435,0.14807648799458478,0.10077273458342917,0.0659980101,0.0381017662,0.0369973286,0.1033869063706132,71629685002.0,18335013732,0.0904977376,2.8857851347,0.0790649054,2.0134314155,-3.359374725963128,1.6930728188065423,0.3217060667,29.4457092555,147.5020860000605,389.4981797852,64.7083024454,601.7085682306606,0.937103224,0.6907039236,0.6930728188,0.010987650125461736,1.1333539137035942
ACC,2022,2,1.4213838432,1653749889750,104999993,21.5551669073,3.8017305952,-3.6763432502,263.03332060222135,11080.7506891358,36.6207832489,0.10296175489139298,0.2111572508626008,0.0581565777,0.0293736024,0.0305256673,0.05353248687535642,54628194424.0,7001828318,0.0634920635,2.7653906,0.3646690588,1.8742363136,-1.2033079221356358,1.728799189649039,0.2734481976,19.7767158918,151.98367816750178,545.8285943086,95.2348033373,793.0470758134019,0.6687080959,0.6845901802000001,0.7287991896,0.018978489138218403,1.1163945783491624
ACC,2022,1,1.3359186449,1632749891150,104999993,24.2479250163,3.6632873282,-3.8944842453,100.94480540584416,11639.9303652811,20.4505505518,0.14863564281838917,0.07191230786388686,0.0463227252,0.0330895291,0.0231680631,0.10020835676975294,64306322236.0,14769777713,0.0643086817,3.0188795152,1.6472927208,2.0629563149,-2.785229449211684,1.657672830705581,0.3389916495,19.5663737562,122.40208859932646,550.373760039,99.8823849908,772.6582336291265,0.6631856867,0.6748664216,0.6576728307,0.018860251771088174,1.1725496674852158
ACC,2021,4,3.8770975839,1805999879600,104999993,24.4891769828,5.1161565902,-2.012991511,104.89712261218912,4436.3082506967,44.5608705133,0.23917551869050002,0.08607602932086368,0.0766033099,0.0449075155,0.0360103753,0.21272780388606938,52432325304.0,27220423475,0.0,1.8076803967,0.2057645769,0.6085881577,-1.9234276482871406,2.4763256138306766,0.3380301292,7.4323514373,176.91294310884052,580.8334496407,102.1022352518,859.8486280013406,0.6284073347,1.7125817843,1.4744215798,0.04375287133109693,0.4510255024245573
