ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
BDW,2024,3,1.5456039986,310270000000.0,12410800.0,10.2860258357,1.0924445588,5.9806123399,0.0,16174.9063945918,3.5191790952,0.35473848800299745,0.0,0.1226080739,0.1612315938,0.0645178998,0.16935355578901573,84908117227.0,13042441844,0.042,0.9885421491,0.6090691609,0.8339330023,-24.531535109715936,1.8738493825031377,0.6074750234,0.8479817237,21.254921189273762,30.4639306176,38.598251026,90.31710283287376,11.9813823299,0.3928409838,0.8738493825,1.3142731492985968,2.005472005060109
BDW,2024,2,1.5110388111,309649460000.0,12410800.0,6.8818332134,1.0988416965,3.8115382039,944.1583296000258,16511.8194291262,2.9371967479,0.37906748525837797,0.15736115950638588,0.1827392242,0.1755825266,0.0968234043,0.17700705639561767,101909172043.0,13180674612,0.0420841683,1.0120851389,0.6389852667,0.8627837694,-36.429138303441455,1.869336944465208,0.6063862719,0.845752091,21.868879288560166,30.3885172217,39.7690912835,92.02648779376017,12.0111158217,0.40727093940000003,0.8693369445,1.3125888537851578,2.0296151730186613
BDW,2024,1,1.4733736626,292894880000.0,12410800.0,6.5239908785,1.0517787898,3.5909835602,662.1379908627969,16017.6610995262,2.9477054126,0.36520988132045507,0.1252723990766335,0.1867006105,0.1794523691,0.0975994306,0.15757184195411844,101532791128.0,10336452206,0.0444915254,0.8848262369,0.5328872701,0.7471121278,-11.949837919609807,1.8785938960018915,0.6053913629,0.8463818678,22.022115995310447,30.8114175262,43.2970731192,96.13060664071045,11.8462579558,0.43418363979999997,0.878593896,1.3804776620928767,1.9801993400586586
BDW,2023,4,1.4053575282,267825064000.0,12410800.0,5.9488933686,0.9808814608,3.2350489081,824.1856168014955,15355.5231086634,2.7653385577,0.38175815702694466,0.15280816479488282,0.2035718418,0.1833077536,0.099698318,0.17603024553403382,100935061515.0,11783262237,0.0417052827,0.7869309337,0.4873322034,0.6623206561,159.34333665283341,1.9836079499579748,0.6046547786,0.8125321707,18.484570888238892,31.6459661285,36.6339493186,86.76448633533889,11.5338554847,0.4695621782,0.98360795,1.4427373326895903,1.913985540972379
BDW,2023,3,1.1466269954,237046280000.0,12410800.0,5.2822210005,0.8807394699,3.7686249874,1195.0055202726658,16657.5530460567,2.4403769243,0.43356399146572117,0.1982885119350447,0.201277323,0.1775395785,0.1015107138,0.2502354211979321,101763309986.0,18716339728,0.0471204188,1.3380201752,0.7992149608,1.1531293844,-19.46166071012466,1.8225545835955979,0.6088088959,0.839861933,21.18201197860661,31.5302216117,34.0984079349,86.81064152520662,11.5761951976,0.5327476607999999,0.8225545836,1.2820945650581876,2.0120713464563122
BDW,2023,2,1.2611117261,242010600000.0,12410800.0,5.2971364152,0.9096239707,4.1630194628,936.0885600444774,15462.547525784,2.0148743396,0.40202012170646473,0.1632979557422674,0.2130326721,0.1920281286,0.1046915723,0.19691598507083577,123855346430.0,14009316244,0.0461538462,1.1373120177,0.7383638765,0.9686969106,-12.757169050722151,1.9750448199808595,0.6096646062,0.8311031267,21.37684954401207,32.1695720463,31.5065791305,85.05300072081207,11.3461254466,0.6013623659,0.97504482,1.3718509776383934,1.8439437921407162
BDW,2023,1,1.5671355096,285448400000.0,12410800.0,6.0741487922,1.0720341676,4.61430391,672.2857445128436,14676.4589657395,2.9490729715,0.37500341032793716,0.13867202849191296,0.2267289206,0.2077594434,0.1088153035,0.18107417234756948,104319595158.0,10894851617,0.0391304348,1.0363383811,0.6662484695,0.8694254298,-11.323297626975013,2.014309909106807,0.616547834,0.8266656512,21.851252855929488,32.6424593785,29.6803630662,84.17407530062948,11.1817555095,0.6626517974999999,1.0143099091,1.4939155331283935,1.717159741950559
BDW,2022,4,1.2424760744,254421400000.0,12410800.0,5.6028906495,0.9757107934,3.2611629251,812.523409449834,16499.3116749927,2.8273116851,0.38708633086818495,0.159967617714936,0.235522307,0.2045047825,0.1069798822,0.20447052687889755,101897184325.0,12889447386,0.0365853659,0.8567096311,0.536092468,0.7076332547,-14.144808504651007,2.158123486345972,0.6143178756,0.829511808,17.076016371273365,33.8115167029,24.5651104053,75.45264347947337,10.7951383313,0.7106910152,1.1094744277,1.6456141426288922,1.6127379306088245
BDW,2022,3,1.4555167702,313993240000.0,12410800.0,7.646939661,1.2564299617,4.8731702667,1260.3365362426273,17382.1425607535,4.1332592152,0.45114315076948064,0.2181378283507705,0.2092177021,0.1705725078,0.0970182439,0.2817306422321582,84114477659.0,20201769120,0.0296442688,1.5302571029,0.9435560902,1.3078627222,-18.579857104458544,2.0042484426270546,0.5904767312,0.8007520484,23.14230327854211,35.6027521901,31.0495225104,89.7945779790421,10.2520164186,0.8186160047,1.0042484426,1.4777963259004852,1.7382142560753537
BDW,2022,2,1.1165002217,223394400000.0,12410800.0,6.8925259015,0.950681066,3.3145563191,1041.3930968188997,16121.8060245109,3.1614095528,0.4624510109813914,0.18112739293180452,0.1702622853,0.1421023863,0.0776377305,0.22757872832096265,83309455926.0,16239101702,0.0416666667,1.1011831817,0.6481039006,0.9215847064,-17.95298310881184,2.1684592597787407,0.562880747,0.7666098237,23.786921613462958,38.4986104693,35.9226717283,98.20820381106296,9.480861661,0.8739485503,1.1684592598,1.6085537887656183,1.612180602451091
