ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
BST,2024,3,1.2755198135,19690000000,1100000,10.2635907148,0.2085865551,24.8136053071,802.2559990909091,14033.4942745455,12.9308675306,0.12133807569104706,0.02164966765166543,0.1288076419,0.0750247249,0.0786977249,0.022636095283645043,1239809293.0,922690264,0.0558659218,2.3988501766,0.3828717374,1.329381282,0.0,1.6189484421457285,3.872355235,147.5299987067,11.221055598142245,44.543412053,21.1448416999,76.90930935104224,8.1942532729,0.0,0.6189484421,0.08702914513709442,1.4033494274545455
BST,2024,2,1.2848381721,18700000000,1100000,9.7688485037,0.1842001738,6.8004626515,363.04685545454544,13231.2382754545,13.8955437181,0.09382381401882138,0.012014709686098333,0.1287162039,0.0808862237,0.078070321,0.017303746559174354,1217253397.0,575151463,0.0588235294,2.6596470234,0.2206419011,1.1565370114,0.0,1.5560368152673547,4.1403714381,247.4181970797,11.04726733490098,41.3243685561,20.582170344,72.95380623500098,8.8325608534,0.0,0.5560368153,0.02716128286505364,1.3231238275454547
BST,2024,1,1.0801828747,15290000000,1100000,7.5840402843,0.1538796882,-28.2995032114,65.93592181818182,12868.19142,12.7611500548,0.2590730562376786,0.03691260464255978,0.135753787,0.0719347395,0.0770301235,-0.06097006149524898,1058243006.0,-119799970,0.071942446,2.5682767261,0.1677050306,1.7621361112,0.0,1.5865935126385955,3.7964696065,236.3998887264,12.851444605835924,49.6111420105,27.2997241425,89.76231075883592,7.357218262,0.0,0.5865935126,0.028634146631306485,1.286819142
BST,2023,4,1.0282043182,15950000000,1100000,7.1642929609,0.159057594,36.0585069554,512.7902381818182,14102.2554981818,3.4247584554,0.2067101453248567,0.0306028594068746,0.1464231585,0.0896826886,0.0846949163,-0.01193022109301875,1431207015.0,-219896805,0.0827586207,2.2075418217,0.4469465671,1.6944354311,0.0,1.7766722704124174,3.8148395034,230.3543972021,12.580398838662088,25.2178819906,21.7105508829,59.508831712162085,14.4738562952,0.0,0.7670972774,0.026918230847164958,1.4026254425454545
BST,2023,3,1.3186398659,20240000000,1100000,9.7082921308,0.2082280896,8.7841827537,798.4525590909091,13953.77197,5.7546346991,0.11079458882186216,0.018341957524914528,0.1420983119,0.101454155,0.0827068338,0.019667954791640383,1597240973.0,941792701,0.0652173913,2.3901796122,1.0819557669,1.3391993879,0.0,1.6652854122334297,3.8560700683,220.7500965708,12.834285939111622,46.7075821884,28.3893366981,87.93120482561163,7.8145770536,0.0,0.6652854122,0.027709656566138444,1.395377197
BST,2023,2,1.3074559015,18920000000,1100000,8.3015838775,0.1790821769,37.3660695494,455.61745272727273,13155.3194109091,9.8633525327,0.09997113769233439,0.01612447038328488,0.1565713415,0.126892581,0.090408883,0.013388533318041707,1895783384.0,416141072,0.0697674419,1.89986955,0.0149590558,0.5386438726,0.0,2.021942433535959,4.1910196687,234.6087709518,16.28849896956622,38.8299174423,26.0876991883,81.20611560016621,9.399968479,0.0,1.0219424335,0.030082622190700258,1.315531941090909
BST,2023,1,1.5039723029,21010000000,1100000,10.1815794016,0.2101727948,3.0328261494,257.0659181818182,12699.7019581818,11.1229168929,0.34639392697060767,0.09819516581471474,0.1433785707,0.1276784922,0.0805382984,0.08791337173450103,1864173033.0,253164039,0.0628272251,2.8602247518,0.0400109851,1.8654624659,0.0,1.492421691373073,3.9015852678,214.8830034919,20.677719271737885,38.9141788599,32.3743453646,91.9662434962379,9.3796145953,1.97621e-05,0.4924216914,0.03187781725231746,1.2699701958181817
BST,2022,4,1.0411562386,15510000000,1100000,7.510386865,0.1535312162,1.4542359038,384.15108363636364,13542.63604,2.8402525425,0.27695270781090137,0.027520002655761173,0.1412462922,0.1315077791,0.0891894135,-0.003507866662477517,2101503093.0,-53862853,0.085106383,2.3361312872,0.4201284267,1.9181638746,7.463743729734224,1.6889825287998026,4.362936841,208.6518697393,16.23732213487989,25.747264882,19.3799081624,61.364495179279885,14.1762630584,0.0218035791,0.6889825288,0.030565028219371147,1.354263604
BST,2022,3,1.0566009336,15730000000,1100000,8.5926976433,0.1681443811,2.0661857425,975.0593254545455,13533.9649481818,2.8418949458,0.12164673613663769,0.019039615526576716,0.129427351,0.1350386762,0.0764782322,0.02167102605523634,2177701717.0,1220801419,0.0769230769,2.2968094531,0.9270358339,1.6730069788,0.0,1.7172959708062352,3.9082740753,191.2146246554,27.044610870895898,45.9170967536,31.5982260749,104.5599336993959,7.9491088463,0.0240664205,0.7172959708,0.03125642295860258,1.3533964948181818
BST,2022,2,1.4332459006,19800000000,1100000,15.0166555301,0.2976671432,17.3648060808,259.6605236363636,12558.9056227273,10.0560546937,0.11480523569072801,0.01124627236917393,0.0,0.0,0.0,0.014314799387125876,0.0,363559320,0.0611111111,0.0,0.0,0.0,-61.077770311135005,2.2375769294058534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03582107577796306,1.2558905622727272
