ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
BVH,2024,2,1.4666626512,32662201616000,742322764,18.0866685491,0.8184783877,3.5544610438,576.3453862247446,30000.082134054,-5.2414245051,0.04355737907389906,0.082927993,-0.2327843178,0.0079763414,-0.1670486616448682,-5960718873439.0,-1640804583759,0.0,3.4057888317,0.2794626528,3.403050908,10.109967346661932,0.1762605415,0.0,78.29411560475965,0.0,0.0,78.29411560475965,0.0,0.15557627470000002,9.1099673467,0.08332688104239001,3.1292212789939446
BVH,2024,1,1.5403914576,33775685762000,742322764,18.9719574717,0.8484978614,3.1946540017,789.1062411175094,29537.9461998986,-5.3341958766,0.06199515990923889,0.0827371276,-0.2252476022,0.0079875216,-0.17614527106771652,-5866105211167.0,-1664337738323,0.0,3.1810179562,0.2810087867,3.1780042556,10.240967114837279,0.1785967033,0.0,78.78343991930782,0.0,0.0,78.78343991930782,0.0,0.1790063603,9.2409671148,0.0891144823395705,3.081668029568604
BVH,2023,4,1.4574501116,31103323811600,742322764,17.42618786,0.776021736,3.669208336,483.08641268072444,28748.8399547397,-3.6562168171,0.03487430466660096,0.0855405564,-0.2365079612,0.0084437387,-0.1357757768200576,-5859020913241.0,-1396157264491,0.0,3.9709990911,0.2611802694,3.9673227796,9.96557546336699,0.1896108963,0.0,71.2378820082088,0.0,0.0,71.2378820082088,0.0,0.1516407974,8.9331224695,0.08157645776196232,2.990205829369258
BVH,2023,3,1.4345339313,31029091535200,742322764,18.1919252254,0.7747135915,3.851191732,584.1930005584471,29138.3836158741,-3.622356424,0.04534510535607897,0.0810560207,-0.2500335921,0.0079505331,-0.16178228082740118,-5893295970843.0,-1547211435314,0.0,3.9557866362,0.5036476868,3.9513200386,9.539297467052005,0.1866954522,0.0,71.89807130888371,0.0,0.0,71.89807130888371,0.0,0.07647940610000001,8.5392974671,0.08143897960627262,3.0403318008361655
BVH,2023,2,1.490995889,31660065884600,742322764,19.1164931543,0.784160288,3.4850800166,541.8908581173458,28605.0419825398,-4.7168186283,0.0413529803288777,0.0781090114,-0.2496322488,0.0079461687,-0.15082131512751557,-5909639079998.0,-1467102684489,0.0,3.1662163536,0.2474336417,3.1628750559,9.968525795669839,0.193714067,0.0,64.43370831401948,0.0,0.0,64.43370831401948,0.0,0.1067797078,8.9685257957,0.08219329637112864,2.983404690219092
BVH,2023,1,1.6632798591,34777821493400,742322764,21.9275478932,0.8520513339,4.4657947705,711.5753435334498,28167.2382093728,-5.7795643627,0.05463931247100735,0.0741978363,-0.2641078334,0.0078689927,-0.18195137726122146,-6021379544579.0,-1758991704258,0.0,2.913311205,0.1214829672,2.91011868,10.109465643896137,0.2025085904,0.0,58.3205681634579,0.0,0.0,58.3205681634579,0.0,0.0837950874,9.1094656439,0.08454382483613467,2.9377229923272297
BVH,2022,4,1.7474622372,35631492672000,742322764,22.9733244162,0.8757195316,3.9148102861,460.0635226835102,27468.4047396356,-5.8330766332,0.03256406417642685,0.0716356845,-0.2820329169,0.0083573572,-0.12401480289622445,-6089673806594.0,-1300605255747,0.0,3.6110506283,0.1578828944,3.6070308807,9.469357309140689,0.2192440298,0.0,55.604615656905686,0.0,0.0,55.604615656905686,0.0,0.054681308000000005,8.4807192102,0.08858168759964873,2.868130503428021
BVH,2022,3,1.6298611898,36299583159600,742322764,21.2089165761,0.9040205107,4.2882385462,517.5280149538834,30002.5550067086,-5.929515649,0.038810215435558834,0.0756486171,-0.2600640917,0.0092842659,-0.16063526933920044,-6103301958363.0,-1590089226930,0.0,4.5016287434,0.2067140731,4.4961593713,8.238773007140123,0.2178149929,0.0,52.306324238196,0.0,0.0,52.306324238196,0.0,0.062380517100000005,7.2387730071,0.08086113405270184,3.12064594813746
BVH,2022,2,1.6675427895,36559396127000,742322764,20.5922281886,0.9352718466,5.1745382345,447.4149303577062,29534.4745042158,-5.8603904624,0.03269183244507158,0.0793565315,-0.2598777044,0.0099784648,-0.15532983109788376,-6141315039239.0,-1578043086673,0.0,3.6927210929,0.1797947505,3.6887474961,8.480214917262636,0.2196995712,0.0,52.98158926014069,0.0,0.0,52.98158926014069,0.0,0.0846267366,7.4802149173,0.08296768437394006,3.0705806447034947
BVH,2022,1,1.9876489385,43054720312000,742322764,22.8566483017,1.1235419837,3.9153634655,634.0727805782337,29180.203241958,-5.909812583,0.0498694547135276,0.085204575,-0.2483973151,0.0112880168,-0.19198076006967504,-6135601477446.0,-1811986577341,0.0,3.6388589249,0.4547482409,3.6335647172,8.158058614885162,0.229636483,0.0,54.27876530731036,0.0,0.0,54.27876530731036,0.0,0.147952245,7.1580586149,0.08527755409239994,3.0346886213705013
BVH,2021,4,2.1754155878,46098243644400,742322764,24.30445368,1.2517185792,3.7412388819,706.6183136706286,28546.2696640811,-5.5566245542,0.053818614120042345,0.0885305015,-0.2525778733,0.0120075836,-0.1405661818139414,-6037701974000.0,-1370017157190,0.0,4.5822880706,0.3775980976,4.5757623929,7.698363066816568,0.2331496588,0.0,58.67526611203907,0.0,0.0,58.67526611203907,0.0,0.138053278,6.695382845,0.08781838701402746,2.965366678776942
BVH,2021,3,1.7982801335,38303854622400,742322764,21.406878967,1.0376728798,2.5579623231,603.5729889040557,28694.0833296364,-6.7124096591,0.05105390484747602,0.0833251118,-0.1647786964,0.0117697247,-0.18291058101731172,-3835831525172.0,-1605212154292,0.0,4.2940790198,0.7990430959,4.2877980045,7.454223803472222,0.2428058761,0.0,61.198397192543,0.0,0.0,61.198397192543,0.0,0.1247670693,6.4631793785,0.0856447434952519,2.984724682414158
BVH,2021,2,2.1281479396,44539365840000,742322764,24.3828205508,1.2147678977,3.174521749,593.2908214155211,28193.528694149,-12.3593368599,0.04700027252369626,0.0862750965,-0.1600364425,0.0124273877,-0.16851490883961662,-3613466456306.0,-1579059017147,0.0,7.3784214972,0.3977904649,7.3666379159,6.859965460955784,0.2494425187,0.0,63.32800727337924,0.0,0.0,63.32800727337924,0.0,0.11412280759999999,5.859965461,0.08127708959219528,2.9279836425336945
BVH,2021,1,1.8229677453,37338835029200,742322764,19.7107835793,1.057294494,2.7674372299,631.9790193514798,27592.3697114252,-9.9725311582,0.055286840253806195,0.09080708771944046,-0.16465286910533905,0.013139447197318077,-0.13540935839695606,-3523420356608.0,-1149006141053,0.0,6.519829273223877,0.4385601282119751,6.510831356048584,6.893409822918807,0.24495425820350647,0.0,68.4424361793862,0.0,0.0,68.4424361793862,0.0,0.07944628689438105,5.893409729003906,0.08193820147117623,2.8649517024197038
BVH,2020,4,2.1252799442,42535094377200,742322764,27.5384002247,1.2334782032,3.3393024965,615.0576468728635,26961.1540616973,-12.2519839134,0.04958727665440403,0.075953653,-0.1610074152,0.011211996,-0.09381083399860424,-3332478108477.0,-863756524132,0.0,4.4868797242,0.4463233311,4.4809783401,7.0915454314955975,0.2503168948,0.0,72.475187510516,0.0,0.0,72.475187510516,0.0,0.07349445909999999,6.0915454315,0.08607552722576545,2.7978228439823245
BVH,2020,3,1.9705993826,39714267874000,742322764,33.1382960957,1.1629090113,3.1314024002,620.4214595525997,27149.1001536496,-11.2204269176,0.05417781416028255,0.0583462103,-0.1660292344,0.0087045472,-0.09980793086023262,-3387450580346.0,-848443961226,0.0,4.239099599,0.2436648785,4.2336839517,6.929520622936931,0.2508848529,0.0,72.74743529265167,0.0,0.0,72.74743529265167,0.0,0.048453596200000004,5.9295206229,0.08732509561737985,2.818091159473051
BVH,2020,2,1.8998061439,37487299582000,742322764,34.1739195865,1.1069409282,2.7735622734,684.4444811233083,26581.6594819434,-11.0411658578,0.06360554004567298,0.0557454253,-0.1681245829,0.00820098,-0.1088793244980758,-3344207356065.0,-869724047313,0.0,4.3470296629,0.2080739716,4.340924364,6.727450754107129,0.2598314611,0.0,75.07368489782931,0.0,0.0,75.07368489782931,0.0,0.0444816324,5.7274507541,0.09097865578496402,2.7601189253135985
BVH,2020,1,1.5619821722,30138304218400,742322764,35.9966095227,0.8919784066,2.2454980751,170.32540719039568,25992.6142075956,-8.3627284474,0.016357071228905496,0.044500209,-0.1746771937,0.006375506,-0.12656785315291794,-3416377228948.0,-978340615350,0.0,3.9828281056,0.2630885948,3.9769737974,6.665510987810706,0.2679244316,0.0,73.33464253725988,0.0,0.0,73.33464253725988,0.0,0.0609238524,5.6655109878,0.09339391432050166,2.6967087192034436
BVH,2019,4,1.7984866506,34295311696800,742322764,31.5073285451,1.0297146472,2.7287367614,120.98101496318925,25688.264066256,-9.9840550943,0.009875366798935505,0.0617055819,-0.1732923126,0.0090170487,-0.09828913728438544,-3380888260536.0,-893845154284,0.0,3.8435499206,0.3647782246,3.8378622171,6.4761466805081325,0.2759047059,0.0,67.40986403002769,0.0,0.0,67.40986403002769,0.0,0.06928680400000001,5.4761466805,0.09518528080391218,2.66784751967865
BVH,2019,3,2.7873863257,43648578523200,742322764,33.9273502091,1.3585801773,4.2172255218,464.1776776065566,21095.0306592955,-12.894012853,0.04171657186406662,0.076714844,-0.205620983,0.010344774,-0.09678766984840002,-3343275827228.0,-799444745224,0.0170068027,3.4898323084,0.2565004308,3.4833783227,7.434272239518621,0.2716464118,0.0,74.01481941386903,0.0,0.0,74.01481941386903,0.0,0.07607227629999999,6.4342722395,0.09858405860138812,2.2074988011439993
BVH,2019,2,3.2340426613,49622759527200,700886434,51.2127585738,0.0,4.759979304,346.9989848341108,21892.1045315324,-14.5695489885,0.029882667882304648,0.0618148754,-0.2132154208,0.008570125,-0.11448531180104203,-3380636603285.0,-931764718013,0.0141242938,2.88186147,0.1963468444,2.876139247,7.529151121827632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0777759016,6.5291511218,0.10183071627496308,2.163752368563764
BVH,2019,1,3.9315234275,59785612820200,700886434,56.5424631197,0.0,8.4576846311,573.421450839495,21696.4241910951,-17.0173637579,0.05525729880849229,0.0674358224,-0.2183492161,0.0097713285,-0.12854434923582098,-3417396940960.0,-934942556127,0.0117233294,2.8458319721,0.2472684091,2.839367341,7.34118192272112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072093163,6.3261221109,0.10358840669484884,2.1376062673493603
BVH,2018,4,3.6391262878,53757989487800,700886434,48.2353135941,0.0,6.9787717838,329.6660549232431,21076.4875781445,-15.7608774812,0.029622158070712425,0.0744837981,-0.2154153708,0.0108972369,-0.10576757544972161,-3291431855125.0,-825007200359,0.0,2.6892502829,0.2088734312,2.6834670434,7.370700798847877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0665168594,6.3168266294,0.1077413600753101,2.0793193904721745
BVH,2018,3,4.433145338,64621729214800,700886434,55.1156459929,0.0,6.3117606478,113.70369913879657,20797.8744144362,-19.1307755994,0.011096639917690531,0.0760625123,-0.2207879094,0.0117538233,-0.12136178216389933,-3279511256993.0,-871590925014,0.010845987,3.0639728902,0.3477272737,3.0553126095,6.60339559687107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0586397474,5.6033955969,0.10435527459961157,2.06011447260413
BVH,2018,2,4.4396911092,67565452237600,700886434,53.0913127645,0.0,8.943911729,469.83607183642533,21713.2223007101,-19.4075666024,0.04664344619346469,0.0,0.0,0.0,-0.1370323630514707,0.0,-967445541831,0.010373444,0.0,0.0,0.0,6.309016640881669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10253711930108392,2.147659870397158
BVH,2018,1,3.7394523041,54669141852000,700886434,33.2446553471,0.0,5.7215159991,613.6772275592368,20858.6695742646,-14.1107888921,0.06842829555636765,0.1105678918,-0.2164064019,0.0179044688,-0.1264354073668213,-3078762089009.0,-794731910574,0.0128205128,2.161764176,0.5477141215,2.1557202633,6.66224418913183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005934739,5.6622441891,0.1092072621610274,2.008469362904921
BVH,2017,4,4.5475491303,62603371928000,680471434,40.2476718845,0.0,10.8508513589,451.35905069602086,20230.6775285647,-19.7426092264,0.04497259901753951,0.1104963365,-0.2161278185,0.0189229283,-0.12350737490475855,-3001414043122.0,-843484212235,0.0,2.0175341213,0.2888778389,2.0110469902,6.3207547399979385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068904634,5.3178145559,0.11462866491628008,1.9477991395032848
BVH,2017,3,4.1487531576,55798657588000,680471434,37.2672937608,0.0,10.4970130608,263.07366835769335,19764.9744115798,-17.240265413,0.030706110702659505,0.1054873023,-0.2259795216,0.0189004056,-0.12654394665148433,-3042356308516.0,-737740868886,0.0146341463,1.9639514426,0.2729530109,1.9570592028,6.056970179850425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034501482999999998,5.0671120531,0.11427233468362548,1.9079557477279518
BVH,2017,2,2.5176491275,35180373137800,680471434,21.6857003404,0.0,7.5140016406,1023.2992461899584,20535.029855819,-10.5476124287,0.1213294113527859,0.1153827787,-0.2094299265,0.0217405499,-0.1479553806484316,-2907143034112.0,-849135945274,0.0232108317,1.798900665,0.3242944028,1.7924668798,5.6579842791879535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006681746999999999,4.6579842792,0.11182576462796788,1.97386320062064
BVH,2017,1,3.0011586482,40215861749400,680471434,30.7154952965,0.0,10.8645405803,559.1485827338932,19692.3944811488,-14.812380986,0.07656256311608188,0.0953892846,-0.1962679151,0.018708114,-0.14435537965441972,-2623028067881.0,-717387220634,0.0203045685,1.960548875,0.2380184353,1.9513227571,5.338578081787871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073047421,4.3385780818,0.11792288483612343,1.8952452829041897
BVH,2016,4,3.0549269948,39807578889000,680471434,35.4370224587,0.0,11.9240072441,386.49586110472933,19149.3937826904,-14.928515628,0.04962583563947155,0.0835666336,0.0,0.0170785474,-0.1654359938994876,-2484404230685.0,-876752308328,0.0,1.8668311359,0.3453815649,1.8595115121,5.251980421640306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01225176,4.3334499327,0.11908750866384843,1.874453222571523
BVH,2016,3,3.3288568952,43141888915600,680471434,34.441630185,0.0,12.4072077778,465.55674930066203,19045.5769042805,-18.7032157455,0.06593798351692182,0.0933883445,0.0,0.0198017006,-0.12936034313305192,-2168287537743.0,-621509859700,0.0126182965,1.9413843982,0.3671119926,1.9352944585,4.942954083354688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031563939999999996,3.9536727381,0.12039608343011522,1.8375450601020502
BVH,2016,2,3.4350247438,43550171776000,680471434,36.6609760932,0.0,21.0145722962,563.3500137626644,18631.5979573317,-20.2299231066,0.08316240619598919,0.0895966986,0.0,0.0198670617,-0.12149700045859937,-2021708833583.0,-560049891148,0.0125,1.9112614344,0.3906711132,1.9044561245,4.833745469807052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052228749,3.8337454698,0.12375505887249683,1.7938122828350984
BVH,2016,1,3.0831778077,39807578889000,680471434,34.5190936499,0.0,11.4703514446,563.437115098648,18973.9300319828,21.8185572545,0.09659076187740853,0.0879022006,0.0,0.0204469464,-0.1285728719845106,-1908851888916.0,-510351156727,0.0136752137,1.8553429272,0.4642496719,1.8478329076,4.630293476567029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020854336,3.6302934766,0.12218868068891664,1.8235136260311424
BVH,2015,4,3.299063711,41508757474000,680471434,36.7983107903,0.0,9.8999099861,298.89261926166324,18490.0945672938,24.1413782465,0.04909118324912637,0.0,0.0,0.0,-0.14722277560808367,0.0,-609953307240,0.0,0.0,0.0,0.0,4.440778927457424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12720609431741792,1.7775362890982285
BVH,2015,3,2.5936908691,33683335983000,680471434,26.7406481398,0.0,4.6161818835,320.04572949053437,19084.7724337257,17.2928748109,0.05657613696941775,0.0,0.0,0.0,-0.12707260299484469,0.0,-489148325082,0.0202020202,0.0,0.0,0.0,4.122222766161436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12806964535137946,1.7494603554338797
BVH,2015,2,3.3014142913,40147814606000,680471434,29.5767339425,0.0,4.1166984471,512.3387888829437,17871.1287932243,20.9919518195,0.09264020283855026,0.1095773937,0.0,0.0276634445,-0.12186279856363647,1809006973718.0,-458605000463,0.0169491525,3.6816869464,0.5952823177,3.6530342656,3.980976897308235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002870392,2.9809768973,0.13248412099830803,1.718747944690943
