ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
CDN,2024,3,1.6551730693,2910600000000.0,99000000.0,9.7170244829,2.0756617955,5.2606779503,803.4007956666667,17762.4929658788,6.4679129713,0.3806249979424918,0.2170904131485851,0.173757128,0.1649372116,0.1291713105,0.27313482118810356,488904957670.0,100069994888,0.0272108844,2.4654454859,0.3077914125,2.4154026068,-17.857727185796474,1.3911654260937294,0.6047039019,1.1779648364,39.2314980683646,8.2445476627,24.4886496461,71.9646953771646,44.2716829271,0.38892785139999997,0.3911654261,0.8244447299467139,1.776249296587879
CDN,2024,2,1.7099971926,2871000000000.0,99000000.0,9.9742260653,2.1177546079,6.7874149788,735.0408321414142,16959.0921702121,6.4997908173,0.30801531055059983,0.20729844006337694,0.1703889656,0.1617371498,0.1282145352,0.21965370816565122,450232649794.0,77106175975,0.0275862069,2.6588521233,0.6995513929,2.6060001324,-17.23785996475224,1.4077549538529357,0.6038663564,1.25368225,39.56027132484446,8.9094243395,22.3072653561,70.77696102044446,40.967854498,0.36974452970000005,0.4077549539,0.7348317245781735,1.6959092170212122
CDN,2024,1,1.8650413541,3296700000000.0,99000000.0,11.5353221005,2.5136857995,11.1862612122,778.2375448484848,17854.8319733636,8.0204803905,0.35857054768762764,0.21765719342580947,0.1724036307,0.1522988184,0.1296063068,0.2593815667376475,441835970912.0,91814961773,0.024024024,4.6446413557,0.3940819723,4.5479315345,-27.179229789955833,1.2804076340946318,0.5947642684,1.2750806439,39.32804874671378,9.5886013081,24.6808056467,73.59745570151378,38.0660315589,0.3483324351,0.2804076341,0.6184953404317464,1.7854831973363636
CDN,2023,4,1.5811115099,2673000000000.0,99000000.0,9.7085673975,2.1638129392,8.2538363148,708.9383969898989,17076.5944285152,6.7405492406,0.4015311218083824,0.2121260431130472,0.1680485058,0.1518446334,0.129208904,0.24567945180139797,428822486517.0,81286521087,0.0518518519,4.6796733584,0.5674359549,4.5837974803,-31.74277391031425,1.302875537336087,0.5797328086,1.2255022547,36.92311829078932,10.4829522356,30.1323327676,77.53840329398932,34.8184358562,0.36620781069999997,0.3026744894,0.58257736631564,1.7075230666929293
CDN,2023,3,1.6497322396,2673000000000.0,99000000.0,9.5731108138,2.1605118026,7.5179130365,685.2769814444445,16366.2922699394,6.6374594609,0.3472685276399627,0.2121365667671124,0.1742134862,0.1608594379,0.1312487222,0.23516196915312773,435482748016.0,75206069354,0.0518518519,3.9858445829,0.407383891,3.8906537563,-17.13346913696745,1.327395338748128,0.5815559817,1.2126403671,40.3739779264452,11.1406555237,30.06242835,81.5770618001452,32.7628835863,0.3724170432,0.3273953387,0.6255808292427922,1.6366292269939393
CDN,2023,2,1.6580559053,2574000000000.0,99000000.0,9.2820031217,2.1007206799,8.9466486166,714.3325266464647,15681.0152884949,6.2459393894,0.3344623511638937,0.23046405676661588,0.1761299122,0.1690091903,0.1344256975,0.2317074507363686,437574741239.0,71100461104,0.0538461538,2.714404216,0.3972165261,2.6516771159,-21.232153824591553,1.419619630649388,0.5939579478,1.2373711376,40.8076212357425,11.6706097004,29.7574185113,82.2356494474425,31.2751440901,0.3770183085,0.4196196306,0.6586868199637586,1.568101528849495
CDN,2023,1,1.533603533,2534400000000.0,99000000.0,9.2779576898,2.1208368504,8.4913963269,671.1371631616162,16692.7106314646,6.5028321372,0.39229881506054415,0.23896790768942655,0.1766141644,0.1583147408,0.1367425379,0.2834569310584109,424026857698.0,78812296431,0.0546875,5.7392268775,0.5382989234,5.5844263685,-24.763411789044504,1.2677778080897277,0.5982032425,1.2410673085,41.87724925320199,12.1765471271,27.9518368018,82.00563318210199,29.9756569897,0.3587555984,0.2677778081,0.6138410579057808,1.6692710631464647
CDN,2022,4,1.6977109055,2692800000000.0,99000000.0,9.9089504591,2.2507992733,8.4318833823,749.6531470606061,16021.573468303,6.705476743,0.4187801505985138,0.2232001374450796,0.1771145741,0.1672457106,0.1412091641,0.2601059808885739,414313485105.0,86487121684,0.0551470588,3.8590581282,0.4424477528,3.7569419697,-40.27557404498821,1.2990707094142837,0.6216612153,1.2316641127,38.10553980687206,11.1415553388,29.5213197771,78.76841492277207,32.760237588,0.3216402,0.2983793971,0.6498336465910282,1.6017306397181819
CDN,2022,3,1.8326545761,2762100000000.0,99000000.0,10.8787870016,2.4581352247,10.6944920196,665.9966692525253,15223.8181511515,7.3694994528,0.36869386584786584,0.21414520694607653,0.1701397078,0.1730561998,0.1365117471,0.25313392442440746,386385731749.0,77937997967,0.0501792115,3.4449865169,0.2950918852,3.3431476559,-35.416071188342535,1.2558857551344114,0.6041499283,1.2470142707,43.504200322334924,12.0240249877,21.1844715258,76.71269683583492,30.3558916729,0.19365763860000001,0.2558857551,0.5928567450837358,1.5223818151151516
CDN,2022,2,1.7104207543,2465100000000.0,99000000.0,9.9968541358,2.2720171593,7.9550961756,672.4409514949494,14557.821481899,6.4770367452,0.3505214104430016,0.2407126856212547,0.1676559991,0.1744161718,0.1351133818,0.24260854771690316,380901185346.0,67095975031,0.0562248996,2.4969620579,0.4207468386,2.4310960273,-29.709602572604222,1.3479657219507966,0.5944976092,1.1954645842,46.075245689976676,11.4749527975,21.9492667233,79.49946521077668,31.8084097113,0.20065277450000002,0.347965722,0.6335754947945754,1.455782148189899
