ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
CMP,2024,2,0.7581989829,262483861500.0,32405415.0,39.2317745755,0.7803350688,3.0218799798,181.95617787953032,10683.2113761851,7.1596399559,0.24241562266366992,0.05151502910779709,0.0196918423,0.0424952968,0.0097772145,0.09067419798119325,56065691710.0,10378489889,0.0,1.2529801504,0.456843404,1.2110214754,-2.963830407112036,2.013751993209748,0.4915548362,0.6361208578,35.318358903182485,6.445614702,11.9018272007,53.66580080588248,56.6276479241,1.0441620734000001,1.0137519932,1.497996826077381,1.0683211376185122
CMP,2024,1,0.7713363638,262483861500.0,32405415.0,226.0451679448,0.9205165915,6.402617429,177.1852235806886,10501.2551983365,8.3328530647,0.21036639772693552,0.05465822832365555,0.0034358821,0.0318726994,0.0017028614,0.08930667360299314,50981615717.0,9381525246,0.0,1.1653295265,0.3025853836,1.1149146421,-2.5167183234264963,2.0260870300086076,0.4181604087,0.5331790219,37.64142153320295,7.1649555184,12.6761302111,57.48250726270295,50.9423958131,1.0909645319,1.02608703,1.5482906000346364,1.050125519833645
CMP,2023,4,0.7845743026,262483861500.0,32405415.0,-35.4892279428,1.1541594724,6.9632185471,-138.52220957515897,10324.0699747249,9.9103536203,0.1704589215924684,-0.07499325440694296,-0.021865696,0.0177276726,-0.010805343,-0.014982813252950023,43924144274.0,-896825945,0.0,1.1388142771,0.4617679298,1.0876396304,0.2076150027522707,2.0086309630357126,0.3322532888,0.4160346636,28.372422391937388,8.4601162663,6.2335359111,43.06607456933739,43.1436151123,1.1388909425,1.0062108209,1.6019765875548713,1.0308132974257542
CMP,2023,3,0.7753677955,262483861500.0,32405415.0,-29.8447975857,1.2060318761,9.2725814721,-14.153894619155471,10446.6551838327,9.8460165837,0.20774326711891827,-0.008045482663639922,-0.0259041426,0.0169334307,-0.0127695834,0.06918686889019185,44211158749.0,3944256217,0.0,1.1765696179,0.3581406588,1.1325250073,-0.8595057297499107,2.0076197797848243,0.3159996347,0.3987260372,39.41228487352456,8.1062259548,9.5844029538,57.10291378212457,45.0271189128,1.1515216233999999,1.0076197798,1.5790508245317438,1.0446655183832703
CMP,2023,2,0.7743186917,262483861500.0,32405415.0,-29.4089225287,1.2734772843,11.2940712594,11.324426951483263,10460.8090784519,9.9342780134,0.22083219616171812,0.005803382408600325,-0.0260992933,0.0154482935,-0.0128509163,0.07345780537501129,43907515218.0,4645052026,0.0,1.2279275734,0.3897965482,1.1839377489,-0.9100539930828297,2.0283273513384703,0.2967713721,0.3726521779,38.657902678678155,8.6737380711,7.9660602408,55.29770099057816,42.0810493707,1.1816462124,1.0283273513,1.6008771067312346,1.0460809078451858
CMP,2023,1,0.7751578446,262483861500.0,32405415.0,-20.5291067366,1.4129858059,6.3021407835,-102.82359352595854,10449.4846515004,10.7746339823,0.1962554875155583,-0.070632628241114,-0.0371183891,0.007811757,-0.0182665228,0.03172033467882421,39534163344.0,1496382979,0.0,1.29244786,0.5569835946,1.2489136144,-0.28755203979581023,2.037723774013085,0.2653921884,0.3317893876,38.51312390475665,9.8210577032,6.8539118567,55.188093464656646,37.1650397577,1.2060500715,1.037723774,1.6220196578398556,1.0449484651500374
CMP,2022,4,0.7676045669,262483861500.0,32405415.0,-28.0377470528,1.4384861417,74.0830507479,-165.7510244506975,10552.3082450263,9.9512151152,0.1876051332036993,-0.10694277394014223,-0.026950229,0.0124312852,-0.0131786697,-0.017829747871758138,42039808289.0,-895504074,0.0,1.2593152903,0.5996265923,1.2171488757,0.18796645209588106,2.0405329954317777,0.2568674094,0.3194177834,35.77221857725638,10.8376780058,11.4848266381,58.094723221156386,33.6788009207,1.2068554228,1.04061379,1.6286386052819517,1.05520368677272
CMP,2022,3,0.7535032394,262483861500.0,32405415.0,-55.8731236932,1.4628267141,-4.3375734383,-18.176424557438935,10749.7878921779,9.7104803959,0.231282478190877,-0.012950487414823774,-0.0133940951,0.0176653278,-0.0065945445,0.07048500002617494,43082026700.0,3205801560,0.0,1.4901744013,0.7420477754,1.4435209527,-0.7223433554401597,2.0174268395557187,0.2518806885,0.3129434475,39.641122618234256,11.439566997,9.529318325,60.610007940234254,31.9068020752,1.2070731267,1.0174268396,1.617891272502117,1.0749787892177898
CMP,2022,2,0.7522313189,262483861500.0,32405415.0,-31.5990522827,1.5848791535,79.4196016599,-107.8106938300281,10767.9643167045,10.3118012239,0.19415864714749195,-0.08146778992797937,-0.0235968569,0.0098653461,-0.0114896733,0.01153893187648053,40523789711.0,494833511,0.0,1.4847339629,0.7884848265,1.4332183697,-0.10901211839377027,2.03280833695402,0.229079161,0.2823046333,39.1867781632079,11.6704607913,12.9271564426,63.7843953971079,31.2755431449,1.2324528692999999,1.032808337,1.632982462851997,1.0767964316704477
CMP,2022,1,0.7438354633,262483861500.0,32405415.0,-121.0070266554,1.6524952781,212.2534205129,2.5705148661111115,10889.5050040865,10.7148990354,0.2506126902580204,0.0018982775903153457,-0.0061238945,0.0137557494,-0.003017019,0.09392197924876072,40132677302.0,4121404327,0.0,1.5275211122,0.7002675589,1.4706893966,-0.9615490341392993,2.025502425142107,0.2209268037,0.3124120807,41.43310564873115,11.6374552777,14.9954939078,68.06605483423115,31.3642451283,1.2382930880999998,1.0255024251,1.6314709051982847,1.0889505004086508
CMP,2021,4,0.7440110904,262483861500.0,32405415.0,141.7013101425,1.5723315377,9.4229284152,-21.55470763142518,10886.9344892204,10.1777089141,0.23529562091085335,-0.014801935341879917,0.0051935532,0.0161036055,0.0026225653,0.04660764613718266,38186311279.0,2199370478,0.0,1.0019444458,0.6246546629,0.9650076251,-0.2683281096853151,2.048459488114246,0.2363502435,0.3913105277,30.427243244372587,11.4971484535,17.9538845959,59.878276293772586,31.7470024394,1.0327593372,1.0492288869,1.65651800087289,1.0886839339412873
CMP,2021,3,0.7338328495,262483861500.0,32405415.0,18.6886485553,1.6957578251,11.7314430511,-129.54191513979993,11037.9359621841,9.9982491506,0.12355252184321079,-0.13257696123364118,0.0,0.0,0.0,-0.03738250781600004,0.0,-1183663548,0.0,0.0,0.0,0.0,0.2722999622105396,2.107880118625088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7446503393509454,1.0908394047044299
CMP,2021,2,0.7338328495,262483861500.0,32405415.0,18.6886485553,1.6957578251,11.7314430511,81.5878463522223,11037.9359621841,9.9982491506,0.270598620005995,0.07322339191739485,0.0389923729,0.0274827275,0.0203920965,0.07785822364593979,38871721923.0,2811238586,0.0,1.3424623251,0.7827657454,1.3044726622,0.0,1.9384054415690863,0.2247377065,0.5899653349,39.73363874850867,11.6193944157,19.7879507607,71.14098392490867,31.4129968345,1.0493839363,0.9384054416,0.7182183188312442,1.1037935962184098
CMP,2021,1,0.7376134433,268964944500.0,32405415.0,21.1957197212,1.8451090732,9.0331461015,126.5761185591976,11252.506411197,10.9482486885,0.2556129373605089,0.07891095966369656,0.035332908,0.022840085,0.0185467328,0.09390377174533367,36341845788.0,4881070417,0.0,1.4882596729,0.8055802532,1.4454226401,0.0,1.9071575122040967,0.2130558866,0.5504722434,41.6194664706426,13.0179002956,16.4515842308,71.0889509970426,28.0383158353,1.0301084617,0.9071575122,0.7209886597296613,1.1252506411197019
CMP,2020,4,0.7460050334,268964944500.0,32405415.0,19.6178870905,1.9609010323,6.6006936009,93.70192605155651,11125.9302926378,9.530973653,0.34193600434391613,0.10388338369141402,0.0378899194,0.0253164964,0.0200910436,0.1006800813804195,37845919087.0,2942819170,0.0,1.4714079086,0.8916161528,1.4254681875,0.0,1.9119971105326843,0.2010013862,0.5009408883,45.67785698810263,16.0638293726,18.2663083991,80.00799475980263,22.7218548911,1.0517498416,0.9129174649,0.7451588575351993,1.1132445973304153
CMP,2020,3,0.7518828771,268964944500.0,32405415.0,13.0361841639,1.7167299703,8.3929489914,131.55228670887257,11038.9533426744,8.8673105842,0.3198411377110529,0.11376366123686789,0.0572001021,0.0433460399,0.030522696,0.12019901526912409,40678450841.0,4504155116,0.0,1.4917586794,0.8702032717,1.446524974,0.0,1.8910662861764564,0.2317775612,0.5809171789,48.62876365634066,15.1766935415,8.706728232,72.51218542984066,24.0500342846,0.9269222616,0.8910662862,0.7292164328838288,1.1038953342674365
