ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
CMT,2018,4,0.2545340271,42531346320,7277780,1.7960914313,0.0782271641,-2.3263174842,1988.605561311279,22959.6021620604,3.5736605489,0.11150924066299364,0.04651019013244005,0.1678781951,0.1540532102,0.0837776645,0.06993197726544255,41075976324.0,21760820451,0.2566735113,1.7263749787,0.3629748839,1.4504835461,-9.998156650640187,2.123298082192223,1.7498790817,16.1299048926,118.5559610081687,26.5594846856,41.7444085608,186.8598542545687,13.7427365147,0.5552073317,1.1188005667,0.2325872508539317,2.095451473525
CMT,2018,3,0.374647997,57538623000,7283370,3.8277384124,0.130611283,-0.6048062858,1018.2892172167554,21086.4599951671,6.7781591662,0.14535049347999265,0.061185473886348346,0.1021274413,0.0853670109,0.0462630627,0.08886092115037893,23870621626.0,10771247393,0.1265822785,1.4198355952,0.0651054234,0.8788509174,-3.3346705979945948,2.8734593511199438,1.3558009546,12.0327620176,129.64933468206658,69.70218595,61.7126759392,261.06419657126656,5.2365646073,0.7988817451,1.8734593511,0.254291578257568,1.9197561266875
CMT,2018,2,0.3473161594,50765088900,7283370,5.8438460277,0.1275863254,-1.8795514008,232.48804468261258,20068.1707779503,5.0354187445,0.11416649705330707,0.02123358884526066,0.0,0.0,0.0,0.039879121561234694,0.0,3180205450,0.143472023,0.0,0.0,0.0,-3.770763298968307,2.0958249389785824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26915148801653355,1.8270489124875
CMT,2018,1,0.5205563308,69192015000,7283370,6.3661901164,0.1868835011,-4.7585031778,410.3207229620354,18249.706011125,4.5758102273,0.3228438422871201,0.09469859235891552,0.0765308716,0.0970393664,0.0401374733,0.1480386551120482,17700644633.0,4671834309,0.1052631579,1.8186117013,0.1382345854,1.3863724784,-5.455836038137787,1.9472549014741272,1.3672838127,12.0914091287,116.74108263597951,56.5926050319,45.3576299252,218.6913175930795,6.4496059122,0.2081455836,0.9472549015,0.271417003278326,1.8249706011125
CMT,2017,4,0.5761869871,75018711000,7283370,10.7551182882,0.1918614353,1.6416929429,402.7839079986325,17876.141305625,6.923325235,0.06108478030402527,0.01410299149656124,0.0547291839,0.0685906061,0.0256422017,0.023850881729743808,13484435673.0,4961325022,0.0,1.8935965252,0.3194387791,1.742958672,-7.5951283179381806,1.872297904116862,1.3086550934,14.2645386525,137.0382090261797,54.5133500695,40.8860362694,232.4375953650797,6.6956075812,0.3062164663,0.8695476311,0.19875039806367686,1.7876643253875
CMT,2017,3,0.5390429325,68827846500,7283370,8.5464911196,0.2008469778,1.0852870486,147.1149978649993,17531.071144875,5.709716044,0.09087949245787379,0.013637516101574517,0.0582660912,0.0804910235,0.0277097497,0.02605250662527376,15266305470.0,2046932688,0.0,1.9525911736,0.2178335547,1.3751462446,-2.682172817178538,1.76150690619111,1.1791122393,12.8160315052,110.98407007861968,84.5796130021,41.9232059598,237.48688904051966,4.3154607481,0.3293508935,0.7615069062,0.20279832981935855,1.7531071144875
CMT,2017,2,0.7088937468,89585451000,7283370,9.6010493698,0.2529398395,1.8537867314,532.0386647939072,17350.978274625,6.4219549706,0.19259815100573208,0.07437772802745195,0.0683177237,0.0850098213,0.0306210461,0.10434543566035459,15530949403.0,5436333814,0.0,1.6017843552,0.1584874966,1.0598750373,-6.986584632886582,2.0462655315910334,1.1623086969,13.4623060074,105.30879993128849,90.4894492121,40.8351602665,236.6334094098885,4.0336194239,0.2787313926,1.0462655316,0.18722634803830449,1.7350978274625
CMT,2017,1,0.5770364833,71814028200,7283370,6.6393798671,0.172300433,3.8044549094,-37.050287984820216,17087.3077965,3.8712205751,0.09467478576977763,-0.005157562602993927,0.0803828499,0.088703956,0.034024148,0.006491578406751549,17827391625.0,339648546,0.0,1.7384345497,0.3491772362,1.3152254071,-0.2482932928401754,2.1801969197646622,1.3110776282,15.6843096588,90.05217895181376,81.9979023452,41.6115088737,213.66159017071377,4.4513333825,0.4189904119,1.1801969198,0.19113154169136934,1.70873077965
CMT,2016,4,0.6687678177,83394586500,7283370,12.641587219,0.186925784,-2.5275593506,463.61356432530545,17121.039166,11.0727191856,0.09464390302576532,0.021144134880606638,0.0541397231,0.0,0.0230136144,0.04148768109230051,12833033317.0,6625486105,0.0,1.6200201548,0.1692579034,1.1355502447,-3.8533203222990062,2.43168432633467,1.4169665963,16.4210009092,72.26203245972478,87.2147911758,36.3554281035,195.8322517390248,4.18506993,0.7105749201999999,1.4108112778,0.19252887900748858,1.713898190825
CMT,2016,3,0.7898297466,96140484000,7283370,13.2908496472,0.2330140768,-1.3988475895,322.5080215614475,16712.46247225,10.7178030216,0.08531959719230804,0.026082457085891974,0.0552380236,0.0,0.0238723518,0.02296817549702172,15903436783.0,2068477925,0.0,1.6985206647,0.0670249039,1.1593361984,-1.51929089279879,2.269218527451943,1.3616509451,15.1248331335,58.933680060403255,94.0481485402,43.582906399,196.56473499960325,3.8809908081,0.6875945815,1.2692185275,0.19986041111811778,1.671246247225
