ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
CNG,2024,3,1.8627881968,1151256974400,35099298,10.4995290941,0.3590542473,54.7088502828,780.8180743102041,17608.013651669,4.892710841,0.07776662756234151,0.027719930747250085,0.181171561,0.2090795445,0.0905935923,0.034697269851251496,179161984875.0,34304528228,0.0365853659,1.6179752221,0.4548952328,1.5183076172,-46.04287572356576,2.1389173022930565,2.6491294931,18.483224485,62.87925689366419,9.7722841128,54.2713536013,126.92289460776419,37.3505309287,0.0845868035,1.1389173023,0.2937742225498364,1.7607849609447395
CNG,2024,2,1.9766869579,1179336412800,35099298,10.5384895235,0.3927386915,12.4027901872,1270.6726505755187,16998.1391671708,4.6290667248,0.10842992274796429,0.05307249415975139,0.189236939,0.217396427,0.0948489787,0.06576077513756266,182584155732.0,55262374127,0.0357142857,1.6346192412,0.574161185,1.5223070708,-67.49900824569885,2.141170363638015,2.5450908645,17.7807539859,62.75897109105659,10.641592154,57.1743703474,130.5749335924566,34.2993787696,0.1079159158,1.1411703636,0.2992628976255578,1.699798080674651
CNG,2024,1,2.0165572316,1217945640600,35099298,15.0020886056,0.405440605,68.9902399442,38.10690928918294,17207.5453428442,6.5124125054,0.04781638582967359,0.0021182678331200045,0.1408997203,0.1521593837,0.0701241253,0.002704052400141635,161513482331.0,1707404370,0.0345821326,1.9387195309,0.4786873624,1.770312865,-2.03344868756265,1.7943327248066796,2.5947044462,18.0394853221,59.54488289483922,10.4212291371,55.116100237,125.08221226893922,35.0246592985,0.1266499012,0.7943327248,0.2874744037213028,1.7207385031520992
CNG,2023,4,2.1666404608,1305693885600,35099298,11.8411276107,0.4195663585,27.2243521708,1034.3810971376122,17169.438433555,5.3269669019,0.11521413785750843,0.04867418025760865,0.1884915478,0.1795383985,0.0906868331,0.061589347738845134,192283157178.0,45939468311,0.0403225806,1.8160992089,0.5996396426,1.6767613307,-46.40276371251375,1.923157110487108,2.5593671602,16.7942123037,54.426119783164104,9.3038717438,64.4036465782,128.1336381051641,39.2309793225,0.12138920240000001,0.9225184085,0.2659280454883854,1.7158970024266642
CNG,2023,3,1.734373361,975760484400,35099298,9.5555682028,0.2964141299,9.6120768891,845.181747936953,16028.8439762243,3.320032631,0.09085391437921148,0.03778179392323659,0.1805410985,0.1654133022,0.0848375247,0.046391224598743674,209140297717.0,36425188016,0.0539568345,1.6362358329,0.5527639888,1.5119801278,-31.805843415532095,2.132909289769089,2.7349006648,17.6853906795,52.74287691604155,8.7687105381,55.738555905,117.25014335914156,41.6252764206,0.1500235245,1.1329092898,0.29006977591244276,1.6028694646082402
CNG,2023,2,1.9909446046,1067018659200,35099298,11.8036996765,0.2990291867,13.76556597,395.3630634151145,15269.1340231933,3.7902199611,0.0636062304252052,0.01649061024261236,0.161369441,0.153406191,0.0730075558,0.018407424847032637,206450474214.0,15489979124,0.0493421053,1.6096749141,0.5579097852,1.4897909641,-11.921093487839245,2.218561440503962,2.8818298444,17.2175460332,49.9752896974713,7.2526497539,53.5443531601,110.7722926114713,50.3264341152,0.1784792048,1.2185614405,0.31554860900574944,1.5268991770766782
CNG,2023,1,1.958377789,1150186069800,26999673,10.1202064157,0.2929804932,7.0625551194,849.5860536533164,21752.6976863386,4.1096549447,0.061972654555833354,0.03102204514655442,0.2036436877,0.1856707963,0.0877949929,0.012395637049189535,226104140417.0,9165671856,0.0352112676,1.7888296298,0.5550728464,1.6588655237,-6.462236087822386,1.9490773356075142,3.032600158,17.0766724332,48.31609201350625,6.1052711074,53.0940234612,107.51538658210626,59.7844049151,0.1820203448,0.9490773356,0.3382996923951221,1.6732820490218911
CNG,2022,4,1.3276721463,753290876700,26999673,6.40502329,0.1799798908,4.00089217,1319.8118301284612,21014.2240894918,1.7859235351,0.09281702871819733,0.03849156190989476,0.2159747585,0.2352413253,0.0981767768,0.04409553625431284,249441843425.0,40822501667,0.0537634409,1.618780997,0.5950951634,1.5199404349,-29.064695397067116,2.221603763854718,3.4938176892,19.0802456271,38.930027421150456,5.6723513019,51.158336912,95.76071563505046,64.3472134518,0.2082449119,1.2441510961,0.3703711505975675,1.6426805025495286
CNG,2022,3,1.287742254,696591563400,26999673,5.5214498946,0.1678820516,2.362730523,664.7417727985076,20035.0651842339,1.6196384563,0.056211889497605645,0.01690689408216653,0.2351927741,0.2573199508,0.0979870508,0.0243041170283916,240044155524.0,25800462495,0.0581395349,1.4551317597,0.5358326712,1.389738732,-17.96474517261066,2.473731894158521,3.2226437177,17.553789597,48.78273416552084,5.1760249671,53.0143254977,106.97308463032084,70.5174341937,0.23921943420000003,1.4737318942,0.4577895414985364,1.5411566605284244
CNG,2022,2,1.5608977907,823490026500,26999673,6.9332611928,0.2183873885,4.0294511017,1375.3116322186568,19540.0366259991,2.1828829918,0.07219493534359733,0.03096885393508443,0.2271474289,0.2410722397,0.0979171227,0.0377567674002414,233671850259.0,45271959386,0.0491803279,1.3647618756,0.4758834503,1.2999984192,-38.97477974623855,2.6808720689582133,3.1085896015,15.8671987677,51.47339629415466,5.6668457938,54.2988426749,111.43908476285466,64.4097286707,0.24146452070000002,1.680872069,0.49225402328818574,1.5030775950170407
