ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
CTN,2016,1,0.0,2240588700,4870845,0.4336852847,0.0089232534,-0.0491156222,-178.45639103687347,0.0,-1.12053545,0.06030779939698644,-0.015534118965014962,0.0,0.0,0.0093200154,-0.00437812922495595,-45071557599.0,-244984363,0.0,0.7890533109,0.0013921431,0.5084822691,0.0,-20.480664470971472,0.4520405414,8.2471130553,245.39648312841842,237.8501573029,204.220720136,687.4673605673183,1.5345796031,-1.9822894675,-21.480664471,-1.242194574659925,-0.3552622225543574
CTN,2015,4,0.1410995378,2922507000,4870845,2.7407892837,0.0136047769,-0.0809396757,3497.160462712322,4252.3172609291,-1.1505267147,-0.33411926275015064,0.15277832354669416,0.0,0.0,0.0,-0.38904217430722965,0.0,-43376530637,0.0,0.0,0.0,0.0,0.0,-21.53145762079745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.305815209378842,-0.34897755292386334
CTN,2015,3,0.9775349988,8767521000,4870845,-0.3011696688,0.0802271703,-0.0872046897,-1112.5150399981933,1841.3662960086,-3.8521305625,0.005004137731997907,-0.07875761543125517,0.0,0.0,0.0,-0.04477019883921838,0.0,-3080396813,0.0,0.0,0.0,0.0,0.0,43.762779112603724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.483532519340709,0.18413662960086055
CTN,2015,2,0.9617859905,17535042000,4870845,-0.3767902365,0.3265135589,0.1700765454,-1143.3344434076635,3743.0364298186,-2.1770954877,-0.0704887888175235,-0.3753012162559077,-1.6984862444,0.0,-0.0782001863,-0.25981985843203936,-36855050494.0,-3855404648,0.0,0.925996718,0.0028296603,0.5504556375,0.5929231665873104,34.66583912664615,0.0828306941,2.1183512116,1104.6830478885051,758.6708947135,638.363050861,2501.716993463005,0.4811045244,6.9537024687,33.6658391266,1.510991738831067,0.2620127383594806
CTN,2015,1,0.9940177471,16560873000,4870845,-0.3960309697,0.3416860028,0.1029298794,-875.6281569214376,3420.4620690696,-3.6300618947,0.028614489626632916,-0.26697603278368004,0.0,0.0,0.0,-0.1713338426356218,0.0,-2737126744,0.0,0.0,0.0,0.0,0.0,26.652583261003638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0805332485481018,0.34204620690695847
CTN,2014,4,1.3636130742,26789647500,4870845,-0.6028440058,0.7915179905,0.354050835,-2857.4901876368476,4033.4022193495,-3.9120927025,-1.0766226587216787,-1.4400968380230732,-0.8478266269,0.0,-0.1004819083,-1.3748099813352386,-32189501548.0,-13287400858,0.0,0.9588562238,0.2389539887,0.7007617764,0.0,20.711729751034607,0.058975553,1.1989267242,2168.906910510053,764.437269966,750.6931946973,3684.037375173353,0.4774754114,4.8235787307,22.3376796656,0.718976806814628,0.4559519638362283
CTN,2014,3,0.6402673762,29225070000,4870845,-1.0140785824,0.7546062944,0.2113557708,-5532.75714398631,9371.0849905919,-7.0806801989,-1.6876228570341048,-2.0377761495006608,-0.4703180012,6.0382376033,-0.0769465691,-1.8146091107160467,-22506688881.0,-23997860777,0.0833333333,0.9831934596,0.3187469602,0.7455018718,0.0,14.677213670111469,0.0736775606,1.3131813574,1890.3189544804752,854.3073377231,809.302199659,3553.9284918625754,0.4272467107,3.189024766,13.6772136701,0.5549472701719417,0.655976420700612
CTN,2014,2,0.4463206924,41402182500,4870845,-3.0599370437,0.4150682756,3.3250389017,-986.0252036350983,19044.6021053842,17.3993378208,-0.2510380278828469,-0.5001331571111898,-0.1333353631,8.554169938,-0.0278929561,-0.42943885051824876,7377972544.0,-4123898899,0.0588235294,1.0898655498,0.0339733553,0.6427490036,0.6517208263553878,4.964690685028439,0.2052091814,3.0857375383,800.7485571263485,581.9335461172,578.3607212312,1961.0428244747486,0.6272193834,1.0337604315,3.964690685,0.3056265777478103,1.3331231053073684
CTN,2014,1,0.5082889827,49591764000,6887745,-5.5305825513,0.3193346112,2.5712292318,-1210.1231829865942,14165.1702952127,28.4984905809,-4.873994353710885,-6.159458260393685,-0.0851772202,10.2462322314,-0.0179420855,-6.3761127943729425,4916571379.0,-8628198260,0.0694444444,1.1137568417,0.0312028053,0.683682111,-36.73211167044414,4.9164435869834255,0.3102899691,4.4094542803,543.6952413343765,401.0342143889,414.3980067436,1359.1274624668765,0.9101467827,1.0454850609,3.9164435869,0.3140286827678728,1.4021449191582194
CTN,2013,4,0.5805313956,62678479500,6887745,125.3263966584,0.2972674152,1.4867997099,-52.30544075020199,15675.2934781993,5.3251290904,0.10340333040960464,-0.024764183853739644,0.004648758,12.9500990702,0.0009202163,-0.039094351938631304,29982623675.0,-568740198,0.0329670329,1.1389584305,0.0232658607,0.7084935972,0.0,4.558707332657202,0.3873959902,5.19829028,438.4644372464969,348.8461271862,367.6784049788,1154.988969411497,1.0463065849,0.976422173,3.5643755037,0.3114986506046281,1.5524496641083476
