ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
DAH,2024,2,0.2890499709,264388000000.0,84200000.0,129.4972264111,3.8383105845,2.8307551194,0.9775343705463183,10863.173555962,9.2273600262,0.5134857295040746,0.004033956413958978,0.0022375189,0.0150337223,0.0018121439,0.2672677570305506,47479089072.0,5453301323,0.0,2.1235029086,0.0242413674,2.0739497204,-1.495183944671593,1.205694065159727,0.0611382534,0.0970986308,192.6444219074585,17.1044372225,45.3822153339,255.1310744638585,21.3394919256,0.3522488572,0.2056940652,0.7618700455997776,1.0953508381817103
DAH,2024,1,0.3562815468,325854000000.0,84200000.0,126.9326000009,5.360908348,3.3711598941,0.5259300356294537,10862.1960215914,13.7983241099,0.4543428817295931,0.002226755235066235,0.0028153685,0.0118877707,0.0022620108,0.24313551112088816,36253140191.0,4835217090,0.0,1.7240114254,0.124966114,1.6726922222,-1.193040665556346,1.2129223050537343,0.053558631,0.0851546383,330.87011213342925,16.5470336617,73.6078205455,421.02496634062925,22.0583342889,0.3572743343,0.2129223051,0.7684000623666621,1.095276427972684
DAH,2023,4,0.373791504,341852000000.0,84200000.0,90.0281875276,7.2201713416,2.5127444668,16.66721150831354,10861.6700915558,20.3019349503,0.15588829894166742,0.08850318311175044,0.0041605758,0.0024373166,0.0033239299,0.07423799113696092,25483589778.0,1177178601,0.0,0.9131623612,0.0805030048,0.8582210776,-0.26059809235771186,1.2470808765425083,0.041446022,0.0656633688,465.39242297758267,15.7765806112,66.0927990317,547.2618026204827,23.135558268,0.3619573138,0.217481611,0.7785814055107486,1.084798867155582
DAH,2023,3,0.400393931,365428000000.0,84200000.0,84.7856379223,7.9004442261,5.5828935945,6.076947660332541,10839.3251347268,25.1472172519,0.43320420901195045,0.04018301312699392,0.0047246475,0.0037400367,0.0037479447,0.3854753425921265,21511015575.0,4908532730,0.0,4.4795574205,0.0969137017,4.4322728479,-0.297621411472935,1.2457197920058696,0.0402220274,0.0634923513,812.7372390299112,13.4425682016,136.4768986112,962.6567058427112,27.1525496114,0.37815415939999997,0.245719792,0.7835551380220832,1.083932513472684
DAH,2023,2,0.4366188163,398266000000.0,84200000.0,43.0409112551,10.4893647602,-213.1691835097,7.218532315914489,10833.2481870665,35.8542934258,0.238894113452955,0.049390986708934256,0.0101502527,-0.0009489903,0.0080545753,0.1690996978571215,16090627077.0,2080923553,0.0,4.379998765,0.1020064809,4.3497747115,-0.3872523017603894,1.2552338163250116,0.0330502626,0.0519254697,1014.3569382573584,15.5143006446,146.0742859086,1175.9455248105583,23.526680858,0.3859546339,0.2552338163,0.7896402576399819,1.0833248187066509
DAH,2023,1,0.4350625437,396582000000.0,84200000.0,14.5075074695,13.22024421,-21.8028153996,9.456550166270784,10826.0296547506,46.8328561611,-0.8251790960638329,0.12356396464447136,0.0300476286,-0.0012553465,0.0238389108,-0.9531559763778151,12417216226.0,-6142101133,0.0,7.4869983402,0.0324371451,7.4473383584,1.0351971386419503,1.2678548549515232,0.0261601202,0.0408680722,1311.3213923262488,15.4732288077,178.3066131747,1505.1012343086488,23.589129621,0.4038947649,0.267854855,0.7956001542057268,1.0826029654750593
DAH,2022,4,0.3855195134,351114000000.0,84200000.0,8.1059077885,13.6807231088,-15.0104973758,28.435884536817102,10816.5731045843,27.6452867856,0.28994167605552024,0.1620998561174726,0.0488334307,-0.0014838342,0.0378437639,0.2191291036237885,19532968716.0,3236653932,0.0,7.9887457837,0.0519757069,7.9522875448,-0.6310519760198459,1.273586266715358,0.0224226496,0.0407660178,2101.0162076615316,9.8214497552,227.2589852954,2338.0966427121316,37.1635562056,0.4117329368,0.2759731067,0.8255209006958838,1.0838314331401424
DAH,2022,3,0.4347874977,395740000000.0,84200000.0,5.8654436912,1.0188897399,-1.4362913207,64.784475760095,10809.8784468646,11.2755837478,0.03618533725137422,1.226317025830295,0.0757787506,0.0268030029,0.0593836019,-0.04823217000123501,51848359695.0,-214544351,0.0,7.1430083856,0.0789170536,7.0623855916,0.04433834598548794,1.2440279336737898,0.3418536465,0.6043188787,132.8453260354214,0.612118947,15.080135222,148.5375802044214,596.2893352192,0.4198313226,0.2440279337,0.7976150179943003,1.0809878446864607
DAH,2022,2,0.4774271881,431946000000.0,84200000.0,4.8174508704,0.7634637683,-2.3490117956,221.98258117577197,10745.0939711045,9.1272972872,0.46549804037996123,4.311207364751624,0.1017079089,0.0448576892,0.0726098454,0.40182333357135747,68380827204.0,1742076524,0.0,5.3778432816,0.0359247768,5.3776740646,-0.3848464159229356,1.2562388545278678,0.5401359797,0.9514602944,95.09614753992648,5.398840463,26.3128942135,126.80788221642648,67.6071098043,0.4253364793,0.2562388545,0.808542022953591,1.0745093971104513
DAH,2022,1,0.6941287276,612134000000.0,84200000.0,6.7477719522,0.8891649311,-2.8494980941,220.9778902375297,10473.5616188124,8.6697752683,-2.8748570681243093,8.815038915734796,0.1048916711,0.061874766,0.067192343,-2.955897964144374,89013495440.0,-6239159940,0.0,3.2292289164,0.5229549236,3.2282337801,1.3198902097984502,1.3028794603769067,0.7303915476,1.2595297715,71.43448260824236,10.086293369,24.4921810458,106.01295702304236,36.1877239384,0.4374990249,0.3028794604,0.6635508599708994,1.0473561618812353
DAH,2021,4,1.1314221183,976720000000.0,84200000.0,15.3474314449,1.4122111094,-5.0784552334,293.55845755344416,10252.5837285748,13.9047456506,0.09115268155576554,0.06547561352385184,0.0587169621,0.0648947902,0.0401948837,0.09066960402364217,91707965921.0,34228575953,0.0,3.4256063125,0.1187983174,3.4239577499,-4.75181369330067,1.3032857534479831,0.7946837218,1.3242106575,48.56130894043268,0.0887560132,5.9717062915,54.62177124513268,4112.3974247191,0.46456512289999996,0.3056116994,0.6108925438762811,1.0268463386425177
DAH,2021,3,0.9523321434,799900000000.0,84200000.0,1052.5266234218,2.5105789847,14.4307673132,166.75887378859858,9975.5112396318,27.3799963166,0.10835470431133415,0.07722677457070479,0.0013348706,0.0417558815,0.0006483809,0.1074091897382943,40115269833.0,19528756429,0.0,1.1786560337,0.0154773491,0.9645242398,-3.972981280431201,2.287112683870515,0.4691697892,0.607744255,54.674014350095916,21.6478703871,44.541525254,120.86340999119591,16.8607809209,1.7231449505,1.2871126839,1.5699121824602802,0.4037268959346793
DAH,2021,2,0.9103244274,754432000000.0,84200000.0,-12.7608845907,5.4462174455,87.3484951969,70.87499340855106,9842.6448094299,95.1773363021,0.15199970230979595,0.046989214443714844,-0.0742550165,0.0005275432,-0.0383474394,0.15020840906074476,11390548002.0,19076609277,0.0,1.6196073126,0.01250653,1.1691265005,-2.2699620252884487,2.1808507671170725,0.2142510122,0.2657834935,67.4966008704867,58.5509617412,49.965825719,176.0133883306867,6.2338856467,1.8967201870000001,1.1808507671,1.640478709130697,0.3904402529144893
DAH,2021,1,0.7660440166,247266000000.0,34200000.0,-9.1565242599,18.759988672,14.701535663,-160.88735970760234,9438.0999564035,-29.1009164126,-0.5465661238192614,-1.0346560752108547,-0.0787251815199852,-0.038803961127996445,-0.04293523356318474,-0.6228699864380429,-17121946624.0,-3312450698,0.0,0.13124415278434753,0.040992509573698044,0.12766316533088684,2.7089608346728524,1.8832657097140648,0.020956169813871384,0.02543945610523224,772.7676257754024,247.929443359375,263.2096862792969,1283.9067554140743,1.4721930027008057,1.3976930379867554,0.8832657337188721,1.5725946548853116,0.3833527535736342
