ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
DBT,2024,2,0.8895636082,228910995000,18610650,14.3139562027,0.2709704953,-7.2095368799,85.17310566799118,13827.0044849051,11.6917009485,0.3800454718776526,0.007073557818943374,0.0651806834,0.0669872656,0.0181432819,0.059227569096059265,67488384770.0,13272417215,0.081300813,1.1106480397,0.0843523971,0.5305396146,-1.3050614703248746,3.268226273781692,0.9622821593,8.9547995518,75.07292363931212,253.1687289572,51.388313993,379.6299665895121,1.4417262412,2.0275222798,2.2682262738,0.4525638932580362,1.5339168259195675
DBT,2024,1,0.895912412,221471411700,18611043,16.5493778154,0.2689910133,-7.1760403926,397.406486514485,13282.5484281563,10.684522633,0.41778893879171275,0.039899324381975805,0.0557903638,0.0734792306,0.0155608337,0.062997762000605,70470910934.0,11677913218,0.0840336134,1.109690143,0.1007415273,0.5281615115,-1.1766861466645133,3.3885941753031084,0.9703623231,10.5322950486,72.75657989963351,260.8475566054,59.6704153595,393.27455186453346,1.3992847192,2.2435098884,2.3885941753,0.4506998182459481,1.4013769261148858
DBT,2023,4,0.8507599734,204068462500,16325477,12.2737080514,0.2514346789,549.6357593309,382.07295719445136,14692.7457701236,8.8690058073,0.387433876343125,0.02534331986510843,0.0708020294,0.0926333912,0.0190939746,0.07729500733477011,75978540293.0,19023924642,0.08,1.1552105203,0.100848319,0.5583801399,-1.7850077220815228,3.464080092688893,0.9569095244,12.4059486949,74.64532250827155,285.8247495222,90.9665477107,451.43661974117157,1.2770062796,1.9675064441,2.4516329442,0.26804967970213867,1.3280700089142508
DBT,2023,3,0.8386905143,195905724000,16325477,13.8898591777,0.2452038356,-6.2159871382,43.434188661072504,14308.0192219805,9.648611803,0.38713649843231396,0.003747823728424693,0.0599796729,0.0846842055,0.01627361,0.061277410574852205,68993487372.0,11593614117,0.0833333333,1.1733050609,0.0838532691,0.5518744988,-1.18879747100971,3.4840959059811762,0.9570268125,12.3439423399,71.6261091071167,283.1644946912,89.3803558695,444.17095966781665,1.2890034127,2.023736114,2.484095906,0.2673939245295979,1.2933676642083969
DBT,2023,2,0.8634754137,201619640950,16325477,10.378185308,0.2479993455,9.1045733213,-69.80300649102014,14302.665488794,9.1888231434,0.37431730245711714,-0.005623294779841595,0.0845319448,0.090646713,0.0230497643,0.08029654828820823,69284181195.0,16272191037,0.0809716599,1.1703896922,0.0864849077,0.5359091168,-1.66052200193589,3.4886764364153566,0.9998270033,12.5432510408,70.50447469830112,274.915990328,92.6615246736,438.08198969990116,1.3276783193,1.9346024036999998,2.4886764364,0.27611362158055386,1.2558251867183574
DBT,2023,1,0.9524287738,216412856450,15625477,5.0778341428,0.2761321599,-5.2556127972,618.5523929925467,14541.7698210429,11.6395316745,0.37524011615303415,0.055660486363150866,0.1960391089,0.0706805816,0.0530320117,0.1160405963737925,56079866405.0,20149892364,0.0722021661,1.1202698329,0.0180784264,0.4509754861,-2.1605224161072267,3.607641476613101,0.9752133165,12.0470226544,72.55909811443725,282.6330473318,98.8211530801,454.0132985263373,1.2914271825,1.9438466821,2.6076414766,0.2790464751248176,1.2595188817263234
DBT,2022,4,0.7972488057,173442794700,15625477,4.5653844791,0.2298417204,-5.2047535182,278.4512531681433,13922.8806875464,12.4318979629,0.3411152847710043,0.018637118708746837,0.1792656959,0.056922151,0.0466800655,0.052889325403382585,43690283133.0,12347291946,0.0630630631,1.1021274295,0.0214889581,0.4087321313,-1.5772366840541427,3.746151042631194,0.927213937,12.6730253378,69.55122817590397,303.1099489366,125.6687087545,498.329885867004,1.2041835027,1.9031249563,2.7483120755,0.2881764036599807,1.2043528636076655
DBT,2022,3,0.7682157096,164779345600,14205116,3.549366393,0.2366300451,-9.8536003615,412.93591449728393,15099.9255221851,12.0612530394,0.3706760285287462,0.028862464512632236,0.2231664693,0.0653972242,0.0593364073,0.059355483219939706,44314607366.0,12062987401,0.0603448276,1.1260492249,0.0293510441,0.4535821242,-1.7621323192897833,3.4077064965098343,0.8900249756,11.5555684884,77.4576848064157,316.570651093,125.4105805136,519.4389164130157,1.152981171,1.7906315062,2.4077064965,0.2933648952493774,1.1854921970592107
DBT,2022,2,0.7941655118,166199857200,14205116,4.0832282236,0.2647677521,-3.277188187,1600.6355910081973,14732.4453485632,16.5667367739,0.2875219737777729,0.13112890949754197,0.2032134244,0.0480202351,0.0522672076,0.017904249000286143,33939798261.0,3104523228,0.0598290598,1.1185893161,0.0151172638,0.4006144391,-0.5119546930547861,3.601505123736408,0.8060609185,10.9296661274,82.25979523844802,344.9980317775,144.1194059746,571.377232990548,1.0579770502,1.9102173651,2.6015051237,0.3034127418938953,1.159930528992808
DBT,2022,1,0.9778968259,184666508000,14205116,8.3567560025,0.3033798207,-3.0178924911,260.0985283752699,13293.8359712796,26.8331087783,0.3107770807569949,0.025510511329499733,0.1139913792,0.0210862228,0.0285360179,0.047839845904851915,21112599002.0,6928724416,0.0538461538,1.0809709704,0.0153721918,0.3419470136,-1.2644175040927645,4.107421355328527,0.7860395547,11.3121480528,83.23229496917418,344.0368511606,151.8409958468,579.1101419765741,1.0609328587,2.1049452626,3.1074213553,0.29044214857002926,1.0437509228371926
DBT,2021,4,0.9732204038,186087019600,14205116,13.658368116,0.3040394861,-4.9514851915,994.5189090324923,13460.4658397721,29.5198252677,0.35546728351040585,0.08077423732707587,0.0609890122,0.0196624299,0.0161752483,0.0977449803438178,18944484724.0,17095406300,0.0534351145,1.0789432174,0.0333535278,0.373134077,-2.75152320789054,3.9850491219124575,0.7266408004,9.1054774263,94.19601354660402,347.1207953873,162.6167711909,603.933580124804,1.051507155,2.0101464455,2.9437013202,0.2701857580612695,1.0819990837558064
DBT,2021,3,1.0564854214,191769066000,14205116,20.0207106904,0.2658372265,-5.3711232077,10.126852255201577,12778.2170260348,41.1718527682,0.2967910225542558,0.0010687944252908374,0.0444119757,0.0081891679,0.0118279384,0.017360369080779637,13721022671.0,2336598172,0.1481481481,1.0880649621,0.0321920875,0.3909896052,-0.46130155702407566,3.8861988343388023,0.8907846974,11.0062569926,75.68952211744175,262.2128307845,117.8579630184,455.7603159203418,1.3919990067,2.1387193073,2.8861988343,0.28153686477093154,1.0193183868107778
DBT,2021,2,1.3399468948,243617739400,14205116,31.949146325,0.3156994467,-1.8311911667,290.88327634916885,12799.0146971697,31.5824341179,0.2281642036612847,0.026766384600313047,0.0333372684,0.0138804401,0.0092497788,-0.09159146709696181,19264147089.0,-14139330283,0.1166180758,1.0733080398,0.0557750971,0.4026810399,2.405055084155113,3.997807731731668,0.9360882343,10.8294102024,71.55513308450043,245.6297277437,104.8691575591,422.0540183873004,1.4859764873,2.1371068575999996,2.9978077317,0.2682946703643261,1.021484085526298
