ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
DC2,2024,3,0.6698798822,55916923400,7556341,21.0785472105,0.2471426521,1.145358274,0.0,11046.7565860249,9.9564436133,0.15823785704230794,0.0,0.0324855123,0.0782918802,0.0078482593,0.07412792522766902,19364201598.0,4039454322,0.0675675676,1.1035403463,0.0054651417,0.9421573248,-1.6505736687285033,3.593554927234224,0.6693701082,5.3546235588,325.2835112087069,39.3653051527,104.206903545,468.8557199064069,9.2721242369,1.7329376824,2.5935549272,0.6061006106039647,1.1046756586024902
DC2,2024,2,0.7084560626,58183825700,7556341,20.3574596231,0.2558761554,1.1435760117,201.8027006721904,10868.7050714096,11.5435729649,0.15195375382595772,0.02245967855112871,0.0354074136,0.0686781586,0.0076902628,0.09012786742443608,22206647724.0,6119192015,0.0649350649,1.0865157099,0.1278882271,1.0164099628,-1.6768127364868193,4.273328805335466,0.6118358858,5.7047756285,381.4532031200206,36.8104814573,116.0118110988,534.2754956761206,9.9156540624,2.5486944457,3.2733288053,0.4715133956338522,1.0868705071409561
DC2,2024,1,0.8234209826,66495800800,7556341,43.1027505517,0.3352316472,0.534582798,73.37017135674529,10687.1213943362,10.0758678698,0.20420647090212354,0.019947073561304266,0.0192682929,0.0828525272,0.0039018767,0.09721333357138233,21808345900.0,2701952615,0.0568181818,1.0937480466,0.0261573387,1.0006132791,-0.8637196848273794,3.783594976458795,0.5016877729,4.8822281697,475.0404237145263,50.3219136316,150.8500528625,676.2123902086263,7.2533012689,2.050309591,2.7835949765,0.4886705811029666,1.0687121394336228
DC2,2023,4,0.6501000311,52138752900,7556341,51.18941555,0.2483171226,1.5402952218,75.89496609536282,10613.7512229795,11.5895178053,0.10560209369678439,0.00753875571155879,0.0127391891,0.0746311558,0.0024296906,0.058907129095440505,26196055146.0,4481183277,0.0,1.0614165074,0.022627662,1.0248680674,-0.7001084137516481,4.926979160240797,0.5008693793,5.0221838914,499.2222770699273,58.8624647228,183.1886344977,741.2733762904273,6.2008956254,2.9336295225,3.9370742519,0.5011474314499015,1.0625036080955055
DC2,2023,3,0.4455339017,35514802700,7556341,59.3249766375,0.1512339808,-3.2503689626,27.171890336870714,10549.1411147274,11.0613354989,0.17395689242626125,0.003690818475081531,0.0075048743,0.0704716442,0.001353169,0.11250498706781295,25944036990.0,6258647469,0.0,1.0574301031,0.0164326612,0.9751842167,0.0,5.451281546542188,0.5308113917,5.565792982,477.3015325955668,60.7618943489,162.5779079795,700.6413349239667,6.007054321,3.332917175,4.4512815465,0.5145501933888059,1.0549141114727352
DC2,2023,2,0.503707993,40048607300,7556341,27.3710787781,0.1499226529,-1.2596692359,27.726277043346773,10521.9692243905,11.7456525033,0.25343344724647787,0.005391141183507633,0.0183286022,0.0685956798,0.0033545793,0.16515801488526868,24819317236.0,6418330193,0.0,1.0877540613,0.1028077629,1.0002597377,-0.9500071241022222,5.607898679654782,0.6124388316,6.2275695034,400.9395498777667,68.1045128829,144.3572408052,613.4013035658667,5.3594098915,3.3680305443000003,4.6078986797,0.5257317614342261,1.0521969224390482
DC2,2023,1,0.4543925034,36270436800,7556341,11.5983521485,0.115446138,-0.6860755554,15.285214894351645,10563.554557424,12.2569795576,0.2079984728480846,0.002931129701757182,0.0392490664,0.0664332142,0.0074775352,0.14362687045905312,24313199778.0,5659574205,0.0,1.0914375186,0.0027324404,1.0198655607,-0.9440807424754938,5.592269400013105,0.7512341965,7.2551295352,303.99811159504674,73.308571078,119.4467881734,496.7534708464467,4.9789539563,3.421797212,4.5922694,0.5334761321947024,1.0563554557424024
DC2,2022,4,0.3972754125,31665361200,7196673,9.0140626825,0.0950658965,-0.3853775462,9.493113970858479,11075.4400141565,10.9743951254,0.11829481572228669,0.0006768458428898418,0.0453316693,0.0629847888,0.0099342809,0.05352679680073175,22877585125.0,5402838097,0.0,1.0851699466,0.0076880529,0.9580797229,-1.1476815196392194,5.533285776590549,0.9476977629,9.7944599355,235.43783533692286,60.7502152472,88.6853329709,384.8733835550228,6.0082091646,3.0691742575000003,4.5510900347,0.5419268922433098,1.05910342157666
DC2,2022,3,0.5670133742,45339039900,7196673,8.5303312249,0.1371710634,-0.4841043625,148.65814703544262,11110.8490326016,13.7360214669,0.12605559489391147,0.012167698777421158,0.0638682013,0.05746518,0.0146781175,0.06547836480071474,19273509292.0,5757180694,0.0,1.1092973583,0.0282934095,0.9053184923,0.0,5.122551562643137,0.9758539791,9.7388196534,186.7915463593471,84.3462560413,74.9974544831,346.1352568837471,4.3274001376,2.8605023403,4.1225515626,0.5480807670312761,1.0581992956643962
DC2,2022,2,0.5929471643,46778374500,7196673,7.775502539,0.1580777874,-0.5438632672,260.33457765831514,10962.1908855661,16.18975635,0.1198985922974825,0.02180831519006406,0.0720639954,0.0519823727,0.0171086453,0.06909400610648574,15002304812.0,5935835865,0.0,1.1340428032,0.0390004414,0.8453517922,-1.833332927699266,4.7411790361381545,1.0049100345,10.1023677063,160.26887145670923,91.7651345387,71.113858243,323.1478642384092,3.9775455224,2.782327403,3.7411790361,0.5506025627317801,1.0440410665294222
DC2,2022,1,0.7653170664,59732385900,7196673,10.3249852084,0.2224477999,-0.3838354244,111.58692954369332,10845.1782456977,21.7779166193,0.10110707909670402,0.013770511304153323,0.0681709506,0.0410842647,0.016321635,0.045998173144518414,11414883251.0,2682474579,0.0,1.1926584449,0.0072695306,0.887306507,-1.010825385286539,3.9810004248827453,1.0745892296,10.7689114802,139.88668177341012,85.6242656056,61.2846665518,286.79561393081013,4.2628102842,2.4465910269999998,2.9810004249,0.3057023409512062,1.0328967612896243
DC2,2021,4,1.2280997617,94865974500,6542481,7.5101129405,0.2941033893,-0.9566538479,187.26058325580158,11806.8584101352,11.5574747453,0.08133346610087289,0.01245352013931243,0.1251091663,0.0666785056,0.0289412774,0.03418911164041467,17589705266.0,3363446552,0.1034482759,1.2122033432,0.0256183899,0.9252051465,-1.6470747889685253,3.4979837533832243,1.3576097787,13.4769644304,106.76057739979316,84.049787973,47.1178787278,237.92824410059316,4.3426641376,1.9521428883,2.5039222773,0.33082644653383025,0.9854499295757033
DC2,2021,3,1.3146105145,96280507400,6251981,7.3355370933,0.2917584569,-5.1254905944,181.75144022350676,11714.4962940546,11.4686005613,0.09821810195239278,0.021312787337944172,0.1768367977,0.1054949721,0.0358087038,0.05413986445051356,17849353650.0,2886505724,0.0974025974,1.0490206437,0.0413641197,0.7099816737,-1.612716423181591,4.823315038071725,1.656048594,13.4227765778,70.62585343047752,68.6842766333,45.4097926061,184.71992266987752,5.3141711304,2.4181361631000002,3.8233150381,0.5231542533471322,0.6383884509050082
DC2,2021,2,1.1715356109,56654913100,3751981,3.4904840744,0.1433524507,-1.7841507857,243.60813101132442,12889.0661621154,6.5318463488,0.09840701130644498,0.015620750871551169,0.359055183,0.1645836431,0.0679788647,0.03593589722910928,24466288835.0,2102708144,0.0993377483,1.0861946146,0.0257934385,0.7980436384,-1.2448006296328396,5.074732058359144,2.0345947319,16.5144793992,46.72055078999357,65.9202650118,33.4044117863,146.04522758809355,5.5369923033,2.790752027,4.0747320584,0.6745238306520301,0.5102936903985672
