ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
DCF,2024,2,4.6460155304,2166000000000,30000000,67.6336216616,2.1449728832,3.3809615485,606.1631806666667,15540.1977301,39.9027503049,0.09052504550355048,0.04446122160231776,0.0682941949,0.094815269,0.03373202,0.05362088315885267,55478348069.0,21931249692,0.0,1.7976320151,0.059084765,1.5096647555,-14.036212281938626,1.7686215428798024,1.1139694192,19.0508024267,62.40573546443701,32.7594076838,28.0077596623,123.17290281053701,11.1418375913,0.1514322345,0.7686215429,0.13367953194548138,1.55401977301
DCF,2024,1,3.2494779001,1461000000000,30000000,92.0048784358,1.9701954851,16.4369141433,91.09440166666667,14987.0229918,37.9162421455,0.0899235448682955,0.013364725520353227,0.0327060241,0.0660996041,0.0138175454,0.034719632552153115,39286997602.0,7099504173,0.0,1.5296887001,0.1059901783,1.2927507546,-2.4545610081827567,2.0141854964335693,0.7772892723,14.6924905508,77.92817724973985,40.282286415,28.5178772173,146.72834088203984,9.0610546839,0.17652517239999999,1.0141854964,0.10938740408487463,1.49870229918
DCF,2023,4,3.2894894537,1470000000000,30000000,97.8566974452,2.4049931357,-27.0610392708,628.6895955333333,14895.9285901333,58.7095333896,0.09368100722611471,0.07050223076260208,0.0288650436,0.053594368,0.0174704623,0.05059825618206049,36376977260.0,13535996040,0.013877551,1.8537711497,0.0963814495,1.6776285488,-1.0513663686453645,1.6251815877663227,1.0076199135,11.6718110524,97.71029502136055,38.4507413651,39.1507630445,175.31179943096055,9.4926648237,0.3383773591,0.6252611049,0.11175886393652898,1.48952124076
DCF,2023,3,6.3604633692,2724000000000,30000000,-524.2305892803,5.0888769203,-2.5777246474,-306.688373,14275.6894787333,103.6084410647,0.14173465091468923,-0.07143516405930943,-0.0093291493,0.025585715,-0.0038593859,0.06326639606264839,32716208508.0,8148536507,0.0074889868,1.2940605164,0.0061749917,1.1989802604,-0.5834310539932109,2.7309809280277166,0.686121623,10.1456527722,74.27295412800932,50.6950635614,29.2791944448,154.24721213420932,7.1999120695,1.5744727018,1.730980928,0.11810075814399551,1.4275689478733333
DCF,2023,2,6.2266936794,2724000000000,30000000,213.4924568549,5.7154844086,-2.5387988483,26.3122846,14582.3778517333,122.1493638686,0.09580109978574135,0.005608160453449441,0.0266172511,0.024099805,0.0128624458,0.042531605782964096,27585056656.0,5986474844,0.0074889868,1.3013343123,0.0201579452,1.2053731143,-1.5034100279096783,3.529622802007888,0.8044834038,8.840854228,63.786062618004486,54.4776140943,33.3018544196,151.5655311319045,6.6999997351,2.3121475257,2.529622802,0.18152995562773402,0.9582377851733334
DCF,2023,1,3.8133671171,1096500000000,15000000,148.5693202285,2.9053280452,-14.1440702597,8.453185533333333,19169.4105906,52.9516819621,0.13970652445219486,0.0017098202404362815,0.025926586,0.0456259272,0.0171748795,0.056041971877803874,22645965266.0,4155991151,0.0093023256,2.3813000232,0.0377543956,1.9776269582,-1.2953817890803339,1.5739180290252723,0.878269212,6.9176720327,57.83104550424118,59.7820611198,39.9117481594,157.52485478344119,6.1055104686,0.3958509967,0.573918029,0.1859934434611675,0.95847052953
DCF,2022,4,2.7660413245,795000000000,15000000,112.8417660338,2.0975834961,-12.0303660165,351.5695884,19160.9574050667,45.8938376714,0.0929607639475985,0.027527196501385416,0.0248167276,0.0365079391,0.016306079,0.05123065164699377,18551010021.0,9814551463,0.0943396226,2.2263746865,0.0395586069,1.8766588435,-4.174309623123808,1.6816611807664548,0.8772031044,8.9334148842,64.3207182143059,70.004360458,36.4023248869,170.7274035592059,5.2139609249,0.3723475944,0.694135733,0.19046186534703952,0.9589961795266667
DCF,2022,3,2.820214661,796500000000,15000000,385.298049817,3.8677971195,-24.5176014984,95.3591558,18828.3540021333,389.1256042576,0.12349827706570726,0.020401418754673023,0.0073507879,-0.0027140868,0.0054705607,0.041039683019593015,2191778267.0,2877380422,0.0941619586,1.2911470928,0.07893853,0.8123760997,-2.6796430847580135,1.4824309224678278,0.5449604285,4.2675735918,44.46938806577312,97.3602214935,50.7985682228,192.62817778207312,3.7489643553,0.2574870905,0.4824309225,0.1953585258691883,0.9414177001066667
DCF,2022,2,3.2029048474,900000000000,15000000,295.1004845266,5.8444582235,38.7348482234,36.64428326666667,18732.9948463333,547.9490756597,0.12394780012740095,0.013224659508551237,0.0108671064,-0.0021671461,0.008302553,0.02950583462915116,1654772443.0,1226368242,0.0833333333,1.5645830125,0.3322637689,1.0918328045,-1.380598065983291,1.2947803502909125,0.4192154873,3.6609393838,47.45310474446429,127.3310610993,56.0905423523,230.8747081960643,2.8665432994,0.1319781756,0.2947803503,0.19494619055255524,0.9366497423166666
DCF,2022,1,2.9371995978,823500000000,15000000,243.2069970534,13.0491296321,-3.4860318768,5.0774058,18691.2731572667,10342.5654817857,0.06167027244391072,0.001005346520715337,0.0,0.0,0.0,0.008822261019395542,0.0,668339697,0.0910746812,0.0,0.0,0.0,-1.1218282574022658,1.256599168296712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18902213456465763,0.9348175281533333
