ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
DLG,2024,2,1.2144145068,544743690400,299309720,-5.6395085624,0.4438940751,2.1915152918,65.34572919649919,1498.6645744047,9.8264136638,0.2572489804568932,0.05957361824191799,-0.1401781289,0.0170680175,-0.0180712915,0.23581713057446999,325200687962.0,77421111467,0.0,0.7098877908,0.0599935991,0.6442951573,-1.0326693925120105,8.537304496194421,0.2295890145,0.5136819224,233.52011110359194,103.1701645544,113.3999276108,450.0902032687919,3.5378445074,7.0966447465,7.5373044962,3.865234023004627,0.199783268117721
DLG,2024,1,1.4068298743,592633245600,299309720,-6.3619584093,0.4989466114,1.9778296913,92.47159253297889,1407.4196434382,10.491455963,0.2598941315253545,0.10388569710248158,-0.1124105082,0.0154019338,-0.0169541057,0.2183681277370833,314447902164.0,58178517430,0.0,0.317042689,0.0582049798,0.2483812291,-0.761103338560043,8.892476691402408,0.2161780699,0.4870776073,239.98461076131514,100.5778426976,110.0518780549,450.6143315138151,3.6290299156,7.743895415099999,7.8924766914,4.187422738202046,0.1886013427395542
DLG,2023,4,1.4655266088,574674662400,299309720,-0.9664876612,0.5120352161,2.5099825178,-510.61219036588585,1310.1092730233,-18.6693167891,0.22221028371956608,-0.44515493830588404,-0.8661711636,-0.1326757415,-0.111517738,-0.3748326270606332,-183162957294.0,-128688041314,0.0,0.4086080068,0.0702824823,0.3441794538,1.5302737850732357,5.512339210857195,0.2104943456,0.446531822,271.63141539337346,109.677300574,111.6154958186,492.92421178597345,3.3279447806,8.519259101500001,8.5768852604,2.4157070139111303,0.3343343943758325
DLG,2023,3,0.7118481283,727322619600,299309720,-1.5698090679,0.6626928547,4.8704166618,30.071712909958286,3413.6494899898,-154.4138697831,0.3074000580537701,0.03112965820134556,-0.4295093187,-0.0687006239,-0.0807922187,0.1691439381904343,-23133771830.0,48905879460,0.0,0.5753736788,0.0693302458,0.4935219399,-0.5542064930166808,4.970213003203418,0.1913833182,0.4328774844,270.65241667238314,113.721771571,120.2914814899,504.66566973328315,3.2095877065,4.0474644633,3.9702130032,2.133308672456969,0.38582356174166343
DLG,2023,2,0.7728194487,778205272000,299309720,-1.5607779484,0.6857965111,4.1384671109,76.84396444592578,3364.3045660027,-50.0512264521,0.11225462774979922,0.07961672963430917,-0.391226027,-0.0777788092,-0.083714882,0.2500121873801482,-73711713767.0,72224979705,0.0,0.5509296142,0.0593338808,0.4663045908,-0.7301787420676706,5.031756872629021,0.1905234858,0.4358766906,274.49504230811567,116.7800152033,121.627520427,512.9025779384157,3.1255347875,4.1665804338,4.0317568726,2.214524350999243,0.37860322417561315
DLG,2023,1,0.8923747976,876977479600,299309720,-0.9772896808,0.7180972599,4.1927207054,15.33902712882161,3283.3737661944,-8.7443392202,0.35727329196285323,0.020613875637232125,-0.6070632064,-0.1663814316,-0.1447440542,0.18479202049486113,-438878441292.0,41156856690,0.0,0.6749325264,0.0548751297,0.5823418254,-0.5004381612478487,5.0268615294294,0.196988456,0.4576499854,265.16405992394874,120.8241179183,123.0217266892,509.0099045314488,3.0209200472,4.327279649499999,4.0268615294,2.2989867055170845,0.3719151997262234
DLG,2022,4,0.6927243751,679433064400,299309720,-0.5571803121,0.5040782919,3.6576406466,-1670.213656776666,3276.916594416,-5.0173737161,0.22016123360201334,-1.6844355379123368,-0.7114728998,-0.2385042163,-0.1923031937,-1.4859078839928683,-744962256995.0,-440991625881,0.0,0.6355303217,0.0455161191,0.5415915489,5.059991680566736,4.18895148919217,0.2125613326,0.4933384924,244.22130029435212,120.766946078,117.08695735,482.07520372235217,3.0223501699,4.3433630865,4.0601804148,1.8522439874147691,0.47068349432454115
DLG,2022,3,0.3565780755,643515898000,299309720,-1.5679157944,0.4870314284,5.1701433138,-87.80527433255425,6029.5350372317,-319.3921916695,0.2907063561079215,-0.08052797491146677,-0.1915944146,-0.0477013673,-0.0599584365,0.03152570936909549,-11590254796.0,10288676556,0.0,0.8580460653,0.0364056021,0.7473803711,-0.11789187886781168,3.3908361599725456,0.1930261048,0.4723373931,257.483655957402,133.9468762747,132.8455556817,524.276087913802,2.7249608961,2.5209726005,2.39083616,1.4001017491497123,0.6527278048283898
DLG,2022,2,0.3975654499,724329522400,299309720,-1.9087799068,0.5212622003,-58.5163995416,-1255.4076205844567,6087.048058025,-248.0067451645,0.17496435143780184,-1.0009718239204752,-0.1677714661,-0.0463451989,-0.0538340595,-0.7726987672271577,-15614519896.0,-290064077589,0.0,0.8273875628,0.0331605766,0.7015414013,2.8809219602259275,3.4002205959542633,0.1971318292,0.4814606085,585.169559016791,122.94601349,122.3561935834,830.4717660901911,2.9687827172,2.5539203363,2.400220596,1.4107498010663244,0.6560401661800358
DLG,2022,1,0.5504106553,1206218171600,299309720,129.3972142792,0.8070434275,-24.3073628811,16.79963594900961,7321.8059301883,11.7912760295,0.2742698815375479,0.014451741538647913,0.0038836582,0.0264248287,0.0012556622,0.15398693311831557,375969605342.0,53577738083,0.0,0.873787588,0.0375532514,0.7409816893,-0.6719270099279715,3.0121286218424252,0.2013264551,0.5022896487,532.5266543706116,110.7909989237,115.2492998859,758.5669531802116,3.2944914618,2.1887135691,2.0121286218,1.208223999824938,0.7785520606855
