ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
DMC,2024,3,1.4811936361,2274648957500,34727465,12.3851761435,1.2652166352,-201.6541477953,943.9457835174551,44221.0919655379,10.3178152094,0.162708793307084,0.0731590082384154,0.1200305659,0.1257839944,0.0976856099,0.06185894981366388,210650137943.0,27717551707,0.0381679389,5.5609688935,0.338829184,4.2569328569,0.0,1.1947704057129562,0.9562421579,12.3126373479,144.50455930887958,98.9019247068,65.9548765741,309.36136058977957,3.6905247404,0.0,0.1947704057,0.09610834677635642,4.4221091965537935
DMC,2024,2,1.5481612331,2326740155000,34727465,11.9021698678,1.2965039077,21.7439046853,1499.787556592455,43277.1461820205,10.0297103265,0.23097798871668224,0.11281739089975355,0.1293079794,0.1395572604,0.1039153487,0.13155526663161252,227608883256.0,60734437809,0.0373134328,3.9194647277,0.0964115924,2.9822783549,0.0,1.3031717743727493,0.95396406,12.2368140953,143.96258791896364,97.6254564468,72.2487280002,313.8367723659636,3.7387789341,0.0,0.3031717744,0.094260926666191,4.327714618202048
DMC,2024,1,1.4678522558,2292012690000,34727465,11.9930029426,1.3227902823,13.9760867152,1179.4847211277875,44963.6533514612,10.3944315648,0.23268015211952725,0.09771647624982738,0.1282156468,0.125580507,0.1039357592,0.10483214176646735,214591847419.0,43943238788,0.0378787879,5.2291432333,0.187301701,4.1101112716,0.0,1.2103621248743168,0.942327656,11.5566241828,146.48128393373034,96.4498496897,70.4125862984,313.34371992183037,3.7843501174,0.0,0.2103621249,0.09302596228408844,4.496365335146115
DMC,2023,4,1.4708512692,2236448746000,34727465,12.1988494392,1.3009932203,15.0185384113,1665.3623546665442,43784.1686303334,10.6140306343,0.23066838099028067,0.12333539885106738,0.1230411449,0.1206457731,0.0994443515,0.12959608913764128,202430758858.0,60769544182,0.0388198758,5.091724506,0.3482845101,3.9990857957,0.0,1.208363783969185,0.9324465744,11.1260927218,149.2094255095367,103.1678752295,80.7828808459,333.1601815849367,3.5379230132,0.0,0.2161457408,0.09836347829588976,4.377923090481842
DMC,2023,3,1.4033381885,2052393181500,34727465,10.4552557881,1.2179036303,12.5281709683,1284.5910251151358,42113.8685501519,8.6527847944,0.20660760935256986,0.10027792641461646,0.134628173,0.1420642299,0.1079371307,0.09956664962006868,227042594729.0,44294164520,0.0423011844,4.4135867577,0.233378538,3.4944567698,0.0,1.2576369109769323,0.9266006625,10.8477691383,152.71710192499546,104.4126601946,77.0745288293,334.20429094889545,3.4957446666,0.0,0.257636911,0.10267496496905015,4.211386855015188
DMC,2023,2,1.6213855354,2298958183000,34727465,11.4473272305,1.4020770698,7.7402375616,1373.7707547901928,40829.2775250367,8.9881390813,0.23230830154781232,0.11934383883125851,0.1395030982,0.1556132609,0.1112981869,0.11778319779938251,249995029770.0,47083711171,0.0377643505,4.3364989998,0.1403227679,3.3703017521,0.0,1.2614773229323748,0.9086922758,10.3673875396,159.49808677804006,109.1413788746,82.6022582586,351.24172391124006,3.3442861339,0.0,0.2614773229,0.1091491769773715,4.082927752503674
DMC,2023,1,1.5356665509,2292012690000,34727465,11.3644432956,1.3984177833,6.1985141758,950.5245354073497,42978.0800808236,8.6897700538,0.19521236356710508,0.08140428227143565,0.1420322172,0.1539911261,0.1125142094,0.0774321187646212,259348781981.0,31398601524,0.0378787879,4.7568829347,0.1145941514,3.6043386293,0.0,1.2242288747064423,0.9143556163,10.1996854968,162.65274872258746,110.0793575695,86.5073559346,359.23946222668746,3.3157896999,0.0,0.2242288747,0.1051952234229927,4.297808008082364
DMC,2022,4,1.0505012587,1533217579750,34727465,7.6632424163,0.9626369254,5.6020817577,2043.7730933138944,42027.5555454163,5.6195835522,0.30484068575563567,0.1631354253286262,0.141619459,0.1606590749,0.1156565159,0.19535685106847267,254183875014.0,84993580750,0.0566251416,4.2254599474,0.1254567123,3.1609233815,0.0,1.2466946572059932,0.9206969167,9.6104456164,167.23792736413574,120.2838210712,83.7972156353,371.31896407063573,3.034489566,0.0,0.2593106945,0.10925785209778899,4.202755554541628
DMC,2022,3,1.0879410934,1510644727500,34727465,8.2361563897,0.9355798646,3.2999856959,1414.9870585428564,39983.7824521312,5.7483220228,0.2732092718420114,0.1230427357686068,0.1336028295,0.1540727246,0.108584256,0.14314671183287184,244564355554.0,57167730008,0.0574712644,4.0454453556,0.2661907245,3.1876754607,0.0,1.28362833340345,0.9558882298,9.6672919597,166.2008843170572,105.4375936696,71.6257229932,343.2642009798572,3.4617633739,0.0,0.2836283334,0.11623674424971284,3.998378245213119
DMC,2022,2,1.1278547737,1510644727500,34727465,8.7267729829,0.942374171,6.2857581528,1398.3492394852317,38568.7953935883,6.3262219347,0.30100340475563814,0.12168484889350685,0.127879825,0.1509707634,0.1046770775,0.1410140591993513,224041682260.0,56274888083,0.0574712644,3.8547977124,0.2323865212,3.016149568,0.0,1.2998259472387221,0.9693451218,9.3779636473,167.99572063294943,109.8900167493,66.599326359,344.4850637412494,3.3215028152,0.0,0.2998259472,0.12311426852524335,3.8568795393588333
