ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
DNA,2024,3,1.5509410095,1340643694600.0,56329567.0,10.455353966,0.5185722018,5.4947166596,524.681911579402,15345.5223984058,5.8299392887,0.17636099424323928,0.0463911649264818,0.1498810508,0.1517135154,0.0807372862,0.06238739557903483,265510979232.0,39746059906,0.0630252101,1.0439131097,0.0333170476,0.9512947712,-8.107748015757322,1.836417278583404,1.6278097879,2.6181654036,40.30273417502539,6.7093933539,22.2465130925,69.25864062142539,54.4013416339,0.3978303325,0.8364172786,1.1392299788027658,1.5345522398405795
DNA,2024,2,1.6193413607,1351909608000.0,56329567.0,8.9793552355,0.5281097437,4.8260620252,649.1275085959741,14820.8404868264,5.0805062801,0.1864430728205124,0.04840825596143471,0.1761230644,0.1816567278,0.0959724688,0.06280903106692871,293175350266.0,47442665830,0.0625,1.0116333536,0.1614396263,0.9467570627,-10.260609067080283,2.0401688405152867,1.6318026713,2.6053475192,39.21007448778554,6.6413045994,18.4493740881,64.30075317528554,54.9590813881,0.43506708380000003,1.0401688405,1.1868795066237101,1.4820840486826394
DNA,2024,1,1.5692346714,1408239175000.0,56329567.0,8.7335744365,0.5737491411,5.7004425341,1146.988809518099,15931.332932987,5.2892361166,0.22449323286332018,0.10247873571265755,0.190015034,0.1832102895,0.1055259591,0.13486933522244082,306220998930.0,85030562418,0.06,1.185824333,0.0746835789,1.0790741212,-14.208793078785895,1.7171106290832865,1.6063097147,2.5068676654,36.62419767659757,6.9598118439,11.9000652462,55.48407476669757,52.4439465012,0.4090368717,0.7171106291,1.1050981060140492,1.5931332932987041
DNA,2023,4,1.6571676566,1380074391500.0,56329567.0,10.8720390808,0.591694749,6.4690396384,-44.4525337643728,14784.2615090224,6.0964455702,0.09432213387336791,-0.004452644629644312,0.1527315305,0.1512762771,0.0840957821,-0.013169738695503619,265949587834.0,-7406142372,0.0612244898,1.0288022247,0.0357932035,0.9196256138,1.4417793009914637,1.842912506363488,1.5452099769,2.364976407,35.03069104023113,7.7791274212,11.4475176795,54.25733614093114,46.9204295339,0.5052684606,0.8265541496,1.1901881081247907,1.4653031066224955
DNA,2023,3,1.5688579145,1351909608000.0,56329567.0,8.732861271,0.5981311747,5.7331898017,921.1339133318742,15297.752446668,5.2451057833,0.2020889850410574,0.08482048554982752,0.1842467852,0.1865391142,0.1029891768,0.11187181363897951,303746476993.0,68435132028,0.0625,1.3091210029,0.0238297366,1.1881768225,-11.22427019476753,1.751981916606606,1.5036671416,2.3072322811,35.18497077495316,7.728985114,6.0097519461,48.92370783505315,47.2248289545,0.5174838231000001,0.7519819166,1.120160256285546,1.5297752446668018
DNA,2023,2,1.189431295,963235595700.0,56329567.0,7.0115431726,0.4419771147,4.3916915252,838.8462046051233,14376.6185333361,4.1233219747,0.2183772569083373,0.0727067676084884,0.1657403854,0.1732612588,0.0910960295,0.09532606878422469,283480732135.0,61952038722,0.0877192982,1.1880838128,0.1668533356,1.0868329851,-10.631930436607691,1.9019234410581511,1.4451511689,2.2105730938,34.44108687377394,8.1988631196,5.5335955715,48.17354556487394,44.5183673243,0.600800707,0.9019234411,1.206431417362082,1.4376618533336143
DNA,2023,1,1.3298953914,1143490210100.0,56329567.0,9.1572032048,0.5490770418,5.8706912295,539.4923115599308,15264.3584837426,5.200906206,0.20998653696819994,0.05977163302230279,0.1519626464,0.1520937163,0.0826795096,0.08614215024092296,270793618763.0,43796787846,0.0738916256,1.5822212381,0.0447699111,1.3950669508,-6.276059407982987,1.703660533483056,1.3788831303,2.0955078857,35.39346943833676,8.680145416,7.9016705674,51.97528542173676,42.0499867811,0.6055686694,0.7036605335,1.1469167552528323,1.526435848374265
DNA,2022,4,1.331081707,1104059513200.0,56329567.0,9.6826484566,0.5375142928,5.7823212823,448.7677240267087,14724.8661721827,5.282907757,0.17970603155082907,0.05157127874052101,0.1380527186,0.1398966597,0.0751997922,0.06713679908544626,256697720553.0,32908702410,0.0765306122,1.2824059606,0.0632326054,1.1348634946,-5.599209021245941,1.8056373388338356,1.3546303079,2.0490871481,35.601283674549094,9.4658678767,8.2270193353,53.2941708865491,38.5595916564,0.6634210782000001,0.8057271373,1.1936045489052207,1.4725598473391426
DNA,2022,3,1.1247122312,918171942100.0,56329567.0,9.1056054627,0.457450967,9.2140092523,611.7292028713802,14492.5960149667,5.064146371,0.19366629159913865,0.06490761911706869,0.1236364386,0.1202865542,0.0656373056,0.08985923382098995,231079973265.0,47704863616,0.0920245399,1.1686840378,0.1125023643,1.0430703244,-7.540710541610785,1.8734357377658508,1.3065168757,1.9959745428,36.74330528194351,9.2956162843,10.8880973322,56.927018898443514,39.2658204508,0.6531194907,0.8734357378,1.213082419297311,1.4492596014966705
DNA,2022,2,1.6943622287,1323744824500.0,56329567.0,15.8960077006,0.6830322316,21.2075525912,616.8448260395824,13869.5254192882,8.9135628533,0.1854548143520275,0.06282325097145647,0.1018924958,0.0981489694,0.0537756649,0.08693563281240047,180394608822.0,48082800277,0.0638297872,1.0467881722,0.0606738764,0.9352572179,-7.671756338242289,1.9830656530308108,1.2515051903,1.9528969777,39.31204764554243,9.453207851,13.3454164167,62.11067191324243,38.6112318435,0.725883791,0.983065653,1.291173403147226,1.386952541928824
