ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
DNM,2023,2,30.2822735988,81947892000,5253070,-1.4505144877,0.3305914282,0.1744181631,-2724.499991243216,515.1528648961,11.7640221379,0.07608991936966358,-0.20487493215896885,-0.8169338623,-0.1386378519,-0.1165865609,-0.04534695111057222,22433601579.0,-3167811046,0.0,0.8721734143,0.0699585402,0.4737100234,0.6569492497078524,73.74480460641765,0.5115392632,2.3761591464,142.82372208940401,227.4191939129,174.1507697143,544.3936857166041,1.6049656747,58.5587325795,72.7448046064,20.746785544620316,0.08560264241672012
DNM,2023,1,1.3158540959,96131181000,5253070,-1.1580361499,0.4291961751,0.1947159129,-4529.3836659324925,13907.3169714091,-18.4300250981,-0.10808366484895396,-0.47367981699857387,-0.855537115,-0.2371363635,-0.1586654639,-0.263406422164133,-14957210607.0,-13231033734,0.0,1.2707633711,0.1014374685,0.6345855502,3.5645086302789504,5.636825196785364,0.4281034026,2.0337141318,166.1189645669058,239.5387448532,167.3443222886,573.0020317087058,1.5237618458,4.0767217735,4.6368251968,1.3748806053362026,1.4248190530680154
DNM,2022,4,1.1290063231,111365084000,5253070,-2.5329867534,0.3497660983,0.2187377928,-140.75615325895143,18777.5741966126,15.6481457184,0.1500000000042603,-0.010500266432575097,-1.0815303439,-0.2061718987,-0.2200477944,0.0405753521292688,-9706680772.0,2857212596,0.0235849057,0.9519500174,0.0552655071,0.5056639275,-0.829354526548213,4.656562393494604,0.6982284623,2.5553701004,116.05507779948273,145.5745574034,81.5395990608,343.16923426368277,2.5073062664,6.5754505332,7.9496055225,1.1046678770148375,1.8777574196612647
DNM,2022,3,0.7189427057,70916445000,5253070,-2.6550595509,0.1496777365,0.1344864915,-3360.164869114632,18777.5741966126,2.9499858279,-0.11783311160756482,-0.3076321690597076,-0.2054731596,-0.0060754906,-0.0469253347,-0.2591612413963073,93368422605.0,-14870038019,0.037037037,1.1152989125,0.0153575334,0.797453088,4.187929005935858,7.354970793341906,0.8323853698,3.9630039753,111.20187298644218,136.3254472195,85.3860946549,332.9134148608422,2.6774164871,3.1633885846,6.3549707933,1.1366579749792078,1.8777574196612647
DNM,2022,2,0.8061370873,93504646000,5253070,-100.7427471253,0.1575008665,0.9326259792,-7772.310801112492,22080.6116973503,2.1459692596,-0.6565521082567768,-0.8884625280113044,-0.006746911,0.078160835,-0.001769814,-0.8922627615597764,131677800148.0,-41003128999,0.0280898876,1.1913702722,0.1609170831,0.6088860661,7.090747679337948,4.190385240178273,1.132031362,4.7195805756,72.71170726418613,117.9375618484,55.8147507973,246.46401990988613,3.0948579425,2.7250221631000002,3.1903852402,1.0047637907707716,2.208061169735031
DNM,2022,1,0.948368251,152339030000,5253070,3.8599030995,0.2454330974,2.0034781127,2903.6657484099774,30578.8389355177,2.2057934238,0.23781568487889052,0.10544899476778044,0.2854487188,0.1733706703,0.0747134823,0.15958711021845925,181118364419.0,23084218498,0.0172413793,1.4246434641,0.1343800451,0.916191084,-5.749124973915653,3.1544123560867545,1.1750118668,4.6366334428,67.76872966535768,124.2957085438,47.4833016275,239.54773983665768,2.9365454711,2.1577857454,2.1544123561,0.7712656701513761,3.0578838935517707
DNM,2021,4,1.7780519115,251712287500,4377605,9.3354384377,0.4604701247,7.3529269504,3772.973625532683,32338.7633548481,5.5947732522,0.21065448857368968,0.07314279616575589,0.2045739182,0.1308273548,0.0522652551,0.13682967776237714,97637933431.0,30897908758,0.0086956522,1.2687864217,0.1479483694,0.814791104,-3.002449092460468,3.8599754106990174,1.0596107002,3.572881922,67.69730221133885,137.8526363481,41.7934473208,247.34338588023883,2.6477549481,2.7075993195,2.6694786762,0.8684074103834424,2.754683712000792
DNM,2021,3,1.4598925724,188237015000,4377605,15.6958505395,0.4193882498,-2.7146748057,1857.3152273903197,29454.2220531546,5.7429058285,0.16624532993880042,0.045868077981600454,0.0978192338,0.0778956541,0.0235493815,0.0818358369950907,84066645052.0,14506250659,0.011627907,1.282295673,0.0546498515,0.6796032473,-3.0945423640693948,4.237912823146137,0.8813493761,2.964955206,58.80187561017325,176.9651294189,55.4320508709,291.19905589997325,2.0625532341,3.2952800445,3.2379128231,1.0630103069704675,2.4545446706592524
DNM,2021,2,1.3083902302,155404977500,4377605,17.9191716936,0.3245774377,-17.1573670716,-98.97634596999957,27132.5780183456,5.4868405706,0.1655654010388003,-0.0059376272323734625,0.0726673241,0.0695809386,0.0175148835,0.04283320401991595,78920170517.0,3125615998,0.014084507,1.19625067,0.0828563961,0.5584978825,-0.7890638994426213,4.220462309029782,0.9669563223,3.0146922506,59.10201602532252,144.349259364,55.1600758665,258.6113512558225,2.5285893506,3.4106125118,3.220462309,1.2532267414069282,2.261072271947642
DNM,2021,1,1.140704713,144460965000,4377605,5.3222184273,0.2241014803,-3.4693291784,1052.1160785406632,28929.4851017851,4.2542509315,0.25853088260863216,0.06513558412028156,0.23114457726478577,0.12261983752250671,0.05453408136963844,0.14439361609568785,97928142848.0,10210097983,0.0151515152,1.338413953781128,0.08818227052688599,0.6507577300071716,-2.228730683169159,3.9438563777413496,1.2951377630233765,3.942673444747925,50.125876470497715,103.61027526855469,55.94236755371094,209.67851929276333,3.5228166580200195,3.2615551352500916,2.9438564777374268,1.2582577669348145,2.4108161252182057
DNM,2020,4,1.4994241374,182983889000,4377605,4.9236401786,0.2611316342,-15.8390814433,-70.87739505962735,27877.3690232444,3.8625047216,0.09951263189780327,-0.0024260039855888062,0.356264157,0.1438789321,0.1026172255,0.050341917258771816,96092317883.0,6438468287,0.0,1.2633705664,0.1292760466,0.620489104,-0.8341829461223378,4.221189033676303,1.9348490507,6.5383570312,38.32714836216795,79.4302065586,27.4303718559,145.18772677666794,4.5952291428,3.3949009804,3.1979722736,1.3809483012098496,2.2091773364337426
DNM,2020,3,1.6805458628,194803422500,4377605,5.3122639827,0.2501245058,4.8766013701,1098.856020358164,26479.491565822,4.8646514393,0.15743417870406148,0.023214338937646697,0.358412502,0.166414678,0.0969465086,0.04540972254522468,78726414382.0,9409572461,0.0,0.9331469645,0.0753361565,0.6514469775,-2.6567879972528785,4.2271744580117385,2.0589963558,7.2641183023,48.17262589929333,42.5902314788,41.1198780838,131.88273546189333,8.5700402963,2.1135860203,3.227174458,1.4391202688711824,2.2066478207219777
DNM,2020,2,1.682384979,186923733500,4377605,5.8561381472,0.2949063107,-19.7483672503,4120.327253829434,25380.6355454638,6.0497626529,0.28106446849915595,0.07553153646400161,0.3403370119,0.1521935075,0.1021085031,0.10692083964675084,59086081199.0,25533028150,0.0,0.8788956037,0.0633287872,0.54643517,-8.667188182365182,4.604384753260483,2.0276320928,8.3491482182,50.483366590737454,41.2778730912,36.4785214686,128.23976115053745,8.8425098646,1.8715747307,3.6043847533,1.508203176527724,2.115075509502063
DNM,2020,1,2.308984236,218880250000,4377605,13.8632560143,0.4925700437,15.3911654868,1872.5929561940834,21654.5436817621,9.5172217495,0.18947788961718323,0.06431830551585796,0.1826345771,0.132559105,0.0675642179,0.09150659047469879,29256514829.0,11662663274,0.0,1.3260158957,0.2089284319,1.1746886332,-7.750496223682481,3.158963375147119,1.9015773748,9.9517452331,63.25479184594287,33.4448801776,22.6727658124,119.37243783594286,10.9134790755,1.2389894895,2.1589633751,0.5302444137530741,1.804564544047576
