ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
DNP,2024,2,1.5717828774,3214025620800.0,140966036.0,134.7566981921,0.3949340958,2.6645083352,125.82172066610428,14505.8203191299,11.7219544902,0.18312123756959517,0.00785596099302988,0.0134062032,0.0374261048,0.0012666084,0.0687191737602974,1159799640064.0,155148906235,0.0,1.3167589463,0.1796288839,1.0635476124,-0.9890135054180874,3.1923206688933403,0.4873591754,1.2155073625,77.99358111464142,86.8697379214,53.2264117829,218.0897308189414,4.2016933484,2.0190190139,2.1923206689,1.3529939819537773,3.9170088815638784
DNP,2024,1,1.5740541667,2473142942400.0,118901103.0,48.2828359411,0.3135452993,3.4970819832,5.1157649563604135,13214.2847689815,12.939894925,0.18633782821182002,0.00034346195851017616,0.0325331364,0.0302054601,0.0031557154,0.06600284676338,1075839178443.0,116890843199,0.0,1.3455560558,0.0632400807,1.0867499243,-0.7070608346844596,3.239133842453169,0.4859485713,1.2456483078,76.84045808036231,88.2727921072,52.4652594495,217.5785096370623,4.1349094244,2.1086384289,2.2391338425,1.3709615904696615,3.89585442246697
DNP,2023,4,1.5375840253,2413692390900.0,118901103.0,59.663057422,0.3184538142,4.692633939,7.150765977334962,13202.5305064411,11.3104002321,0.15305524519051014,0.00037002900713352935,0.0261244896,0.0334662829,0.0024814998,0.036871524048287786,1059124348505.0,84721525535,0.0,1.3621220633,0.1607645093,1.1156375496,-0.5946820550078076,3.4111148532845634,0.4649147134,1.1812608474,70.29198287843997,88.0260747916,67.3468657182,225.66492338823997,4.1464986467,2.2856438195,2.4510573396,1.2664725468324307,3.2817057333674975
DNP,2023,3,1.6106753812,2544483604200.0,118901103.0,49.0840238626,0.3132072437,-2.3533680885,16.444544185599355,13286.3519554819,10.8039250598,0.19712823533558904,0.0010792714762500103,0.0332572829,0.0370519294,0.0032195948,0.07339144916967591,1120880737643.0,132960453399,0.0,1.38318686,0.125637218,1.1021080348,-0.8089723579223118,3.3656724679921655,0.5045562392,1.2610052265,68.98915744474387,85.5738746827,55.9041535665,210.46718569394386,4.2653204772,2.0942723539,2.365672468,1.277887917275992,3.286730582040856
DNP,2023,2,1.6302705043,2568263824800.0,118901103.0,48.916503598,0.3223926795,-2.7524552612,402.0838356310286,13249.334968314,10.8383362809,0.1490217500259589,0.023817580945545737,0.033892638,0.0371112102,0.0032809975,0.035043908420428156,1107943343530.0,70342432815,0.0,1.2811391515,0.2208672903,1.0340822668,-0.3770891137643971,3.3797320695929973,0.4977719846,1.1982437202,65.45183975654261,86.2069984651,59.0203055168,210.6791437384426,4.2339949946,2.1531247491,2.3797320696,1.2907400796000588,3.3078043616320034
DNP,2023,1,2.1878594418,3376791325200.0,118901103.0,650.4368336543,0.4232701601,-3.3865131285,4.663922335522825,12980.7241987402,12.9534838822,0.21582238240431656,0.0003741495164390899,0.0033715943,0.0311100278,0.0003273679,0.08564113586782211,1073412539271.0,126932964711,0.0,1.2875471412,0.1764899926,1.0206886135,-0.7542800255478156,3.572509761215443,0.5030113844,1.1659671848,63.10284388862714,84.0934362273,56.5949094831,203.79118959902715,4.3404101007,2.5112984989,2.5725097612,1.4682394909420962,3.312844991867556
DNP,2022,4,1.7827435987,2722835258700.0,118901103.0,620.7552585348,0.3539436539,-8.6854180473,12.794772988775385,12845.3693605853,11.7642803591,0.12084584185454943,0.0005389212037503727,0.0010349789,0.0329777765,0.0002870102,0.033816276955115285,1060346808902.0,95459463404,0.0,1.2308340835,0.236837558,0.9900356524,-0.4649092994059456,3.580923951190989,0.5033127998,1.0677031099,58.92864294698452,78.8851435586,60.2478115411,198.0615980466845,4.626980234,2.526238335,2.6240440315,1.5257238663942339,3.241787526308771
DNP,2022,3,1.8199240208,2806066030800.0,118901103.0,509.1659408372,0.4001880264,-8.9032718193,22.072691360987626,12967.5743219893,12.4985610754,0.22135057478726378,0.0015867784174971456,0.0014021332,0.030923711,0.0003657084,0.08943020769607331,1004711489118.0,147913947861,0.0,1.3751558848,0.1527622357,1.043980233,-0.9261977509852848,3.951716986572886,0.4713707778,0.9830425241,64.64083680595024,92.3087944666,57.4849268954,214.43455816795026,3.9541194543,3.4817666958999998,2.9517169866,1.7528059859952767,2.729392715173457
DNP,2022,2,1.8938741007,2913077023500.0,118901103.0,706.901572427,0.4326783523,-6.6686295011,4.136171167394469,12936.4459819771,13.9283666573,0.13749368464709832,0.00024359943949113304,0.0010330626,0.0267598259,0.0002721655,0.01105518950890378,904646950319.0,22318977446,0.0,1.3674272982,0.2025855203,1.0654353246,-0.1326895261394876,4.048047370037684,0.4602392145,0.9223524166,66.79067890866774,92.5705702372,50.2145807427,209.57582988856777,3.942937794,3.6216297093,3.04804737,1.8113093749023148,2.661026211187349
DNP,2022,1,1.9266890469,2960637464700.0,118901103.0,775.2947101155,0.5029421895,-7.3746024648,15.210022997011222,12923.7253103279,14.2003288111,0.2294505533653275,0.0013305421418658818,0.0009372355,0.0265434082,0.0002549128,0.096999042740527,924677052725.0,131842238479,0.0,1.4038931345,0.1009019685,1.019998192,-0.9133273654196092,3.795927121053149,0.4156437613,0.7885745152,70.6069607862851,103.2602735627,52.2467220806,226.1139564295851,3.5347572441,3.4625856991,2.7959271211,1.88116286968355,2.7821708440036175
DNP,2021,4,1.8050772995,2770395699900.0,118901103.0,307.1209455897,0.4441573125,16.1901244844,4.334179885614686,12908.0344681159,14.6089146042,0.1661326379275358,0.00026029459959132835,0.002501281,0.0232694784,0.00070193,0.03445868233274258,869100286810.0,68222294902,0.0,1.2999864348,0.1334307486,0.9581312969,-0.4023848266562313,3.557301919588173,0.5247754955,0.9748761814,56.991958124250836,64.9094657376,38.0495191834,159.95094304525085,5.6232168275,3.1137871522,2.5851359017,1.904319183888276,2.836088278362794
DNP,2021,3,1.4709398956,2259120957000.0,118901103.0,206.4463150903,0.5167495169,-15.4441119524,9.804631921707236,12916.9111921443,18.1223355527,0.19837920776059448,0.0008479938553207502,0.0028815971,0.0170676977,0.0008104107,0.07461685888819096,672393306822.0,102579702512,0.0,1.3027588586,0.0537861428,0.9442430836,-0.8165563793936719,3.7972597408364916,0.3515845168,0.6297493447,76.85376950860983,110.5415578386,48.7890870069,236.18441435410983,3.3019256028,3.4196776546,2.7972597408,1.9792823500105716,2.6559465083359624
DNP,2021,2,1.6461310986,2193828228300.0,109145683.0,183.1607111786,0.578176114,-15.1749010049,1.1053373590598172,12210.4491053302,18.6224424961,0.16006088351956044,0.00010286357860325445,0.0036948741,0.0121290615,0.0010482897,0.015011448591787987,597994665998.0,17606068443,0.0,1.1359844204,0.14007933,0.7990546167,-0.13391825472110824,3.5586855997168523,0.3424101896,0.6436175605,75.69785555585851,102.5009238916,49.0808428519,227.2796222993585,3.5609435129,3.1255028727000003,2.5586855997,1.99189880091057,2.655465735808642
DNP,2021,1,1.6742017374,2237486501500.0,109145683.0,235.4134886745,0.6967527728,5.1294124964,11.582651436612476,12244.6414561994,23.1426515171,0.23494734037612627,0.0014779976602427966,0.0032437520567327738,0.011431739665567875,0.0009187302202917635,0.07484000497272782,451328835584.0,64013947760,0.0,1.179578423500061,0.1625053733587265,0.8156786561012268,-0.6589463766035991,3.316793966790265,0.3272080421447754,0.6769223213195801,85.30002252126008,96.63887023925781,46.410179138183594,228.34907189870148,3.7769482135772705,2.822222352027893,2.316793918609619,2.0093768619842685,2.6548838348629937
DNP,2020,4,1.7429900497,2335717616200.0,109145683.0,175.2017500987,0.7102350407,10.2621678323,68.9579480390443,12277.7522471686,18.2377582717,0.16746534262605867,0.007768433001227941,0.005527006,0.0128754189,0.0015393835,0.011244359616585936,444567135681.0,10894121008,0.0,1.2155930749,0.0945949827,0.9851410676,-0.11368023146451771,3.5480380114203625,0.3797065784,0.8245802018,82.01204603384748,75.8729638823,35.8811734423,193.76618335844748,4.8106727525,3.3757255219999998,2.5325831368,1.9510004093038917,1.9561771651759776
DNP,2020,3,1.7338998674,1986451430600.0,109145683.0,87.5282268509,0.6388948266,5.3379441909,24.78565154061109,10496.5692321335,19.0823184841,0.19240462707353578,0.003392773168521276,0.0097120392,0.0137583684,0.0026118229,0.0474140242720002,406588003285.0,37805840295,0.0,1.2221301519,0.1809035937,0.9806360277,-0.5450835627285744,3.776067157789444,0.3825273827,1.1055035496,92.05972140155373,71.253139731,39.7478763472,203.06073747975373,5.1225812838,3.5881028346,2.7760671578,1.3826112219394358,1.6541093044336435
DNP,2020,2,1.7248451519,1979994546000.0,109999697.0,75.0781826671,0.6422247166,5.7068703918,-22.538649656462237,10435.719392318,19.0072924523,0.20517658639032568,-0.004203858731108305,0.0115837257,0.0131088028,0.0031169985,0.0024016909450497613,397971552496.0,1416408059,0.0,1.0493564424,0.1468465504,0.8528919666,-0.017797455462014375,3.609644810269511,0.397026756,1.0907057887,89.45312869572383,67.4629475097,33.2296686891,190.14574489452386,5.410377303,3.3766467502,2.6096448103,1.2468895988732993,1.6219135840786802
DNP,2020,1,1.5910374304,1829994967500.0,99999725.0,71.9439047473,0.5713845681,13.3927910283,25.96314350864465,11501.9292757255,17.673140163,0.15631887133961725,0.0027711498264334318,0.0127424137,0.0165325216,0.0034071246,0.060765551636691575,407445222082.0,56931616757,0.0,1.0450840718,0.0866908216,0.8608626572,-0.8625471969822409,3.826657935395683,0.4289426085,1.1705304826,83.72329579723353,61.4970281835,29.6710788532,174.8914028339335,5.9352461539,3.6320510206999996,2.8266579354,1.243071945962187,1.4695440387663201
DNP,2019,4,1.4141048801,1639995490000.0,99999725.0,77.6451504027,0.5858988512,11.7666442773,184.0675289857047,11597.4424745668,17.3435412949,0.1781881920094604,0.023442558729094575,0.0110676616,0.0196393199,0.0029623355,0.0048060960637351996,383048430275.0,3773665682,0.0,1.0759229576,0.1056844072,0.8392797849,-0.07291060968731147,3.6651747823151766,0.3925433963,1.1765001783,77.61563679280057,73.9844077189,30.7508843228,182.35092883450056,4.933471947,3.5819261741,2.6673620452,1.2660231691803396,1.4565180499533938
DNP,2019,3,1.5201411164,1749995187500.0,99999725.0,104.8672727504,0.6309321652,6.3435550121,56.80621698709671,11512.0891152251,16.943105672,0.15116038964820447,0.007366115087678268,0.0086394277,0.0213420725,0.0023377368,0.03921490321911858,398593746427.0,30241778045,0.0,1.1466376563,0.0900022133,0.9144924738,-0.4165991766719359,3.778091148296938,0.3996822462,1.0609896773,77.27150652245558,67.3514865777,25.3018215617,169.92481466185558,5.4193310133,3.7368074791000003,2.7780911483,1.685393010267655,1.380784693171433
DNP,2019,2,1.3780970981,1579995655000.0,99999725.0,68.0826038332,0.6242490194,4.4809378895,-12.44022585062109,11465.084732783,15.4527384911,0.16795304183258639,-0.0017534539834839576,0.0124343576,0.0274160588,0.0033592923,0.028644895263701235,402888709857.0,20322631215,0.0,1.1930563681,0.1693340803,0.9682858204,-0.39483845119492705,3.687457200063255,0.3888864187,1.0839225517,76.24994660944792,74.8924836635,24.6116906551,175.75412092804794,4.873653298,3.6801595274,2.6874572001,1.300281634817201,1.3578527661750381
DNP,2019,1,1.2765255064,1469995957500.0,99999725.0,29.2803250165,0.6434414634,2.6973220416,91.81112908060497,11515.6335897024,17.6409478411,0.1933858595122169,0.017009498078706244,0.026512874,0.0229689805,0.0069010493,0.07475348500217022,343091822136.0,40349121151,0.0,1.4217338688,0.1910668552,1.124889676,-0.6139843294391534,3.521670295912126,0.3762386278,1.0155964545,75.18141358208867,84.2719670595,25.7877977804,185.24117842198865,4.3312149074,3.6748992647999996,2.5216702959,1.3383425831166686,1.3488712421278333
DNP,2018,4,1.1887133573,1359996260000.0,99999725.0,89.7780798758,0.6236163315,65.7781586754,26.054737440527962,11440.9415155292,15.0911260322,0.16577019098598733,0.003458942774837224,0.0111563741,0.0194896571,0.0028791608,0.05869237688549202,320418098953.0,44210337196,0.0,1.2936284095,0.4681655852,1.0807515999,-0.8207155530126723,3.801974864662523,0.4144579732,1.1378373873,72.45060474723141,71.7188953919,27.5486723151,171.7181724542314,5.0893143014,3.6762536584000003,2.8175720108,1.22491461955041,1.2405418015352896
