ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
DSG,2024,2,25.975981586,162000000000.0,30000000.0,-8.7512079729,2.9605054617,-132.1643178601,-160.6843174,207.8843481667,235.0341130169,0.08677033381662647,-0.2800510745104042,-1.4111782969,-0.4566593252,-0.1582939928,-0.15012598382223014,742745037.0,-2584124122,0.3556433675,0.0308540704,0.2051212285,8.095483223360192,17.8860599528429,0.4679145741,0.9368820939,157.06412813143993,238.6288556442,425.9147281653,821.6077119409399,1.529571933,2.5366149393,16.8860599528,8.763687300014455,0.020788434816666666
DSG,2024,1,11.9380739902,132000000000.0,30000000.0,-7.5290352376,2.6803493009,71.1386996282,-133.00150906666667,368.5686655667,65.3526051378,0.013592778236375702,-0.37393051425897567,-0.987171994,-0.3599787417,-0.1452137381,-0.2278028835187793,2211280394.0,-2430782682,0.3566374833,0.0197265098,0.1948394297,7.078356688441718,10.250407548323285,0.4079018175,0.8058713744,167.25781227631487,272.3700231321,467.9971138466,907.6249492550148,1.3400887359,1.3141474763,9.2504075483,5.160055440440933,0.036856866556666666
DSG,2023,4,11.8966403941,179010000000.0,30000000.0,-9.3156511038,3.8291043015,41.1417503278,-165.70463533333333,501.5701746333,99.3152697621,0.07758106272223071,-0.3415440740107467,-0.7793935248,-0.3298708519,-0.1513504011,-0.17963605876549113,1899806962.0,-2614584460,0.3831767239,0.0400333552,0.2180218585,7.398210937506941,7.91216772996069,0.3682134045,0.714065885,180.28746164596154,290.3368943798,468.7794141694,939.4037701951615,1.2571602406,1.0408304538,6.9380663145,3.936514424905804,0.05034494631666667
DSG,2023,3,7.7710052313,156000000000.0,30000000.0,-10.2638443515,2.5681522526,-117.8084782947,-157.66720803333334,669.1540985,27.2612805307,0.004504513894651632,-0.38512095260522444,-0.5638878161,-0.1630726871,-0.1186648614,-0.19888466998765506,6077111482.0,-2442681222,0.3968405385,0.0659092318,0.2150305562,6.0215064166254315,6.146733718267238,0.4742544631,0.9069847705,134.70880995022142,244.2449899748,393.1167224738,772.0705223988214,1.494401175,0.8553855863,5.1467337183,3.1115155361083593,0.06691540985
DSG,2023,2,4.8378046966,120000000000.0,30000000.0,-7.9491010333,1.9958289245,31.6201008715,-128.03087216666665,826.8213065333,21.1515296479,0.11227904033625201,-0.32716676880684153,-0.4907595315,-0.1431956658,-0.1120606705,-0.14676092042227923,6143887298.0,-1722967957,0.406571023,0.0633024716,0.2208726783,3.8373437911173993,5.1078741169688735,0.4463216162,0.8591644952,135.27591336748074,272.5703196498,404.1145088282,811.9607418454807,1.3391039805,0.7172340126,4.107874117,2.6394223944429593,0.08268213065333334
DSG,2023,1,4.2938583494,123000000000.0,30000000.0,-7.7336266531,2.045507726,28.9830252244,-187.2529337,954.8521787,23.2323445308,-0.10086547041644693,-0.6873284434741851,-0.4604480322,-0.1365492483,-0.112654296,-0.40983774838209364,5746355593.0,-3349635307,0.4309866595,0.0765888112,0.2334732311,6.498535227828064,4.458981381526519,0.4259217675,0.8238466633,134.62868813859112,299.0643693302,420.9227042187,854.6157616874912,1.22047304,0.9288123463,3.4589813815,2.3905040200822727,0.09548521787
DSG,2022,4,4.6405536079,159000000000.0,30000000.0,-11.8322598231,2.5013040496,197.0046147142,-33.681766366666665,1142.1051124,20.4668975127,0.2172227867375129,-0.03539348576880207,-0.3278955378,-0.0730153401,-0.0932111185,0.05472211461092027,8135707379.0,1562268400,0.468603178,0.0788596345,0.2558140617,-3.3062344799673764,3.922643823996502,0.4409292717,0.8202073263,132.09083165906947,299.3014541639,420.0870948833,851.4793807062695,1.2195062701,0.8483781485,2.9250043315,2.084661281544327,0.11430275469666666
DSG,2022,3,4.0791722693,144000000000.0,30000000.0,-8.7652643141,2.7395128394,17.1485947115,-154.23598266666667,1176.7093133333,30.7742895129,0.019758084153700083,-0.39672368953534354,-0.3915465785,-0.1311737831,-0.1081857804,-0.20379921804751253,4923352952.0,-2376957073,0.5245822943,0.110804566,0.2585707447,4.88136327047881,4.246670754318327,0.3461480256,0.6653258721,153.0292236512835,396.1846672957,517.8118676804,1067.0257586273835,0.9212875463,0.8421849225,3.2466707543,2.1102047869120573,0.11767093133333334
DSG,2022,2,4.0572666782,162000000000.0,30000000.0,-9.987915414,3.1299702486,35.0034316262,-154.98162276666667,1330.945296,34.1558875938,0.10194380708515552,-0.39582104072282265,-0.3514854318,-0.1160337611,-0.1056923749,-0.18056185537227532,5074911639.0,-2120941017,0.5333734586,0.0887757766,0.2456997199,6.096897057633268,3.8210339335389185,0.3372704583,0.6372383624,157.79102018111212,404.9017561671,539.8984708531,1102.5912472013122,0.9014532401,0.7955986956,2.8210339335,1.941003877668012,0.1330945296
DSG,2022,1,3.9705855823,177000000000.0,30000000.0,-9.7177465541,3.556009177,65.5378848427,-104.10615323333333,1485.9269187667,66.5356770497,0.12168709965966526,-0.2690364438266957,-0.3371350326,-0.1490516805,-0.1143332351,-0.08278520892431257,2883479316.0,-961035188,0.4852576406,0.0226062118,0.1794438919,2.654061600502657,3.385921366695456,0.3124461569,0.5965150855,165.3984595828624,399.7667718849,527.5652644867,1092.7304959544624,0.913032362,0.5008664523999999,2.3859213667,1.8060322870123204,0.14859269187666665
