ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
DTA,2024,3,0.3534702411,72058729680.0,18059832.0,37.72059408,0.5768991822,-2.2663465855,31.46571723369298,11288.0789841234,14.7953449133,0.11607773351361275,0.012108452379115878,0.0,0.0,0.0,0.0549214106161901,0.0,2577533905,0.0,0.0,0.0,0.0,-1.1719323903997056,3.179153805271521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0935347317681101,1.1319544701357134
DTA,2024,2,0.3543561314,72239328000.0,18059832.0,37.8151319098,0.5783450448,-2.2720266522,49.10835693266693,11288.0789841234,14.8098102369,0.15646133503382617,0.024043363060670526,0.0093856084,0.0373940841,0.0027528309,0.07132138360654532,12484913952.0,2630835267,0.0,0.656406652,0.0070861048,0.153419536,-1.160016854323341,3.195518524163869,0.1799940464,6.3029772855,109.18405267537034,580.8810722673,75.2619197503,765.3270446929704,0.6283558157,0.8751647384,2.1955185242,0.09516094091684904,1.128807898412344
DTA,2024,1,0.3754176022,76212491040.0,18059832.0,37.3694241937,0.7023753293,-1.6080918195,6.690295347154946,11240.8154964011,15.0089495731,0.20709771486550924,0.0035809542625228085,0.0100296119,0.0378195695,0.0028583284,0.0904670799551179,12582729625.0,3052465717,0.0,0.6854808731,0.0061748313,0.1545661074,-1.310366833603066,3.3810463308430747,0.1520755122,5.3995549466,135.6743024471736,655.2819589286,88.5851708375,879.5414322132737,0.5570121305,0.9051924194,2.3810463308,0.0969322784024053,1.1240815496401073
DTA,2023,4,0.4050159597,82172235600.0,18059832.0,61.6574868892,0.8222453767,3.7428304765,37.02117998661338,11234.1252010539,15.5908809603,0.2484297402274496,0.02381937407854629,0.0065871661,0.0328697842,0.0018282666,0.12557640459616404,11430750440.0,3524858297,0.0,0.4557407348,0.0184758947,0.1523868639,-1.2195614050801376,3.482673709800393,0.137095719,4.8718427868,128.54201624130206,643.3130387081,141.5635531636,913.418608113002,0.5673754114,0.8433281129999999,2.4940467814,0.09783642203300065,1.129447984809604
DTA,2023,3,0.4876766739,99148477680.0,18059832.0,25.9298402723,0.9400566933,-1.9986418412,12.957929121378315,11257.4586680541,21.7173782767,0.1855298862817368,0.008928810846237544,0.0188551144,0.0272214835,0.0051989963,0.1037806251767699,8987811926.0,2720019177,0.0,0.5377898018,0.0254151298,0.198319468,0.7532544189338858,3.5788154271513477,0.1434053347,5.106987707,142.540857486794,610.7197270907,121.5288790364,874.789463613894,0.5976554937,0.7505256313,2.5788154272,0.09952735959274409,1.1257458668054054
DTA,2023,2,0.6225265276,126418824000.0,18059832.0,32.0562258672,1.1768840442,-4.2860941215,56.25714153930114,11244.500738988,34.7788514907,0.2538338867392241,0.049592485940412004,0.0195148335,0.0186895225,0.0053853556,0.13319026830212694,5970901368.0,2728650940,0.0,0.4971080006,0.0123402357,0.1685201818,-1.44502775504866,3.5930911227465687,0.1466874977,5.130235632,130.44167047583505,599.7568207496,109.0511295515,839.2496207769351,0.60857999,0.5307933727999999,2.5930911227,0.10101282424322332,1.1244500738988048
DTA,2023,1,0.649141482,131294978640.0,18059832.0,22.1415997504,1.2115027862,-47.5151372342,27.91316536056371,11199.4075277112,49.7660781086,0.1896110512357441,0.020027471737111193,0.029459921,0.0126970948,0.0081300888,0.06831868775874694,4675866074.0,1719634632,0.0,0.6750340965,0.0630578103,0.2402178661,-0.9982091805309301,3.6343573866633947,0.1485866758,5.1079563243,123.76044032169224,615.6905068587,85.7258480471,825.1767952274923,0.5928303197,0.8336121563000001,2.6343573867,0.10279583218093644,1.119940752771122
DTA,2022,4,0.4448822905,89757365040.0,18059832.0,11.1295929619,0.6935772892,-2.0980227449,114.59694015979773,11171.4943623507,28.3292934929,0.13701098124800515,0.06158834783499482,0.0407624386,0.0169015626,0.0113759805,0.03757825945589196,7028897001.0,1262771683,0.0,0.6352764502,0.0254097104,0.2219177871,0.0,3.7007512996229592,0.1825463925,5.9839563832,95.00164665234945,376.8644761791,78.4951000375,550.3612228689494,0.9685179237,0.9649691923999999,2.712478167,0.10402853509089051,1.1214865763701456
DTA,2022,3,0.4558448161,91382749920.0,18059832.0,7.3271427521,0.5545997004,26.0313701769,19.599070578286664,11100.2688234863,17.8691501636,0.08292873574882438,0.012570875871362653,0.0630135981,0.0305766438,0.0177705031,-0.010544207529400896,11234393864.0,-296891381,0.0,0.9820873498,0.1328626841,0.4503076323,0.0,3.566047694381225,0.2347765655,7.5676129335,85.29397429476148,319.4370918284,13.7614086478,418.4924747709615,1.1426349956,1.1514863378,2.5660476944,0.10664391076938684,1.1100268823486288
DTA,2022,2,0.6505904091,130030790400.0,18059832.0,10.8456212691,0.864511052,-74.3655790513,166.2320495561642,11066.8707988535,20.0265276626,0.2168349705999507,0.14000960136841756,0.0615210674,0.0307297552,0.0173797424,0.06685934007375198,11477067620.0,1433615646,0.0,1.0064710252,0.178436114,0.5151260492,-0.5374650125848556,3.592123608891356,0.2180355054,6.8231304153,86.6437167124076,241.2392789115,6.4570391029,334.34003472680763,1.5130206061,1.0458756557,2.5921236089,0.10820523327619855,1.10668707988535
DTA,2022,1,0.8108525827,159829513200.0,18059832.0,13.4650170372,1.067012606,-9.2899489147,175.70159860844774,10914.4377033518,24.5836413259,0.14508924613100832,0.06868697579181433,0.0618160768,0.0315755814,0.0176800218,0.06010455845051251,11581419727.0,2776658278,0.0,0.9808947897,0.1834269464,0.691184264,0.0,3.5784155931074983,0.223110574,6.7103567466,73.93551105640499,122.1528832207,5.5424398937,201.630834170805,2.9880588192,1.3105371734,2.5784155931,0.11112867279908815,1.0914437703351836
DTA,2021,4,1.2923622231,251031664800.0,18059832.0,24.4408241252,2.3064564565,33.5363941653,329.0502507996752,10755.4985367527,32.4416219011,0.18382154417514684,0.08615420812207819,0.0543131587,0.0279122472,0.0170593128,0.09806677001817976,11222475826.0,6764275827,0.0,0.7255275146,0.1304167049,0.4878472032,0.0,3.4448172058336235,0.1807723978,5.7680456225,84.19816986976541,169.6687775467,18.4743269505,272.3412743669654,2.1512502493,1.2715957803,2.4448172058,0.11420396851143953,1.0755498536752723
DTA,2021,3,2.0380861648,383771430000.0,18059832.0,67.0221275937,6.4610810268,19.5831297985,-7.121514197917234,10426.448285953,83.3161731193,0.17186095747562347,-0.009323855957536186,0.0306903774,0.0165666185,0.009369507,0.00878758153781208,5963008911.0,121215976,0.0,0.5140037056,0.1418137953,0.5108931819,0.05607187925270342,3.541880745450119,0.0971918311,3.1291614554,121.82240165144786,26.6377147231,21.5766407664,170.03675714094786,13.7023766413,1.1617087862000002,2.5418807455,0.1192864743582988,1.0426448285953047
DTA,2021,2,2.0989939608,395510320800.0,18059832.0,103.7066961977,8.7704449179,23.5134449802,159.62839499282163,10433.569800151,124.8466911254,0.2448334074608015,0.1384379375548149,0.0205974368,0.0113861893,0.0067612017,0.10058976035148857,4087109651.0,2094703247,0.0,0.5258713583,0.1415323596,0.5055610926,-1.8833894990794469,3.418248065168903,0.0799482688,2.7799439816,133.62961076056993,41.4916125298,27.4179313959,202.5391546862699,8.7969586561,1.1644671553000001,2.4182480652,0.12068236664181538,1.0433569800150966
DTA,2021,1,0.8662692971,160732504800.0,18059832.0,-227.8996626777,3.4531402615,6.3516027256,87.16346181957839,10273.9414051581,259.357068572,0.566709818324556,0.3001700197134063,-0.003828542772680521,0.002524550771340728,-0.001356347813270986,0.2481013610871687,1020747712.0,1301098001,0.0,0.560804009437561,0.19272007048130035,0.5398808717727661,-1.2396160627525845,3.228374656402367,0.08951597660779953,3.4711050987243652,124.37371918311413,29.019268035888672,26.209735870361328,179.60272308936413,12.577850341796875,1.2607775330543518,2.228374719619751,0.08288954811913214,1.0273941405158142
DTA,2020,4,0.8442316155,155314555200.0,18059832.0,-40.7277896734,3.5996515421,4.6458637242,77.38912360868031,10186.7779433386,-321.1524032481,0.2312798197721427,0.0715453190242063,-0.0205073338,-0.0034389428,-0.0076352451,0.11111078120106758,-836614991.0,2170544085,0.0,0.8581440694,0.3649503535,0.8479238336,0.0,2.9045207883570585,0.0863879888,3.1740223261,141.27284565128613,17.2684962335,29.4178859624,187.95922784718613,21.1367564995,1.2273096763,1.9081764793,0.08339215008952884,1.0189672576023963
DTA,2020,3,0.732772181,133823355120.0,18059832.0,-70.5795131515,2.7620391601,-7.8488600972,-113.00850262615954,10112.283452526,293.4319892329,0.03448380645255449,4.020845716848176,-0.0102271709,0.001703332,-0.0040130797,3.2598963183603513,842408885.0,-1654669283,0.0,0.8106066475,0.1923793251,0.7851807867,1.9736222428805754,2.6208860850564104,0.1025478615,4.2032817699,105.72694723747794,23.0028765894,19.6161317016,148.34595552847796,15.8675806733,1.2312447257,1.6208860851,0.06253996437709274,1.0112283452526025
DTA,2020,2,0.3814072026,70433344800.0,18059832.0,34.1529590737,1.1987434337,-4.9345195585,-90.59635648880898,10225.2919552076,34.8580065846,0.09775426231978111,-0.07345195341376579,0.0110988263,0.0154323679,0.0043730795,-0.043620702651332874,5203272946.0,-971658703,0.0,0.9690254493,0.239524888,0.9409191205,1.3065962837507226,2.5330831311224706,0.1245918032,5.06400624,97.47992627973053,18.3605668478,29.3170999859,145.15759311343055,19.8795605291,1.1878124399,1.5330831311,0.06222963124412034,1.0225291955207556
DTA,2020,1,0.3341536726,62306420400.0,18059832.0,11.3750839976,1.178627808,-7.5088596022,-82.04766572579413,10324.5909992407,21.1558956768,0.34050536352738403,-0.8033156549325121,0.0295696509,0.0252008907,0.0116874457,-0.34093488564865126,8390565676.0,-628876183,0.0,0.8871341166,0.1842076275,0.8691456712,0.7871509142307432,2.572007821675728,0.1127969965,4.5287017155,111.95301487411727,23.4380798871,36.6838070082,172.07490176941727,15.5729480298,1.1866444726,1.5720078217,0.062008310898427954,1.0324590999240746
DTA,2019,4,0.5861642934,110164975200.0,18059832.0,16.6890337789,2.0761112926,-16.4839706917,180.66455213979842,10406.6386649665,23.3426396341,0.30969158056398605,0.13135799954282193,0.0340100338,0.0265672484,0.0146406908,0.1527714613027413,8916120471.0,3794655564,0.0,0.8373550843,0.159261325,0.8198220024,-5.102537344161021,2.4697785752951136,0.1235740812,4.5071566516,93.40101546223744,13.6543552302,7.6530129951,114.70838368753743,26.7313977004,1.1820367903,1.4682752109,0.0619319286419557,1.0400204927376955
