ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
DXP,2024,2,0.8668004881,718921596000,59910133,16.7923506108,1.281130762,-7.2584963536,243.80771648428822,13844.0162010156,13.033236343,0.11116581635755461,0.07934355852079553,0.0671217455,0.0531934897,0.0594053783,0.0848284192764645,53270687230.0,15616274358,0.0416666667,3.1837340106,0.8479525015,3.1517221416,-85.01974520036555,1.1995599763037648,0.5967000155,43.5972627507,12.16366061564554,12.3690632646,35.6867962801,60.21952016034554,29.5091060811,0.1395185233,0.1995599763,0.028090455988392073,1.3844016201015612
DXP,2024,1,0.9198985416,778831729000,59910133,13.3671921447,1.9345652741,17.092756387,108.62191657962101,14131.9932704205,13.206775363,0.40832490556316997,0.30914961777093564,0.0640707023,0.0521597633,0.0588596656,0.21561792629547186,46934141750.0,4538725276,0.0384615385,7.3800221215,2.6854710825,6.5128987309,0.0,1.0699240655847537,0.4533470081,41.4599736319,17.532630374038146,17.8245280094,51.2699793329,86.62713771633815,20.4774005689,0.0,0.0699240656,0.010436776872886388,1.4131993270420549
DXP,2023,4,1.0054643526,844732875300,59910133,11.9616952042,2.0569349507,4.5350767566,404.2206006453032,14023.3713538409,13.0536221752,0.07831379603344221,0.07440669126192148,0.0798190133,0.0577117593,0.0713291723,0.06996361735054532,51427660270.0,22770836764,0.0354609929,3.5657341647,1.9921411816,3.5299805036,0.0,1.1715990824941842,0.523032111,37.9476530762,20.108732277642808,5.2946701149,69.5011364113,94.9045388038428,68.9372504949,0.0,0.1719395989,0.011149683776620426,1.3999491282668326
DXP,2023,3,0.912014693,742885649200,59910133,11.8881385016,6.1235519128,14.5613674715,175.86836662505823,13596.2721820364,13.2898099194,0.3685813178747995,0.3448576581971089,0.0631965545,0.0487803801,0.0603424963,0.24050414317494243,42850125312.0,7348026290,0.0403225806,6.6699260947,2.7173452811,6.5861290766,0.0,1.0783471630564103,0.1703003561,10.9252877119,66.44802001751111,29.109481183,31.4353896331,126.99289083361111,12.538869989,0.0,0.0783471631,0.012276855281305466,1.3596272182036384
DXP,2023,2,1.1066630343,844732875300,59910133,12.1384443487,7.241750871,18.4245331144,183.75208148845203,12741.0056741987,15.9108972677,0.5421767181870998,0.43140259788652524,0.0,0.0,0.0,0.37241888016922753,0.0,9503454174,0.0354609929,0.0,0.0,0.0,0.0,1.028773255290093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013956546188715826,1.274100567419872
DXP,2023,1,0.8414736938,691697041800,54464334,9.0289252203,5.9762506729,19.0907784205,161.82929068773706,15092.5692555793,17.7859106336,0.43380282068574083,0.3024897458268494,0.0748493132,0.062129567,0.0719305918,0.30420001144388154,38774194941.0,8863758136,0.0393700787,6.799051173,0.1014635595,6.5561901086,0.0,1.0355401875561294,0.1976195018,9.5296198114,64.83956063640893,27.4973197052,23.8331270812,116.17000742280894,13.2740210287,0.0,0.0355401876,0.020052687344726924,0.9547746002399962
DXP,2022,4,0.5074710394,285804039800,29464334,8.2283706178,2.6505942531,15.0623840939,428.55514894719835,19114.3912608376,8.4196948983,0.5407927436250687,0.3497090335770119,0.0,0.0,0.0,0.3882591741722361,0.0,14019038284,0.0515463918,0.0,0.0,0.0,0.0,1.0395445965526768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021532584138919435,0.952927227440807
DXP,2022,3,0.4642519224,259179256500,27282027,5.9442510676,2.7797331361,30.8119493034,296.96963143537687,20463.0278134026,10.2360053751,0.39493849034340683,0.31300854405480416,0.0793669395,0.0393003249,0.0764814574,0.2212122709392005,25101030486.0,5725872802,0.0526315789,4.1745206224,0.079741035,4.0078960744,0.0,1.0504292868369427,0.1660235194,7.0613422453,62.41089178805071,26.4008435983,23.5783561822,112.3900915685507,13.8253157949,0.0,0.0504292868,0.021515807978961958,0.9318505056682148
DXP,2022,2,0.5305945219,291917688900,27282027,5.0224640602,3.1518520406,21.8789610246,461.29490363747533,20166.0581819672,6.734911412,0.4560470118523131,0.5113476763686217,0.1071843602,0.0359211193,0.1031147334,0.2815694578711214,23320323001.0,6929861403,0.046728972,20.8602326071,6.6450809379,20.6543669911,0.0,1.0368872934504334,0.168877677,6.7006250071,56.631892076658005,21.952796734,22.7226329085,101.30732171915801,16.6265831375,0.0,0.0368872935,0.02327758763022281,0.9183270279236402
DXP,2022,1,0.668024831,360122756400,27282027,6.2240594769,4.1249355187,22.0162173415,331.2803993999419,19759.7445302726,14.4404489766,0.3639056424613176,0.4258515310699663,0.108887398,0.0379905919,0.1046921716,0.17882895040177288,24866747843.0,3795351382,0.0378787879,22.3725179205,0.0623240736,22.1744309299,0.0,1.0308277899306588,0.1643842824,6.0045517035,59.20926950278119,22.6025819194,26.6768338554,108.4886852775812,16.1485975939,0.0,0.0308277899,0.025230882672025126,0.8998242146916949
DXP,2021,4,1.1166990611,592019985900,27282027,10.5228405381,6.7996089694,62.5857063307,484.82591506122327,19432.2720916228,23.9851425817,0.48999611487134126,0.6146413823462867,0.1103686655,0.0363892846,0.106524888,0.2550762160263282,24116537518.0,5489219899,0.0,23.5158948372,0.1318718155,23.3156467597,0.0,1.0321040107051547,0.1711972311,5.218912948,56.69456448760606,22.638051626,26.5627724068,105.89538852040607,16.1232956807,0.0,0.0321040107,0.027835505976339613,0.8632959834607611
DXP,2021,3,0.9333110433,470365188700,25987027,7.6777368148,5.7043026507,34.7862275211,835.0807974301947,19393.3202967003,15.4168668325,0.28625059053709556,0.8590140732230875,0.1274560641,0.0462209761,0.1220339951,0.14045538170013916,29628834361.0,3548323441,0.0,11.3322212469,0.4561337338,11.2431492262,0.0,1.0590803989027646,0.1642523117,4.9677584839,62.77179458407653,24.4920465431,28.7394355612,116.00327668837653,14.902797092,0.0,0.0590803989,0.028739991628537145,0.841217859038971
DXP,2021,2,1.1154075256,537931458900,25987027,9.4531501545,6.4740937346,76.3775048593,447.7350245566759,18558.2394992702,18.1762704276,0.6041683902812724,0.6029411337922618,0.1221932587,0.0461775231,0.1162834193,0.3962827886717397,29464098800.0,7647297113,0.0,19.6675842199,0.1264709562,19.5003777696,0.0,1.039086587970969,0.169791274,4.5964539754,67.24439288134327,29.0229233847,29.03415306,125.30146932604328,12.5762658421,0.0,0.039086588,0.03250444593067356,0.8049948260689056
DXP,2021,1,0.7045266992,332633945600,25987027,5.8056250704,3.4012487042,28.6810145926,292.9299072187057,18168.2255830573,10.7764680313,0.30192072610013143,0.3627311586992239,0.1268098379,0.0489729806,0.119496766,0.10176944484849494,30743044968.0,2135761994,0.0,21.3164482453,0.0751847729,21.147325137,0.0,1.0375378695863737,0.2039702124,4.9467467827,60.05099900585208,23.5226000943,27.6195045736,111.19310367375208,15.516992107,0.0,0.0375378696,0.03656758246217351,0.7880773170191426
DXP,2020,4,0.9566275328,444378161700,25987027,7.8041460008,4.1386500508,20.8073375532,781.7198151985605,17875.2956758386,14.0150655482,0.7759065748889749,1.2012556509755128,0.1305600676,0.050828418,0.1243207648,0.5891285726723493,31542324335.0,9962821771,0.0,19.6247419334,0.0569278545,19.4633204286,0.0,1.0410895756712968,0.23442847,5.0311151528,50.697141668981864,20.8479303118,27.8900033493,99.43507533008187,17.5077331199,0.0,0.0405139881,0.040858407701415744,0.7749423103701005
DXP,2020,3,0.9713549211,431384648200,25987027,8.209666501,3.4517210849,14.8312079361,667.361492293828,17089.5309626992,12.716918579,0.3172212920570735,0.6697364054795595,0.1241235157,0.0576173304,0.1155829852,0.0974831270015987,33740424375.0,2524313478,0.0,8.8851018211,0.0592084323,8.7638696975,0.0,1.0878659016108567,0.2749056885,5.4898649141,49.201853420510936,19.3256928583,27.1242629046,95.65180918341093,18.8867743411,0.0,0.0878659016,0.04592935551686813,0.7412871250761537
DXP,2020,2,0.8159701448,348226161800,25987027,7.4925250996,2.7931140995,11.1199782699,462.7470748385339,16422.1694704054,10.6161362336,0.3729170372180765,0.3536334677498981,0.1133021498,0.0575788484,0.1059796459,0.24993486544973723,32717565193.0,8499116135,0.0,10.7838245681,0.0256464571,10.6676109007,0.0,1.0815016049849704,0.2842902684,5.1786286808,46.26241298034557,18.1800237114,28.1970499733,92.63948666504557,20.0769815153,0.0,0.081501605,0.05260194690094675,0.7123391988230104
DXP,2020,1,0.6265890928,259870270000,25987027,6.0350657307,2.1508117792,16.6088232122,269.4319116611531,15959.4223956053,8.9742267709,0.23336182610729686,0.22910373356001798,0.1080335792,0.0472776397,0.1015349609,0.08588802798073551,27713571667.0,2624859698,0.0,13.495840836,0.4234199988,13.341534898,0.0,1.063564141270916,0.2849018072,4.760179641,45.48136312741299,18.2199977584,25.866576414,89.567937299813,20.0329333099,0.0,0.0635641413,0.05907262846921657,0.6922667667905194
DXP,2019,4,0.6692164671,272863783500,25987027,6.6122652206,2.3016648415,17.1436267137,622.4661396242055,15689.9904839442,10.4448205882,0.4329529771916257,0.46866618111436353,0.1065066061,0.0440130791,0.1004303861,0.3459335292744019,25944329595.0,11939918745,0.0,13.653295352,0.0501303049,13.4718928799,0.0,1.0612075565823906,0.2885182661,4.9950996636,48.72754624377896,18.8164985256,27.3129976105,94.85704237987895,19.3978704116,0.0,0.0612075566,0.05816059738746389,0.680579704832236
