ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Dividend yield (%),Financial Leverage,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
EIB,2024,2,1.4472414549,33994651077750,1862720607,15.3374392219,4.8904659719,-7.7630322027,345.1070426687989,12610.1971018781,0.4252867936012279,0.0979122802,0.0,0.0109679365,0.0,9.025360128201493,8.0253601282,0.15735275598556175,1.2569103531420613
EIB,2024,1,1.4363186218,32989413504600,1740866148,16.5258666624,5.1029373897,7.027250684,302.8670530504221,13193.4514473654,0.3882472318337826,0.0902443906,0.0,0.0101506691,0.0,8.863839319631769,7.8638393196,0.16042845288492924,1.2290187627343663
EIB,2023,4,1.4077398973,31596720586200,1740866148,14.5936608504,4.8203700363,3.4247824022,462.1544286585783,12893.0067517172,0.5756910734320977,0.1008784668,0.0,0.0112044031,0.0,8.973795677157304,7.9737956772,0.164033867856265,1.2010312289499971
EIB,2023,3,1.5883778529,34382106423000,1740866148,19.4894211146,5.5079633772,6.0622480224,138.9026952346712,12434.0691125898,0.2783480827316929,0.0833135584,0.0,0.0094041592,0.0,8.839335583166443,7.8393355832,0.16699864409441909,1.1582794917216563
EIB,2023,2,1.4180841168,30378114282600,1740866148,11.9322835098,4.5400085489,2.3953500368,242.76306394120314,12305.3349188337,0.38622657355950296,0.1224337509,0.0,0.0137113868,0.0,8.883456592472177,7.8834565925,0.16592226633431584,1.146287425796915
EIB,2023,1,1.4194422634,30022657380650,1475314859,10.0254478575,4.1511368685,3.2335067302,471.84571873142096,14336.6169404249,0.5629273278780924,0.1482015576,0.0,0.016477049,0.0,8.684405870845781,7.6844058708,0.1571868577143121,1.131790665184297
EIB,2022,4,1.4227348994,29137468465250,1475314859,9.8913514737,3.9979704442,2.8022279731,273.5632990733675,13881.7147235145,0.28073973185902634,0.1539666421,0.0,0.016790267,0.0,9.035446852767835,8.0359841113,0.15972172715687089,1.0958788399042942
EIB,2022,3,1.5732381707,31657897278000,1229432904,11.5821589155,4.6647290318,6.089177792,832.5342494656381,16367.5154085513,0.686057984264593,0.1449480676,0.0,0.0156990741,0.0,9.127680881978328,8.127680882,0.16675096589623234,1.0767683961459877
EIB,2022,2,2.4366152563,46472563771200,1229432904,22.789281449,7.6819551408,-16.7767959495,708.7714971389769,15513.3232061276,0.6147251226258763,0.1118130474,0.0,0.0120792426,0.0,9.153580399935194,8.1535803999,0.17696830897114654,1.020573723659307
EIB,2022,1,2.0591568145,37989476733600,1229432904,26.3717465154,7.2124915341,-5.4806666582,526.4443451075879,15006.1422140041,0.5198935838653604,0.0809684579,0.0,0.0086484768,0.0,9.341568194993291,8.341568195,0.18226645335842587,0.9872078492542503
EIB,2021,4,2.0738362616,36882987120000,1229432904,38.2034115121,7.8318653215,-4.7830634908,155.4968956646698,14465.9443733255,0.19391751458390602,0.0557985144,0.0,0.0059180762,0.0,9.324310027355779,8.3243100274,0.18880294460899094,0.9516698981364461
EIB,2021,3,2.2540393373,39772154444400,1229432904,40.8621522256,8.7992543372,4.9935959772,267.9617561301255,14352.0121696694,0.4467717502891992,0.0566351596,0.0,0.0059945329,0.0,9.21098036842054,8.2109803684,0.19065147445972294,0.944174649582348
EIB,2021,2,1.6428897122,28399900082400,1229432904,26.4429375134,6.0861802039,2.085261962,221.80551627728357,14060.5908169186,0.27729561149023446,0.0634607844,0.0,0.0067312395,0.0,9.577407248281366,8.5774072483,0.1945332883889576,0.9250029369080951
EIB,2021,1,2.0837064686,35407667635200,1229432904,40.4086409203,7.8613355638,4.9525667161,140.00601369946742,13821.5244969562,0.21051163985250684,0.0526503250002861,0.0,0.0056533715687692165,0.0,9.471946584864963,8.471946716308594,0.196791586850234,0.9092755004894939
EIB,2020,4,1.9297272786,32457028665600,1229432904,30.4787737401,7.434745583,7.8029011809,161.9128618994567,13680.6896458337,0.2315273915324161,0.0657181659,0.0,0.0065260213,0.0,9.538646950650703,8.5386469507,0.19907767714716676,0.9000104096690843
EIB,2020,3,1.2963145104,21515075820000,1229432904,25.1691889385,4.7997349324,-9.6185436061,349.85479776942753,13499.8103157974,0.512918878245222,0.0528765239,0.0,0.0054857803,0.0,9.11445003892545,8.1144500389,0.20298845985906824,0.8881109159928906
EIB,2020,2,1.3084501314,21146245948800,1229432904,30.3582418668,4.7231594162,-2.5620574296,60.94517216532867,13145.3233010266,0.09866606971201328,0.0436247804,0.0,0.0044182362,0.0,9.115290342177449,8.1152903422,0.2107057275677138,0.8647903077746176
EIB,2020,1,1.3011480771,21023302658400,1229432904,22.0908889818,4.6503346539,6.2006971857,297.75435390494476,13142.2397655301,0.42766369071957794,0.0602228346,0.0,0.0059211575,0.0,9.727404706494854,8.7274047065,0.21110831364897867,0.8645874514773664
EIB,2019,4,1.1709395553,18441493560000,1229432904,21.39725065,4.1106352423,3.0379892842,-13.2597720029787,12810.2257136271,-0.020457103704791268,0.0565492329,0.0,0.0054101063,0.0,10.637817535279158,9.6378175353,0.2186775385059653,0.8427452702273751
