ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
ELC,2024,2,2.1208786151,2078087421150,83290077,25.4883514895,1.8730751545,356.29749075,50.25598971411684,11763.9924428933,29.1925693802,0.27217106466143925,0.029226381995445052,0.0841661127,0.0514134249,0.0511472787,0.09777878746055302,77197335902.0,14003954298,0.0400801603,3.0448033573,0.4697446118,2.6948476351,-15.124169238520023,1.3357093514510838,0.7029364106,13.1765774269,196.96777082358312,52.2711086446,112.4430862503,361.6819657184831,6.9828249192,0.1116933238,0.3357093515,0.07699636387324273,1.4042921492472626
ELC,2024,1,2.1861626804,2140554978900,83290077,26.2479823753,2.1372468597,68.7419879384,86.84775855111768,11755.7582656935,38.1931503229,0.19910784689629263,0.06737247480779585,0.0861888566,0.0418134053,0.0535164195,-0.02373001171972455,58776031012.0,-2547811713,0.0389105058,3.0733363309,0.3485051738,2.7568615821,13.161849958679172,1.3408108018617322,0.6635324239,12.7719018539,206.59142578299853,71.0496428851,129.369718654,407.0107873220985,5.1372531258,0.0190415843,0.3408108019,0.07703953191986669,1.3921223453329261
ELC,2023,4,1.9505198739,1876213755600,82290077,24.1618385936,1.9143287246,19.5777208501,479.30935680130665,11689.1913303958,30.6024891281,0.1378948172160511,0.07545634143445361,0.0840348425,0.0456860751,0.0523615715,0.020171830137384893,61999973478.0,10544182982,0.0526315789,2.0769164839,0.3197527775,1.8907442906,-5.795696001755582,1.5816184289291684,0.6608853658,12.2840507179,224.00276236917088,54.0199616411,145.6178748945,423.64059890477085,6.7567615546,0.0368491785,0.5806128594,0.078042581858359,1.3839733739026319
ELC,2023,3,1.7650606459,1612885509200,82290077,41.2274226437,2.3202453694,-67.6387215465,362.9176904282153,11104.4343126329,34.6258645536,0.2303043073774108,0.0888437503419876,0.0436898449,0.038725832,0.0316688474,0.13342792950728474,47190887187.0,44851344971,0.0612244898,2.508269826,0.2817900742,2.0194121671,-40.64370430423649,1.441515967429912,0.5627217594,10.2042838038,232.02275071124947,113.7977238586,127.6951691629,473.5156437327495,3.2074455237,0.1012044839,0.4415159674,0.07080881647447917,1.1436643784156906
ELC,2023,2,1.6601687785,1481226843600,58778843,72.6366477017,2.4328089698,-11.7338986447,72.10360547586825,15179.1795669234,91.7056921448,0.4169779735563343,0.1200056723257759,0.0229547503,0.0099499375,0.0170881169,-0.09745890382822696,16401340800.0,-3441896153,0.0476190476,2.69096373,0.2229802352,2.0479379959,5.797180776247466,1.4015823603593391,0.5106615064,8.8832962143,258.77389135304634,116.676771751,129.1816087801,504.63227188414635,3.1283004708,0.0823004481,0.4015823604,0.07290968327598558,1.1022317980111844
ELC,2023,1,0.9645614806,858171107800,58778843,35.742585152,1.1539610404,-21.4998591102,61.10438551844241,15136.41203203,21.2113153021,0.343507959757451,0.04180782327787775,0.0271663843,0.036976176,0.0209372745,0.04667988675689742,40099817248.0,4010196480,0.0821917808,3.781135746,0.1671803548,3.186379165,-20.126339945181247,1.2426689380174765,0.6496836364,10.9471617776,204.16623036040252,82.3600921131,93.5771547136,380.10347718710256,4.4317580352,0.0024162958,0.242668938,0.0748766277184092,1.0982654474109803
ELC,2022,4,0.8655800689,767063901150,58778843,24.4271186771,0.8885423579,-7.353887915,24.26900293018697,15076.5948394731,16.3279873079,0.12500427102716719,0.005999655062333974,0.035179986,0.040641424,0.0273400352,-0.020178436507612623,44066444708.0,-4797712258,0.091954023,3.6587598612,0.327911174,3.1064730716,14.23600722858667,1.2561702360444857,0.7538927875,21.4696143773,181.60909073518357,66.3261898963,71.1924500795,319.1277307109836,5.5031051922,0.0222189296,0.2561188668,0.07639160316646124,1.094045532492424
ELC,2022,3,0.6842418806,605422082900,58778843,12.4950319579,0.7780665695,-4.5873852416,189.14300475427868,15053.1563348227,11.5071829737,0.1897070077304697,0.04449438144114502,0.0542453722,0.0467770435,0.04201438,0.0564933159666196,48480547578.0,14115725708,0.1165048544,3.0725958714,0.279324276,2.5659726748,-416.12255996757744,1.3225255892149324,0.6769957412,14.8320921167,198.75037184799237,85.5381308051,81.7455104106,366.0340130636923,4.2671028296,0.0061246319,0.3225255892,0.07611061116816464,1.0903294148689524
ELC,2022,2,0.7294028485,729114181400,69771692,12.8906775491,0.9870348835,51.384419561,112.23093610801355,14326.7880309969,14.1385263789,0.23560810717433445,0.04602517494881408,0.0548930339,0.0433942871,0.041326397,0.12094632722409702,44574830794.0,20577332585,0.1148325359,4.0000205565,0.6545444589,3.2594036642,-0.5439299966702084,1.2244159023729526,0.6343848753,19.6806126172,207.97824164684488,89.1055157967,79.1348637356,376.21862117914486,4.096267181,0.0034553354,0.2244159024,0.07205107479265359,1.0749612543640703
ELC,2022,1,0.9593275602,830130360900,50928243,13.9448963903,1.2192186454,23.2750707685,215.47464735824482,16991.068198465,21.9638832814,0.11478637499476707,0.053395637674054586,0.068129943,0.0327612176,0.0481755526,0.038879967368272296,36128919502.0,7990518962,0.0736196319,3.226387823,0.2933957227,2.6246458086,-75.39057505978892,1.2997840297574057,0.5530510467,18.2299495681,255.1958211961988,100.1229307647,82.2426067959,437.56135875679877,3.6455185362,0.019272816,0.2997840298,0.07373857666002546,1.0649806086984408
ELC,2021,4,1.6378914532,1400526682500,50928243,28.9762409956,2.1248040304,-14.3165564313,360.65835218387565,16789.8794189896,30.3289014346,0.29772744024809705,0.1203714585374482,0.0558899214,0.0383217022,0.0364006156,0.00037042385687292617,41874938722.0,56523639,0.0363636364,3.2778105144,0.5771403933,2.7600041898,-0.08657968573422826,1.3181177648124116,0.4986843691,16.954105109,269.5549964964578,127.683488805,141.795775628,539.0342609294578,2.8586311622,0.0361428462,0.318914462,0.012419027314338391,1.0449397708492933
ELC,2021,3,1.2756801788,1072273472800,50818648,27.5233094785,1.3249760236,6.946030741,215.45953770749668,16540.1958505272,18.2837633466,0.09117064384370697,0.052029343180515934,0.0451556203,0.044219431,0.0280593958,0.04923993580923705,51508415501.0,10362343036,0.0473933649,2.5570053053,0.6311550277,2.1591490985,-11.270215296859837,1.477150357997303,0.5850178715,15.816042499,240.37432872795773,101.4742924989,80.8950679683,422.74368919515774,3.5969701391,0.133100425,0.477150358,0.011019837462068688,1.0251684365077487
ELC,2021,2,1.7905288144,1539805034400,50818648,47.0994368311,2.226978193,28.0993100171,374.25157792470196,16922.3749748911,31.1844249947,0.25114179263657876,0.16933519157920668,0.0380424194,0.0370855738,0.0242176111,0.09981387330731467,47869094744.0,11210640662,0.0330033003,2.2023347786,0.4059339413,1.8548240501,-6.228302560774038,1.5650345655646254,0.5140049372,10.4935974594,272.9941329778545,132.3467181266,92.8333385677,498.1741896721545,2.7579074507,0.16580407789999999,0.5650345656,0.07322012670997836,1.045667849615507
ELC,2021,1,0.8345088909,708661072000,50618648,20.6869217489,0.9590346146,77.7101128552,-3.3431641240200647,16776.3341446615,14.6827316411,0.19775017525313726,-0.0009208148728697065,0.04041103273630142,0.0370141826570034,0.026187656447291374,0.07038940162110861,49249972224.0,12936094718,0.0714285714,2.048116445541382,0.32671764492988586,1.6528066396713257,-25.947981153631453,1.639956092617604,0.5648826360702515,10.915005683898926,245.61877708905064,138.64413452148438,111.31838989257812,495.58130150311314,2.6326394081115723,0.2170178582891822,0.6399561166763306,0.07504255029833425,1.0326992082550241
ELC,2020,4,0.7238248717,609954708400,50618648,19.2966689075,0.760320722,2.3184757765,254.34814827531545,16647.6733123927,13.7388957993,0.11172929960331567,0.0355727265215137,0.0379307758,0.0365181272,0.0218461269,0.036809928635761824,45247241758.0,13322537252,0.0829875519,1.8968526322,0.4802037334,1.5317597733,-32.80239243053936,1.7557372398948257,0.5510764065,10.843187695,283.2506200897548,123.8883814578,196.5462358235,603.6852373710549,2.946200408,0.08768438969999999,0.755737813,0.07844176707233004,1.0246731556689521
ELC,2020,3,0.5867125629,486951393760,50618648,11.0886965837,0.4634603503,21.0884864785,93.0670216636367,16396.4445412292,8.159785755,0.28674681214524883,0.05087353475915427,0.0527630241,0.0541804033,0.0351630518,0.05722874495917034,61109916369.0,5299423958,0.0,3.4160676116,0.2313859801,2.5335699368,-13.327909235301247,1.3185497995375148,0.8413069476,14.0586697546,180.26408968572994,94.4307266071,109.9060224589,384.60083875172995,3.8652673035,0.0923894051,0.3185497995,0.08122964822631192,1.0095210359056337
ELC,2020,2,0.4048240919,334083076800,50618648,7.9057729241,0.322625048,7.1779024284,200.68007442632606,16303.3775195458,5.5004479415,0.2831170508570301,0.06356208417790729,0.0514094831,0.0517045371,0.0346005956,0.07712375121171602,60604765515.0,12325507505,0.0,2.6250407057,0.1751072205,1.9024877206,-3.6065474665693635,1.4523949761553903,0.8478710925,12.9899212255,171.95807582982286,93.9266354228,101.0403228234,366.9250340760229,3.8860116553,0.0841700972,0.4523949762,0.08489067271611302,1.0041849974049128
ELC,2020,1,0.3154968065,257648918320,50618648,7.9423861148,0.2684954698,2.6492581134,83.30358137973184,16133.2853279685,4.7691213474,0.12315166634618228,0.02244244017806375,0.0399562628,0.0390989092,0.0276467299,0.025624967884747996,53151479144.0,4814680443,0.0,2.3827775098,0.1471069772,1.7550488796,-14.533708365327348,1.5193467116450066,0.8178201448,11.4923179917,166.26414608858286,92.7306891568,86.4994126092,345.4942478545829,3.9361294876,0.049291242900000004,0.5193467116,0.09495071276383595,0.9940964937059669
ELC,2019,4,0.3277485454,266254088480,50618648,8.9710820409,0.3043739976,5.027060148,490.4994378553927,16048.8889225568,5.4261022418,0.08328858385925055,0.04067694685678552,0.0369494103,0.0340639896,0.024180473,0.04247027315355191,54791377356.0,25923029933,0.0,1.9747291875,0.0843680137,1.5828270766,-84.1958554270196,1.7161655887005456,0.7083598205,10.0866072472,214.43516492006552,93.5590252146,120.9003329036,428.89452303826556,3.9012804929,0.1121988386,0.7161000901,0.09833409268363573,0.9892712221108885
ELC,2019,3,0.4176257504,329021212000,50618648,40.2118471883,0.759648184,2.4742445899,60.34989020251983,15564.1743675177,8.4520739664,0.3146035838845891,0.039453029182864974,0.0102860341,0.0102792943,0.008034311,0.032487994904969154,42601465682.0,2515530458,0.1538461538,4.5310320661,0.2535569184,3.2710348722,-7.053535891083935,1.2486177500991584,0.4252948828,4.8686221955,258.27553838751993,201.0829918051,50.1737045767,509.5322347693199,1.8151709238,0.12178766560000001,0.2486177501,0.11033174183828069,0.9600517506004947
ELC,2019,2,0.3741012425,293588158400,50618648,52.1692957108,0.6548732729,3.7092542876,6.712433350649745,15503.8244773152,9.830294305,0.26794167000774755,0.004049649192842933,0.0071033311,0.0071297305,0.0055198257,0.007876445163026201,34901861933.0,660850736,0.1724137931,3.9369287721,0.2697987925,2.9112301009,-0.8443378796155521,1.2852351629924363,0.4397269402,4.920829401,245.90435942861507,189.3707395415,48.6055868696,483.8806858397151,1.9274361017,0.1541994417,0.285235163,0.10821315702290456,0.9556340272143103
