ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
FOX,2024,2,4.9204721613,45056708359376.0,492509164.0,17.5462773544,2.7527105424,12.0390163594,1486.339921141041,18592.5246604752,12.1776705461,0.480084825642776,0.17297765709990517,0.2954737016,0.1751960907,0.1181288689,0.2012223579657305,4281988313858.0,851566722204,0.0218617463,1.1005978023,0.0297644743,1.0299803647,-9.709096662443674,2.293502399091424,0.7529748826,2.7712379966,43.22582979699155,37.2213308922,49.8275249179,130.27468560709156,9.8062049704,0.7490005041,1.2935023991,0.6129842087612248,1.9281906193790133
FOX,2024,1,5.9322684312,49980322471884.0,492509164.0,20.3635833517,3.1183318331,14.0406220015,1326.4211579319974,17106.6095840605,14.0416528443,0.47373522007387003,0.16281726998501614,0.2937609887,0.1666221339,0.1128737837,0.1846217769477134,4114336211345.0,740761179659,0.0197081227,1.0315783826,0.0248862581,0.9638770313,-8.689528533422417,2.4420704352187017,0.7370975336,2.7166719168,42.106665811260406,38.4913765923,49.0061925012,129.6042349047604,9.4826434468,0.8891203681,1.4420704352,0.6682554688008748,1.7766385823537691
FOX,2023,4,3.1786786849,27832185366804.0,492509164.0,11.6791900811,1.7608831323,9.1266322465,1156.9678345193188,17778.141675106,9.4721983828,0.46264365759675563,0.13846012527320745,0.2913345103,0.1770363845,0.1235829917,0.15631409979008914,3998683510333.0,643293309284,0.0353913397,1.0434911026,0.0384456118,0.9702037683,-5.753625719397604,2.219782527096492,0.8196735061,2.7172125537,40.25045209158091,42.2648342911,56.6731525895,139.1884389721809,8.6360210828,0.6592324055,1.2196464996,0.6641342388298145,1.841521172639338
FOX,2023,3,3.1939797262,26916118321764.0,492509164.0,11.6747597459,1.7239764128,9.9185185132,1244.1405672138924,17110.6283335227,9.4411545115,0.48105531691130066,0.1528647592911818,0.2908968641,0.1399063149,0.1131918057,0.16821531602060258,3914802621834.0,674282558359,0.0365958537,1.0107657412,0.0154524199,0.9503232878,-4.333959653441355,2.710857226824499,0.766534349,2.7184372686,40.250114607393385,46.8145920956,56.4682260968,143.5329327997934,7.7967143077,1.1417901197,1.7108572268,0.6795604152741709,1.7729041078080325
FOX,2023,2,2.9855170375,23330165872590.0,328339538.0,10.4042826115,1.5213715326,9.4148384918,1883.8875198118844,23799.8976749885,8.4766409129,0.4506460320704752,0.15894007927430742,0.293076236,0.1504445487,0.1116783032,0.17882143315645477,3835345077783.0,695927979892,0.0281472099,0.9713516483,0.0119835842,0.9021882075,-6.260858172504055,2.690842618712474,0.7636762227,2.7678772643,39.56102326198806,50.7688477686,60.8093573373,151.13922836788805,7.1894481762,1.1172935779,1.6908426187,0.7150431612003698,1.6454813137440423
FOX,2023,1,2.4286790538,19075870478724.0,328339538.0,8.6990228515,1.2676053176,8.1163268917,1764.5093066160068,23921.6457643642,6.2994529889,0.44294174528070657,0.15285590362358842,0.2966010699,0.2005623344,0.1069840211,0.17048189539212372,3770413037264.0,646164634022,0.0344245929,0.9826977427,0.0243145235,0.8555218721,-9.715959727089148,2.1502831838081673,0.7341310205,2.8307223209,39.49535106938936,54.8814857153,64.8291582995,159.20599508418934,6.6506945875,0.5637887237,1.1502831838,0.6895776898650549,1.6589859129703421
FOX,2022,4,2.5634291075,19491548333832.0,328339538.0,9.0639304224,1.3232866862,11.3190351019,1507.0770775982514,23158.0424149497,7.899241805,0.4888526178776275,0.12615600613775832,0.3027380047,0.1939719764,0.1089681247,0.1529891325474676,3714721862053.0,600082964150,0.0336904521,0.9685997994,0.1360620501,0.861410874,-7.881752770418339,2.3259019246050965,0.7462778705,2.8007558789,37.06390230021098,46.1509889309,71.9273518552,155.142243086311,7.9088229409,0.6591769465,1.3265475228,0.7082100845748209,1.6084777862470392
FOX,2022,3,2.507903969,18388655825690.0,328339538.0,8.7022795566,1.2893603193,7.6806053339,1674.4976657699995,22331.3973314904,7.7684468651,0.48502261690215653,0.14737700034725637,0.3037476572,0.1414237293,0.0947575377,0.1713616791903109,3635294700343.0,639280894922,0.0357110972,1.0328412374,0.0227846687,0.9517882313,-7.120118982693854,2.949525386219662,0.6394713742,2.8834204122,38.66821584577067,51.1890480554,63.7895232433,153.64678714447066,7.1304314861,1.3765704554,1.9495253862,0.6708255042183956,1.5502503564741792
FOX,2022,2,3.0375118308,20603306009500.0,328339538.0,11.9428964447,1.5108444245,10.6058258267,1733.08555489592,20658.355751664,9.0650833509,0.4923588662321939,0.15782402583443086,0.3072246687,0.1288771348,0.0961431506,0.18668022105805612,3524657560879.0,673082616620,0.03187251,1.0188832871,0.0226732836,0.947353923,-7.157258922297961,3.327325824479938,0.6513678426,2.830221753,38.73146091527185,47.0442858196,60.6468314064,146.42257814127186,7.7586468503,1.7128780496,2.3273258245,0.6941408024961557,1.432815109235612
FOX,2022,1,3.3836472377,22136979991498.0,328339538.0,11.5668895832,1.6729345458,9.8897004061,1635.7443157333066,19925.5404786889,9.6771147693,0.49696678794362115,0.15472769755832544,0.3059716773,0.1279596102,0.1002045857,0.18110093504141306,3430461705619.0,628624397165,0.0296643479,1.0140956431,0.0242727223,0.9477805391,-8.355528931695494,3.2354851296055545,0.6927596107,2.7754467547,38.10385054497629,42.9281203558,60.3931120346,141.42508293537628,8.5025851813,1.7225479252,2.2354851296,0.7090446893280385,1.3906891083348452
