ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
GKM,2024,2,0.8165418777,279764709300.0,31434237.0,4.2890898334,1.2733320049,1.6845014211,190.8829234188188,10899.624676877,36.9763636676,-0.05780099022294042,0.17933888791388722,0.1930544532,0.0220120277,0.1236392658,-0.09104770025785908,9383627033.0,-3046242754,0.1123595506,1.3409365016,0.0892189631,1.2799844939,1.903966272846523,1.3944748372932987,0.4164663385,9.7785779276,96.69319232123328,33.8891528421,76.9688019588,207.55114712213327,10.7704079149,0.2313519667,0.3944748373,0.0020187865838738844,1.0899624676876998
GKM,2024,1,3.3430631557,1125345684600.0,31434237.0,17.9107379249,3.2526919384,12.1239775554,9.4772605423825,10708.7417534582,40.6572463246,0.025203104076611037,0.0029870037874115568,0.1904491749,0.0617684937,0.1101872821,0.010116947239512444,28706842944.0,1009019258,0.0279329609,2.4250652866,0.1436750289,2.4066435374,-0.6494474365624595,1.3431621574850576,0.6067391472,7.6984013575,98.74953106549782,34.9292993106,55.2245587522,188.90338912829782,10.449679988,0.1734656781,0.3431621575,0.002312152111991812,1.070874175345818
GKM,2023,4,2.7467267517,924166567800.0,31434237.0,21.820609454,2.3835758667,23.3410554663,463.8114637870803,10703.6493463481,566.1843739658,0.03940206659225628,0.6325604336149699,0.1214710839,0.0817788402,0.0735275876,-0.004248294813064218,1987995628.0,-97916758,0.0680272109,2.6969320201,0.1163964802,2.6969320201,0.06323693162182216,1.2873252277394698,0.7282855499,8.0398844398,98.93156632108325,29.2529573931,42.8673956525,171.05191936668325,12.4773709234,0.1549380415,0.2864847477,0.0025650644685652315,1.0738235698420164
GKM,2023,3,3.183960014,1065620634300.0,31434237.0,22.0374423023,2.7846275806,16.376307664,1410.8606657766181,10647.1186356774,29.5164835947,0.30666610145676165,0.6987552436067801,0.1533937238,0.0579257361,0.0718349993,0.17995764427419422,42926052574.0,11421739962,0.0589970501,2.1821018275,0.3514202752,1.9896102676,-2.047001800250571,1.7348882099850975,0.5684995952,3.565549112,159.03925837936853,71.1056559272,59.5133700987,289.65828440526855,5.1332062863,0.6292789410999999,0.73488821,0.2036358168514512,1.3675458574101862
GKM,2023,2,3.3175956295,1031042973600.0,31434237.0,94.423651957,2.5892172912,12.5311098933,114.65156103518594,9886.6780835813,32.0929340759,0.14453991260113988,0.022564309579208228,0.0354329372,0.0579274352,0.0171200289,0.0755477931416923,39420247018.0,12066536430,0.0609756098,1.7321125584,0.054792954,1.5657969045,-1.441422396692683,1.9444795781929956,0.6243337143,3.5040330404,161.58933140675074,77.5111016574,51.4047308864,290.50516395055075,4.7090028679,0.9136603063,0.9444795782,0.2716382445027264,1.0608268975035087
GKM,2023,1,4.3406283627,1333337716000.0,26195240.0,85.2994864848,4.3494513558,10.9322351632,-29.730048741679788,11726.4128017151,33.353342993,0.21491905882483486,-0.017188916403027915,0.0511878558,0.0583591229,0.0246070698,0.05035473448080999,44484244494.0,2281444004,0.0392927308,1.6803844602,0.4029913871,1.2643673984,-0.3439253697765477,2.017143661659852,0.4825828004,2.5668233153,207.94072334955516,122.2691832521,67.46022237,397.6701289716552,2.9852166367,0.9527527623000001,1.0171436617,0.3763458387276053,1.0489827941012215
GKM,2022,4,3.0443267783,937789592000.0,26195240.0,51.9241532782,3.0075927433,-10.397147449,45.06459761391764,11759.5785891635,19.3598444956,0.21383787709375895,0.010338499518288274,0.0574472855,0.0695722542,0.0305371874,0.08794775204080757,52986729196.0,10042113157,0.0279329609,1.8181034273,0.2506264179,1.5706376966,-1.2751698909181022,1.9126222097655556,0.5272048884,2.7743323409,196.7145714024805,62.5359880319,64.4689886736,323.7195481079805,5.8366392135,0.9759589727,0.9169023473,0.3838745218548194,1.0532381608880788
GKM,2022,3,2.3423612231,717749576000.0,26195240.0,18.7035279427,2.4749014464,10.7654282273,263.92783673675063,11697.5980178842,16.4623157397,0.17937915620314715,0.08751934966808199,0.1221150148,0.0793022623,0.065327437,0.10020714499598536,48946626605.0,7915934406,0.0364963504,2.6648342254,0.8004930364,2.1773228141,-1.3870578747534317,1.8367985741920614,0.4921443671,2.7592322745,204.8567753780676,99.5575178296,67.5555405014,371.9698337090676,3.6662223804,0.9307420510000001,0.8367985742,0.3427629952042339,1.04691377762406
GKM,2022,2,2.6787933661,802528430000.0,23813900.0,20.2698598953,3.0664833648,-9.120809826,349.2038753837045,12580.2909724573,22.3344564167,0.34600763675441126,0.12217196779211005,0.1289922216,0.0769764355,0.0685183428,0.1811845205901275,45365892481.0,12332726562,0.0296735905,2.4118454926,0.3243193861,1.9584265125,-2.37733954160967,1.9803085116436,0.4903745077,2.6237614164,214.5966536408579,89.286220518,76.3572635576,380.2401377164579,4.087976822,1.2130757967,0.9803085116,0.35294423483921683,1.0250806051376402
GKM,2022,1,3.7282049942,1085913840000.0,23813900.0,27.1168211726,4.464142815,-29.0234984543,53.987799814394116,12231.0870970736,29.9902826937,0.23240581801205157,0.02553108236753197,0.1341778058,0.0809362826,0.0735626255,0.13638930572828528,42102337105.0,6868110066,0.0219298246,2.9026762983,0.2609522083,2.4655988382,-1.3542333879687094,1.8125764811925635,0.529051155,2.6279806686,218.31930575589092,73.5120310826,81.0548549932,372.8861918316909,4.9651736542,1.0584976034,0.8125764812,0.30756265211449324,0.9883109400301334
