ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
HAT,2024,3,1.7241162649,131790600000,3123000,5.1167876327,0.1004532252,-151.5655161249,1726.1685696445725,24476.3075779699,2.5055399094,0.0665333579497081,0.012597524816528196,0.3543362193,0.5405044897,0.1168157153,0.057367335346719166,45545963845.0,24549047382,0.0710900474,1.1539446238,0.0972577876,1.1179256605,0.0,3.3772622515240363,5.9502440664,90.2202276831,0.21858598556988443,0.6587229281,1.4522529114,2.3295618250698844,554.1024676977,0.0,2.3772622515,0.18804087300730488,2.4476307577969902
HAT,2024,2,1.8461425658,131166000000,3123000,5.2334328026,0.1004346777,2.3428605987,3937.9759311559396,22750.1390083253,4.0882505017,0.0857162873285738,0.025310047940109732,0.3573477027,0.2800372652,0.1171577294,0.030362768608972465,24186305651.0,14753445060,0.0714285714,1.1149107041,0.1892307032,1.1046959625,0.0,3.4014356623216755,6.1048346887,89.7090546767,0.2265811718510288,0.2678172822,1.4007186878,1.8951171418510286,1362.8694797632,0.0,2.4014356623,0.21228784098082093,2.275013900832533
HAT,2024,1,1.9124647576,132727500000,3123000,5.4918652082,0.1074136,5.0140964129,136.50939417227025,22222.6317275056,5.4246933968,0.09000998477509724,0.0026648583390090188,0.3566880505,0.2567237601,0.1169376462,-0.005603831003499162,22207666132.0,-896489951,0.0705882353,1.3107553091,0.1036624426,1.3096763798,0.0,2.7038085435995782,5.9788126499,84.583194445,0.2960795466368315,0.2817209096,1.5850772442,2.1628777004368316,1295.6084820822,0.0,1.7038085436,0.20172547290084422,2.2222631727505604
HAT,2023,4,2.3544196313,162396000000,3123000,6.5401165503,0.1315925545,4.6465042141,2446.7081277617676,22086.1223333333,5.6222789111,0.0775463092689547,0.03208527994165066,0.3669857103,0.2674106639,0.1338915762,0.01221881287510619,21784912752.0,2909895078,0.0576923077,1.274580928,0.0692663923,1.2721366709,0.0,2.632818268987162,6.6543773459,79.6148211986,0.2913106500034114,0.7071054778,4.6461897417,5.644605869503411,516.1889017648,0.0,1.8492131234,0.1991442077277837,2.36530272532821
HAT,2023,3,2.027697487,134289000000,3123000,8.4649290381,0.1121636229,3.7382912197,1504.1317175792508,21206.3191255203,5.9240242376,0.05749287048146243,0.011132591071700294,0.262969067,0.1902845013,0.0806796149,0.007416576953431001,15930700443.0,3129429010,0.0697674419,1.1961475319,0.2409178368,1.1879331052,0.0,3.5016783691827955,6.0888476742,77.8932053419,0.3804216125488738,0.7109845558,1.3497387875,2.441144955848874,513.3726141067,0.0,2.5016783692,0.2180172677019905,2.1206319125520334
HAT,2023,2,1.9794756385,121797000000,3123000,5.7588263925,0.1061426981,47.7901246724,3651.3694633365353,19702.1874079411,4.0419248093,0.08406297557762579,0.02743863547657684,0.3516566841,0.3506736986,0.1121159409,0.030496687448344734,26410340318.0,12674123134,0.0769230769,1.2027783589,0.0995718228,1.1913286374,0.0,3.456219403001438,6.0829077402,71.8176928945,0.4676189052055768,0.7504295878,1.6449658631,2.8630143561055768,486.388071517,0.0,2.456219403,0.24843896682866887,1.9702187407941083
HAT,2023,1,2.024818929,101497500000,3123000,6.6687777269,0.0888080665,1.7878836063,148.4683925712456,16050.8179446045,4.7777979465,0.08797664712959616,0.0029273283511838497,0.2595590586,0.2723050876,0.0837653698,-0.0022508394124967205,18536853874.0,-356516031,0.0923076923,1.1522112436,0.1089583924,1.1396058762,0.0,3.367778917756282,6.2901114094,68.8895895469,0.5469812331885817,0.7014918378,1.4523938922,2.7008669631885818,520.3196677784,0.0,2.3677789178,0.30854085165730194,1.6050817944604547
HAT,2022,4,1.2944297582,85882500000,3123000,4.6663749498,0.0795395751,1.9620287271,-224.18688344540507,21244.8762289465,2.7310384064,0.03629730090374093,-0.0034776110953354837,0.3123711753,0.2456262962,0.1218391941,-0.014131270739061643,19738891331.0,-2845000769,0.1454545455,1.2854166487,0.0343824602,1.2473335015,0.0,2.729909413245531,7.147980896,62.3451014897,0.8254980707106079,1.3743438515,3.6175817518,5.817423674010607,265.5812805608,0.0,1.6283328069,0.2568544533703129,2.0308815815241754
HAT,2022,3,1.0300292409,67456800000,3123000,4.0176075054,0.0692539406,0.9447420719,3196.5622081332053,20970.2784559718,2.1980434701,0.09765882141363125,0.026823086681967014,0.2994971966,0.1670383507,0.105218853,0.032523261055664145,16142524389.0,12104322240,0.0694444444,1.2115916453,0.2378145539,1.2016626615,0.0,3.053022121015005,6.1040288776,54.541696624,1.0707677548395733,1.0388972937,1.0733366876,3.1830017361395733,351.3340560351,0.0,2.053022121,0.2575576218203555,2.0970278455971822
HAT,2022,2,1.1308833628,62772300000,3123000,13.8262077668,0.0933879433,1.3627510566,1752.6130585975025,17773.7162478386,-7.6667200309,0.07095527410858603,0.013317538738432447,0.0868165145,-0.1166673262,0.0311086307,0.011549966079638804,-2740559751.0,4746951205,0.0746268657,1.1154274155,0.3227948189,1.1063554812,0.0,3.3307524119750065,4.6056736709,36.5193154165,1.5309320411383829,2.0841961559,1.5584421127,5.173570309738383,175.127470116,0.0,2.330752412,0.31952493654142705,1.7773716247838616
