ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
HBC,2024,2,1.074544394,1744399468480,347213270,1.8078435088,0.2209193935,1.4686665676,2221.210496076374,4675.4699275923,8.0203385599,0.03900205794412017,0.3568334962964764,1.2333407969,0.0898968019,0.0531346994,0.14051195407988668,743578615141.0,303692236723,0.0,1.1046102407,0.023788214,0.9215272626,-2.3140687950044114,9.498912120578737,0.5499280329,11.7805887269,274.4700567824752,104.3433827215,204.4926136382,583.3060531421752,3.4980656222,3.0449850931,8.4989121206,0.3236764055347469,0.4787480926054468
HBC,2024,1,3.0593044176,2586738861500,347213270,-7.4593333624,0.3232215849,1.5466551322,166.32591606593837,2435.1940777984,21.8503683554,0.012924842096534814,0.03498128924410811,-0.8267345434,0.0226122944,-0.01988401,0.021701483974299777,311047350124.0,35826951846,0.0,0.9297233473,0.0237436544,0.8049990392,-0.3634900500029436,99.84590498853905,0.5765845262,10.7737871792,259.12726551496644,106.3658911269,212.4099469938,577.9031036356664,3.4315511874,35.188650703,98.8459049885,4.31388627214269,0.042956708197529433
HBC,2023,4,38.2746135991,2176618163800,274133270,-1.9595976389,0.2887873521,1.9566521003,373.52641639593764,207.4482079209,-22.0421953847,0.024403901706914994,0.046743897227343414,-1.8126008847,-0.1148026792,-0.0661873172,0.1185426053627694,-310584565194.0,259676481156,0.0,0.9814650466,0.0283531762,0.8152194002,-1.9206741788194495,28.778930389264488,0.4491211601,9.079642347,385.9784442267171,115.2963452945,252.2849501346,753.5597396558171,3.1657551596,58.263301798700006,162.3079422833,1.5969553063320527,0.13064648990374128
HBC,2023,3,6.730321425,2132756840600,274133270,-1.0216219145,0.2487497254,1.3176751872,-614.484803697851,1155.9626217971,-5.6104657504,0.021086465477815355,-0.08897250407386711,-1.4949708408,-0.2612398013,-0.1383286241,-0.024581489784938005,-1212395663557.0,-46539882265,0.0,0.9958765425,0.0434925543,0.8022275006,0.3228383165781902,38.88247969256871,0.5697360314,9.8858923883,247.62078457111292,98.9742196929,184.2048990346,530.7999032986129,3.6878290239,16.7475240604,37.8824796926,2.2005525904363,0.10145461654936172
HBC,2023,2,4.527767055,2193066160000,274133270,-1.1352732574,0.2096901593,1.9485572147,-976.4804368838558,1766.8753500004,-6.8757053499,0.17192497946532734,-0.11801549492880128,-0.8525351183,-0.2216909046,-0.1170241157,-0.06351258181159938,-1042871883681.0,-144060868540,0.0,1.1029592905,0.0253257043,0.8912556662,1.0472818447237264,27.570227250687186,0.6418088959,11.5398518529,210.59948521132227,87.492916731,155.7191773639,453.81157930622226,4.1717662828,14.0925161569,26.5702272507,1.6456706088909288,0.14495490118825238
HBC,2023,1,1.1955593655,2582335403400,274133270,-1.5884547094,0.2093677584,5.2426595521,-1618.9339600406765,7879.1570472238,-9.2944067998,-0.16965558852125415,-0.37159044702897254,-0.5186443958,-0.1400788739,-0.0912651686,-0.2595790716523717,-853729870689.0,-310024498957,0.0,1.1512297411,0.0170491085,0.9550956735,2.264811338086824,7.157269751884753,0.7088967968,13.3433253634,181.51165616301594,76.1554829353,127.6718823116,385.339021409916,4.7928262803,2.8728088428999996,6.1572697519,0.41342990220888926,0.6316307694302697
HBC,2022,4,0.8448854271,2204031490800,274133270,-1.8705681713,0.1560642682,-2.5203281342,-4383.8344107119865,9516.0831775764,-16.6876139866,-0.1323845777785107,-0.3734413204469911,-0.3397742028,-0.0822169282,-0.0679452942,-0.29108425818298433,-495055828864.0,-936725272252,0.0621890547,1.1926895413,0.0387460379,1.00694809,5.739147445204537,6.403960532956448,0.8430754918,14.6876693106,156.74188926221854,63.3830638185,110.4003689423,330.52532202301853,5.7586361089,2.7098062746,5.403960533,0.3628423205873816,0.761215336739002
HBC,2022,3,0.617543021,2420596774100,274133270,26.2529291671,0.1643975148,-1.4317159101,22.896434949322277,14298.5989635771,15.6777427781,0.07479891158350446,0.0016613808628583233,0.0223719317,0.0299932373,0.0050198542,0.03159843261465323,540758065569.0,119378453984,0.0566251416,1.2731678483,0.0438558421,1.0636831031,-0.9730781722989927,4.955584565210896,0.8311890709,15.888148303,138.86342395251418,72.6482316339,100.9069988799,312.4186544663142,5.0242103874,2.0254118156,3.9555845652,0.24700332465607036,1.0858309196295983
HBC,2022,2,0.9030764594,3416943010000,262841770,35.1179808005,0.2620729949,-2.3357799588,195.4615972758059,14395.2373735042,18.9649264807,0.0491743206875379,0.012398778717870956,0.0236578282,0.0255991764,0.0056874475,0.01106725923309602,492986895793.0,45858199581,0.0384615385,1.2908090091,0.0492656724,1.0787818664,-0.3154590648580515,4.7908496321712795,0.7673477452,13.854775784,148.74363343628755,82.8230058736,106.8214827685,338.38812207838754,4.4069880844,1.9916152613999998,3.7908496322,0.23587709846265573,1.0994891966945848
HBC,2022,1,1.2799747254,4741129032200,245654354,45.0148999047,0.3926432056,-6.0183358358,54.3181473388418,15078.4227357151,19.278317159,0.06624552519848566,0.004473244537130783,0.0249193244,0.0312080284,0.006333065,0.01678775033806127,542652772684.0,50077112204,0.0259067358,1.3504323883,0.0557185915,1.1125070992,-0.5591817308616408,4.182165902187667,0.7338519375,12.3834819552,154.47679373092006,90.2796243989,113.756288874,358.5127070038201,4.0429942241,1.7266333783999999,3.1821659022,0.2230157344837111,1.1765997800662975
