ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
HNR,2024,3,0.6889998784,240000000000.0,20000000.0,-20.5412965049,2.1427358166,5.2144903335,-247.6403383,17416.5487923,1578.0028288632,0.2397690145499496,-0.22241670315731,-0.0330597839,-0.0541086359,-0.0313009882,-0.2858826145685386,136356539.0,-6366074704,0.0833333333,12.6036970623,1.1694667316,8.3508126326,0.0,1.0609507684564534,0.300066333,1.38296619,39.74919248891451,509.6268082933,19.210474952,568.5864757342146,0.7162103603,0.0609507685,0.21207102893042432,1.74165487923
HNR,2024,2,0.6793405523,240000000000.0,20000000.0,-26.622863209,2.1689132874,7.2351320796,-149.15979855,17664.1891306,90.764215676,0.2839775943973132,-0.13254759367652516,-0.0257003183,-0.0467011396,-0.0242955574,-0.2475808894373176,2485315232.0,-5572204605,0.0833333333,14.2641713883,0.7770622789,9.459618947,0.0,1.0525358018383308,0.2982218353,1.2906428362,43.58193512700207,539.9082018898,19.7932127126,603.2833497294022,0.6760408505,0.0525358018,0.22253194159309145,1.76641891306
HNR,2024,1,0.6736521048,240000000000.0,20000000.0,-29.4880881064,2.2316829218,21.3350349209,23.26748715,17813.34892915,63.2757622819,0.3219141228320443,0.01327620767897091,-0.0234244822,-0.0431272548,-0.0220604765,-0.03098572091017734,3619253718.0,-1086093078,0.0833333333,13.522243185,0.5636744231,9.1065965559,0.0,1.0547208425814243,0.2914935934,1.1885479396,46.70479707233417,570.7064824199,18.8076730476,636.2189525398342,0.6395581814,0.0547208426,0.23399009369760837,1.781334892915
HNR,2023,4,0.6745331683,240000000000.0,20000000.0,-24.3521043914,2.3785839517,-13.8008159343,-210.6563764,17790.081442,164.4593629667,0.3110712800988479,-0.1309230100592351,-0.0281899609,-0.0494919875,-0.0265735172,-0.18096043873184361,1374740736.0,-5823341562,0.0925833333,12.8538249144,0.5304442079,7.9571314242,0.0,1.0566277850645531,0.2720614779,1.0338047071,61.7304542312056,526.9020068112,15.5522215695,604.1846826119056,0.6927284301,0.0565428854,0.24765495666502152,1.77886529122
HNR,2023,3,0.7106020861,240000000000.0,20000000.0,-17.1443928592,2.4071400738,-7.6456747713,-114.19171175,16887.0880546,-103.7880608153,0.2645330372895739,-0.109189242610416,-0.0410691268,-0.0626386942,-0.0384764687,-0.19205678240446622,-2178371808.0,-4017116011,0.0,10.4053684017,0.6068621118,5.7175142212,0.0,1.0678709627671892,0.2740412583,0.9972930364,57.517559532401016,512.8831322633,17.2026828397,587.603374635401,0.7116631003,0.0678709628,0.2749289239322304,1.68870880546
HNR,2023,2,0.7058292179,240000000000.0,20000000.0,-18.3538145056,2.4369282833,-5.5845762563,-105.36338115,17001.27976635,-187.0365748241,0.29105747418193434,-0.1086541429282314,-0.037664501,-0.0594531351,-0.035199323,-0.2288442132285126,-1217070571.0,-4438266119,0.0,10.0996199985,0.5290811731,5.7939215844,541.4328835488932,1.0687226830307515,0.2651049889,0.9404717438,61.82241285265416,493.5200672205,15.2454520879,570.5879321610541,0.7395849211,0.068722683,0.2870401461164648,1.700127976635
HNR,2023,1,0.7014818686,240000000000.0,20000000.0,-17.02460301,2.1694808818,-16.9388217703,-63.98761565,17106.6431475,-187.1197537931,0.24815911201326624,-0.04506902498644388,-0.0399052381,-0.0591900727,-0.0370501941,-0.11829998494630022,-1216631843.0,-3359173610,0.0,10.0097786788,0.7821129267,6.985127366,0.0,1.0679502349746435,0.2907445978,1.0105745575,60.94014644518311,393.092390143,20.433939656,474.4664762441831,0.9285348919,0.067950235,0.29914406147812,1.71066431475
HNR,2022,4,0.6988677449,240000000000.0,20000000.0,-14.4342378106,2.1641046982,-56.4126562601,-416.39458865,17170.63076315,-78.8172741987,0.17183248499194329,-0.2686639212760632,-0.0484734669,-0.0635175774,-0.0457700577,-0.301352285450075,-2763281662.0,-9341147136,0.0,10.1842358347,0.4332678678,6.9466377601,2680.438853900162,1.0650121478524166,0.3052790828,0.9519773567,62.836480204699626,376.8371927918,11.5534958679,451.22716886439963,0.9685880454,0.0652699874,0.3117407767896353,1.717661592315
HNR,2022,3,0.66111553,240000000000.0,20000000.0,-16.9742063883,2.0860724851,-34.6316027615,-68.06945645,18151.13918135,-373.3928880473,0.360428308565263,-0.06911463525773696,-0.0400671879,-0.0541297418,-0.0374974537,-0.15621234501964207,-583284619.0,-3077000805,0.0,8.808557615,0.7865069242,5.9933541118,0.0,1.0779814463107833,0.3051138071,0.9678869445,54.717230082630984,346.2990020574,19.153727528,420.16995966803097,1.0540024598,0.0779814463,0.3080586537700782,1.815113918135
HNR,2022,2,0.6586455119,240000000000.0,20000000.0,-14.2316727335,2.2001341567,-331.7894951539,-156.41059025,18219.2086378,-78.2392048405,0.2756681335341043,-0.09919754643293131,-0.04819328,-0.0598739145,-0.0452604056,-0.1418589789439321,-2783698133.0,-4473547467,0.0,7.1992937557,0.8253857969,5.4158643586,0.0,1.096049277314347,0.2927690923,0.8835978856,49.7233126582151,347.2394054816,16.968917894,413.9316360338151,1.051147981,0.0960492773,0.3199906098640506,1.82192086378
HNR,2022,1,0.7081155214,240000000000.0,20000000.0,-9.1130442432,2.5326777312,-16.330509812,-184.49688295,16946.38747065,-17.561806466,0.22758154535818031,-0.12870286178467646,-0.0757569382,-0.0921938073,-0.0715367308,-0.17060702783139411,-12250966809.0,-4891338764,0.0,12.1099583481,1.4850276816,8.7796541741,0.0,1.0495034573417448,0.2574024263,0.7401208743,46.16211836342941,362.9086521663,18.083067539,427.1538380687294,1.005762739,0.0495034573,0.35740724408903685,1.694638747065
HNR,2021,4,0.7004892306,240000000000.0,20000000.0,-9.1379969326,2.3517393795,-17.541345655,-297.9780658,17130.8843536,-17.5045248928,0.19692880087844739,-0.16956680049913989,-0.0738270866,-0.0912850376,-0.0695467858,-0.2051010915327392,-12291056709.0,-7208442498,0.0,11.2031058237,0.4520583844,7.6532283222,0.0,1.0482266982949628,0.2702333095,0.7550698377,60.26987806930705,346.6379984759,13.3810481953,420.28892474050707,1.0529716927,0.0528456476,0.3647013062199282,1.72602163569
HNR,2021,3,0.6834415721,240000000000.0,20000000.0,-8.6337422633,2.5380286504,67.9396881011,-204.30417065,17558.1944227,-15.0626627546,0.14088147327715692,-0.29753595439785413,-0.0770376128,-0.0935958371,-0.072284581,-0.3818356982971017,-13888842004.0,-5243778072,0.0,9.494011555,1.3853527478,5.9569277167,0.0,1.0634298711836874,0.2458941676,0.688736374,39.30224211431352,379.8685938632,19.7063820142,438.8772179917135,0.9608585861,0.0634298712,0.37073099116241737,1.75581944227
HNR,2021,2,0.6755806306,240000000000.0,20000000.0,-8.2077209916,2.301066277,11.7053778969,-630.0146632,17762.49859335,-13.3499494258,-0.15953749530779957,-0.7320524742526251,-0.0794944074,-0.0976596143,-0.0748723834,-0.8077651002950079,-15670691812.0,-13903480297,0.0,8.1402819384,1.5663306362,5.5762102184,15103.48216171237,1.0741247995787557,0.2670638562,0.7342868419,39.99258924479838,345.1421483435,19.790585577,404.92532316529844,1.0575352844,0.0741247996,0.37979145536290787,1.776249859335
