ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
HPM,2023,2,1.25,47500000000.0,3800000.0,3.8884258403,1.0305634991,-50.5837097065,0.0,10000.0,3.4793434203,0.0,0.0,0.2864379025,0.3270937923,0.2214332589,0.0,14501492711.0,0,2.5159760886,0.0005764414,2.5159760886,1.380183510763158,0.8354912692,2.799946578,282.4901400152333,0.0057399531,17.4291711217,299.92505109003326,63589.369926179,0.0780000284,0.3801835108,0.42365088839473686,1.0
HPM,2023,1,1.5470824628,58900000000.0,3800000.0,2.6498675893,0.6499242615,44.0059177455,0.0,10018.8583173684,2.3854894175,0.0,0.0,0.5376951392,0.5907946288,0.3351561134,0.0,25928611835.0,0,2.5205949547,0.0008008142,2.5205949547,1.3795531086755268,1.3664966443,5.3404002343,153.32131224655646,54.5275946069,94.6724297516,302.5213366050565,6.6938584515,0.0778532104,0.3795531087,0.4228534579237508,1.0018858317368422
HPM,2022,4,1.5206240624,68400000000.0,3800000.0,3.2133600446,0.7547507553,123.069018536,-1198.3146392105264,11837.2452763158,2.7575562866,0.0,0.0,0.4654992108,0.5560452595,0.3230958286,0.0,25085188918.0,-3953841434,2.3639334051,0.0007183091,2.3639334051,1.249792575195313,2.0367512334,5.1206727394,81.74974503337988,0.0012814452,6.0046493798,87.75567585837987,284834.656697139,0.0778532104,0.4231486229,0.3578965194227972,1.1837245276315789
HPM,2022,3,3.063041521,72580000000.0,3800000.0,290.4769493434,17.0375586854,-238.8711005762,4412.983122894737,6235.6320894737,15.0823714657,0.4339103959739511,0.363828746297466,0.0,0.0,0.0,0.3764900548122621,0.0,17352911896,0.0,0.0,0.0,1.2007706585808637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35428905329015775,1.3035559915526316
HPM,2022,2,4.0915871543,93100000000.0,3800000.0,294.4483130539,22.4879227053,145.8973558538,2634.680390526316,5987.8964021053,19.2122894881,0.278556943686888,0.22480886791183263,0.0,0.0,0.0,0.2435087579367953,0.0,10844578644,0.0,0.0,0.0,2.9622320109612983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5533909900312346,0.8622576792631579
HPM,2022,1,3.2899700792,74860000000.0,3800000.0,236.7604802923,18.0821256039,117.3133840947,-247.73568736842105,5987.8964021053,16.0094445294,0.0,0.0,0.0136352514,0.0899619975,0.0092247122,0.0,4950820407.0,-358860328,0.7491085541,0.0099949024,0.7490740154,1.522102915185583,0.1207848756,0.2112052027,351.21824546438467,0.2810961818,372.4995609705,723.9989026166847,1298.487932501,0.1985858396,0.5221029152,0.822485244146672,0.5987896402105263
HPM,2021,4,2.6460829894,62700000000.0,3800000.0,250.9355845113,14.7183098592,-206.354615681,159.38252578947368,6235.6320894737,13.2864516514,0.9071264173913044,0.4388794188405797,0.0106007613,0.0867210167,0.0073533937,0.7303819333333333,5058648592.0,1007927068,0.7739070219,0.0009365613,0.7738701018,1.4515044758934443,0.125369567,0.206762746,258.8570507381958,0.2548009134,159.5575911111,418.66944276269584,1432.4909399318,0.1906962145,0.4690214159,0.8073605166041498,0.6289949107105263
HPM,2021,3,1.6856086499,39520000000.0,3800000.0,-28.0129919266,164.6666666667,-1091.6503142403,129.76121052631578,6169.8781628947,11.0627331398,0.8724431985507246,0.35731347826086957,0.0,0.0,0.0,0.6899877898550725,0.0,952183150,0.0,0.0,0.0,1.4707699685335631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.853356148644791,0.613056658131579
HPM,2021,2,1.8391006161,43700000000.0,3800000.0,-39.919743156,0.0,165.5043157182,41.798405,6253.0564665789,57.5331775957,0.8343494615942029,0.11509705724637681,0.0,0.0,0.0,0.6175727260869566,0.0,852250362,0.0,0.0,0.0,1.4696473585963563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8996614614897501,0.6000805370789474
HPM,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5418024,-6.677587908333333,0.0,0.0,0.0,-1.3267245583333334,0.0,-159206947,0.0,0.0,0.0,1.4380432981069722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9367577485193734,0.5959006965789474
HPM,2020,4,1.6856086499,39520000000.0,3800000.0,-28.0129919266,164.6666666667,-1091.6503142403,569.383977631579,6169.8781628947,11.0627331398,0.0,0.0,-0.0584149068,0.0369477013,-0.0417509012,0.0,3980163797.0,-490895892,0.5173636965,0.0079562665,0.5173214153,1.3224218411363926,0.0071026376,0.0102640137,3900.4531185240457,0.6809547733,46.5760704403,3947.710143737646,536.0121028376,0.1927285115,0.4139161575,0.9220448588916685,0.6253056466578948
HPM,2020,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-715415723,0.0,0.0,0.0,1.4898735147673903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0473701265376505,0.5683672488947369
HPM,2020,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80478910,0.0,0.0,0.0,1.4575315412533565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0357307617388631,0.5936521403947368
HPM,2020,1,2.0533320425,49020000000.0,3800000.0,-9.0237681276,284.0186939459,-11.0792673159,-258.6629902631579,6282.4714821053,-22.258686903,0.0,0.0,-0.2041263139,-0.1918824737,-0.1508000305,0.0,-2398609399.0,-982971722,0.342404735,0.0012447807,0.3423629472,1.4112969878497907,0.0047911794,0.0068379247,8417.0784985596,0.0708301707,142.168973515,8559.3183022453,5153.1712567144,0.1850857021,0.4112969878,1.009925839849348,0.6282471482105263
HPM,2019,4,1.9721349644,49020000000.0,3800000.0,-7.5600095945,60.3091366622,-27.5788666089,-367.56270210526316,6541.1344723684,-26.3527562689,-22.01810841725598,-39.53710969991938,-0.2307649401,-0.1715463585,-0.1768289556,-45.09086350933456,-2026535492.0,-1592937245,0.3503634925,0.001389342,0.3503206359,1.3664361334419863,0.0221662699,0.0308423217,1779.5259624147493,0.1666163383,336.2550057915,2115.9475845445495,2190.6615140955,0.1777666627,0.3851815966,0.9462478079009944,0.6912636929736842
