ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
HTT,2024,3,0.2381040136,28000000000.0,20000000.0,-3.2891339648,5.4136004982,-773.5871914958,-100.1265535,5879.7832882,-21.0915350975,0.23162559386655474,-1.221120288581548,-0.069485867,-0.0337514284,-0.0414576335,-0.7494568291215502,-2970266371.0,-1229044018,0.0,0.2247329326,0.0046193384,0.2247329326,2.193700254072796,1.7147208657900208,0.0251883586,3.7834541111,462.0458129834206,437.132809726,117.7591093819,1016.9377320913205,0.8349865118,0.4014094722,0.7147208658,0.010573804782018224,0.58797832882
HTT,2024,2,0.2173945819,26000000000.0,20000000.0,-3.2784433322,5.031454673,242.3301505412,-110.46097725,5979.90984155,-23.495611782,-0.11935198880775187,-2.2981916180951636,-0.0628456925,-0.0312516095,-0.0379742039,-1.1160496845699055,-2571859591.0,-1072842994,0.0,0.2421208229,0.0077134124,0.2421208229,1.0561462886071218,1.7002703693714187,0.0247435948,3.5135654966,478.28486163854944,436.0983983566,120.0037085625,1034.3869685576494,0.836967073,0.394688343,0.7002703694,0.011281914224063458,0.597990984155
HTT,2024,1,0.23528945,28660000000.0,20000000.0,-3.2962702561,4.3697232462,111.7512228434,-103.9858815,6090.37081895,-28.8381590718,0.4972898411047402,-1.619055018184624,-0.0670739311,-0.0290596053,-0.0409904086,-0.6018657384383307,-2183706353.0,-773111953,0.0,0.2580582979,0.009409208,0.2580582979,0.6998310381800983,1.6808593635871423,0.0309208288,4.1138857155,391.23451553156025,484.2529738729,131.1041974433,1006.5916868477602,0.7537382725,0.3875298856,0.6808593636,0.011516123235348735,0.609037081895
HTT,2023,4,0.2549094404,31580000000.0,20000000.0,-2.3194611442,4.4603216636,-7.4025865981,-111.070546,6194.3567003,-8.7987129922,-0.7252571483767205,-1.7267976341216364,-0.1041758093,-0.0584660492,-0.0640251098,-1.6126893590863198,-7031318383.0,-2074618173,0.0,0.2729496747,0.0057205103,0.2729496747,0.0,1.6148466396607606,0.0332944047,3.7419850257,339.72293275224484,523.8942719042,151.8724633967,1015.4896680531448,0.6967054606,0.3810243453,0.6647284175,0.01123790213775842,0.655241267875
HTT,2023,3,0.1661222615,21980000000.0,20000000.0,-2.9811978724,2.2338380909,5790.732720011,-71.0122492,6615.6094303,29.3320091674,0.18186645411721794,-0.8685206128402155,-0.0548450129,-0.014655367,-0.0340112241,-0.5566238420944267,1781894725.0,-910216992,0.0,0.3371300042,0.0044132729,0.3371300042,0.0,1.629880958980832,0.0453901244,5.105950883,261.1966786659705,438.4057297877,114.8273018217,814.4297102753704,0.8325621113,0.2316811258,0.629880959,0.012532104604041047,0.66156094303
HTT,2023,2,0.1649854534,22000000000.0,20000000.0,-2.5691319084,2.4236844982,896.7381557194,-148.6650947,6667.2544616,-30.4558271735,0.7407073728030164,-1.263856881487096,-0.0630857709,-0.0249052951,-0.039227372,-0.339293009758605,-1714283135.0,-798207901,0.0,0.3402985796,0.0053488315,0.3402985796,0.39065230813442264,1.6231750265540217,0.0415814407,4.3266413259,241.63382570973482,429.3351779075,112.6693691521,783.6383727693349,0.8501516269,0.2298865071,0.6231750266,0.013825727948574328,0.66672544616
HTT,2023,1,0.1760584159,24000000000.0,20000000.0,-1.9045706837,3.3882084444,-4.5906283569,-59.19870965,6815.9195564,-11.265768784,0.3073638579257732,-1.1168752992594162,-0.0916846001,-0.0431888259,-0.057303982,-0.8758589619768468,-4815090534.0,-928478236,0.0,0.3563730544,0.0050166632,0.3563730544,0.0,1.597602771679625,0.0322115613,3.1231655454,260.098656773027,416.3930310076,112.492585882,788.984273662627,0.8765756697,0.2248723489,0.5976027717,0.014749027444962466,0.68159195564
HTT,2022,4,0.1594154395,21920000000.0,20000000.0,-2.178012428,2.8426058051,-8.0761380628,-89.7677088,6875.11826595,-33.7000510055,0.40394187890957833,-0.37468144771045897,-0.0706090344,-0.0237799641,-0.0448417858,0.05187539258960757,-1549267674.0,248570361,0.0,0.3642902946,0.0041960188,0.3642902946,-0.12232910128817799,1.6002557035402634,0.0343579003,3.0333821806,250.03751328225044,476.3732598697,204.8030662868,931.2138394387505,0.7662058951,0.222936069,0.5932139022,0.016176995623685367,0.678743594325
HTT,2022,3,0.189030319,26000000000.0,20000000.0,-2.4946976152,5.3187254392,-4.9310678907,-130.5286745,6877.20365205,-7.1810192728,-0.7205652171998594,-2.991142568151311,-0.0720474958,-0.0430551164,-0.0457894658,-2.9862871494791103,-7838775736.0,-2606335836,0.0,0.3861094968,0.0043233052,0.3861094968,0.0,1.6120568484467206,0.0214771137,1.8029839246,279.678704659666,459.2562719129,191.5595064937,930.4944830662661,0.7947632342,0.2228684678,0.6120568484,0.017024709783764996,0.687720365205
HTT,2022,2,0.1997793202,28000000000.0,20000000.0,-2.8628702306,2.4532172126,15.2596618116,-350.56815975,7007.73232645,-10.4283730231,-1.3281421988702204,-19.53773737936323,-0.0657248038,-0.0386651557,-0.0424072179,-10.937634804728242,-5584238367.0,-3925108042,0.0,0.3384654032,0.0050762744,0.3384654032,1.9316660977004414,1.5901304392137026,0.0494886311,3.8834594902,143.14643509615976,196.3866777012,97.623780758,437.1568935553598,1.8585782105,0.2187172353,0.5901304392,0.01800757992335117,0.700773232645
