ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
IDI,2024,2,0.7696724074,2513188545600,273172668,38.20625912,0.3490291354,-8.5877357009,59.89525823644992,11953.1373504321,15.8899480503,0.08145336859559583,0.008441750183086528,0.0201708545,0.0338912166,0.007932494,0.04614174018450525,410214535453.0,89431632708,0.0,1.2123799798,0.1261694103,0.9109352269,-1.071312761843,2.3982805963216847,0.8683255701,8.0548940746,77.60065667143498,82.5596356228,14.9606245028,175.12091679703497,4.421046644,1.349254747,1.3982805963,0.24909637694152997,1.2650922950710428
IDI,2024,1,0.8508027339,2765881987200,227644608,38.7227150828,0.390171823,239.512526446,60.00810198412431,14280.6311208346,15.3511891596,0.07325630927539946,0.008381460695476808,0.0219858432,0.0359895843,0.0086033358,0.03711339924896325,431111364786.0,60489261095,0.0,1.2129002729,0.1273952933,0.8754429174,-0.9562143101128391,2.3883976556726316,0.853840545,7.752055177,74.37426298529908,86.47284326,16.0731664501,176.92027269539906,4.2209783585,1.3216984917999999,1.3883976557,0.2573392889819683,1.2585865633014208
IDI,2023,4,0.8543929463,2765881987200,227644608,47.8808385415,0.383020393,15.9986153209,71.77106178152921,14220.6230188505,14.8114922849,0.06054066393974227,0.008675543256726774,0.017933727,0.0386454774,0.0070611799,0.029177545813880445,451641135996.0,54948876784,0.0823045267,1.222316488,0.2455498762,0.8753533874,-0.5890010677845283,2.4088680354111265,0.8827081268,7.5646327865,67.77151759060021,84.6978543855,16.1062320267,168.57560400280022,4.3094362029,1.3858989365,1.419205408,0.26455495946941354,1.2578010135885922
IDI,2023,3,0.8161701837,2640677452800,227644608,34.1566993552,0.3747431123,9.8132937158,85.30373113427751,14212.7220907073,14.1175885175,0.06332999427821462,0.011101547141311391,0.0240250644,0.041404957,0.0093615158,0.03511584377090843,464971383662.0,61424976099,0.0862068966,1.1463223123,0.1356465744,0.8143322936,-0.7405580546138193,2.44748059085497,0.8532738055,7.3422114947,74.79812939627958,85.612164365,17.4235780124,177.83387177367956,4.2634128305,1.3229122426,1.4474805909,0.26860132213730326,1.25534977423327
IDI,2023,2,1.0015898391,3221171203200,227644608,21.0370380309,0.4435900715,6.3395638542,96.68642561478987,14127.5394858639,14.1635372599,0.08488008487164173,0.012050029202918344,0.047868159,0.0512972211,0.0185388799,0.05456120018140541,534221699508.0,99659496505,0.0706713781,1.1584677767,0.0453074552,0.8305542948,-0.9849854133281707,2.4451816263687634,0.8791971408,7.3640918182,73.49357367912008,80.9001673841,19.8171093217,174.2108503849201,4.5117335576,1.3333005141,1.4451816264,0.2768572960008485,1.2467778760607924
IDI,2023,1,0.9820502929,3141495590400,227644608,8.7482583411,0.4016796574,4.8280154969,63.8389078075594,14052.2334747546,9.9289417606,0.08178293828913726,0.008246807200568754,0.1106275559,0.0786118622,0.0437404629,0.04892003239124828,719409386655.0,86207233999,0.0724637681,1.2093466578,0.0934333734,0.9046665678,-1.0175482254433383,2.4233964169456086,0.9526319348,7.7198223393,69.68930813745853,74.2515385567,20.5787824963,164.51962919045852,4.9157230556,1.311094681,1.4233964169,0.2875965535697135,1.2387506635645555
IDI,2022,4,0.8372834293,2674824144000,227644608,4.8868118652,0.3372821359,5.0423805664,93.78220406608533,14033.4796897188,7.1454142109,0.08390629993110563,0.01249464327349923,0.1681835259,0.0975749255,0.0700034304,0.04484890465872142,844851620748.0,76631227584,0.2553191489,1.2045136361,0.1416283641,0.8651390974,-1.1244896055965334,2.4124622976926804,1.0142653817,7.5997474599,64.4964754337004,75.1403582388,16.487160529,156.1239942015004,4.8575759892,1.2678055586,1.4013962728,0.2979140649377891,1.2308883422385435
IDI,2022,3,0.9086798385,2879704291200,227644608,4.7491222465,0.3774628593,5.6001270881,418.3156701695302,13921.2948980588,7.0934788159,0.1121386644179742,0.0484822004677181,0.1809364502,0.1052242243,0.075795469,0.06973633005490341,879920147243.0,136974040578,0.2371541502,1.2163431689,0.1424060652,0.9363839238,-2.36617279882068,2.51607649603822,0.953635409,7.1225754018,72.21570695323678,74.7407396668,21.9042111307,168.86065775073678,4.8835481376,1.2255505749,1.516076496,0.3075666401077948,1.221705469139028
IDI,2022,2,0.8831579248,3016291056000,227644608,5.7942625114,0.4451511993,15.5255434873,1001.5200627198691,15002.9792278893,8.2898466314,0.17997358487067786,0.09555882514562446,0.158659502,0.0898058668,0.0672622103,0.12620720697213603,790117461789.0,301113603156,0.2264150943,1.4346639835,0.1178640166,1.1287585138,-4.886565928890254,2.271820169258528,0.8755112966,6.2357903945,78.5447791982949,81.3173570881,19.0894085953,178.9515448816949,4.4885866077,1.1555629752999999,1.2718201693,0.29369507490494856,1.3099704227386322
IDI,2022,1,1.3918386362,4439069856000,227644608,14.0340338525,0.7136916556,36.057557906,872.4100784763591,14010.2447894703,14.5518844212,0.16268947534345646,0.10609888553356242,0.1004781503,0.061278728,0.0417343122,0.11399041551452387,569243688274.0,213371080669,0.1538461538,1.363239507,0.0612762782,1.0408710719,-4.689064478243311,2.3664117325452914,0.8206635824,5.6292702973,80.43553746306324,86.9617149095,17.2952636266,184.69251599916322,4.1972493341,1.2635283468,1.3664117325,0.33472197366663026,1.2250846895865146
IDI,2021,4,2.2321655015,6669987014400,227644608,48.8175417565,1.1663166187,26.19360112,371.4042998374027,13126.2668380575,24.1973151876,0.1145082706060673,0.06008105431607717,0.0444958284,0.0424151575,0.0178982803,0.07711287343022684,424750071738.0,108515964957,0.0511945392,1.3399972501,0.0867826073,1.0293463801,-3.005121181091197,2.4037167068693326,0.7491533879,5.056411412,89.75636434762295,99.3738614973,16.2158230191,205.34604886402298,3.672998055,1.3476822495,1.4036907471,0.3458405018437454,1.1504108029724263
IDI,2021,3,0.976399224,2834175369600,227644608,34.2712247067,0.4549809236,3.1578678332,41.41041631875594,12750.9318869657,15.9195259696,0.08971099988297081,0.008485448225175812,0.0272672852,0.0396929448,0.0109911289,0.04185315315954002,404660272506.0,46496510355,0.0401606426,1.3505915366,0.1319535962,1.0651944325,-0.7356538867465153,2.4062087189775476,0.8279016289,5.4964278173,76.74284871712192,90.6916151452,14.8650099976,182.29947385992193,4.0246278492,1.4156257873,1.406208719,0.3561192587763302,1.1188520133006132
IDI,2021,2,0.5712252831,1652699854080,227644608,16.2354859328,0.2491662308,2.874904734,104.2545386095857,12709.5214706469,12.1318150185,0.07878340223362552,0.012969851192799921,0.0337974951,0.0434920655,0.0135556797,0.043046281864023525,433506892005.0,78768575307,0.0688705234,1.3291370715,0.1423719978,0.9951053487,-1.1964627895278703,2.4581106815110796,0.8832779893,5.7039936265,77.18745188413129,91.4078705022,13.4200603692,182.0153827555313,3.9930916014,1.4428280142999999,1.4581106815,0.3690155447935755,1.1152241977301331
IDI,2021,1,0.4291455832,1231557329280,227644608,12.1411870137,0.1962639049,2.1892047946,83.12296784995672,12606.4445536966,11.7761145323,0.07699253901251309,0.013803875203874705,0.03401804342865944,0.04284428060054779,0.013484702445566654,0.048601379037233855,426660757504.0,66623274931,0.0924214418,1.3281323909759521,0.09804718941450119,0.9600134491920471,-1.0936180699286824,2.4926036892266987,0.8341844081878662,5.310634613037109,86.67583556762072,99.656982421875,16.450950622558594,202.7837686120543,3.6625633239746094,1.4782817363739014,1.4926036596298218,0.37931834144598625,1.1054531850547362
IDI,2020,4,0.5094495064,1452372599040,227644608,15.1472865578,0.2281181362,-46.1661701148,134.49060334870748,12523.3215858467,13.3451037456,0.0757234178596864,0.015965773895476886,0.0325576228,0.0380807231,0.0126102541,0.04547364416231803,397269420353.0,87200523951,0.078369906,1.2720573026,0.1264273438,0.9185807037,-1.2305075797312217,2.5678776183059866,0.8373342677,5.394624185,81.40546872187615,92.2264430428,20.4186195408,194.05053130547614,3.9576501918,1.5701252889,1.5723402491,0.39057516924539165,1.1014416474956419
IDI,2020,3,0.4474858594,1265704020480,227644608,12.8966316856,0.1881225343,-3.407449425,125.30052007205899,12424.9736249365,13.7894731077,0.07515496883932715,0.018832106164950548,0.0335740517,0.0360836447,0.0131849441,0.0497576728875993,370930274931.0,75365295877,0.1798561151,1.2723992292,0.0797978921,0.8555403887,-1.1262722528173679,2.454320889532499,0.9038862301,5.665836675,89.32305976100392,89.0987644743,18.8389852407,197.2608094760039,4.0965775693,1.5057797277,1.4543208895,0.40590324030276337,1.0881687636583028
IDI,2020,2,0.4151257556,1156434608640,227644608,9.0418859174,0.1662601021,-5.0217289067,102.67660706024718,12237.2556554689,13.018464425,0.07727977271013028,0.01587952957334925,0.0438267247,0.0374825011,0.0171292289,0.049889434114234556,375991675840.0,73434445940,0.1968503937,1.1418844986,0.1113072759,0.7530669319,-1.0407397136248895,2.5768257363920433,0.9315556277,5.8992422605,85.08560007271778,83.9679977791,25.1485167132,194.20211456501778,4.3468941699,1.5513150710999999,1.5768257364,0.40980576669171725,1.0711692424873194
IDI,2020,1,0.288014871,796756128000,227644608,4.6598116153,0.1073613836,-1.0648071744,58.35573493135405,12152.1502970103,11.7827814693,0.05786819408697341,0.00908295615850551,0.0587709998,0.0422565393,0.0234234796,0.027619350212479663,399982476508.0,40394956980,0.2857142857,1.237406794,0.063137972,0.8681771549,-0.6042999502561308,2.560510473696021,1.0166504806,6.5089537189,83.65514096064716,72.7037705107,24.0915459004,180.45045737174715,5.0203723608,1.5669397315,1.5605104737,0.3991252942728887,1.0629822375004223
IDI,2019,4,0.3222766931,887813971200,227644608,2.8370097113,0.114825068,-5.6787659108,144.78745954747146,12101.4025647205,7.8474699129,0.052794051270164837,0.014462949604408422,0.1126535795,0.0666153993,0.0443533879,0.027590254863135374,556407229990.0,62876325768,0.0,1.2072551379,0.141873046,0.8626079891,-1.0209365859281772,2.5960963955113048,1.0958494899,6.7833090124,74.53514336578803,57.9861165596,25.6570079482,158.17826787358803,6.294610187,1.5410518299,1.5916865184,0.41009607784006413,1.0579861148070642
