ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
IDP,2024,2,4.6971165637,14369539740000.0,61804472.0,14.9062325813,2.1016645874,13.7926850514,4658.3252155119135,49498.4522629366,11.6280851617,0.4094049022897916,0.1491844955530668,0.3254582569,0.2650991407,0.180394569,0.17850289373871606,1324428999813.0,344485761738,0.0,1.3878881738,0.0926664255,1.2233841532,-39.51192550270522,1.8502875220243964,1.2941596578,8.2089816309,6.472295059464653,36.395542603,61.2410404133,104.10887807576465,10.0287006016,0.4774588983,0.850287522,0.272198419075953,4.949970735434808
IDP,2024,1,6.1262092257,16977688458400.0,61804472.0,18.447597628,2.5483470024,11.5748998963,3614.193447004935,44840.1270474085,14.4508975132,0.38895603200471274,0.1409849452376301,0.337806028,0.2670266972,0.1826500599,0.1652875987537321,1246762323966.0,261877885229,0.0,1.3181794439,0.0890493784,1.1560036159,-36.53323925619026,1.9164583609420578,1.3531845197,8.3006326761,6.321549972983635,37.7572377654,61.5081162374,105.58690397578363,9.6670207251,0.4796623553,0.9164583609,0.3078713755280564,4.484012704740848
IDP,2023,4,5.0137430166,15389313528000.0,61804472.0,16.1101073599,2.3125647338,9.0933529441,3015.4978191869354,49663.4947529525,12.7156874585,0.43333612355103246,0.11114749390697615,0.3794596717,0.2807563301,0.2035000557,0.13827863114891753,1240256582478.0,231864529763,0.0341365462,1.6312756258,0.098785732,1.4282106359,-42.301972761230424,1.7426730937085761,1.4650424727,8.8526419037,6.568976031298101,38.342406807,61.2641080695,106.17549090779809,9.5194858747,0.26491566969999997,0.7111392682,0.2691902182180356,4.90995068083261
IDP,2023,3,5.4927260047,15644370360000.0,61350472.0,17.2733963465,2.3526749486,12.8075135271,4162.946143804729,46425.0355436222,14.0435968802,0.41235020601352035,0.15514551652521108,0.4027330721,0.2781738694,0.2069475909,0.1852097757262681,1141144397678.0,304890138069,0.0,1.7279211168,0.1609174494,1.5391986257,-28.733549880647878,1.7107525486898052,1.5755948905,9.2633416826,6.291274074030349,35.2400792277,58.1439147781,99.67526807983035,10.3575249545,0.2719580569,0.7107525487,0.2909753203982633,4.6084008989155345
IDP,2023,2,5.2800051272,13754775822400.0,61350472.0,16.3911792894,2.0734279297,24.9070787149,3815.970326683061,42462.0799785371,13.5058206976,0.3958626330266995,0.13340616368130687,0.428980451,0.3147592112,0.2072298251,0.15817981631071856,1064266592309.0,277586325896,0.0,1.3408212875,0.1310654692,1.1485182595,-21.671043314398727,2.1170322948903006,1.6964133434,9.6624485754,6.424323467199769,34.1186224502,59.548011235,100.09095715239977,10.6979700172,0.4709277721,1.1170322949,0.35686878313262654,3.226453951074932
IDP,2023,1,5.3554092232,10845966848000.0,58945472.0,13.6885464131,1.6900450882,18.6658175436,3701.0194029492204,34357.7852471518,10.8813716766,0.3846173759330929,0.13835569151800825,0.4464041034,0.3267784319,0.2142348861,0.16747494342960484,1056692313081.0,264073378626,0.0,1.476055548,0.0504196241,1.281280298,-19.442039218588164,1.9519288514593387,1.7351987841,9.2684541813,6.553307928038679,33.3724610483,60.6384932114,100.56426218773868,10.9371616157,0.3927665312,0.9519288515,0.3181840838139827,3.2770053758375286
IDP,2022,4,8.6277855043,15591077344000.0,58945472.0,19.2367672455,2.5616002272,24.8111332858,2811.563341116346,30656.7658490036,14.7555278804,0.3853095706406326,0.0991349961257205,0.5182164376,0.364297592,0.2381634783,0.08306240227852087,1095459893803.0,138859569691,0.0189035917,1.3515069427,0.0423704251,1.1549037691,-14.055256990854735,2.121589799137702,1.7885286506,8.3374849286,5.94844929219793,36.1884132293,58.2356133078,100.37247582929793,10.0861012526,0.4649011694,1.1249372497,0.3799023753131911,2.9240239029305193
IDP,2022,3,6.1679587934,10669130432000.0,58945472.0,11.5483524856,1.8954153003,126.3549782555,3263.6011495844837,29345.2025315872,8.6696494687,0.3717331257673226,0.11799135242715714,0.6013386707,0.4854116133,0.2797729706,0.14262578602874448,1296723948689.0,232538784938,0.0276243094,1.3638836681,0.0354740471,1.1862059474,-27.919866360783335,2.1003188424725723,1.7045957577,7.6329696256,6.312276354996409,35.1390210464,65.5963153338,107.04761273519642,10.3873127119,0.3702980268,1.1003188425,0.40677318558032893,2.7987729013525104
IDP,2022,2,5.9383861224,9130653612800.0,58945472.0,10.4999841415,1.7454132635,10.0642855852,3665.710844303698,26084.5281543254,7.9863720703,0.38970364068189844,0.14043695778084234,0.637354033,0.4729658722,0.2833949224,0.17577831296288735,1227876401748.0,270453454433,0.0322788896,1.2407219002,0.0421733496,1.0536383171,-48.80494269621042,2.1939700150514905,1.7048353262,6.8826458367,6.261715180119949,35.221896224,64.8849773208,106.36858872491996,10.3628719385,0.4897655546,1.1939700151,0.47804968155930594,2.487788948272222
IDP,2022,1,6.1660595207,9602217388800.0,58945472.0,10.8913665357,1.9419575399,20.4120248731,4011.7629704449564,26418.8173100217,8.3321429311,0.4119698727524317,0.1898343447608394,0.6889923873,0.4739929352,0.3037192387,0.2447646235280899,1218909718248.0,304901510378,0.0306936771,1.4413362595,0.1040672916,1.2866384722,-79.7201264971261,2.080502449464224,1.7033933466,6.4231567734,5.962533940229146,35.1030730329,64.1579716826,105.22357865572914,10.3979500501,0.4681396895,1.0805024495,0.4736898815101888,2.5196714827059763
