ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
IFS,2024,2,1.8091184066,2461558516032.0,87140984.0,11.6162170334,1.2507760501,10.6470992904,630.9182485247126,15614.2350309012,5.0508176349,0.3691023612072066,0.10478067621717947,0.1650982288,0.1836861953,0.1408992881,0.13248267920487555,259119557000.0,69514188000,6.4286141926,5.1102733033,5.3180426582,0.0,1.1682255907543437,1.3085609611,26.1405982854,5.624893375974584,87.0122245078,38.1433464317,130.78046431547457,4.194812879,0.0,0.1682255908,0.06255846528023631,1.5614233597432539
IFS,2024,1,2.2019824084,2875042485112.0,87140984.0,12.5510282786,1.4972439719,13.7816106174,573.9246414752444,14983.3167938521,6.7174719199,0.3437552568108621,0.1118538598763686,0.1804650503,0.1965370445,0.154305753,0.13138716092651567,266054425000.0,58746133000,6.6848484361,5.1869321028,5.4242345038,0.0,1.1623668571193997,1.2935072079,26.7344856052,5.626532151384807,91.5338064931,38.4589967177,135.6193353621848,3.987597741,0.0,0.1623668571,0.05783267616388401,1.4983315418305083
IFS,2023,4,2.365887448,2970723285544.0,87140984.0,14.241600112,1.5900692356,34.9171835654,499.3443268898593,14409.3921409012,8.4754676603,0.35798434158264414,0.08240197498607607,0.1697401184,0.1826118694,0.1433486052,0.09631287423016718,240204584000.0,50859174000,6.4766778976,4.6465453999,4.8853093341,0.0,1.165700253512804,1.2839148553,25.6179069533,6.42575280483343,91.7078477918,40.1951812411,138.32878183773346,3.9800301587,0.0,0.1671934698,0.055130408657880804,1.4409390818043477
IFS,2023,3,2.185470561,2649085913600.0,87140984.0,12.0234776982,1.442463074,34.5718517934,727.585529674533,13910.0478140114,7.0559781789,0.3776704666099684,0.1354359270246729,0.1780467804,0.190040982,0.1508502744,0.1512619369156228,242944177000.0,70811254000,5.7868229148,4.0549412146,4.2728996258,0.0,1.192064855165082,1.2573943432,25.1076482473,5.614400848467731,90.99572484,42.7523254424,139.36245113086773,4.0111774552,0.0,0.1920648552,0.05881420391391405,1.3910046536996044
IFS,2023,2,1.7376819067,2265665584000.0,87140984.0,11.9425280157,1.2597535204,37.7373820406,827.8544226675247,14962.4622898452,5.689398307,0.3730150559369308,0.1512680451499958,0.1553558673,0.1498083366,0.1302073723,0.1597690309204423,209597119000.0,76194187000,6.8224312927,5.2208249536,5.4556922226,0.0,1.1594375261948098,1.2343725712,23.8680709739,5.8389586801556925,84.9297729734,43.9309738606,134.6997055141557,4.297668382,0.0,0.1594375262,0.05466739434387429,1.4962460916212659
IFS,2023,1,1.8819057628,2317950174400.0,87140984.0,14.7525785341,1.3079267726,100.4538494305,338.9776388111477,14134.6078671776,7.3285415042,0.32175177338833966,0.07474455523898202,0.1333949125,0.1328583151,0.1100019217,0.0795342643058316,179202258000.0,31431725000,6.4595068849,4.883754718,5.0992839419,0.0,1.1698000432470916,1.2407514116,22.7818519987,5.852861824170842,80.5618818719,43.6524435825,130.06718727857083,4.5306786723,0.0,0.1698000432,0.05957407101528753,1.413460656954651
IFS,2022,4,2.152855615,2588087224800.0,87140984.0,16.6280751011,1.5111048161,40.839450678,633.9690173799277,13795.6302283665,8.8094179551,0.34138595583250253,0.11132077858961596,0.1374208287,0.1378576073,0.1143843401,0.10461776444476772,181742893000.0,51918208000,5.5369692988,4.2223997772,4.4281374624,0.0,1.2017734551971695,1.2586760214,20.7648972067,6.366738378840997,71.469652755,41.2779367618,119.114327895641,5.1070627312,0.0,0.2017734552,0.06374694837698512,1.3795628961855289
IFS,2022,3,1.2992280933,1490110826400.0,87140984.0,15.2376868237,0.9853766749,18.7881188587,376.29241138704606,13161.6612109866,3.3202342276,0.32800324038536594,0.07623319499079385,0.0882627162,0.11766763,0.0721550294,0.08318926641527603,151517234000.0,35782534000,4.6354298767,3.5233545964,3.677276628,0.0,1.2474776549584414,1.1157923343,18.1212811077,6.670836271940262,78.2420389701,45.0609427077,129.97381794974027,4.665011352,0.0,0.247477655,0.06985405728900687,1.316166000267704
IFS,2022,2,1.5413820082,1742819680000.0,87140984.0,24.2974464603,1.3268769434,13.3500878056,453.83555687183883,12975.3687885829,6.1768550568,0.3142653783638951,0.08775981507337197,0.0659483557,0.0933710865,0.0555107805,0.09877077048720719,122544418000.0,44509603000,4.8140834349,3.7530400576,3.9266769011,0.0,1.235605664008674,1.0164998519,15.1865913061,6.854954042562418,73.9035085461,38.3220578038,119.0805203924624,4.9388724187,0.0,0.235605664,0.0716703391084554,1.2975367597375986
IFS,2022,1,1.9007256986,2073955419200.0,87140984.0,22.5007097174,1.7036015777,13.166222274,322.0388009389474,12521.533231711,7.3519947095,0.32589026053657877,0.08360058369118423,0.0861658715,0.1233717974,0.0741580246,0.09984966224313511,151895954000.0,33517217000,5.3447967715,4.3140774539,4.4676886217,0.0,1.2066371978381811,0.9794591691,13.4734886016,7.140929972265053,76.6850276719,33.7727452462,117.59870289036506,4.759729651,0.0,0.2066371978,0.07727634618178116,1.2521532082168632
