ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
IPA,2024,2,0.7688901997,2993700850000.0,213835775.0,6.3551324606,6.195793135,-4.7764012885,308.3643284805828,18208.0614451066,34.4493843138,0.5295381745488273,0.403355126256493,0.1251585955,0.0160276131,0.0527027833,0.4193264999622815,214954969015.0,68550278974,0.5777724677,0.1956040254,0.5714959589,-0.8114257984341525,2.061126939904125,0.0540581587,0.7178162342,38.25629416814006,23.5143569564,7.4933356187,69.26398674324005,15.5224317075,1.3154900947,1.0611269399,0.15288761065898035,1.9772518133450776
IPA,2024,1,0.7616527915,2950933695000.0,213835775.0,5.27839171,7.9999907262,8.9746263628,470.56141720439433,18118.4919880408,44.1510298324,0.31572371902022656,1.1761955534502886,0.153631524,0.0103515473,0.0625155222,0.115583562380198,162431788627.0,9888108485,0.4214918642,0.1362254541,0.418511819,-0.10122884568710935,2.12734494387074,0.0412477245,0.5367990222,45.64123001397627,35.3197266903,8.8748301876,89.83578689187627,10.3341683021,0.9633597153,1.1273449439,0.1600459743530354,1.9581607358955722
IPA,2023,4,0.8944161881,3357221667500.0,213835775.0,11.2406670922,9.6696606996,8.0254342603,850.5107226515302,17553.3495588098,56.6818140975,0.32005537336425494,1.3211118496452057,0.0834783494,0.0090157419,0.0339194659,0.17055352867932067,151129778680.0,23479091023,0.7808340678,0.1233639701,0.7766244108,-0.23689011311151695,2.172864189571927,0.0394302795,0.4898811473,53.88909898019197,24.990861791,11.1698025384,90.04976330959198,14.6053386655,1.343332931,1.1760649341,0.16907865540341538,1.9012504082298671
IPA,2023,3,0.9205807283,3250303780000.0,213835775.0,-64.2725069554,11.4777167683,3.4199038695,573.5073863950033,16511.3167516614,62.7363271246,0.5022736480267801,1.2709457298657707,-0.0148494512,0.0075158493,-0.0057181838,0.333241409630943,134840410970.0,32155209039,1.8618880895,0.023056526,1.8498646945,-0.2961076418913068,2.326856206135186,0.0320204807,0.3992933136,33.061119849497516,51.4019120911,9.4131471467,93.87617908729752,7.10090316,2.0403895662,1.3268562061,0.17233662827198856,1.8684197932371231
IPA,2023,2,1.0583743629,3592441020000.0,213835775.0,-82.1460322837,13.9526596182,-8.8217420655,719.8531945648477,15873.4003662624,71.786387655,0.42884668614512883,3.1311219655585205,-0.0128070707,0.0060615076,-0.0049390659,0.3872367674110705,118351803897.0,19037104876,2.2082882882,0.0222903234,2.1838281329,-0.17561753866371066,2.2676633588822708,0.0290786613,0.3565597782,37.62059195227875,45.7227633412,11.5745654619,94.91792075537876,7.9828945875,2.0372681903,1.2676633589,0.18243406943366772,1.8008971267305482
IPA,2023,1,0.9093218472,2929550117500.0,213835775.0,-12.8568280398,10.3299838361,-2.9881859746,-665.905188811367,15066.1727106514,60.3572764732,0.4367076070210991,-2.2316039653013116,-0.066527317,0.0077104032,-0.0252449663,0.18277808896448247,129884900897.0,11662717922,3.2079524807,0.668805897,3.1980500456,-0.1071753691673788,2.3058598245460553,0.0314202031,0.3876706874,37.02495168930694,26.2215707743,12.7050160461,75.95153850970694,13.9198373408,2.2421018437,1.3058598245,0.19448517446590008,1.7209473735804965
IPA,2022,4,0.7228357973,2459111412500.0,213835775.0,25.979710699,8.348085418,-1.9962936209,-837.2347716699884,15909.5607094931,48.7509104855,0.5285734050157401,-2.428453944400383,0.0250853999,0.0102890217,0.0110216203,0.2021623134942996,152447641504.0,14903832100,3.9536889781,1.2248556547,3.9385175001,-0.13160495510447062,2.271798591387486,0.0342999014,0.3973148466,39.62711252035199,29.3780488117,14.3571060426,83.36226737465199,12.424242411,2.2712042802,1.3013577165,0.18718316074211808,1.8239253011863894
IPA,2022,3,0.7732688902,2758481497500.0,213835775.0,5.2227272835,7.6378878396,-2.068737971,605.4865838328502,16682.424657151,43.8290078113,0.4795834310656146,1.8292043341602608,0.1358672335,0.0140884552,0.0576054992,0.23503862394258887,176397591362.0,16636497677,4.5738099996,1.6340296192,4.5640062693,-0.1404223926610981,2.3319822248342064,0.039404032,0.4841768627,34.664095437665445,15.783794568,12.4037141936,62.851604199265445,23.1249841999,2.2620113189,1.3319822248,0.18481337588201638,1.8727732134452244
IPA,2022,2,0.7717715797,2651563610000.0,213835775.0,4.5594648183,3.6931133233,-47.7965288147,-141.2146187231767,16066.9300692552,37.4965635864,0.5808483716600742,-0.4011010171401099,0.1565442474,0.0182369255,0.0700765819,0.41810338923640666,217637218261.0,31476754549,4.0861275861,0.0201319872,4.0784752483,-0.2518134225454126,2.4316685233757767,0.0867329653,0.9545990786,16.145051040751444,5.3436899883,5.4304917668,26.919232795851443,68.3048606481,2.470115409,1.4316685234,0.1911194941641519,1.811406031603926
IPA,2022,1,1.1575982888,4041496147500.0,213835775.0,2.3557164202,5.7234612155,5.5065389068,870.6418283563637,16326.9073415522,45.8197661041,0.5430466623227874,2.486283014802001,0.4863959863,0.0171093063,0.233082299,0.36381205500998065,209095066645.0,27242465873,4.9595205377,0.0433263394,4.9527465281,-0.24455915268473352,2.433824067872658,0.0963813083,0.9272765392,14.880675500407019,5.1051106664,6.3205230567,26.306309223507018,71.4969809374,2.4949274386,1.4338240679,0.19346649934569482,1.8139505016183564
