ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
IRC,2024,2,0.8388568857,152250000000.0,17500000.0,12.771858544,4.8661151936,-57.6528907015,219.2422232,10371.2565852,-12.1734850174,0.37307861426500244,0.26489908707329074,0.0666762496,-0.076281315,0.0632998836,0.17865248787467483,-11705087925.0,2587562526,0.0,21.8124883638,1.6953132353,20.8994658871,0.0,1.0317142342655758,0.1661401604,1.09182603,1.6245921095399936,230.0043361709,1.4826965831,233.11162486354,1.5869266035,0.0317142343,0.153082096105876,1.03712565852
IRC,2024,1,0.7767541171,138250000000.0,17500000.0,38.2822515958,5.4774795293,-19.0962655068,-199.00871211428571,10170.5286477143,-6.4993330816,-0.45033294101845917,-0.6195418814214061,0.0203722028,-0.1253644644,0.0192892309,-0.861618745369205,-20148948984.0,-4843447610,0.0,17.3619065919,1.0175318216,15.572456215,0.0,1.040282067476327,0.1348129533,0.8555309898,0.0,257.3128721245,1.5274809713,0.0,1.4185065713,0.0402820675,0.15347548234245575,1.0170528647714285
IRC,2023,4,0.7618469104,138250000000.0,17500000.0,21.4701951185,6.9966062244,-13.0890133252,747.1775452,10369.5373598286,-7.7517612691,-0.6385120681687416,1.429193034846426,0.0352437012,-0.1069166295,0.0330036292,-1.0001222084209938,-17200311669.0,-9150062078,0.0,9.3336468384,0.6960020235,8.0088868916,0.0,1.0782689256430054,0.1012768672,0.6688206066,0.0,387.6431637118,0.3380807515,0.0,0.9415876099,0.0799153747,0.15108486443973776,1.0385312699142857
IRC,2023,3,0.7949177464,138250000000.0,17500000.0,-10.0783046069,10.9452127901,-4.8311058376,-86.22593588571429,9938.1351539429,-7.0142515614,-0.31362029563795724,-0.7419609846403481,-0.0766009688,-0.1233008471,-0.0731318297,-1.199211755204396,-19008829188.0,-2438881917,0.0,10.9326549958,0.4472438719,8.8276796415,0.0,1.0632176710746266,0.0673394725,0.4004849448,0.0,449.1140508326,3.0914306698,0.0,0.8127111573,0.0632176711,0.18437944456685154,0.9938135153942858
IRC,2023,2,0.7880801509,138250000000.0,17500000.0,20.8852491909,11.1832977002,-3.7605525086,-255.58094954285716,10024.3610898286,-7.3124144426,-0.44246237598430604,-0.5302072815477655,0.0361148255,-0.1189360133,0.0341519717,-0.6970983568484967,-18208473957.0,-5880508733,0.0,16.0489785675,0.6875277397,13.730279262,0.0,1.0423022350879645,0.063780153,0.3892748479,0.0,445.7711389725,0.8080353389,0.0,0.8188058133,0.0423022351,0.1776564289433032,1.002436108982857
IRC,2023,1,0.7817522755,143500000000.0,17500000.0,14.4139501145,13.2475385196,-5.2592720646,-21.643377942857143,10489.2563250857,-9.6132839914,0.08333333333333333,-2.6823539984702984,0.0539074423,-0.0964104955,0.0501878759,-13.692791953485736,-14852974128.0,-1933476995,0.0,22.8032002811,0.1293412504,17.5761776894,0.0,1.0300790782703484,0.054606789,0.3254116583,0.0,512.8803255082,0.0,0.0,0.7116669949,0.0300790783,0.17072324113498602,1.0489256325085714
IRC,2022,4,0.7801425408,143500000000.0,17500000.0,16.0528920936,8.7879039982,-4.9092237009,-420.41173605714283,10510.8997030286,-9.2424710346,-4.713537684296177,-3.641357069712446,0.0480211754,-0.0964743871,0.044974878,-5.5389898468514795,-14800322959.0,-11191290809,0.0,12.7045753727,1.2089439669,10.0904372207,0.0,1.0547558808070783,0.0821557523,0.4688970401,0.0,440.974839742,0.0,0.0,0.8277116223,0.0559935869,0.17222389492624351,1.0480471216685714
IRC,2022,3,0.7522326435,143500000000.0,17500000.0,4.6886033166,8.2059521288,-5.3378197466,1075.8934608,10900.8829527429,-12.5906075563,-0.11074481281483202,10.668526466571851,0.1639791843,-0.0709366298,0.1519428177,-1.0534898466141214,-10864571518.0,-1859230486,0.0,7.5365019653,0.3502583207,6.2332530909,0.0,1.1003999730613214,0.0868149836,0.479296341,0.0,405.3014612807,0.0,0.0,0.900564234,0.1003999731,0.17265518057985804,1.0900882952742856
IRC,2022,2,0.7928841937,143500000000.0,17500000.0,12.461825671,8.6170683226,-7.6920556634,-64.94502228571429,10341.9894919429,-13.4650202074,-0.0963530918616623,-0.16457944078161404,0.0631504776,-0.0741021624,0.0583915252,-0.3929072758630177,-10163733530.0,-2713303704,0.0,6.6927457902,0.3317290543,5.8636720468,0.0,1.110682089357903,0.084444614,0.4282416351,0.7801704504153059,406.4123697491,0.0,407.1925401995153,0.8981025854,0.1106820894,0.2060312038361417,1.0341989491942858
IRC,2022,1,0.8166430885,152250000000.0,17500000.0,13.1077658688,5.2830348726,-9.094932437,-110.15380651428572,10653.3687999429,-14.8597316699,-0.05177598824035721,-0.341894377287771,0.0633260398,-0.0725547888,0.0592154505,-0.5545895390010387,-10188800435.0,-3126923619,0.0,24.828286722,0.1681053564,20.4940287792,313.5513986669278,1.027030782756595,0.1469197686,0.7098896258,0.45082504825093395,234.5213262235,0.1374375709,235.10958884265094,1.5563616575,0.0270307828,0.2019693330014444,1.0653368799942857
