ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
KGM,2024,3,0.6608683806,178645750000.0,25430000.0,13.7988692934,0.0235642082,-1.4849029285,47.432617459693276,10629.9532650413,24.8695516257,0.07991495039092257,0.000721572083046703,0.0477405016,0.0264280043,0.0071002847,0.005281251093034402,64681277388.0,8828370376,0.0511032028,1.0554418373,0.0442773009,0.299990015,-0.6107833733310014,7.451498722487557,4.1578269864,60.0434126183,11.267513810543598,66.4800530368,8.2033722959,85.95093914324359,5.4903686644,5.588685921300001,6.4514987225,0.45558642986097003,1.062995326504129
KGM,2024,2,0.6714846336,180705580000.0,25430000.0,12.9093325459,0.02148341,0.7258755568,238.0879433346441,10582.5206475816,13.0701861887,0.09180262905756939,0.0026258064558230747,0.0517024424,0.0516910244,0.0078394743,0.006892749195059915,102676263237.0,15893279761,0.0505206867,1.0602705959,0.0876972198,0.3267270113,-0.7718240245599284,6.87690972078833,4.7107224242,65.0977440154,13.221313370411952,53.5854158426,7.1220876454,73.92881685841195,6.8115548655,4.8360242051,5.8769097208,0.4533686645566682,1.0582520647581597
KGM,2024,1,0.6912829336,189580650000.0,25430000.0,14.2074868185,0.0227062891,-0.298924556,125.48757302398742,10784.2963243807,17.479988983,0.08736929775410902,0.0019855875743648456,0.0494139191,0.0426823348,0.0074068172,0.0025953139627873513,103837702700.0,4171074405,0.0481556003,1.0471318843,0.0396888739,0.1248368088,-0.4423331325065738,8.646697133433275,4.6344982808,62.5823984628,14.453313357766856,52.7553372807,7.0812845146,74.28993515306685,6.9187312377,6.2413144221,7.6466971334,0.4600643301493915,1.0784296324380653
KGM,2023,4,0.8124735326,220223800000.0,25430000.0,17.6133530689,0.0303010846,-2.6977371143,98.09155041289816,10658.8087513567,14.8635386492,0.07429752086618346,0.0012493353065001036,0.0467346272,0.1349245431,0.0121071793,0.009054393986907282,103970075435.0,18078331007,0.0309468822,1.1052872162,0.1908586389,0.476781438,-1.7719439644255197,3.9003003710807405,7.0376366815,52.1795982003,6.318968359821386,20.4975949271,10.8810547273,37.69761801422139,17.8069671734,1.4259225578999999,2.9003003711,0.49332803981937634,1.0658808751356665
KGM,2023,3,0.6793099241,182434820000.0,25430000.0,17.8760370201,0.0276052606,-0.2421776531,88.78741836413684,10560.7172009438,13.1908762534,0.089403967442468,0.0009024914800837176,0.0385376862,0.0575667179,0.0062740218,0.017171033962885378,114289166666.0,42958699472,0.0373571229,1.051671778,0.0720589547,0.5545320853,-2.039343583602445,6.9376744021594865,4.0627997703,47.1906035534,16.806571159312064,50.9931020236,1.9159382414,69.71561142431207,7.1578308735,5.3753371010999995,5.9376744022,0.5025016822742316,1.0560717200943768
KGM,2023,2,1.0962640352,291936400000.0,25430000.0,31.4969550317,0.0569890518,-0.3443227922,212.35680267400707,10471.9297825796,23.0213741345,0.11758733628839893,0.0024068932926300424,0.0351739428,0.031735015,0.0066180332,0.008657666990966642,73582907407.0,19424801004,0.0233449477,1.0463670612,0.0861053304,0.4104112207,-0.998857253019103,7.189244901116321,3.6576831588,35.9676248205,12.229558072328777,60.2712419187,2.5428808071,75.04368079812878,6.0559561804,5.8081870502,6.1892449011,0.5212484380508846,1.047192978257963
KGM,2023,1,0.9552054476,249214000000.0,25430000.0,40.0937497387,0.0601139864,9.692911326,92.4499773495871,10259.5729799056,18.4219299448,0.08754321606145073,0.004471706337970219,0.0236849421,0.0365597816,0.0053481856,0.01492938078437585,66875104503.0,7849133021,0.0273469388,1.0477306313,0.1233799357,0.2545730619,-1.0427121594859132,6.594961796745649,3.5670370382,28.6196219682,6.504766753589182,62.3555948189,2.5702027512,71.43056432368918,5.8535244682,4.466371684,5.5949617967,0.5425731740869856,1.0259572979905622
KGM,2022,4,0.770547771,203440000000.0,25430000.0,35.8127591332,0.0477796325,0.5408010225,7.725176366496264,10382.2245696028,10.4820568473,0.1627477295364501,0.00014688142880623923,0.0212438888,0.0601063348,0.0059015319,0.02101731196244944,69780315769.0,28110271836,0.025,1.0857375056,0.6383668344,0.8232698256,-3.142766920939841,3.8260387356353913,4.4234358605,28.5834797845,16.208423313583086,26.0873808512,2.7784029463,45.07420711108308,13.9914390824,2.3567155312000003,2.818779175,0.5496846019072081,1.0362525242508849
KGM,2022,3,0.772588553,203440000000.0,25430000.0,23.3711768741,0.0478723351,-3.7577412381,51.94772072355486,10354.8000661424,15.2132488981,0.10039863484866828,0.0013004962535909203,0.0325957071,0.0358470042,0.0080712124,0.0020243038347919234,48079226312.0,2056266734,0.033375,1.094663397,0.0431630893,0.3998524224,-0.35725238354665767,3.640889026050288,3.9403495266,28.6277025139,11.611713314943684,58.3357527358,2.0403222423,71.98778829304368,6.25688335,2.1287996293,2.6408890261,0.5486776079095306,1.0354800066142351
KGM,2022,2,0.7764839999,203440000000.0,25430000.0,45.3182628041,0.0496780178,-3.163206394,92.30425108139993,10302.8523454188,17.6063049159,0.06650621559079452,0.0018531263267676967,0.0167513535,0.0255211971,0.0042076435,0.011071635911043447,42072934552.0,14024094605,0.033375,1.0895151728,0.0571132097,0.2281669952,-1.6714302785615396,3.6690477996804756,3.8383796592,26.9444887962,9.695364500760281,61.1480183346,2.0408481384,72.88423097376028,5.9691223026,2.2127911288,2.6690477997,0.566904966569626,1.0302852345418796
