ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
KTC,2024,2,1.0056186574,419449079500.0,36473833.0,10.4324728177,0.0704571813,-1.345673111,253.875665439385,11435.7464579881,20.0285052546,0.0368819571224282,0.005715037047991088,0.0981823023,0.0276845363,0.0256839678,0.006584230154367784,69113671233.0,10668133294,0.052173913,0.9852406587,0.1405530827,0.3650723799,-0.8192609811193329,4.148089627111082,3.8029806276,18.7253071197,11.757158509602919,46.0386255762,4.169252661,61.965036746802916,7.9281254692,2.7523591998,3.1480896271,0.7378874630820906,1.1446750772807452
KTC,2024,1,0.81342446,331911880300.0,36473833.0,10.6100363462,0.0558840703,-1.0884446865,386.978184744115,11187.2711572431,21.8141893281,0.03922858649084458,0.010163917419706412,0.0775106891,0.0245607407,0.0217949978,0.008886413772386189,64193526715.0,12340515212,0.0659340659,0.975963799,0.0413562302,0.3285406172,-1.4348763294313231,4.185831869701732,4.1379541212,18.285891444,11.096445078314442,40.7898157836,4.4620570909,56.34831795281444,8.9483120477,2.7466110648,3.1858318697,0.7617356878810924,1.1198227978068551
KTC,2023,4,0.8904814977,361090946700.0,36473833.0,14.1779797275,0.0593566456,-3.1100626637,74.98640373223182,11117.5807985687,17.7349349698,0.04004012050657198,0.0020959231510403174,0.0628265816,0.0323385761,0.0191769371,0.004184240436706846,63185475921.0,5460157981,0.0808080808,0.9489727997,0.0867753223,0.2768677064,-0.6541251598744054,3.2878653015067663,4.5806197973,18.1226582082,6.959249210893053,33.2875877548,4.6081392218,44.85497618749306,10.965048074,1.7754149217,2.1967770227,0.7956003955921367,1.112848830996183
KTC,2023,3,0.7162802673,291790664000.0,36473833.0,14.277470197,0.0447330425,-2.3679556781,386.4870850562923,11168.8124955499,15.6469958271,0.03960814713458711,0.00859886168795841,0.0510383671,0.031617133,0.0144996979,0.009090584565747262,67187978792.0,14902778244,0.1,0.9562613256,0.1033404853,0.3739909571,-1.6398561481684892,3.6434082608595837,4.6278766956,19.2485927538,10.00556712400087,31.2931743866,5.8604627046,47.15920421520087,11.6638854049,2.1348990105,2.6434082609,0.8082648302309932,1.117923968901212
KTC,2023,2,0.9269981517,364738330000.0,36473833.0,-86.4944463593,0.0570822202,3.8530341305,9.226820965046366,10787.5080241498,22.4809309729,0.03729856678641523,0.0002095109569625723,-0.0104758734,0.0154930259,-0.0030345609,0.003038797851972986,43646802962.0,4881222104,0.08,0.9221412243,0.0542269917,0.332539659,-0.4689598970152897,3.076049942687497,4.5981509179,18.5200962844,9.849936516102511,31.1514640398,5.73406481,46.73546536590251,11.7169452946,1.6769215095,2.0760499427,0.852068928345975,1.079791149899162
KTC,2023,1,0.9652127103,382975246500.0,36473833.0,37.3433979349,0.055457325,6.5489327644,160.3868511982275,10878.4311353293,20.0161101408,0.0347321073305563,0.0038169533029412104,0.0249672616,0.0235110968,0.0070951389,0.007298924333811522,58295296172.0,11186447304,0.0761904762,0.9416437645,0.1096446541,0.4533101288,-0.9304280245701514,3.9832774137827514,4.7776663515,19.6605079583,11.005292402249875,29.7661173005,5.746791769,46.518201471749876,12.2622643832,2.2998467213,2.9832774138,0.8609624299522594,1.08888282404265
KTC,2022,4,0.9000269388,364738330000.0,36473833.0,20.919885424,0.0532225393,2.4075555072,4.222597663371436,11110.7785435657,16.0215522029,0.03231346819220574,8.827790174846149e-05,0.0430155131,0.0314210974,0.0130086954,0.005413273762274621,64045062505.0,9444285283,0.08,0.924354355,0.238937253,0.4329409627,-1.1535896619965273,3.3596203728899203,5.1132550186,19.2706253673,7.1976652537356705,27.8751226343,4.747651784,39.82043967203567,13.0941127969,1.8432156537,2.3493174185,0.8614262627065287,1.108949913884839
KTC,2022,3,0.719303337,299085430600.0,36473833.0,22.8643332009,0.0457102496,1.4834725003,-289.4506291400742,11399.9193079872,19.7285131033,0.025234991069950377,-0.007009595144763245,0.0314439077,0.018234729,0.0091752856,-0.006093713712051953,48683264057.0,-9177935790,0.0975609756,0.9365580694,0.0956225239,0.3496615298,1.728029454531004,3.3787648130484365,4.5894911783,18.2011843109,11.94330049792131,32.8984035706,5.0926794681,49.93438353662131,11.0947632829,1.8157274558,2.378764813,0.8508842285078213,1.1410139307678466
KTC,2022,2,0.7186016051,306380197200.0,36473833.0,11.4007616919,0.0495731199,1.6574993467,406.01537921720484,11689.3699371273,17.2854303824,0.05010378350842309,0.0069775669012860485,0.0639925926,0.0260787279,0.0182599866,0.009121839611383296,58416754561.0,19359864447,0.0952380952,0.9374317561,0.065910977,0.4013144549,-3.0323346168841936,3.3620575865012916,4.1994079775,17.050543896,13.441763810005828,36.9367239776,6.3747229611,56.75321074870583,9.8817642902,1.8031200293,2.3620575865,0.8448572452266584,1.1699568055433056
KTC,2022,1,0.8320029972,344240035854.0,36473833.0,18.3681960886,0.0582870084,11.9912730068,325.5901108062868,11343.7091349845,23.9611000597,0.041991235111503766,0.008024372586980112,0.0445736895,0.0148166347,0.0124176706,0.011332057856302286,48552466092.0,16770665948,0.0847637211,0.9386518101,0.0673853721,0.400652543,-3.471175670296261,3.7118788220156715,3.9132255093,16.1571590122,14.009736339432077,39.2919413478,6.6921413906,59.99381907783207,9.2894366499,2.1753912029999998,2.711878822,0.8704895248903969,1.1353872360138295
