ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
LGC,2024,2,3.0742722718,11571285900000,192854765,11.8990656444,5.2096428791,21.4986316439,1243.0586993481857,19516.8139628388,14.2088209972,0.6698692293281805,0.3902512085170839,0.2720562223,0.0660216389,0.0476879636,0.5654262736191216,1805167100701.0,347339151725,0.0533333333,1.1000871319,0.5095899589,1.0981950037,-1.7561282942393026,4.214641555710299,0.1089215178,0.1602314703,6.600032263346734,2.3561234013,230.1544755552,239.11063121984674,154.9154852409,4.6862021655,3.2146415557,2.926466573040823,2.85974907334076
LGC,2024,1,3.1784537338,11532714947000,192854765,14.612658274,5.9237022889,36.2474685045,649.3252467005417,18814.1797892782,16.3916024425,0.6943674444526102,0.18682146277399891,0.2235242232,0.0570443983,0.0447330855,0.5905792968443595,1559373755509.0,395862272237,0.0535117057,0.8921706832,0.1731434491,0.8902100658,-1.8686143641922557,4.299921742569,0.1103481,0.1690991081,7.403228537561768,2.192120852,240.6449749508,250.24032434036175,166.5054185639,4.8468093669000005,3.2999217426,3.0367981603103256,2.769261484050446
LGC,2023,4,3.2700509581,11455573041000,192854765,16.5639840877,7.173074187,79.6874723468,2517.444992624372,18164.8545425777,14.7725598245,0.7131478256881356,0.8368203989883891,0.1972309004,0.0449890667,0.0387841749,0.4709531884442492,1229533785649.0,273234696265,0.0269360269,0.5571810896,0.2274861141,0.5551981251,-3.840333867492948,4.4206530771693275,0.0895599906,0.1376702791,11.289632710327293,8.1241525512,298.1780494029,317.5918346644273,44.9277629512,4.8722067264,3.4202027213,3.1615391040496905,2.687569757012226
LGC,2023,3,3.5024716082,11918424477000,192854765,39.8111187476,8.85816061,28.8346071761,632.5837845800698,17644.6826448079,17.7224488025,0.7072582699401564,0.34233791411520076,0.0852930081,0.0699523317,0.0241311231,0.6192429295317319,1050995437950.0,220675685999,0.0258899676,0.7353100401,0.065230763,0.7324539385,-3.08764345661278,2.563581474829977,0.1084522002,0.1993760619,10.505792257166492,4.4369936525,182.9861774103,197.9289633199665,82.2629078582,2.1098213236000003,1.5635814748,1.380600123418691,2.51750043870215
LGC,2023,2,2.7401530791,9835593015000,192854765,40.3560275718,7.34351873,22.8301612871,292.9883055002556,18612.0988602278,16.1241652132,0.6012250579256669,0.16616736231872958,0.0689896337,0.0611864458,0.0194973243,0.493292900131968,1050938429195.0,167741220435,0.031372549,0.5340535688,0.0531011836,0.5338175217,-2.0179510129412055,2.4499248280243533,0.1071468035,0.1961833433,9.347080727840885,7.7573898482,167.0521190329,184.1565896089409,47.0519088433,2.1610364561999997,1.449924828,1.3490852664389668,2.592401597580957
LGC,2023,1,2.9225869378,10337015404000,192854765,39.1180050276,7.6912602936,17.0339335402,140.34977349924438,18339.9163618954,16.4517219128,0.6217346954409062,0.08446785597259807,0.0756682459,0.0614716512,0.02091302,0.5048334736013147,1062615300330.0,161770289516,0.0298507463,0.5002583315,0.0435973196,0.5000300396,-1.3676272903899858,2.490209085929505,0.1063643137,0.1943447233,9.30966485332762,12.178038765,160.5660836828,182.05378730112764,29.9719853947,2.2235878134,1.4902090859,1.3763736736822183,2.5360694929518592
LGC,2022,4,3.2967818057,11571285900000,192854765,39.7300702727,8.630769344,28.3475101394,486.40828799848424,18199.5665883962,18.0264748186,0.6497727111814239,0.2854517082988273,0.0611113048,0.0584394007,0.0233668675,0.5016630835597734,1074018860701.0,164858307538,0.0133333333,0.5598823924,0.0440223348,0.5520993134,-3.212677993777124,2.631337737405599,0.1075648357,0.1902486627,11.053085190088593,15.2147210362,170.808233541,197.0760397672886,23.9899239119,2.4549206879999996,1.6324275318,1.4062845823409404,2.512499902489316
LGC,2022,3,3.1462539775,10992721605000,192854765,39.0537472015,8.4694669199,28.9004098427,344.0053714306722,18116.7828175207,17.8365281699,0.584559554143419,0.18941813967531593,0.0591722937,0.051278164,0.0223577343,0.47702878620350103,1053019369756.0,167077749924,0.0105263158,0.436358735,0.0798475883,0.4250552322,-2.2154752915218574,2.629467922598381,0.1030942456,0.1813501018,7.856846316810414,17.3985240035,154.0557078701,179.31107819041043,20.9787910702,2.4839660792,1.6294679226,1.4390424566431956,2.528611159994932
LGC,2022,2,2.7542121736,9440240746750,192854765,43.4632105466,9.119134314,30.9126163534,399.44959204922935,17772.7774460901,20.6163588832,0.6035207208963447,0.2234981295548304,0.0463260686,0.0395519921,0.0174805572,0.4894757224678715,837492605126.0,168713416029,0.0122574055,0.4341991022,0.0905951752,0.4228012471,-2.0664932989018188,2.683452868639566,0.0833150505,0.142750648,10.094107857688389,21.8895007481,197.4072756248,229.3908842305884,16.6746607975,2.5850397071,1.6834528686,1.4892633227268157,2.471578736325753
LGC,2022,1,2.4939610781,8369896801000,192854765,44.3214920614,8.1598880895,20.5329013073,283.95240269017984,17402.0358143653,19.3071621054,0.6115846779894976,0.17266805156171522,0.0406395869,0.0391798298,0.0154028108,0.4942561743371763,824096425254.0,156753063278,0.0138248848,0.866288716,0.1594900141,0.8472343591,-1.8311621357627217,2.6761583944377816,0.0836623677,0.1456310395,10.405263596167936,22.5192778325,206.2321959569,239.15673738556794,16.2083350414,2.6508442443,1.6761583944,1.5330485772495823,2.435158531508931
LGC,2021,4,2.4944381315,8234898465500,192854765,39.5035013612,9.1474837359,23.8350691176,432.1196724488503,17118.0834116751,21.9755473345,0.5236637982403893,0.29154311489335355,0.0456491149,0.0333568229,0.0173111808,0.33359685889199925,711517543666.0,95357218637,0.018735363,0.8499095202,0.1306270948,0.8312703959,-1.2351432681176993,2.597398775930742,0.0747585099,0.17190527,11.917295194800465,26.2802351958,246.7731837968,284.97071418740046,13.8887645898,2.5051721924,1.597599821,1.5596923456597787,2.4309382861232387
LGC,2021,3,2.8407620513,9141315861000,192854765,42.3281654138,11.4159889442,31.5860264544,10.718189104635293,16685.6636158303,25.9113095664,0.5941888220840023,0.023613921177471783,0.0474322087,0.0305666975,0.0178705348,0.369557928497756,638424114120.0,32349398045,0.0253164557,0.8214287519,0.0583463775,0.8031056599,-0.7579802630290589,2.642848579732861,0.0662603087,0.1603959984,13.891060247929794,30.9600582705,287.309553701,332.16067221942984,11.7893834957,2.5626053550999996,1.6428485797,1.6070099651442946,2.3867831792172725
LGC,2021,2,3.2923645982,10587726598500,192854765,32.5851280563,11.8578993726,31.8480807491,252.41864731213667,16674.9454267257,24.8751561666,0.6249555615277186,0.1452244493443086,0.0721334092,0.0352997372,0.0267394731,0.4503291720165968,721428304284.0,150953140105,0.0218579235,0.8749064212,0.1140522585,0.8560152257,-2.340256467365168,2.6373993267463796,0.0734792166,0.2255786586,12.457194316962857,29.2085120239,271.0509498848,312.71665622566286,12.4963572161,2.5793699776,1.6373993267,1.3619479693810603,2.3851009706060413
LGC,2021,1,3.0914127561,9797022062000,192854765,27.4060345185,13.5752050005,47.2568790997,385.36021127608643,16432.6164145335,29.470122371,0.620342038147819,0.3877843440575303,0.0826861560344696,0.027801886200904846,0.02966577373445034,0.41707634944436156,583028834304.0,79932341907,0.0236220472,0.8030077815055847,0.11345349252223969,0.7840909361839294,-1.6628750850584835,2.6696072830955297,0.05989016219973564,0.22389614582061768,15.429281502998858,37.28647994995117,343.41021728515625,396.12597873810626,9.789071083068848,2.641157627105713,1.6696072816848755,0.6885803306587324,2.35182793861951
LGC,2020,4,3.8885152209,12034137336000,192854765,36.0517095319,17.0744954495,66.3575833741,471.32469597523294,16047.2562032574,34.5782590165,0.5927032690286794,0.48776129642355454,0.0799805231,0.0287469238,0.0288183964,0.342787414330102,575370056943.0,63880469827,0.0192307692,0.8205404868,0.1327338883,0.7993213564,-6.642776192119698,2.667586144178295,0.0608482083,0.2121924387,16.343908280391087,41.6179911565,426.0461900118,484.00808944869107,8.7702455082,2.6908021938999998,1.6785014714,0.7117551793159083,2.3198434529304994
LGC,2020,3,4.461648235,13480548073500,192854765,40.0761165105,19.1863598448,81.0648362706,575.7141299049572,15666.8559059093,37.3669136064,0.6745444515021992,0.6179533384028308,0.0831014744,0.0275044191,0.028696477,0.46763670439216826,571139105080.0,84021449743,0.017167382,1.2767895741,0.1099142629,1.2519778323,-1.4983207162972316,2.819820506718582,0.0599406748,0.2090544351,16.26159437526357,42.5176201082,420.9966272742,479.7758417576636,8.5846761665,2.9843419433999996,1.8198205067,0.7395927806891985,2.286014577960778
LGC,2020,2,4.1746344269,12149850195000,192854765,40.206706384,17.3582016414,66.8395413119,421.2073270058948,15091.1417760043,33.5989573888,0.6559220504637734,0.49529371957841595,0.0773371592,0.0309099301,0.026694427,0.42626718247902623,568388701853.0,69910976505,0.019047619,0.5841231455,0.0792526937,0.5665307111,-3.453855741233537,3.026087913025273,0.0618321534,0.204058475,16.012544587584944,43.5675492084,358.3328984113,417.91299220728496,8.3777950936,3.1255667286,2.026087913,0.8580993784225549,2.0092633935293223
LGC,2020,1,2.6843211065,8215612989000,192854765,22.6849632116,11.4719671845,36.2730389345,339.4692606480322,15869.9344489984,25.762424669,0.6596827358444809,0.37460506497624757,0.0934012959,0.0325179629,0.0327457885,0.44502429555179235,581387319500.0,77775158449,0.0281690141,0.4169834092,0.0366144911,0.404386452,-1.3247080732301462,2.882981750490115,0.064752365,0.2047660257,15.434097154543174,44.3302583342,295.7876003003,355.5519557890432,8.2336538003,2.7682339896999997,1.8829817505,0.8518383949960978,2.0601503519557838
LGC,2019,4,2.7043620066,8099900130000,192854765,23.4762310015,11.3613563438,47.8072690675,407.7902582028502,15530.4651883504,25.3011705653,0.6633867246708146,0.4270316174994084,0.093316205,0.0307550513,0.0334604306,0.385230944205274,570300528093.0,70946071795,0.0,0.4062975136,0.0327815113,0.3933709533,-1.8743884615353072,2.8658800813633474,0.0691400546,0.2194800607,15.21293332965999,45.7263631659,284.242665405,345.18196190056,7.9822661312,2.7546223281,1.8856229582,0.8828722816761341,2.0399990221206097
LGC,2019,3,2.5963496609,7617763217500,192854765,23.0215048985,11.2845231358,51.7645835921,398.435933952682,15213.6673246471,25.1621097103,0.6921389837091998,0.43410096968091594,0.0900148603,0.0336265263,0.0321624963,0.5076008668665875,554291121962.0,89850494653,0.0151898734,0.5262675792,0.0552920259,0.5136179126,-2.5348957996410726,2.8137991058448986,0.065614564,0.1946272779,14.796628070823953,51.7574079626,105.2258276746,171.77986370802395,7.0521305909,2.6433016174999997,1.8137991058,0.9195281000941842,1.994855848023252
LGC,2019,2,2.6999240812,7714190600000,192854765,25.3106096131,11.882500844,75.5684338036,732.2004733458361,14815.2313906944,27.6629363952,0.6714342184932857,0.7835959145233355,0.0855759774,0.0293427375,0.0301573797,0.4632950887950774,523043748577.0,83488356615,0.015,0.7799119485,0.0509208985,0.7661426842,-1.6860322535843184,2.8451156192834732,0.0642374594,0.1933518749,32.86377318321908,52.7713956211,93.2865532787,178.92172208301906,6.9166258672,2.8114845208999997,1.8451156193,0.9570543252650864,1.9472640307565126
LGC,2019,1,2.801243584,7608120479250,192854765,35.6880019233,12.3896489846,72.4235679156,329.7457794937035,14083.0309173486,28.8343648514,0.6858322946784479,0.3673600323873222,0.0623289523,0.0277161778,0.0214629387,0.49657828236970725,495876709377.0,85961787294,0.0152091255,0.694271683,0.0578554394,0.6786055784,-1.71639281950475,2.847031678398397,0.0618233332,0.1892552597,52.71384235079046,58.8054068805,94.4925501189,206.01179935019047,6.2069122443,2.8865070298999997,1.8470316784,1.0243303206727548,1.8708472415758044
LGC,2018,4,1.7813776937,4724941742500,192854765,25.4224707859,7.8676831023,31.1973766182,255.40486423552977,13753.4000150943,22.7314547447,0.6920363815505793,0.3403094273595343,0.0564878803,0.0274628728,0.0193524097,0.3892396068421424,474542740070.0,56338150157,0.0244897959,0.7382535058,0.0603208661,0.7233193058,-0.8681241583041412,2.6824829801660113,0.0625325225,0.1900750429,97.86460520291517,64.5634230161,126.3108711223,288.7388993413152,5.6533557694,2.5690738743,1.680733124,0.8720240792165415,1.811494200637459
LGC,2018,3,2.6064677582,6807773204500,192854765,41.4846349221,11.3353865184,-20.4614404528,263.01382124522564,13543.2329401661,26.3753799042,0.6819475720939057,0.33557658750751396,0.0512760977,0.0236839881,0.0164893828,0.3939941834826903,458481401906.0,59553474149,0.0,1.6356022423,0.4803223212,1.6193946131,-1.0011097244797535,2.9793221911235483,0.060346952,0.1886910144,136.30555692908405,56.1919167477,124.6080080217,317.105481698484,6.495596184,3.2509456355,1.9793221911,0.9129711314896769,1.7573504777400755
LGC,2018,2,1.9344363623,4956367460500,192854765,29.8648399959,8.4164268135,-16.1693677202,257.24905985081574,13285.523628768,22.3554263,0.7304097755407137,0.34198390686297536,0.0,0.0,0.0,0.4283364746552809,0.0,62138899652,0.0,0.0,0.0,0.0,-0.9329811218324153,3.1310832031668725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9848615340624741,1.6543694005496832
