ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
LTG,2024,1,0.7233783593,2143677633735.0,100741465.0,2644.1306142402,0.1226042155,-3.2859976845,-958.7445922490804,29416.1412557977,7.6437688503,0.0636742448258776,-0.025095669092865303,0.0002550804,0.0916935895,6.75728e-05,0.0008377626264942263,1095765390760.0,3224284774,0.0,1.1098625348,0.0119333116,0.7916113337,-0.025412160549166195,4.005701128987291,1.4573021999,12.367832631,122.4736846274119,63.1830240477,28.5157495741,214.1724582492119,5.776868162,2.1547881858999998,3.005701129,0.46627007537919474,2.952003247105847
LTG,2023,4,0.7979858361,2440260506695.0,100741465.0,144.4466693839,0.1516813865,-0.8293785927,-20.077231475639152,30355.1753730006,8.292631185,0.2613712131305031,-0.0003463809157795541,0.0054530911,0.0913495672,0.0016727164,0.11194704644606691,1095297795075.0,653688390603,0.0,1.124487636,0.0589926428,0.8875396687,-4.53457476896441,3.5330539500039455,1.592933209,11.0037839539,100.12958223523606,55.430273776,21.0291160732,176.58897208443608,6.5848493095,2.0817465969,2.7377219234,0.4305503919042745,3.2900980106950004
LTG,2023,3,0.8414676713,2576060001515.0,100741465.0,11.2731749299,0.193532063,-0.9062432211,-3249.593671156162,30388.5709135161,11.8560341073,0.034121835593221225,-0.07338348114453437,0.0723282707,0.0509435936,0.020757891,-0.014345628562907315,777553443560.0,-63996849471,0.0,1.0795817964,0.103026069,0.7659931814,0.38984671282345923,3.9673782670032622,1.2091398837,9.2125193516,116.01854239469307,81.670374185,21.6186597199,219.30757629959305,4.4691848622,2.4932981598,2.967378267,0.4649677153396187,3.0477541208806125
LTG,2023,2,0.9071020961,3069800320600.0,80593340.0,4.9529482881,0.2649628331,-1.8541092714,5295.567874417415,41990.863172416,9.2050506167,0.1571262513587713,0.12795250278530276,0.1982007978,0.0780356873,0.0599336554,0.0779305035317682,1041555350867.0,259938369498,0.0,1.0640058174,0.0505801785,0.7521922989,-1.5432197676098258,3.5921044537506575,1.1203393787,7.8739320131,109.30973534785423,105.3284057438,37.1791913745,251.81733246615423,3.4653519857,2.0717584170000003,2.5921044538,0.41662187241540405,3.367875919869738
LTG,2023,1,0.8390313233,2561820498580.0,80593340.0,17.1855417322,0.2171491316,-1.476709522,-998.8693162487124,37885.3555497017,10.1059481512,0.1112653175421692,-0.032828311010207875,0.0497276175,0.0633510618,0.0155952698,0.002786499640864599,841247122393.0,6833107908,0.0,1.0697986966,0.0532836814,0.7171046305,-0.06476713544751125,3.566044242238857,1.2342354714,7.9633974443,83.68991326257427,102.9169417497,35.6500829801,222.25693799237425,3.546549225,2.095659162,2.5660442422,0.47097578921204536,3.0443539021494277
LTG,2022,4,0.7356297524,2308435037620.0,80593340.0,5.597000818,0.1974605211,-10.6715395469,2600.6605072205716,38936.7068225365,5.2726216603,0.23925467367708975,0.0684515086059469,0.133355489,0.123686212,0.049759586,0.11066985168706021,1083095695912.0,338866877645,0.0,1.1462348815,0.1461429231,0.7600482217,-5.309629273104826,2.7682701496713644,1.4104310156,8.0295341693,49.91820705178886,86.0351036711,19.2099834879,155.16329421078885,4.2424543521,1.251898294,1.7697322341,0.4737813909188953,3.1297828742573874
LTG,2022,3,0.6822086414,2000407292140.0,80593340.0,5.4924031662,0.1704108025,3.2391533698,793.0099399652627,36383.2975606049,5.6881600817,0.17968154418627236,0.02335871032642726,0.1205706593,0.1031911634,0.0417063034,0.07362038331231394,949819625923.0,201431320037,0.0,1.172737692,0.1256163469,0.6336933992,-3.0516509461503234,3.2274188671115187,1.3442095768,8.0711540831,50.81200877065231,108.4915645361,35.5363529867,194.8399262934523,3.3643168624,1.4694940933,2.2274188671,0.5203911803418241,2.9257566656728686
LTG,2022,2,0.9751839383,2795460591240.0,80593340.0,8.4208060221,0.2542478318,-5.1067740555,-545.1649370158874,35568.6744177,7.8389808268,0.10476625537967897,-0.012386103443102113,0.1105079799,0.0863400307,0.0395645005,0.013766667520690598,854811739144.0,48833875479,0.0,1.1790726008,0.1257228816,0.7084938912,-0.9056009959897029,3.1425230966450846,1.3103945947,7.7385832518,48.685496765338556,122.4790027561,27.1659766812,198.33047620263855,2.9801026444,1.6357803936,2.1425230966,0.5044459600446117,2.860699657852901
LTG,2022,1,0.9042056532,2875731557880.0,80593340.0,6.798758343,0.2826929639,-16.4203306258,2276.42694194086,39462.2615703357,6.7556025612,0.2356536118130053,0.07822599940030536,0.1409875187,0.0940426887,0.0513182536,0.1181125265264281,871863172154.0,277011443631,0.0,1.2704521776,0.2291515625,0.7362963547,-7.265028843712888,2.6317500257928645,1.2342026483,7.2145057099,42.722149896487494,149.1796400355,34.8969156554,226.79870558738747,2.4467145779,1.3116077898,1.6317500258,0.43888659881817743,3.193260181263991
LTG,2021,4,1.1814430874,3541029579580.0,80593340.0,8.4758749866,0.3463400871,83.7899002282,1994.879189682423,37189.2649504413,7.3805921743,0.21433271483077557,0.05169445509166866,0.1423278138,0.1115442639,0.0565803999,0.06739110217715533,930717660025.0,209591831044,0.0,1.2678457758,0.3793116155,0.7686460459,-4.876898725425007,2.600186755071828,1.3846748163,7.6950122982,44.058238491234675,107.9024975913,42.6536031592,194.61433924173468,3.3826835166,1.213778128,1.5867332958,0.4670077829394037,3.0143406366047985
