ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
LUT,2023,4,0.1001751025,10651520000,14960000,-4.4355237041,0.0,-237.0649133103,-39.55390454545454,7107.5544947193,45.0238721287,0.0,0.0,-0.0223312452,-0.0108334591,-0.0050106237,0.0,2796008385.0,-591726412,0.0,1.1276531203,9.7659e-05,0.3384965276,0.0,4.503929799289055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0843200054,3.5039297993,0.05796676443424224,0.7088601016066667
LUT,2023,3,0.1873484947,20031440000,14960000,-8.7679557775,0.0,-147.7306555617,-33.68430621657754,7147.1083992647,-182.3121039432,0.0,0.0,-0.0176941017,-0.0102793663,-0.0045903415,0.0,-741953173.0,-503386056,0.0,1.1260112199,0.0001587336,0.3389285111,0.0,4.480713530680582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0783191044,3.4807135307,0.06938342616511256,0.7128049443533333
LUT,2023,2,0.1671124692,17952000000,14960000,-5.788413093,0.0,-57.7183498405,-45.72642867647059,7180.7927054813,-195.1743842698,0.0,0.0,-0.0215938015,-0.0099876515,-0.0060863229,0.0,-682162589.0,-684083942,0.0,1.124027262,0.000285092,0.3393535985,0.0,4.461613904989574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0732608284,3.461613905,0.08096584292812785,0.7161643924933333
LUT,2023,1,0.2499546812,34408000000,14960000,-1.7332542989,1.6687989277,6.1935173823,-41.557555347593585,9201.6680329545,-9.3012919666,0.0,0.0,-0.1253794361,-0.0747942911,-0.0381028859,0.0,-16086207937.0,-621754812,0.0,1.2347728238,0.0002175989,0.4458036003,0.0,3.676160069512277,0.0395745645,1.6782683379,2556.6412074444015,5562.3452085782,3335.1172938418,11454.103709864401,0.0656198036,0.8375507028,2.6761600695,0.07271289248130412,0.9177130251533333
LUT,2022,4,0.1546320219,25432000000,14960000,-22.0382113798,0.4735946565,4.0597359962,-31.746896056149733,10993.8418939171,30.2742744873,0.0,0.0,-0.5119329546,-0.2935065368,-0.1544121481,0.0,-60209848873.0,-475008899,0.0,1.1207284349,0.0002190272,0.3401637395,0.0,3.2005513369255074,0.1108239487,3.6737846547,802.1068499799288,1476.1214739111,837.4734044615,3115.7017283525292,0.2472696228,1.0602499982,3.4106759916,0.06907433202041947,1.09645249822
LUT,2022,3,0.138545999,25432000000,14960000,107.495148696,0.3212480369,4.4344215614,-88.27982506684492,12270.2929879011,17.044185425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-443595472,0.0,0.0,0.0,0.0,0.0,3.192196528639948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07708964143515301,1.0996187219866667
LUT,2022,2,0.2200436455,40392000000,14960000,170.7275891054,0.5102174704,7.0429048327,-1165.399306617647,12270.2929879011,18.8519855601,0.032387538249517206,-0.8455726579129001,0.0,0.0,0.0,-0.842885992374499,0.0,-17378978824,0.0,0.0,0.0,0.0,38.39569944665298,3.157883620031048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09055992455348717,1.1084231632066666
LUT,2022,1,0.3667394091,67320000000,14960000,284.5459818424,0.8503624507,11.7381747212,8.974933756684491,12270.2929879011,22.8893981829,0.008616441986066682,0.004058612046263003,0.0,0.0,0.0,-0.004779986012126996,0.0,-158129148,0.0,0.0,0.0,0.0,1.0225936735417067,2.8477508656630692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08963202121627327,1.22465232072
LUT,2021,3,0.6162917794,113696000000,14960000,105.0765347615,0.8252996655,-0.6264165967,47.81592560160428,12331.8211494652,22.2802124662,0.04324831804515994,0.016352044408834348,0.0058889268,0.0207331702,0.0022164071,0.035328306597528565,10563864924.0,1545449874,0.0,1.4639463434,0.0004379528,0.6398127037,-2.3727700308703477,2.513680151442163,0.2821912907,6.455400411,199.83003055448688,799.0155247451,346.4071475852,1345.252702884787,0.4568121503,0.6615116522000001,1.5136801514,0.10456665550215066,1.2298936293066667
LUT,2021,2,0.4487608543,82280000000,14960000,891.3654818934,0.329134634,-0.4496122495,28.03425969251337,12255.9709641711,9.71541448,0.04877310332433278,0.00862974146282363,0.0021892554,0.0340951822,0.0006928571,0.036803355346082256,11750120331.0,1788588012,0.0,1.4650437487,0.0004190497,0.4766727924,-0.9075951072653841,2.4892499952581795,0.4841602628,12.3488321561,66.76415635358659,408.9697071338,159.1929834823,634.9268469696866,0.8924866405,0.660175897,1.4892499953,0.11220343395050342,1.22512478766
