ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
M10,2024,2,1.4439471368,746142766000.0,31750756.0,7.1043972829,0.1767580262,18.8519125928,517.1966896473268,16274.8340305976,7.8469408533,0.13471391190974946,0.018680801544230394,0.2005548068,0.0753090573,0.0448195618,0.02191805676199455,180227578557.0,19267099827,0.0638297872,1.0877250675,0.0524973992,0.6012955018,-2.4392867755772323,4.839623856695099,1.8235343024,9.5181299697,47.15425510396418,71.5628958088,57.296676598,176.01382751076417,5.1004084711,1.6905296094,3.8396238567,0.8280540936584876,1.6296829825076375
M10,2024,1,1.4939204141,794245161340.0,31750756.0,7.0737126622,0.1822656607,5.2194132773,933.2446466786491,16744.5332189571,7.431167761,0.10760827596429909,0.02694526936075711,0.2182866462,0.0728432057,0.0484131882,0.02109647452885317,181058730223.0,23199409673,0.0599640216,1.1397607798,0.1444823571,0.7334000015,-3.046294388253,4.139511016556204,1.9250947152,9.5945930339,41.64867373215745,66.6869109075,53.1420820563,161.47766669595745,5.4733379464,1.6981030426,3.1395110166,0.816076433702354,1.6766525403892791
M10,2023,4,1.1896768004,635015120000.0,31750756.0,5.9318126334,0.1534179786,3.4776623831,823.2910754943914,16811.2885722784,5.5921759041,0.09767598552228798,0.023685138083555796,0.2017347389,0.0809394009,0.0450083231,0.01351951023936842,190959480596.0,14920813988,0.075,1.1137744086,0.0950763695,0.6469985588,-1.8286310357917377,4.284003043698895,1.8049354138,8.6937829625,40.24373697271141,78.0393866479,57.7341395482,176.0172631688114,4.6771254321,1.5435381151,3.2840030437,0.8426699841770994,1.683328024421278
M10,2023,3,1.2507974593,635015120000.0,31750756.0,4.8748783038,0.1541232828,2.6331298945,993.9691659940318,15989.7990286908,5.633381934,0.10351187900983899,0.027710726271046298,0.2587124135,0.1181628178,0.0559210384,0.03440031887914562,187530422903.0,39177935130,0.075,1.1057534551,0.159370501,0.6917466515,-4.72730092555459,4.636631389326041,1.8315729964,8.57572732,36.96294281193225,76.3044752851,57.5328373838,170.80025548083225,4.7834677932,1.7336554999999998,3.6366313893,0.9443545038107295,1.5364585902144814
M10,2023,2,1.1661908784,555257220928.0,31750756.0,4.4460915341,0.1272641183,0.8634063413,700.9900003640859,14995.8298627283,4.985882676,0.10105800557420251,0.02191922068043192,0.2510813101,0.1245435447,0.0525290239,0.017202859189926253,195887601223.0,17467929028,0.0857731016,1.0628000385,0.0764041568,0.5694440576,-2.1791779700729395,5.03865750331184,1.9231114514,9.1239675541,35.67936543747221,73.8398207207,54.0928649022,163.6120510603722,4.9431322617,1.2116564147,4.0386575033,1.0326486247792692,1.437062437463387
M10,2023,1,1.0497621822,538267656800.0,30239756.0,4.3327342812,0.1176999654,1.1865021506,769.11130830553,16956.2214202059,5.7035944689,0.12293124094848495,0.026393971406921936,0.2673374839,0.1117893733,0.0548448289,0.031802710822491545,184573611955.0,28023790514,0.0842696629,1.1373837578,0.1750683675,0.6227643869,-3.5362625106849612,4.173825091668863,2.0189306731,9.8304691463,36.34880323273501,74.5975535209,53.1158067871,164.062163540735,4.8929218556,1.8440036489999998,3.1738250917,0.9506096073138696,1.617128147015842
M10,2022,4,1.1747001082,575008960340.0,30239756.0,4.6431625571,0.1264249227,2.39181606,1611.1909310048666,16187.1101119004,4.5318458032,0.1444944152351977,0.04491713881630164,0.2734391911,0.1160088973,0.0586075227,0.04965911818256733,223611950441.0,53865687886,0.0788850907,1.0771373443,0.1770379828,0.5660125704,-6.722582731189133,4.679968360301509,2.1524573577,11.3255473921,35.62612844045193,76.2357316775,58.2406834905,170.10254360845192,4.787781162,1.7499680986,3.6853820591,1.0237251242129661,1.5438484289093257
M10,2022,3,1.2692434917,559435486000.0,30239756.0,5.5159872876,0.124268427,1.1137534475,824.6666498565663,14575.6114735185,5.9180112541,0.08707811292136898,0.018048094746118473,0.2367637577,0.0871588336,0.0475130592,0.018518132087186712,168604174946.0,25587186206,0.0810810811,1.0711424739,0.2052386615,0.6280568209,-5.0696322837705505,5.297728717823265,2.1089945132,11.9161703481,40.207244746225854,80.2228029564,59.3837092462,179.81375694882587,4.5498285593,2.1659836344,4.2977287178,1.0231547794039588,1.390398078926648
M10,2022,2,1.3890264126,577579339600.0,30239756.0,6.2530794198,0.1403096495,3.9507487764,903.2913559553854,13750.6384518116,7.9099067305,0.10066170384104071,0.022287359340537386,0.2223824049,0.0875241767,0.0455442312,0.02845259121114344,162069366377.0,34871396969,0.0785340314,1.0543856669,0.0148376749,0.4665815994,-10.731779970588123,5.485428597070221,2.0297370534,12.3029151066,45.56284902359208,86.8495541066,62.2695002495,194.68190337969207,4.2026698209,2.0665366715999998,4.4854285971,1.0065229373096538,1.3118273791597115
M10,2022,1,1.3176384744,576460468628.0,30239756.0,7.2159250147,0.1600428926,4.1465454635,755.8124243462811,14467.5496124373,6.8330744136,0.11098584836023513,0.026694759186918653,0.1974431147,0.0720162578,0.0417683697,0.02749416167736794,138753281200.0,23540017646,0.0786864607,1.1039644642,0.0306619847,0.4474651837,-8.433513657280713,4.5508066791905915,1.8832290445,12.2262918365,47.37186746166249,96.142664936,63.2112088436,206.72574124126248,3.7964414679,1.7139740111,3.5508066792,0.7733543471008437,1.3801062320178892
