ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
MCG,2024,2,1.05659034,99051150000,52050000,10.0515192018,2.2216420923,4.2687412672,2.0581278770413065,1801.0764701249,-169.5241670471,0.3350547010483277,0.009392638902356521,0.1036768104,-0.0312859061,0.0074218622,0.25022585349946785,-4643211731.0,2853892709,0.0,0.2607736161,0.0166476362,0.1416792503,-0.9965781506606533,5.642681790762163,0.033579212,0.1802611375,379.74654037727635,476.006042661,1172.3944947335,2028.1470777717764,0.7667969885,4.7206120842,4.6426817908,1.0329133822513346,0.4066086624691358
MCG,2024,1,1.4281005983,135225900000,52050000,17.4084680576,3.1870993861,11.496690795,-65.76235934678193,1819.1995739289,-103.9065157696,-0.027363664149337528,-0.31637909728182567,0.083899265,-0.0356771334,0.0058269704,-0.13092351709874714,-7902457741.0,-1416472022,0.0,0.2651343392,0.0102862306,0.1409463407,0.4099717895111636,5.5855398839335715,0.0318278836,0.1691130269,381.4307545351787,532.4654703443,1222.460386776,2136.3566116554784,0.6854904596,4.6656656235,4.5855398839,1.0439644015975484,0.40878988684576595
MCG,2023,4,1.3969471036,135590250000,52050000,19.5919388586,3.5230866905,7.4212109129,45.42235498559078,1864.7807015946,-78.1465145543,-0.07810622337504981,0.24145413374948088,0.0739381093,-0.0365710217,0.00521833,-2.508001523311903,-10519525481.0,-24557464892,0.0,0.2837121116,0.028486997,0.177464379,6.845454726757706,5.524812976318729,0.0290192125,0.1501207562,425.53944367983854,588.6561574561,1358.5810329984,2372.7766341343386,0.6200563697,4.5767636385,4.5248129763,1.0438023546872455,0.4153437560006955
MCG,2023,3,1.2119657483,114770250000,52050000,-1.4336536501,2.6500908714,11.51161519,207.6064911815562,1819.358346609,-11.4630339924,0.09533501303094123,0.8597508045608744,-0.9003361957,-0.1064447985,-0.0596236823,-0.1181609596663361,-69898096057.0,-1485125246,0.0,0.3529981958,0.047029375,0.1877276316,0.4111513778651636,5.693503577811219,0.0322553882,0.1678913591,311.2284757425983,689.3451214517,1354.6749829268,2355.2485801210987,0.529488044,4.6007006688,4.6935035778,1.0603536120254704,0.4149490953921057
MCG,2023,2,1.6708527376,140170650000,52050000,-1.5040844684,3.4648008619,-32.2063945521,-38.02877150816523,1611.7518554275,-11.6699836456,0.15722257586889277,-0.21399459690955033,-0.8288582293,-0.1063422668,-0.0808876428,-0.05426338028001655,-72209245651.0,-501922964,0.0,0.3398545973,0.0028210667,0.1672710569,0.14117127339091237,5.831586495306503,0.0351136622,0.2043402863,406.26711181770395,757.0033026882,1345.2881005105,2508.5585150164043,0.4821643429,4.7819200913,4.8315864953,1.1124102251341925,0.39980045419231436
MCG,2023,1,1.8214542897,156410250000,52050000,-1.759372742,3.2477670287,255.437768355,-82.0372260710855,1649.7806269356,-11.3798061592,0.005980312614867831,-0.6209929976499704,-0.6384730631,-0.1056057283,-0.091555424,-0.3274359988072915,-75303508946.0,-2251497259,0.0,0.3536794497,0.0033163541,0.1733873728,0.6422099670720308,5.725396572423698,0.0495971897,0.3518357543,404.4818997894879,631.1106117146,1017.6662756289,2053.258787132988,0.5783455281,4.69796821,4.7253965724,1.1105168891126524,0.4064621783950617
MCG,2022,4,1.1202101864,100977000000,52050000,-1.1951995327,2.1893298919,-6.0477713939,-1625.5688729490873,1731.8178530067,-11.8693250287,0.07261368566695943,-5.7899181602529515,-0.407665363,-0.1030483263,-0.0854581371,-5.5078613619779855,-67527520139.0,-80489028135,0.0,0.3434230446,0.0094501276,0.169447326,0.0,5.531147381296632,0.046653328,0.3340670022,870.7973708800845,988.426431367,1154.5971343072,3013.8209365542843,0.3692738159,4.458926675400001,4.5556536594,1.093168627258133,0.418987613721092
MCG,2022,3,0.8216545212,155109000000,52050000,-8.0206526074,1.4372392676,-7.5893088762,-44.82308357348703,3626.8284578482,125.628074527,0.1614803007065775,-0.24011786524021025,-0.1021515233,-0.0187867273,-0.0311299816,-0.0528828144262759,1321565455.0,-513821829,0.0,1.1724820036,0.0034983205,0.8758314161,0.0,3.160202066623529,0.1737238705,8.7372685814,270.969381105065,265.2743516937,364.0463693297,900.2901021284649,1.3759340007,0.1006804327,2.1602020666,0.06968602957517946,0.3282497326221527
MCG,2022,2,0.7544288909,144178500000,52050000,-7.6921797075,1.374620605,-6.6621790172,44.434095350624396,3671.6515414217,66.1027714294,0.10189162236576144,0.13642022129440864,-0.0947565054,-0.0134596133,-0.0271516096,-0.01905395348402646,2295462458.0,-323030424,0.0,1.169146192,0.0112477545,0.8915977021,0.0,3.2250229194957822,0.1519365125,8.5034775102,421.1300683565185,402.7569464684,481.4689381127,1305.3559529376184,0.9062537672,0.0868930901,2.2250229195,0.05947007954806221,0.3323064905772909
MCG,2022,1,1.1055306332,208720500000,52050000,-5.6784291922,1.2878542161,-16.7874777237,2.7979227089337178,3627.2174460711,-25.4965055534,0.2030784002738209,0.030094472514745688,-0.1783014778,-0.0685911818,-0.0470747755,-0.1661403122129626,-8439348953.0,-803979053,0.0,1.1660850489,0.002817587,0.8961866749,0.0,3.3245843205785857,0.2075629182,12.5671327872,385.4392047445651,312.6331376187,346.1975901014,1044.269932464665,1.1675025968,0.07544405230000001,2.3245843206,0.06447678173102697,0.32821704629107984
MCG,2021,4,1.5505931264,292521000000,52050000,-7.9520957762,1.6774417733,21.4939566522,-373.94977360230547,3624.4195233622,-46.0877352185,-0.006147330896826702,-0.25472338731105154,-0.1698624321,-0.0622147881,-0.0451886098,-0.0278416993321575,-6809842342.0,-2127457663,0.0,1.1220241757,0.0415953062,0.8732342858,18.959543894966867,3.4168160692366416,0.214221536,2.5808419622,365.0155789744153,452.0469877801,323.4290570592,1140.4916238137153,0.8074381864,0.0226954817,2.4168160692,0.06742184105355889,0.3279638175013041
