ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
MES,2024,3,1.1399633657,186000000000.0,18600000.0,-23.4096559222,33.1211891726,-53.1367278517,-7.71462311827957,8772.2117223656,-19.5654839709,0.4883412163613071,-0.30061160593170183,-0.0486467943,-0.0578355768,-0.0469221647,-1.101304276779233,-9417985966.0,-525689425,7.6053462531,0.3776617214,6.8893116422,1.0303495655489747,0.0331640185,0.0854647682,524.6423743453323,255.3917441517,280.2472087233,1060.2813272203323,1.4291769736,0.0303495655,0.40011632109328404,0.8772211722365592
MES,2024,2,1.1389617186,186000000000.0,18600000.0,-22.311515335,33.5817818452,-131.1815348759,1.807418064516129,8779.9263454839,-21.3586435788,0.28339843105462786,0.038621530666281795,0.0,0.0,0.0,-0.7199966024333293,0.0,-626718519,0.0,0.0,0.0,1.0369554017619442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40149571272495865,0.877992634548387
MES,2024,1,1.1391962313,186000000000.0,18600000.0,-21.9198349099,32.8032269312,853.793162951,-24.284874193548387,8778.1189274194,-22.3145830195,0.4734939060970565,-1.0296718267040352,-0.0507127286,-0.0577841685,-0.0488499232,-1.4575593807087104,-8297726891.0,-639405296,6.3971136189,0.1510993066,5.8112641321,1.0363167038970542,0.0326425889,0.0855570458,566.5705814960763,259.7949658953,349.205410265,1175.5709576563763,1.4049540904,0.0363167039,0.4033096975073536,0.8778118927419355
MES,2023,4,1.1360533129,186000000000.0,18600000.0,-23.1600688563,31.224200658,234.7768284111,-396.9820762903226,8802.4038016129,-23.3139026877,0.06573344638140818,-1.9282658904262513,-0.0478779813,-0.055197761,-0.0458962755,-1.996413025606406,-7881891455.0,-7644820961,5.5747209992,0.9928951431,5.1185630214,1.0433822368440278,0.0340428539,0.0892958075,637.3333608987288,226.5745264691,372.7218899384,1236.6297773062288,1.6109489698,0.0430277092,0.4042962107910285,0.8794290171290322
MES,2023,3,1.0879886626,186000000000.0,18600000.0,1192.0626546593,67.0596198872,-231.2127501809,-28.739518602150536,9191.2722475806,-1471.9842149703,-0.14772577261340578,-1.3353509786968603,0.0009101117,-0.0128811139,0.000872952,-2.008821941504755,-124836699.0,-804152558,7.5100310244,0.3907036323,6.9458916547,1.0372163256527487,0.0155177365,0.0414927437,1456.9912338417935,839.8285590622,1332.8465082303,3629.6663011342935,0.4346125124,0.0372163257,0.38848766527808365,0.9191272247580645
MES,2023,2,1.0829330198,186000000000.0,18600000.0,-2535.3356269124,83.6442486742,-24.3925118943,-6.201346397849463,9234.1814470968,-178.9508266787,0.7363715995555985,-0.11512596496597571,0.0,0.0,0.0,-0.34555885054981705,0.0,-346216429,0.0,0.0,0.0,1.0357701031341238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3889250568094278,0.9220011766182795
MES,2023,1,1.0829330198,186000000000.0,18600000.0,-2535.3356269124,83.6442486742,-24.3925118943,-7.968334516129032,9234.1814470968,-180.090845652,1.0,-0.20430889013340173,0.0,0.0,0.0,-0.541696768683435,0.0,-392961029,0.0,0.0,0.0,1.0415612606936457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39034676522403616,0.9226213112580646
MES,2022,4,1.0829330198,186000000000.0,18600000.0,-2535.3356269124,83.6442486742,-24.3925118943,51.29802032258065,9234.1814470968,-177.3405469198,-0.05654100104034044,1.476975283701094,-0.0004270448,-0.0128629261,-0.0004010206,-1.0197883611404084,-1004662116.0,-658795119,6.4638938688,1.1479141636,5.9976030083,1.0556906830332593,0.0121553118,0.0327545433,1973.5280357338127,452.4696280734,908.1637932686,3334.1614570758125,0.8066839791,0.0433211122,0.39185950648383766,0.9231914778709678
MES,2022,3,1.0573169452,186000000000.0,18600000.0,-63.1859432238,11.3814134416,-24.5544765575,-17.304589623655914,9457.9019524731,-76.2494913711,-0.04458204950643181,-0.5228480087664161,0.0,0.0,0.0,-0.7889836981776164,0.0,-485698565,0.0,0.0,0.0,1.0982885260906454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39581269864999896,0.9180616758387097
MES,2022,2,1.0573169452,186000000000.0,18600000.0,-63.1859432238,11.3814134416,-24.5544765575,-21.633624677419355,9457.9019524731,-76.2494913711,-0.31104835399907865,-0.812762431896261,0.0,0.0,0.0,-1.0942309320781414,0.0,-541735881,0.0,0.0,0.0,1.0949608142299465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3968283356239584,0.9197921348010752
