ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
NFC,2024,2,1.2373982342,251700160000,15731260,7.0669656246,0.2761098859,2.3165311695,1021.9032329896016,12930.3562567143,3.8005602761,0.19026280370636275,0.05428653974976367,0.1748769584,0.2167881122,0.1286706206,0.06714053260767401,47673966540.0,19882267096,0.08125,3.3474872061,0.8419115318,2.2408216565,0.0,1.4117417391957856,3.293293355,126.9235368958,40.06124612610531,61.6088890997,14.6402837743,116.31041900010531,5.9244697532,0.0,0.4117417392,0.031496998112823874,1.293035625671434
NFC,2024,1,1.1243138314,235968900000,15731260,7.8455898834,0.2778817757,2.3596730496,660.0262650289932,13341.4706656047,4.3167506571,0.14847145996174307,0.03712647662244325,0.1495804353,0.176859237,0.1098721227,0.047164409589386974,41013751945.0,13190321879,0.0866666667,4.6913675253,1.0751706318,2.832490866,-121.74781587302273,1.2611189969414731,3.1020804163,108.1020680189,43.10219099899905,71.4780766222,14.5741637398,129.15443136099907,5.1064608513,0.0,0.2611189969,0.03261788660458788,1.3341470665604662
NFC,2023,4,1.1503757365,235968900000,15731260,8.3851912908,0.324779959,3.5877430848,356.9711889575279,13039.2179916294,6.0493721991,0.11053451252778493,0.027042720739970758,0.1397489507,0.1510377042,0.0922750725,0.030243268156654932,40236357746.0,6280222226,0.0866666667,3.3223139508,0.1225473654,1.3710682389,-12.462495097903178,1.417373517446476,2.3823641588,77.3537939679,54.423614391326105,103.053631764,17.7961739038,175.2734200591261,3.5418450932,0.1581139515,0.4142841714,0.03616048296486306,1.3018083963331608
NFC,2023,3,1.1123264002,218664514000,15731260,8.3326002669,0.3152736894,3.3564320252,225.15447472103315,12496.332009197,5.7540019846,0.15284021413381743,0.027641072229183435,0.1327724261,0.162660392,0.0923731277,0.037023429808628085,39294445596.0,4744231301,0.0935251799,3.7416063097,0.1250378735,1.4020257422,-11.241702838273099,1.3485540005961287,2.4413973469,71.7478256482,51.23824797489654,103.2109289062,17.5663379927,172.01551487379655,3.5364471948,0.0814077062,0.3485540006,0.04105632004344337,1.2496332009196975
NFC,2023,2,1.0512438569,202933254000,15731260,8.2487422574,0.3075976749,140.6384768871,669.7502001111163,12271.1775344759,5.755185589,0.1397123008055653,0.04508252270559467,0.1249215292,0.1515981125,0.0842626941,0.05521537237473869,37452016741.0,12904112966,0.1007751938,3.2415130843,0.1042502542,1.4613768128,-27.237508354052096,1.4241487810508318,2.2596440159,61.5734458697,51.78861790482715,115.2565696416,17.6024617988,184.64764934522714,3.1668476785,0.1095407751,0.4241487811,0.047134812420616234,1.227117753447594
NFC,2023,1,0.9136674718,185628868000,15731260,8.1722603393,0.2904538604,-9.0738644867,515.8580633083427,12914.9831461688,5.8099777728,0.18419319063256595,0.051673115691003205,0.1155143101,0.1337358963,0.0793855983,0.0712842737616167,35376979036.0,11194966880,0.1101694915,3.6858670037,0.0430843808,1.2213406451,-11.203126845484812,1.3531551221763514,2.2336070034,54.4792590181,48.65001505606271,119.3595593951,17.2666647993,185.27623925046274,3.0579871596,0.113215647,0.3531551222,0.049797996589386134,1.291498314616884
NFC,2022,4,1.0189503455,201360128000,15731260,7.8613607063,0.2883569924,-3.7767121144,257.38400534985755,12561.9467682818,6.5783784551,0.12502532742270164,0.023179748657105217,0.0,0.0,0.0,0.032838161764505575,0.0,5736079731,0.0703125,0.0,0.0,0.0,-3.9286670705498534,1.6249650952928016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057533424798862295,1.2573326011393875
NFC,2022,3,1.193574961,231249522000,15731260,9.2211444753,0.3434029707,-6.0947547848,120.88251328882747,12315.942006044,7.3045112461,0.1646274802773032,0.020164326349714403,0.1307018634,0.1295691208,0.0972570011,0.02794259601772784,38662578069.0,2635178413,0.0612244898,2.7536488331,0.0851876736,0.8026992192,-6.049854323402002,1.530933500657598,2.6115698893,53.3312663429,35.972240419846344,104.3185129008,11.861203698,152.15195701864633,3.4988995707,0.3093625702,0.5309335007,0.0632909870488409,1.2315942006044016
NFC,2022,2,1.0824055436,207652632000,15731260,8.1686857412,0.3061995166,-76.6942113646,549.7843869467545,12195.0594927552,5.2288601746,0.12811190127081243,0.04059165956808771,0.1346215984,0.1689541651,0.1055648176,0.050129144255336704,38300901612.0,10680938014,0.0681818182,3.9494443333,0.1277758597,1.4188373997,-1499.75217143077,1.3113607641382357,2.8162220169,52.1079061226,36.77442239038179,91.1772341541,12.1463783999,140.0980349443818,4.0031922813,0.0016239786,0.3113607641,0.06862208923505754,1.219505949275519
NFC,2022,1,1.3258043603,259565790000,15731260,11.9829656542,0.4037545196,65.9992112446,711.5451918663858,12445.2751058084,7.5728979981,0.1721520054904136,0.051653242546035635,0.1166458582,0.1336202091,0.0936371455,0.06683865322898191,32188063117.0,14484252865,0.0545454545,4.7712689705,0.3322952799,1.8056021296,-113.30239483867007,1.2479340021571699,2.7790418278,47.573389375,40.17892472461834,82.5017765892,11.2612527328,133.94195404661835,4.4241471528,0.0020254382,0.2479340022,0.0637727307198311,1.2445275105808435
