ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
NT2,2024,3,1.354431986,5512825955350,287876029,68.5636785503,1.2346916762,9.4997503294,153.90216429586778,14138.7682796576,10.5050507567,0.03480551482066031,0.025882569168458942,0.0,0.0,0.0,0.02007670017168587,0.0,34366490201,0.0,0.0,0.0,0.0,-3.1263942484078733,2.527532105830263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39210345501244426,1.4292670443953497
NT2,2024,2,1.3897957454,5656763969850,287876029,70.353852925,1.2669290568,9.7477855861,424.43686742670747,14138.7682796576,10.7279045912,0.05924516242903902,0.05589254059317076,0.0194644288,-0.0076580196,0.009354002,0.050824143546731766,645885294378.0,111105311656,0.0,0.9656152136,0.0061629081,0.9082449112,-12.836370603193636,2.4236412864029813,0.5194371987,2.1888205201,203.11013109418047,25.9077883207,198.4429962745,427.4609156893805,14.0884275987,0.3213451301,1.4236412864,0.4380329816500039,1.413876827965763
NT2,2024,1,1.5891843878,6318878836550,287876029,61.6689338945,1.4162719841,9.2004652522,-549.3992787013191,13812.1165598786,10.3014558936,-0.8605741636735461,-0.6038743606637617,0.0239321968,-0.0016621744,0.0121676599,-0.9168186720643475,679338202488.0,-240121167989,0.0,0.8293336815,0.0016458981,0.7503294378,46.828380759830445,2.0648793490470774,0.5298181567,2.0181997799,249.93711215911898,26.379877762,189.4462895341,465.763279455219,13.8363036892,0.1725935805,1.064879349,0.49154457734024365,1.3812116559878627
NT2,2023,4,1.507152417,6534785858300,287876029,13.8133737675,1.0233172557,7.6287794667,834.1960753877149,15061.5158385799,6.5534821071,0.1889534638665965,0.20003163691900305,0.1057191222,0.0797149194,0.0595217219,0.1969299427760067,1128503190177.0,236421360090,0.0660792952,1.1591440176,0.0002801418,1.095878562,-20.53979307422924,1.9435417470879692,0.8034612796,2.5883881211,147.01857261045478,17.6364981881,76.0816153024,240.73668610095478,20.6957183964,0.2767623821,0.9491346199,0.48759309363989284,1.5140406912313633
NT2,2023,3,1.8069075239,7441595349650,287876029,17.9683649944,1.0470895122,6.0101802978,-429.93126370379383,14306.2108369259,7.5780231233,-0.16184324801382738,-0.1515960578046101,0.092214155,0.0809181813,0.0503901782,-0.18200252455077912,1095593774381.0,-148591523294,0.0580270793,1.3335633573,0.0175732014,1.2419337865,14.414894640495488,1.9028705298024238,0.8647103268,2.7844763549,199.1356618511165,17.594426301,101.720540491,318.4506286431165,20.7452061099,0.2248883819,0.9028705298,0.557733731623676,1.4306210836925919
NT2,2023,2,1.5309759169,7153719320650,287876029,9.7079189617,0.845709146,6.3034338318,501.0673267866982,16231.4767503792,4.9576620356,0.07433123918550494,0.06608388554740482,0.1610675966,0.1533363242,0.0910350046,0.06621961760401501,1458033252136.0,144541542822,0.060362173,1.4838372777,0.0613894539,1.4070314234,-29.393841487712244,1.9616352173229954,1.0449933666,3.1060638567,169.5777234223812,15.3027127024,75.5317142695,260.4121503942812,23.8519801749,0.0750244872,0.9616352173,0.5277807723818738,1.6231476750379241
NT2,2023,1,1.8876964309,8607493267100,287876029,8.9881019603,0.960223675,5.2205296211,812.2285430128675,15839.4112050504,5.4399343896,0.11528052710960994,0.10711598533249292,0.2119905478,0.1944865,0.1235181827,0.10607316738746073,1701583742102.0,231544783255,0.0501672241,1.4828636626,0.0002557772,1.4026661844,-32.577599718545706,1.8482897871319746,1.1561827194,3.096376162,146.62613907381336,14.376724133,58.9703254556,219.97318866241338,25.388259288,0.1425505245,0.8482897871,0.5783596688644278,1.583941120505035
NT2,2022,4,1.8094259366,8348404841000,287876029,9.4501248088,0.9500111436,6.0346556836,555.2749144181088,16027.1826620375,5.2344009297,0.03370838562889994,0.08304476365578475,0.1997006748,0.1811650948,0.1255849111,0.09387907043227026,1638931018183.0,180704964643,0.0517241379,1.609648901,0.1357496364,1.5010450957,-22.74129627852826,1.6135754992892521,1.2492412239,2.7873302786,105.45003750646646,14.6440680356,42.7076802197,162.80178576176647,24.9247681117,0.13665553,0.6135754993,0.6088314522723852,1.6027182662037485
NT2,2022,3,1.8485115389,8233254429400,287876029,9.7473170394,0.9689169527,8.940366826,691.1951242074414,15471.9077476194,5.3332274051,0.1948629143560552,0.09176564104272812,0.193057713,0.176568296,0.1172538827,0.09843977650041875,1586969951011.0,213450258681,0.0524475524,1.4634510349,0.1386349288,1.3578932716,-520.835996666273,1.647940940740112,1.1795755716,2.6235786016,131.72466113633607,15.3734201106,55.4974530152,202.59553426213606,23.7422770843,0.1415599923,0.6479409407,0.6692739322393672,1.5471907747619376
NT2,2022,2,1.7076333831,7585533364150,287876029,8.254922973,1.0009027741,9.5863940686,1267.9214469538206,15430.7126234119,4.5639776624,0.15216924950431338,0.1357918029204458,0.2142064812,0.2092295975,0.1304569649,0.14417322409598662,1660966465034.0,387533193660,0.0569259962,1.3327935029,0.0610254267,1.2407302966,-79.19987480976323,1.7559290196487831,1.0759408649,2.2223379362,129.19766964799777,17.3349024485,60.0357217749,206.56829387139777,21.0557862142,0.0450234229,0.7559290196,0.7097637030470105,1.5430712623411933
