ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
PAT,2024,2,3.6991150691,2202200000000.0,25000000.0,8.7308012908,1.4764326713,5.5394012562,2228.90835276,23813.26299764,8.2268941486,0.271082896833006,0.24383108570563405,0.4297330784,0.3185790448,0.239265585,0.2131608277268911,279378596006.0,48713635920,0.0794659886,1.7876744126,0.1020736287,1.2334602013,-71.5375628642831,1.5607286347260902,1.4148835361,4.5679746249,29.894400326898978,30.7820166386,22.6021973053,83.27861427079897,11.8575726953,0.2188566942,0.5607286347,0.5194927315280565,2.381326299764
PAT,2024,1,4.2953334267,2317800000000.0,25000000.0,8.4675285343,1.3513891925,6.8785871865,2433.18069904,21584.35464488,8.1472533758,0.19161750212423603,0.1388524668871268,0.4635905567,0.361687496,0.2568547783,0.12968066114960078,305250042139.0,56811464863,0.0755026318,1.4746271326,0.0042004042,1.2815727659,-26.287636970569782,1.7628351255424592,1.6093995548,5.0640611234,36.31254277057554,17.7097144366,16.4258903671,70.44814757427554,20.6101572844,0.3166709636,0.7628351255,0.5955158444326729,2.158435464488
PAT,2023,4,4.6972013509,2442575000000.0,25000000.0,8.5526830888,1.4278965738,8.5171121906,2085.53619788,20800.25800492,8.6412500877,0.1857576273811082,0.1436686546900873,0.439189915,0.3177002289,0.2380641876,0.1280035367586986,314143876641.0,46453419144,0.1023510025,1.2375108437,0.0900176852,1.107518221,-19.44840244944166,2.3168617491783534,1.4259348951,4.780873731,30.1336188929706,21.2224026004,8.0618195189,59.4178410122706,17.1988066984,0.6089144465,1.3168617492,0.6411859565090666,2.080025800492
PAT,2023,3,3.2918244908,2280800000000.0,25000000.0,5.4359585814,1.1075834961,6.0351202742,3341.71215092,27714.72180704,5.672885449,0.2348621804612581,0.18081155352265604,0.6415167507,0.418451833,0.3917704951,0.17139087661173652,443398862298.0,79190041202,0.1534549281,1.7444447702,0.021650102,1.6507538626,-34.137085603213585,1.6332383800995613,1.9227879361,5.6720871763,27.87028074847983,14.2188950738,8.5671629763,50.656338798579824,25.6700677588,0.4063108403,0.6332383801,0.49370454790581086,2.771472180704
PAT,2023,2,3.9487942342,2406100000000.0,25000000.0,4.4589889169,1.0290614678,4.2606288185,3088.69260256,24373.00965612,4.5576610611,0.21543919030353875,0.17080236472079663,0.7794932196,0.629006056,0.5111877135,0.16483478328910048,579387303843.0,74519456540,0.1454636133,1.6177210455,0.0063062485,1.4702618811,-49.13516046529308,1.6003344223911204,2.215008938,6.3087743028,24.971670871901722,18.1758229229,5.6305753404,48.77806913520172,20.0816216987,0.3887214197,0.6003344224,0.5873765404842096,2.437300965612
PAT,2023,1,3.8495949761,2048400000000.0,25000000.0,2.9754425712,0.7919416526,2.6011980344,2907.725632,21284.31705356,2.9092980032,0.21423785389603772,0.16766027569404235,0.9023210235,1.1092658312,0.5869097945,0.15139208037209123,733652628559.0,65639673852,0.1708650654,1.3081616425,0.003545785,1.1416557525,-90.16931080005897,1.8470658267714748,2.2051073868,6.8615160328,21.522263813082557,31.5715113407,16.3055088205,69.39928397428255,11.5610556638,0.1646514104,0.8470658268,0.6954306881406029,2.128431705356
PAT,2022,4,2.5656222248,2002550000000.0,25000000.0,2.0789446479,0.6357522636,1.7573315328,7444.92611376,31221.2761584,2.0691064563,0.334467583570506,0.26157256631282727,1.4800586828,1.1393166569,0.8755868976,0.2647515979513326,1018572603014.0,188385207309,0.3826995581,1.9032792259,0.4907713509,1.7406577136,-296.1572773793179,1.5275524645744707,2.8632170088,8.0862542484,16.698085149538038,18.1506114783,10.1140342406,44.96273086843804,20.1095153426,0.0946452131,0.5303664316,0.4888205949087467,3.127405141384
PAT,2022,3,2.5025181482,2116450000000.0,25000000.0,2.1732892303,0.6994543993,2.440851708,8142.9210072,33829.12530008,2.1840173421,0.30535414358397683,0.2747513103850628,1.3317092939,1.0267561654,0.813061455,0.2749360465257356,1017132559474.0,203709902762,0.236244655,2.9954668875,0.0313865222,2.3749291075,-189.15200026891893,1.2652934080450131,2.5262800629,7.8677962058,15.885193457899511,34.5148126119,24.935536016,75.33554208579952,10.5751696845,0.1324624502,0.265293408,0.4402625012017316,3.382912530008
PAT,2022,2,4.3164595636,2249350000000.0,25000000.0,8.7732634731,1.4106049236,5.1923721033,9041.84329132,20844.39774644,8.194821114,0.37379973349464496,0.32269708282830745,0.0,0.0,0.0,0.3279129011252602,0.0,229699710886,0.2222864383,0.0,0.0,0.0,-342.77464817962027,1.6193168927088595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42962266732354365,3.568620429288
PAT,2022,1,7.3500804323,3830200000000.0,25000000.0,14.9391396425,2.4019823408,8.8415869607,13953.21121304,20844.39774644,13.28282788,0.4134969297652393,0.349911397457516,0.0,0.0,0.0,0.3541265742476952,0.0,353032433534,0.1305414861,0.0,0.0,0.0,-631.7329574880686,1.9073279074662204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5792309291296721,2.664436100156
PAT,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3887305969266349,0.3325779887104081,0.6101654386,0.3386333478,0.2755149013,0.33520274787086646,302073610815.0,196939166544,0.0,1.2011555358,0.1019747896,0.9271232505,-219.6442533914269,1.9300070961652431,1.7135661302,3.8165918901,52.13814041086741,28.9948120494,29.5463538929,110.6793063531674,12.588458907,0.4577287353,0.9300070962,0.7616201161423034,2.084439774644
