ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
PGT,2024,2,1.2137701509,31422123400,9241801,8.0911760816,1.2477071429,3.7577989124,-75.23709523717292,2801.1893335509,-3.7021909021,0.238601085553344,-0.10438308726129095,0.1440326771,-0.2357913623,0.0641148206,-0.3324665706464504,-8310893208.0,-2214657028,0.0,1.3660775007,0.3373155507,1.3486364646,0.0,1.8211774455363388,0.4157740911,241.3367729208,591.3998272239501,10.4681546834,4.0503300661,605.91831197345,34.8676544279,0.0,0.8211774455,0.002489635449822324,0.37588881662784124
PGT,2024,1,1.2494929053,34194663700,9241801,19.3912003397,1.4389654605,22.9287415346,-261.2978680237759,2961.201287498,-5.8620684958,0.20184437282121498,-0.4725395752720631,0.0684720084,-0.1900024889,0.0301546634,-0.5860893978665651,-6575385932.0,-2995147107,0.0,1.4808281382,0.1706296403,1.4541679086,0.0,1.6700337307427944,0.4063579954,212.6309840445,628.1427642124173,11.0800512694,9.1420795765,648.3648950583173,32.9420858374,0.0,0.6700337307,0.0030743279439084865,0.3867685696543347
PGT,2023,4,1.1873236498,35118843800,9241801,3.1486681364,1.5421637464,3.5117704248,221.1038511865815,3200.4752879877,-6.0167654226,0.31397494935183246,0.2651862243701583,0.4274663787,-0.1501894702,0.190068544,-0.04924818312794026,-5847554362.0,-379482867,0.0,1.576973843,0.3383572552,1.5679486707,2529.88578,1.6643103332772018,0.3880669414,193.2970872577,647.7059187987948,6.2304597734,23.7518660743,677.6882446464947,58.5831565047,0.0,0.629449354,0.0029461946362059612,0.3947418997336125
PGT,2023,3,1.1788963591,31422123400,9241801,-8.1821082478,1.5437740004,1.8944896833,535.6419646993048,2884.053355293,-4.496175955,0.22000589114061314,0.8674552836122361,-0.1622292794,-0.2257057174,-0.0626335201,-0.45592904670846146,-7002982714.0,-2601844708,0.0,1.6956988119,0.1779566056,1.6646606051,32.19037255676481,1.8615736978552995,0.3319619591,166.1346758792,714.1375950211062,11.9257823154,30.8819114677,756.9452888042061,30.6059586154,0.0,0.8615736979,0.003606645186284779,0.3406605111492879
PGT,2023,2,1.3883385726,30497943300,9241801,-2.6536042352,1.6063277649,-15.301790608,-304.63974954665224,2376.9418102597,-5.703629253,0.3158544666674191,-0.5372153764406075,-0.462408773,-0.2019054428,-0.173511868,-0.1555205505861664,-7194211049.0,-815046774,0.0,0.8718764482,0.0700239205,0.8634981983,5.963578004677314,2.362049621715442,0.286636288,148.3328608266,761.4947747870463,7.688259987,47.3888865234,816.5719212974462,47.4749814153,0.4783354561,1.6814476567,0.004996101288683048,0.2514791927569096
PGT,2023,1,1.5543778386,35118843800,9241801,-11.7103998299,1.9660936749,-2.4209345775,3.159330091613096,2444.7080404566,-4.8492203882,0.23408476826761926,0.0069967518416070825,-0.1074086074,-0.2561800028,-0.044402361,-0.4727446622872707,-9336263801.0,-1972794189,0.0,0.8834062159,0.0916162593,0.8756259523,14.434646462726345,2.58816598227532,0.2644682743,132.9276106038,812.1505866174368,6.4034045757,59.9054162171,878.4594074102368,57.000927504,0.4722173914,1.5881659823,0.005311544913310639,0.26708765905043835
PGT,2022,4,1.2264445826,27725403000,9241801,-11.7911047185,1.5891395933,-36.4901209432,-649.7023688348191,2446.0950315853,-3.4024044824,0.3357199163483791,-1.1472879811507732,-0.0838712848,-0.3059900552,-0.0434377287,-0.32792963850932233,-10763496723.0,-1716245017,0.0,0.8407442755,0.0808683842,0.829464014,12.557513704137722,2.3738339021006967,0.3231270094,121.7135105944,813.8911741776201,6.8692859632,34.6253080754,855.3857682162201,53.1350713823,0.4801700943,1.2980708838,0.004522232890222937,0.3093534652715418
PGT,2022,3,0.9403036346,28649583100,9241801,7.8642033669,2.2704832703,-1.2404032994,-292.4088355722007,3296.8074204368,-3.218377336,0.21239874567535336,-0.6228529571613374,0.1017257208,-0.2612215771,0.0540449814,-0.6227228070098029,-11666111732.0,-2701819584,0.0,1.1058654428,0.0991171482,1.1015405849,19.768818622118502,2.1589128359659284,0.188880516,86.4590853264,1155.3455146272888,3.6614242827,76.7242657219,1235.7312046318889,99.6879825499,0.3557649519,1.158912836,0.0042720069709646135,0.3431347219984503
PGT,2022,2,0.9719099714,33270483600,9241801,5.1155278544,3.9102134572,-1.2885689084,614.4539873775685,3704.0467800594,-3.8994613843,0.27271570574289633,1.379359805887618,0.1719239626,-0.2148667213,0.0997893158,-0.7089510957146974,-11070982035.0,-2918667963,0.0,1.2055187536,0.0667390822,1.202423635,79.59113706542153,1.9744881461517934,0.1329770306,56.1098865847,1699.3026619619031,3.6281593294,94.1860587001,1797.116879991403,100.601976613,0.3103764767,0.9744881462,0.0039981450543931304,0.3833044257931977
PGT,2022,1,1.4582187854,49905725400,9241801,31.6180923987,11.0960740612,-50.8664724003,3.9334136279281493,3703.1480145482,-6.1223252554,0.18378478669280077,0.009152922375583938,0.040518193,-0.183854586,0.0253276124,-0.7341654254641152,-9798066010.0,-2915817780,0.0,1.1783495083,0.5630779527,1.17495147,21.334612114488333,1.931552103361584,0.074308214,27.5373551574,3183.0887424106836,4.4624374909,105.6392943013,3293.1904742028837,81.7938628258,0.3175542208,0.9315521034,0.004179909003203497,0.3834590590730097
