ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
PLX,2024,2,2.2216291539,56477824845750.0,1270592235.0,15.4400790273,0.1949284607,55.702361284,948.913596768518,20007.8397072866,11.3794131437,0.0626111714677773,0.01639058951247093,0.1411818774,0.0727956132,0.0462624657,0.016809583332557613,5411842239421.0,1236503189867,0.0224971879,1.1910559916,0.3433807404,0.8530756549,-8.890849575072494,2.6134959084071663,3.6644014121,21.4664253559,14.816365287981293,22.4935466496,31.1155741677,68.4254861052813,16.2268763431,0.6331913366999999,1.6134959084,0.4742193531708181,2.2090603839832728
PLX,2024,1,2.1789304506,58828420480500.0,1270592235.0,18.0163588105,0.2086657649,8.2275877179,844.4676608802037,21248.9572525178,12.4352749824,0.06217114562783821,0.01428609209349108,0.1268026518,0.0611821378,0.0406530052,0.016421140530581493,4958475967233.0,1233329421964,0.0215982721,1.1742896388,0.3447953387,0.8368131583,-6.359855800346468,2.6632754779962555,3.5100109956,20.8596139897,15.750241665518054,23.2161524033,32.7590565051,71.72545057391805,15.7218127129,0.5687504738,1.663275478,0.44271885552065443,2.3428160550999397
PLX,2023,4,1.8050178174,46821323859750.0,1270592235.0,16.5218295302,0.170893732,8.8784819168,504.52437835180064,20415.3109436034,13.1460917165,0.057998482539658856,0.009336996927950607,0.1123838372,0.0443993297,0.0367678759,0.006274965742422889,4359662535455.0,430816666614,0.0271370421,1.1539714077,0.2830197931,0.8591721027,-2.006998543565078,2.705543671024797,3.5546802685,19.6130200357,14.58037503495836,22.5581802944,32.7152301051,69.85378543445836,16.1803831354,0.6995711848,1.7284201997,0.46787762957354445,2.255644379198584
PLX,2023,3,1.7559005961,44407198613250.0,1270592235.0,13.2996644901,0.1563747587,9.0545241246,580.9656393028405,19904.31581288,11.6172496151,0.05219369507022563,0.010193734440714707,0.1339670217,0.0572422391,0.0439282916,0.006271179930250512,4725593416391.0,454122050488,0.0286123033,1.1646281828,0.1856368973,0.7913859816,-2.007417326416439,2.880090761129654,3.7360987488,20.5839841842,15.135305800874727,23.1414890036,31.0519715579,69.32876636237472,15.7725373654,0.6279055085,1.8800907611,0.4699155764642175,2.1971476503152076
PLX,2023,2,1.881064623,46630735024500.0,1270592235.0,17.2722675368,0.1634675066,5.5234060593,639.9289720915066,19510.2281713503,11.5553809255,0.05978880901393147,0.012366405130484436,0.1105301214,0.0510716823,0.0368329663,0.011459295926828015,4476996679959.0,753446525455,0.0272479564,1.1179723505,0.3176001141,0.8113925689,-3.273906674328159,2.8536751592463645,3.8918356306,20.380946591,14.260793435322972,21.1527661344,29.9128351436,65.32639471332297,17.2554264384,0.675780146,1.8536751592,0.4878580817717533,2.1588661535126508
PLX,2023,1,2.1048700482,52729577752500.0,1270592235.0,28.3550114669,0.1731718985,33.1964632962,487.7061089492649,19716.1815456837,18.3090998528,0.05278129632098279,0.009189594153387179,0.0773852517,0.0288003104,0.0252531727,0.008080695573038485,3355571075575.0,544899998150,0.0240963855,1.1393670999,0.2297359986,0.7679423049,-2.3403942479306816,2.4146602355000155,4.1349306795,21.4702692037,13.481246839038826,21.9020178993,30.4476592056,65.83092394393883,16.6651311162,0.5325233949,1.4146602355,0.4894843807871133,2.196953214616981
PLX,2022,4,1.8934561444,46376616577500.0,1270592235.0,31.9895973946,0.1525226444,9.1081658662,919.2851203934832,19276.9186170345,17.7814157569,0.054677919631338945,0.014901642910672494,0.0517369193,0.0236239622,0.0208196121,0.010885270990438303,3165176910217.0,853220969949,0.0328767123,1.0979462783,0.2541438768,0.7208255183,-5.089790022499703,2.654363855290058,4.366635668,20.9247701868,11.533664281669529,19.1968883641,25.0868620423,55.81741468806953,19.0134980772,0.548416823,1.6806557685,0.5136806902896813,2.149155117479728
PLX,2022,3,2.0206911001,47075442306750.0,1270592235.0,51.7209255651,0.1711404284,4.9613585619,77.87380350313569,18335.3111209215,21.2985560905,0.038032424567911914,0.0013426441335287898,0.0332347548,0.0135120004,0.0121512959,0.0027113046144465348,2675305878575.0,199808968808,0.032388664,1.0447469894,0.1740438125,0.7064881935,-1.296708601205944,2.689064004617596,3.6722830292,19.0652297413,13.617527896350007,26.3230637476,35.182887281,75.12347892495,13.8661670807,0.5812564066,1.6890640046,0.5361022767043043,2.0413794944220096
PLX,2022,2,1.8448034052,42818958319500.0,1270592235.0,48.2401832993,0.1814365574,16.8699127482,-21.27853642045908,18267.5291604635,24.1011751285,0.028903146355691627,-0.00031813997953476477,0.0320577444,0.0070220746,0.0122330157,-0.004308129172824563,2442794587905.0,-366115754495,0.0356083086,1.0262655525,0.0979937389,0.6246285027,2.154214415574819,3.0921173200761776,3.2532610922,16.1983038914,15.047505885485773,29.5094347936,36.4720561756,81.02899685468577,12.3689254828,0.7382836157,2.0921173201,0.5480212339665835,2.026593300273861
PLX,2022,1,1.9902724666,50760159788250.0,1270592235.0,20.949883782,0.2565121424,51.6135869627,191.5145913118224,20072.6285820132,14.6500345565,0.04144241343247287,0.0036308153444525697,0.0862176102,0.0491960828,0.0348555339,0.004446121003772351,4425018100456.0,297978672379,0.0300375469,1.0955804026,0.1252428059,0.6404934042,-1.9235739760799386,2.901795317992273,2.8594992744,13.4096992999,17.258090512430805,30.7862424644,37.8397920202,85.8841249970308,11.855945084,0.6487207437,1.901795318,0.5029812284002471,2.2162871902848162
PLX,2021,4,2.4275576895,60988427280000.0,1270592235.0,21.1882028313,0.3608598938,-91.6490218271,468.23483592987645,19772.9595502392,14.8561926965,0.06176368020213778,0.012050092787458383,0.1083828535,0.0638055663,0.0450986765,0.008486542501651347,5032083937420.0,418996425320,0.0,1.1731634439,0.1760857076,0.7992871161,-2.900957406273623,2.2772275489882174,2.6848613655,11.1348040236,15.528619080142237,26.6172640634,32.4343070779,74.58019022144224,13.7129044942,0.5843508476,1.292668145,0.5226666006105157,2.18221057516879
PLX,2021,3,2.7964278543,68611980690000.0,1270592235.0,21.1321973861,0.4543296977,-17.9520475239,59.954016826649344,19310.3497795239,15.1686731738,0.05879132288270222,0.0022000421001684514,0.1200039597,0.0737003535,0.0497088883,-0.0011056246013511118,5431006463479.0,-38282578738,0.0222222222,1.1784836759,0.1958037804,0.8180435625,0.23339993108325868,2.2316301194595094,2.3693017696,9.9336283717,21.371077969165338,29.5162576841,37.5099905379,88.39732619116535,12.3660663186,0.6614199207,1.2316301195,0.5336850979076032,2.132658834225046
PLX,2021,2,2.8034183153,68357862243000.0,1270592235.0,16.7002382593,0.475186793,-57.1948207616,1178.709138962273,19190.8569999635,12.4612075359,0.0901956758019324,0.031954201684544076,0.1557564625,0.0984029836,0.0629120052,0.03405362789574675,6375592530852.0,1596056502454,0.0223048327,1.1367225299,0.1961092901,0.8161186907,-10.664423679118816,2.471382578604635,2.2938775318,9.4141317994,21.12834121645203,28.9104307126,36.4840020579,86.52277398695203,12.6252010435,0.6165254992,1.4713825786,0.5517747880031573,2.1178744402180656
PLX,2021,1,2.6330675117,61755327117750.0,1243813235.0,17.0450807692,0.4992609434,10.7082460868,531.634102124665,18856.3338306382,13.5385131607,0.08873243114687619,0.017289002589108454,0.14574836194515228,0.07498294115066528,0.05805255472660065,0.020665862290956877,5194324639744.0,790408490574,0.0241691843,1.1291786432266235,0.26470762491226196,0.8434699773788452,-5.475342123906327,2.4364909098780534,2.037238121032715,8.081048011779785,22.467453530915463,30.882217407226562,37.630828857421875,90.9804997955639,11.819099426269531,0.6227371990680695,1.4364908933639526,0.5823054228156476,2.0463763887990307
PLX,2020,4,2.9915605568,63310093661500.0,1243813235.0,66.62691675,0.5109004453,12.3114427111,750.3770478499531,17014.531055896,26.6254792376,0.11882713515052601,0.029840960347181585,0.0394993306,0.0156730897,0.0160897914,0.030190424898939243,2776082466710.0,944259026350,0.0235756385,1.0677165494,0.300031667,0.8021906326,-6.46943025069136,2.533265779998238,2.0170918094,7.9989781829,22.175849417147116,34.0557277952,41.1207233823,97.35230059464712,10.7177271969,0.7179068921,1.5327527819,0.6441023486971039,1.8654092918477996
PLX,2020,3,3.0129368164,61550068367500.0,1218813235.0,59.6193159879,0.4334911252,17.622650692,699.9644332168742,16761.0551025851,25.7632188088,0.11420525914654603,0.0310657176941353,0.0430569119,0.0187345487,0.0172910869,0.033080349479812615,2800678801855.0,908451679890,0.0237623762,1.0575000582,0.2877178023,0.8024305935,-4.710217910897782,2.4660647365018984,2.4253431595,9.2934187057,19.18075678779257,26.0412629371,27.27638856,72.49840828489258,14.0162172965,0.789071404,1.4660647365,0.6452939386410782,1.8011730480848913
PLX,2020,2,2.9598156028,58929619912250.0,1218813235.0,51.7000348873,0.3611657145,5.555591447,883.667799248176,16335.4770999956,22.1509581336,0.102286554394925,0.04032645126703078,0.0467883759,0.0242273054,0.0190632267,0.01799493265090339,2933945691313.0,480602926553,0.0248190279,1.0335729305,0.3464070391,0.7814055547,-2.851591422997046,2.6182330509499714,2.7803345559,10.6986725536,17.707646164079136,23.5024468873,28.4174297853,69.62752283667913,15.5302978346,0.7341444546,1.6182330509,0.6672358122304717,1.7633863602699056
PLX,2020,1,2.7081305037,50885318517000.0,1205813235.0,40.9269441439,0.2733438722,9.4965627168,-1569.973433305366,15582.7054651279,14.9945580249,0.011689762004693769,-0.049199740975214526,0.0512248602,0.0513496719,0.0209316261,-0.04456950020613299,3973824056299.0,-1714933553141,0.028436019,1.0175930333,0.3401185019,0.8022367202,8.5155925362785,2.508154071935137,3.1875209511,12.2351184464,15.733189379410414,21.6359477428,25.9081388961,63.27727601831041,16.8700721752,0.8037918346,1.5081540719,0.7035020653133693,1.6972146973063222
PLX,2019,4,2.0728900921,47751610723500.0,1190813235.0,12.4789014398,0.2518498041,12.4110452564,818.9489857492221,19344.9716187274,7.7344488302,0.07209412629577676,0.019765397201364922,0.1696512679,0.116826294,0.0704436431,0.021953030303445836,6857914288981.0,1083152067122,0.0,1.1340281924,0.33010133,0.7895238726,-5.447833861229814,2.3838663834900515,3.2123794738,12.4146821812,14.470337317523338,23.6302209173,27.2942231937,65.39478142852334,15.4463219484,0.6497308211,1.3825039219,0.5933016604023645,2.0063307330086073
PLX,2019,3,2.8217599806,62053101455000.0,1170813235.0,14.8161587327,0.3276436346,6.684190767,819.5897466977301,18782.6038939447,9.9176757979,0.06943117662064847,0.019728300296628493,0.1742161599,0.1361376227,0.0717325227,0.022127565749857615,6790268128739.0,1076287037127,0.0226415094,1.1590267226,0.2619015696,0.8442083034,-6.20532687157924,2.330356662654345,3.2585190896,12.5763142792,15.173523279531603,22.7666645225,29.1989216987,67.1391095007316,16.0322123444,0.4874850953,1.3303566627,0.5994218691814981,1.924952233183553
PLX,2019,2,3.48548352,69429224835500.0,1170813235.0,17.168614689,0.3714240931,17.320611105,1008.4857643063798,17013.4214261321,11.0931061257,0.07400212999857313,0.023756913120752392,0.1724461188,0.133760845,0.0677236452,0.030478381202168624,6904393582858.0,1514813902768,0.0202360877,1.0836132769,0.2822598386,0.7624213194,-6.331696754689266,2.5894853902677832,3.1529711408,12.3966063418,16.153714592673488,24.8836391953,29.9280029622,70.96535675017348,14.6682724796,0.6873683076,1.5894853903,0.6663226328244279,1.7491673157881558
PLX,2019,1,3.4264201562,76102860275000.0,1170813235.0,18.7812815827,0.403886943,8.1298169389,1025.7580903072044,18970.236292141,11.9312204377,0.09004240928030251,0.028621240601589628,0.1745448069,0.1302874666,0.0654152264,0.03312254460406911,7056993007012.0,1389849621576,0.0184615385,1.1541799971,0.2610030294,0.8034346429,-7.528424297244014,2.3785991557060684,3.0718039359,12.551078015,15.919934696151874,27.2211602348,32.3627581915,75.50385312245187,13.4086863621,0.6101824343000001,1.3785991557,0.5987670311066458,1.9321963473266381
PLX,2018,4,3.5624222727,72122095276000.0,1170813235.0,21.837848935,0.3757688452,18.2332765081,707.1499653614694,17291.6053416914,12.0144481114,0.06720654425121192,0.01686581545620585,0.1574248653,0.126176466,0.0618916675,0.017310817208105872,6827995431715.0,849785612778,0.0,1.0950910737,0.3238613348,0.7690507616,-3.760616058134386,2.43138218586325,3.25473428,12.6304630684,13.211096401931233,24.3717394884,28.4559231138,66.03875900413124,14.9763622811,0.6986610811,1.4438953789,0.6580673040488526,1.7920497490476461
PLX,2018,3,3.1864155676,62460033366500.0,1158813235.0,16.423871805,0.3357529486,-199.7806605086,695.0255308268032,16915.5588327044,10.1575782076,0.07203551377264346,0.01744239135464581,0.1648457504,0.128780308,0.058311755,0.025161938107064002,7124979343549.0,1161855900873,0.0222634508,1.1024199114,0.262371541,0.7442251634,-5.082159175764735,2.809903047462868,2.8524082722,12.2805201191,16.41030724422595,30.0746687822,32.9480520588,79.43302808522596,12.1364595116,0.8726343148,1.8099030475,0.672592700660618,1.7244862196572754
PLX,2018,2,3.5690396191,67327048953500.0,1158813235.0,17.8550342102,0.3779286105,14.8700866528,1016.8071393514936,16278.8890569661,10.285449727,0.07876800217465406,0.02301332655336714,0.0,0.0,0.0,0.03247677133863453,0.0,1662820925251,0.0206540448,0.0,0.0,0.0,-8.10845716358487,3.1144574971786776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6905168810403396,1.6582662242044734
PLX,2018,1,3.7175952366,71035251305500.0,1158813235.0,20.9913898687,0.4297860702,18.2079757571,775.2817615359735,16489.1539016047,13.6927766693,0.0706713553608473,0.01977550224155802,0.1387706168,0.089915369,0.0539838284,0.02429830101001668,5603858078090.0,1103878817641,0.0195758564,1.1516538626,0.4000621333,0.7659365107,-5.362305402618496,2.6720586387606073,2.6427309771,10.674374973,16.97622768747749,29.5820461312,31.5455014999,78.10377531857749,12.3385650331,0.9588050951,1.6720586388,0.6193452243534732,1.874380284129877
PLX,2017,4,4.1743434729,76713436157000.0,1158813235.0,24.696675458,0.4991210484,48.203066179,794.6949717380471,15858.7812500914,11.7705256405,0.07086397264353732,0.021305363862289258,0.1489020122,0.1051660838,0.0597907958,0.02655481952041585,6428406118209.0,1147805523256,0.0,1.1333577497,0.397939636,0.7735046807,-6.671021789501336,2.743278898281098,2.6496409938,9.9426117334,15.564189290875724,27.7937640497,34.581422646,77.93937598657573,13.1324422035,0.7936181568,1.6415113017,0.6492271758922078,1.8749386575662224
PLX,2017,3,5.8313921934,101743802033000.0,1158813235.0,23.6624301034,0.689803677,10.9009948159,667.2013937163912,15056.4388550006,14.5772622743,0.08322928307810697,0.020190720565429473,0.1770440892,0.1390810668,0.073475456,0.025556238426868255,6907750098942.0,978623193688,0.013667426,1.1528191563,0.3766518901,0.8445821996,-7.82264607968685,2.5840807679384663,2.5475820818,9.4535632885,17.807129872233727,28.961312984,32.7814441572,79.54988701343373,12.6030197665,0.6167514635,1.5840807679,0.6735914252843898,1.7959585015016573
PLX,2017,2,3.5425268394,70919369982000.0,1158813235.0,16.3383474863,0.5121402928,16.1703494787,676.3476461373001,17275.804185903,9.8527308889,0.08018275185194002,0.020445961755013082,0.1882761072,0.1366954052,0.0794998524,0.021552900239411237,7172757877602.0,826193177303,0.0196078431,1.2528556256,0.3966862994,0.8653040832,-5.714712322181266,2.2982677012069463,2.4886018935,8.8487777239,17.212651631618392,30.1590639183,31.3408074644,78.71252301431839,12.1024976434,0.5641906422999999,1.2982677012,0.6066853826650583,1.9761700497190817
PLX,2017,1,3.8995645627,73005233805000.0,1158813235.0,16.9191672054,0.5557713458,61.3871262914,853.1917496170123,16155.6499415164,9.7261381066,0.08889357853475026,0.027616085570127347,0.2047051307,0.1500257637,0.0845628422,0.03192755430743533,7603790216585.0,1143045784758,0.019047619,1.2014091199,0.3894292926,0.8302645232,-8.065768677733438,2.4287801423009063,2.4018846746,8.4609429197,17.989638929727217,30.5579226058,33.5405839225,82.08814545802721,11.9445292374,0.6636079092,1.4287801423,0.6444554929444493,1.8627059157613939
PLX,2016,4,3.0504659635,53638103368500.0,1138813235.0,13.0512925184,0.4357402197,13.0460736286,1500.13944404062,15440.2640657926,6.9205706639,0.12586571536224883,0.04871433548576608,0.2344522185,0.0,0.0888655058,0.05408068667965042,7539103905265.0,1896572944158,0.025477707,1.1944800496,0.4091591148,0.8857310215,-18.109021171984107,2.337491201819201,2.3427084443,7.9738398041,16.599415924572437,27.4339978241,33.9487169096,77.98213065827244,13.3046595083,0.5492437212,1.3380612004,0.6771276622544414,1.7933343561648138
PLX,2016,3,0.0,0.0,1293878081.0,0.0,0.0,0.0,728.7259877857069,13871.0901967316,0.0,0.11461147710195296,0.032210385723702516,0.2012654244,0.0,0.0743251459,0.041703973633606756,6111477727501.0,1220784833307,0.0,1.1526152651,0.3801887211,0.8106434462,-8.71418575632537,2.4177512265759247,2.3430081895,7.948661814,17.933697453261203,27.5046526244,30.5679741496,76.0063242272612,13.2704820884,0.6707843962000001,1.4177512266,0.7503948204897593,1.6314954496348717
PLX,2016,2,0.0,0.0,1138813235.0,0.0,0.0,0.0,864.7308737213614,16571.4187007907,0.0,0.10922585967596532,0.03154765495182991,0.0,0.0,0.0,0.04210213516979459,0.0,1314227376965,0.0,0.0,0.0,0.0,-8.977749911707491,2.5027971354603205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6840025866486239,1.6967688910306997
PLX,2016,1,0.0,0.0,1138813235.0,0.0,0.0,0.0,903.7992425360248,13419.9510917112,0.0,0.10720096051882988,0.03737210244025823,0.2361334531,0.0,0.0676731059,0.03693272531638731,6362663707714.0,1017157730635,0.0,0.9992798854,0.3909300174,0.7936242878,-6.539659093182864,2.912209879082845,2.6758755864,8.787809329,14.24349259090443,23.0379791565,28.8876849617,66.16915670910443,15.8434035173,1.0229021074,1.9122098791,0.8711645352023145,1.346731236359278
PLX,2015,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08402524440292054,0.026835618461904513,0.0,0.0,0.0,0.032409773790854454,0.0,1090744021534,0.0,0.0,0.0,0.0,-6.229546229230813,3.143472905107998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9365527334934396,1.2541343334003043
