ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
PVA,2024,2,0.0,10923000000.0,21846000.0,-4378.3068783069,0.0,-166.7765990582,0.0,0.0,-11263.7746653038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-13.030160193485916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32163393591746053,-0.15844932242058044
PVA,2024,1,0.0,10923000000.0,21846000.0,-47.4562925395,0.0,-61.9197524543,-0.2566511031767829,0.0,-166.0177184243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5606800,0.0,0.0,0.0,0.0,-13.030160193485916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32163393591746053,-0.15844932242058044
PVA,2023,4,0.0,11272536000.0,21846000.0,-48.9748939008,0.0,-63.9011845329,-0.11419939577039274,0.0,-167.4484230819,0.0,0.0,0.0,0.0001483797,-5.4667e-06,0.0,-2494800.0,-2494800,1.0255411866,0.0013400392,0.8905858407,0.0,-13.036536073223747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5141866728,-14.0365360732,-0.3216860415851833,-0.15842365731026276
PVA,2023,1,0.0,19661400000.0,21846000.0,-487.8500369422,0.0,-50036.2648017651,0.0,0.0,-1233.0808200283,0.0,0.0,0.0,0.0105135588,-8.61677e-05,0.0,-40408412.0,0,1.0183533107,0.0013696808,0.8874488457,0.0,-13.3350745872115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8889390518,-14.3350745872,-0.32170923193473366,-0.15841223737068572
PVA,2022,4,0.0,27657036000.0,21846000.0,-120.15933271,0.0,-156.7808132143,-0.017986954133479813,0.0,-242.4628534061,0.0,0.0,0.0,0.0635652687,-0.0004800703,0.0,-244310381.0,-429000,1.0183507882,0.0013694925,0.8874643151,0.0,-13.336808353655535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8889390518,-14.3368083537,-0.32170923193473366,-0.15841223737068572
PVA,2022,3,0.0,37596966000.0,21846000.0,-78.8504166375,0.0,157.7398893095,-0.2198416186029479,0.0,-56.5785627888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4837734,0.0,0.0,0.0,0.0,-13.694585424633255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3217128848311258,-0.15841043867527235
PVA,2022,2,0.0,34953600000.0,21846000.0,-73.3066046601,0.0,146.6495194045,-1.6070006408495834,0.0,-54.4535427065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35141678,0.0,0.0,0.0,0.0,-13.696625018651883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3217575382634381,-0.15838845451341207
PVA,2022,1,0.0,24030600000.0,21846000.0,-50.3982907038,0.0,100.8215445906,-8.691181360432116,0.0,-45.9282968853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203901969,0.0,0.0,0.0,0.0,-13.846474027720408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32208432326521425,-0.1582277544493271
PVA,2021,4,0.0,24030600000.0,21846000.0,-54.9799534951,0.0,109.9871395534,-11.492163233543899,0.0,-47.7150626728,0.0,0.0,0.0,-2.8426476165,-0.0009267225,0.0,-1222656050.0,-251104000,0.8616175342,0.0012574168,0.7319901321,0.0,-14.467893286948097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0125117703,-15.4678932869,-0.3238632489933687,-0.1573586363132839
PVA,2021,3,0.0,72091800000.0,21846000.0,-56.2569895018,1.5157143913,118.0329948226,-12.899662684244255,0.0,-83.1744338564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-281841593,0.0,0.0,0.0,0.0,-14.726196319766515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3262458769571737,-0.15620941998992952
PVA,2021,2,0.0,26215200000.0,21846000.0,-20.4570870916,0.5511688696,42.9210890264,16.710101757758856,0.0,-47.7473201844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-395807125,0.0,0.0,0.0,0.0,-14.999343097431298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32896242524325175,-0.1549194537215051
PVA,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-293903332,0.0,0.0,0.0,0.0,-15.434925516103316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3254519971728044,-0.15659046389728096
