ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
PVT,2024,2,1.4441814561,10324366502000,356012638,10.3393149717,0.9535223445,3.7410908448,809.7380583270193,20080.5791251911,4.9362333006,0.23779419390714013,0.09647542354814456,0.1387965637,0.1221187987,0.0573661939,0.2033536843448287,3405112904504.0,607638549727,0.0275862069,1.9998039449,0.3449290314,1.9208055415,-6.157767404508232,1.8494440556845186,0.6220380157,1.1315098976,33.65126144894541,10.0963180723,31.0431149215,74.7906944427454,36.1517928997,0.9987074243999999,0.8494440557,1.0073276217966474,2.672021600546102
PVT,2024,1,1.5065514651,10609176612400,356012638,10.4070705697,1.0657579927,4.0472191901,648.6396561882727,19780.2734863558,5.6461620017,0.20738399828227375,0.0910544956713681,0.145838034,0.1055250324,0.0606926359,0.1758126038805578,3061099762663.0,445879519892,0.0268456376,2.0241887199,0.4144074845,1.9484489572,-4.143014215277703,1.8823251314177516,0.5926603878,1.0944368359,35.42888813638519,9.9040593171,31.0535415743,76.38648902778519,36.8535757221,1.0892031894,0.8823251314,1.0352213643102528,2.62664605535099
PVT,2023,4,1.3486320925,9185222346000,356016370,9.4455041058,0.9612015649,5.4056094257,646.5002628980235,19130.4953684658,5.4036112689,0.1820858727944866,0.0836114322466068,0.1517893413,0.0946000204,0.0612725036,0.12155252235760193,2769387516528.0,334608513107,0.0387596899,1.8564488515,0.2886687234,1.7878607781,-3.11743275095344,1.9350188396585395,0.6021106352,1.1016562347,36.97822273326802,9.7413990221,37.9872970217,84.70691877706801,37.4689507301,1.1592667038000002,0.9367872432,1.1172866945554452,2.535409136569472
PVT,2023,3,1.1762271079,8447297520600,323651246,8.9202700728,0.9234613225,3.2749513712,769.9294835126326,22189.5923191348,5.4959661485,0.2022157638659524,0.09769709326688229,0.1473677527,0.0967403832,0.0625682262,0.1652587226815633,2588583768969.0,421513009507,0.0383141762,2.2996935184,0.3851786712,2.2264805567,-4.773701433396014,1.9555994324732129,0.6043842471,1.1862379965,39.832263795748545,9.0918063519,31.5593639089,80.48343405654855,40.1460376379,1.1589142043,0.9555994325,1.0292136560720093,2.436765527477988
PVT,2023,2,1.4951234702,9466798945500,323651246,9.773846354,1.0604426869,5.0324765242,955.1727224958682,19563.601657625,5.8658247661,0.23177303857990295,0.1461625372694315,0.1598626576,0.0996799401,0.0670006233,0.1827242625689069,2472524736311.0,386473160963,0.0341880342,2.1510712272,0.3880026544,2.0907366412,-4.966060299346964,1.8000675327514597,0.6175287035,1.2072297606,45.89248090423956,8.7025433313,32.9888386872,87.58386292273957,41.9417618626,0.8524242172000001,0.8000675328,0.9133482684400912,2.3644269616625238
PVT,2023,1,1.2351027655,7638169405600,323651246,8.8145380215,0.8422385969,3.7110703253,561.9322956012967,19107.7217697843,4.9987108886,0.1598018590472878,0.08901998601297936,0.1480957059,0.1008566607,0.0614862782,0.13036355037225347,2404890985198.0,266336037479,0.0423728814,2.3295593063,0.4688016684,2.2680099997,-3.8078736356061693,1.7182881145629896,0.6434912136,1.2313464117,48.957494354928144,8.4087514916,34.6988508914,92.06509673792814,43.4071574555,0.7500108315,0.7182881146,0.8446503998113685,2.3173478283652953
PVT,2022,4,1.116168552,6699580792200,323651246,7.8143914098,0.7405009214,3.0846653204,638.8858782703404,18545.586115142,4.449956882,0.17975897316838563,0.08478891918628782,0.1144854239,0.1054694677,0.0641123842,0.11702027368703216,2429824476478.0,285379374843,0.0144927536,2.0574948943,0.5870942562,1.9988182493,-3.76032760539985,1.7767740402777588,0.6765680503,1.2710611112,43.87519521796003,7.9297321943,36.7618406542,88.56676806646003,46.0292972141,0.7838865719999999,0.7783314743,0.9053978597017879,2.2522927865785483
PVT,2022,3,1.1556315903,6602485418400,323651246,7.9814380888,0.7598488974,2.6404708886,836.6896656594364,17652.6846200802,4.6485000043,0.1779663299595613,0.11620089660346113,0.1138282979,0.0957577574,0.0621883585,0.1339216987184889,2305156236928.0,312092375269,0.0343137255,2.0143510857,0.607974451,1.9587038616,-4.491075759490666,1.8664732999267708,0.6532253125,1.1903554419,53.3120808192571,8.01317045,32.1366654506,93.4619167198571,45.5500107327,0.9235917751,0.8664732999,1.003645641351845,2.1445278971051582
PVT,2022,2,1.0883906313,5987548051000,323651246,9.2012109061,0.7448594945,2.3924541292,639.8871575146045,16997.5737275054,4.6683233589,0.1949009428357723,0.09176973860702779,0.0927182665,0.0901083323,0.050111707,0.14569293875114522,2117982148816.0,328790822113,0.0378378378,1.8999186929,0.6133308958,1.8390237961,-6.6930313411104425,1.8721829060215234,0.6190273309,1.1220579907,53.92844005326644,8.4178900886,35.498604984,97.84493512586644,43.3600339467,0.9317554654,0.872182906,1.0343700851284903,2.055447167484824
PVT,2022,1,1.1580152674,6197921360900,323651246,9.0473686818,0.8074671528,3.2814296363,471.25996926024504,16536.9149601667,5.0700958057,0.14416597102469825,0.07544448559265733,0.1008638208,0.0909256104,0.0542057677,0.11731419275764984,1982742365080.0,237170619919,0.0365535248,2.0014603958,0.6057084265,1.9398399661,-5.4723708992670534,1.7899932490851715,0.6073554364,1.1296229382,54.05594633959367,8.3136476595,35.5558122977,97.92540629679367,43.9037129009,0.8664283761,0.7899932491,0.9760861589382573,2.011887943868723
