ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
REE,2024,2,1.7506046721,31039783060000,471013400,17.3303860356,3.8579945643,8.3231368666,751.2842861922825,37644.1357942025,11.7708626443,0.3118550463223213,0.16223425093229785,0.1032822274,0.0708832054,0.0513153537,0.215696659860722,3467183887308.0,470477046435,0.0151745068,2.3278444457,1.1215985228,1.9990043236,-2.551401026850912,1.635229815538411,0.2308925963,0.5438359373,142.62737356352568,102.9922978941,45.1274024792,290.7470739368257,3.5439543292,0.8754964803,0.6352298155,0.679621371368361,4.510679185905326
REE,2024,1,1.9220408221,33417389983500,470005485,17.3756780567,4.1571442116,9.8693343431,1022.2891396107856,36991.930235095,11.9362062427,0.4034613498165985,0.26149032132935374,0.1133211792,0.0776176164,0.0553795647,0.34104277688077783,3708276296803.0,626657021746,0.0140646976,2.487633943,1.0496897738,2.136701829,-3.2681367000223025,1.685056738981735,0.2314707976,0.5344739298,149.11806257749447,106.7473946479,43.441594403,299.30705162839445,3.4192871986,0.9714485553000001,0.685056739,0.7031066987486478,4.42754993659968
REE,2023,4,1.4820799653,25666758466000,408706345,11.7289965173,2.9949828508,9.1121237932,1233.438131477993,42372.8823467911,9.0401427207,0.44662293111061857,0.24409824414484613,0.1333350119,0.0937495683,0.0635890589,0.2798121172764123,4218223210941.0,577870617319,0.0159235669,2.4145148931,0.9487122306,2.0712986294,-2.6748303500998816,1.6807789282099972,0.2490284209,0.5572410167,128.79338379294995,106.5671372254,47.6571369246,283.01765794295,3.4250708943,0.9748487398,0.6808908366,0.718164578669935,4.409710200498542
REE,2023,3,1.339246903,22519719609500,408706345,9.3718656619,2.3519433829,14.8077075079,1100.1790850078435,41142.5256063813,7.5285883032,0.3331753176248642,0.22921522613485698,0.1488669533,0.1083207102,0.0701008773,0.27273580191346186,4647126338865.0,535024232439,0.0,2.0724682569,0.6930871594,1.7786340702,-2.346869951737989,1.6858995699585133,0.2793332566,0.6174671443,122.20663411724797,94.2630646494,35.2400737419,251.70977250854799,3.8721423005,0.9605979649,0.68589957,0.7388113159454054,4.3558620076409715
REE,2023,2,1.5708552502,25707629100500,408706345,9.7595710453,2.6108479473,22.8535088901,1196.4147532453894,40041.8816383802,7.8624086221,0.4049655606582558,0.2249054972589187,0.1684782062,0.1183910862,0.0777212721,0.32628164115411795,4906241393689.0,709391053480,0.0,2.2659221653,0.6477109187,1.9142275345,-2.8889898188432683,1.7085311690053344,0.2905267536,0.6277201308,107.26397139088269,92.6719729455,37.8567216034,237.7926659397827,3.9386233874,1.0156713843,0.708531169,0.7688681333303794,4.258796575337984
REE,2023,1,1.6732511335,26565912425000,408706345,9.6900829397,2.7400987034,21.8116157555,1823.0245882749875,38846.5297886383,8.0962038274,0.5295376983367261,0.3145350972293573,0.18142232,0.1205806031,0.0819625484,0.4784099240043771,4971819915932.0,1133274125594,0.0,2.3588312961,0.5557793852,1.9905825462,-4.54780594252509,1.7336238973405358,0.2898503447,0.6164521573,93.61499986053674,89.02592674,40.4956716422,223.13659824273674,4.0999292382,1.0689148511,0.7336238973,0.788182120945858,4.203230474444888
REE,2022,4,1.5585549248,24167374692000,355402569,8.9758263975,2.5786983496,15.4018587181,2023.599884248445,43630.1595274625,7.7871986742,0.44022619838005883,0.23424605033881493,0.1514284446,0.1196953973,0.0819121599,0.332226592195543,4888507707098.0,1020016796231,0.0147058824,2.0981479994,0.4750030326,1.7534346777,-4.432583137040688,1.766048717951398,0.2851142492,0.5875901067,91.49738030282057,80.9177956684,47.4036343206,219.81881029182057,4.5107506573,1.111611002,0.7660435114,0.824612417731801,4.0787165866875545
REE,2022,3,1.7254735149,25517904454200,355402569,9.2375341167,3.1121438531,16.657864785,1915.7296811605208,41611.7659170044,8.7398426121,0.4108843160026397,0.3048759865227866,0.1599042563,0.1108728233,0.0851452562,0.35375766967732974,4510185394358.0,790018818613,0.0,1.9790665978,0.3377642727,1.6482170936,-3.5554764496056404,1.8126289338442285,0.2527280765,0.517935929,91.50310631230587,83.636899054,56.3223411625,231.46234652880588,4.364102497,1.1997048376,0.8126289338,0.8708055302646432,3.8704475619152237
REE,2022,2,1.8899760087,26975054987100,355402569,11.5022085082,3.8214268963,10.2081782894,1678.2254220283928,40159.2399333895,10.2844310881,0.44288594649695096,0.2948410294811109,0.1409888405,0.0947840794,0.0734836979,0.39041215067988544,3919877451719.0,789780242447,0.0,1.9241669279,0.4358230888,1.6668803638,-3.714022496097696,1.849804372889468,0.2211787129,0.4692497386,100.84833853358592,86.5062664425,74.1582736049,261.5128785809859,4.219347511,1.2493507207999999,0.8498043729,0.8872184656732677,3.7303243760014047
REE,2022,1,2.0104266938,27508158840600,355402569,12.8998635449,4.1226963015,14.2946510082,1950.8497082613942,38499.2898463376,11.1891130229,0.56241096467436,0.3389717441183615,0.1325429134,0.0882085168,0.0679478418,0.5118392689657284,3658331104277.0,1046922371513,0.0,1.8249113608,0.4515855199,1.6022473446,-4.894073039199392,1.912141767706327,0.2126062773,0.464049638,106.5282728738523,87.0982899586,98.6218819018,292.2484447342523,4.1906678096,1.3360796397999999,0.9121417677,0.9325535221884337,3.597691274594948
