ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
SBL,2024,3,0.4273775345,78029952000.0,12012000.0,44.9565133961,0.5324600425,2.8535185701,19.57046436896437,15199.6758722111,2.7294476656,0.08502271353414682,0.007690112043455486,0.009388057,0.0124250566,0.0074333417,0.015414272497946272,23627540235.0,471201668,0.0769704433,1.0970097956,0.8057058158,0.8578551092,-1.6588066008806668,1.3437106081352148,0.6276097748,0.7997358224,36.22853375975905,41.5404344351,8.3303429497,86.09931114455905,8.7866197107,0.1997280745,0.3437106081,0.96479238730497,1.5199675872211122
SBL,2024,2,0.3886666029,70870800000.0,12012000.0,-172.5975873083,0.5103713828,10.6277182068,71.6847007992008,15180.1054078422,3.4064639952,0.09910251551463808,0.022929231127647588,-0.0022082032,0.0007079483,-0.0017895315,0.03114889506171624,21029331799.0,1169755118,0.0847457627,1.0088616267,0.3724321975,0.6632835784,-28.007550452996053,1.2523164457756852,0.6051844358,0.739738919,38.96778866121202,48.589926255,7.9421792801,95.49989419631203,7.5118451114,0.0965957216,0.2523164458,0.994738534033229,1.5180105407842157
SBL,2024,1,0.4753453645,88888800000.0,12012000.0,37.3617544566,0.6134892214,2.8598646297,-50.498615967365964,15567.6284075092,3.5010116835,0.061533488058530914,-0.021607859450008454,0.0126851519,0.0205590132,0.0101321003,-0.022750453343726103,24720719049.0,-638664987,0.0675675676,0.9897678898,0.090188246,0.3423006774,8.081096023715768,1.1437775071784155,0.6170492189,0.7540820275,30.173303837794318,49.1155585736,6.8286942263,86.11755663769432,7.4314537104,0.0,0.1437775072,0.9977945995959928,1.5567628407509158
SBL,2023,4,0.4930168636,92492400000.0,12012000.0,18.8761116349,0.6261755767,6.2087793233,103.73864202464202,15618.1270234765,3.5848460204,0.127226658681556,0.024748610536794075,0.0255998881,0.0384492789,0.0190103932,0.03414751040112496,28074919614.0,1719349263,0.0649350649,0.9205052409,0.2725893168,0.6983287207,-24.030334503489833,1.3135382595135816,0.5730697855,0.7419027129,43.38884961188565,50.5746478137,15.7823167533,109.74581417888564,7.2170547058,0.0,0.3135382595,1.0066488547316088,1.5618127023476522
SBL,2023,3,0.5142981084,96096000000.0,12012000.0,20.6257734488,0.6481681894,5.0967628313,-159.10828696303696,15555.1806809857,3.6940173876,0.009998398502201874,-0.08351616868808304,0.0244590389,0.0368601056,0.0187561876,-0.09215403166376117,28220729064.0,-2108880158,0.0625,0.8113403539,0.0829088336,0.2726080256,8.657164437889383,1.2263847534610155,0.596852612,0.7350594109,17.17074469321269,62.5084347052,12.7413813481,92.42056074651268,5.8392119675,0.061927588,0.2263847535,1.0385074433856902,1.555518068098568
SBL,2023,2,0.5218180738,98498400000.0,12012000.0,16.8124321699,0.6251049156,3.1002399325,303.9317648185148,15714.2889679487,3.0557494915,0.17048976370141106,0.08376726752535722,0.0304353057,0.0427954054,0.0231343993,0.11180272340208351,29954505286.0,4872697478,0.0609756098,0.8138866194,0.4839480818,0.5200970323,-18.16314847164707,1.3233134087674403,0.6222083838,0.761844488,14.821040229212803,60.0228719366,13.0555447493,87.8994569151128,6.0810152567,0.1168073641,0.3233134088,1.0546959761724792,1.5714288967948717
SBL,2023,1,0.5656692609,108108000000.0,12012000.0,12.7138884941,0.6471498649,3.7605121889,159.36087554112555,15910.3572031302,3.6885795872,0.18712356130431892,0.061965507719342006,0.0437835357,0.0566099695,0.0334982615,0.08837569305508207,33076989210.0,2730108146,0.0555555556,0.7298614016,0.1611814094,0.2668119104,-6.887407157676609,1.2849949618801333,0.6581059263,0.7879752019,14.883423996200062,60.1214681178,12.7213400505,87.72623216450006,6.0710426978,0.1177589293,0.2849949619,1.0690493580286375,1.5910357203130203
SBL,2022,4,0.5432897665,106053948000.0,12012000.0,15.1797735057,0.6220684943,4.5390204885,83.67988936063936,16250.9963275891,3.8147388993,0.1494813413212801,0.019748395923794102,0.0363762373,0.0498291903,0.0251311019,0.03575460262117266,31444630516.0,1819854014,0.1132631102,0.8401449332,0.429097784,0.5093860286,-4.504189519383335,1.3784250239764086,0.6132514955,0.7754938059,13.365957616896404,49.3819776929,11.8071756359,74.5551109456964,7.3913605135,0.092652705,0.378425024,1.0724007291439581,1.6250996327589078
SBL,2022,3,0.6039883187,117717600000.0,12012000.0,9.2784416953,0.6490791858,2.2436094557,-59.238219946719944,16225.4793614719,3.5388974321,0.07935510468008569,-0.022100168180233734,0.0,0.0,0.0,-0.012455018212359644,0.0,-401020073,0.0,0.0,0.0,0.0,1.0032110076228313,1.2751634784831305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1009568822096554,1.6225479361471862
SBL,2022,2,0.5526654027,108108000000.0,12012000.0,11.0769177812,0.651456807,2.3899255038,524.0847394272395,16284.7175814186,3.3634466078,0.19999346984905658,0.11863497808101853,0.0516493397,0.0683362267,0.0365574624,0.14970688481633201,37770128198.0,7944121110,0.0,0.7120491697,0.0949070741,0.1980400095,-16.276110294232247,1.2890978227223753,0.6215976273,0.7299592262,9.707738411674162,60.4021365337,6.9474432043,77.05731814967416,6.042832604,0.18650917150000001,0.2890978227,1.12355161445851,1.6284717581418582
