ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
SCS,2024,2,5.4045784758,7315786312200.0,94886982.0,13.2284328183,8.634082846,15.8272072005,1997.490783909641,14265.6823923117,11.1412917082,0.8056729547516359,0.7176721828935312,0.4228493132,0.4462036121,0.3654147101,0.7551094748811871,647623541516.0,199422990374,0.0389105058,5.8193789375,0.578957952,5.8193789375,0.0,1.1337924135617254,0.5222958144,2.3324217171,32.92037479802188,0.0,12.3632168184,45.28359161642188,0.0,0.0,0.1337924136,0.2850023680661337,1.3260850015892907
SCS,2024,1,5.587546851,8369031812400.0,94886982.0,16.8290639866,11.0761341824,20.1447508123,1552.2146448076512,15785.102541727,14.5256994996,0.7907456426691275,0.6920870878791007,0.3841216978,0.3523057113,0.3150889253,0.7252271224001727,571097001376.0,154337585262,0.0340136054,7.695033949,0.5049558458,7.695033949,0.0,1.1013971558322633,0.4471818211,2.0983438279,32.38665075807833,0.0,14.0782327697,46.46488352777833,0.0,0.0,0.1013971558,0.2319068640887635,1.4673246714376802
SCS,2023,4,5.6699666705,7657379447400.0,94886982.0,16.4361645001,10.864225661,17.9922879584,1352.9698466961463,14232.8878969193,14.3798540491,0.7259650980887568,0.6457266248881365,0.359471802,0.3612498001,0.3058441117,0.6456921848372424,527392105288.0,128372378340,0.0371747212,3.243602513,0.4548098404,3.243602513,0.0,1.2720478043985046,0.4325977522,1.885482443,32.62147322638387,0.0,16.8858933627,49.50736658908387,0.0,0.0,0.2720478044,0.2660129814492717,1.311545043213562
SCS,2023,3,4.3742887917,6200712257400.0,94379182.0,12.6268241976,8.8385889181,14.6287002805,1352.0804469358507,15019.584469306,11.1086921498,0.7800576276981996,0.7436796069695699,0.3699386292,0.3584020145,0.3175267019,0.7101829745427233,551563967034.0,121860547584,0.0456621005,6.0255517026,0.4107696019,6.0255517026,0.0,1.1299543409919057,0.4224936701,1.8576250804,31.462546746526254,0.0,12.0108116644,43.47335841092625,0.0,0.0,0.129954341,0.2566676960728788,1.3886931886299303
SCS,2023,2,5.004571419,6455536048800.0,94379182.0,12.6329388594,8.8341914637,13.7961646219,1368.1520021226715,13667.5040223701,10.8440914188,0.7799210272983617,0.749095199564495,0.3771135766,0.4132362848,0.3255344629,0.7142187218409984,576910710207.0,123113244124,0.0438596491,2.4940328614,0.3915451269,2.4940328614,0.0,1.3987382171764968,0.4341058325,1.8936817279,30.74282214388367,0.0,13.6657656208,44.40858776468367,0.0,0.0,0.3987382172,0.28919239615759706,1.2636814141047
SCS,2023,1,4.1083071295,6408346457800.0,94379182.0,12.002875453,8.3534490232,12.8072046608,1199.3616158063332,16527.4887828971,10.4536115843,0.75707833127768,0.6985326351083808,0.3874704954,0.3599646621,0.3537283366,0.6806062449850868,605175314696.0,110289859456,0.0441826215,9.780456091,0.7065018363,9.780456091,0.0,1.077282152425566,0.4745621247,1.9601096236,31.03507879224929,0.0,13.5739465651,44.60902535734929,0.0,0.0,0.0772821524,0.24506581490068896,1.528112255360371
SCS,2022,4,4.3449535142,6285653521200.0,94379182.0,10.4207548799,7.3860424192,11.4426247965,1666.9403688092996,15328.1271670907,9.0879732043,0.8426539362852096,0.8045704530759812,0.4816635951,0.4471703397,0.4349536539,0.7813508415049475,684832654861.0,152784141331,0.0540540541,8.5083742891,0.4363923237,8.5083742891,0.0,1.08503623803392,0.5728627467,2.1185342168,33.29088873470804,0.0,13.2082589901,46.49914772480804,0.0,0.0,0.0850379409,0.27307718909585865,1.4044874031150334
SCS,2022,3,4.5313938113,6928283631600.0,93879182.0,11.5125595318,7.5455220385,11.7175357129,1580.0990332659694,16286.3796599655,9.8668002137,0.804099738231561,0.7387932103216981,0.4630458823,0.424568847,0.4176589025,0.7314188584147743,695906553139.0,146857747371,0.0487804878,7.0742884133,0.3859592066,7.0742884133,0.0,1.107351598567836,0.5919089217,2.2853928821,31.400100596216667,0.0,12.6009730514,44.001073647616664,0.0,0.0,0.1073515986,0.2594845029930128,1.4978420896289821
SCS,2022,2,4.9978646448,6900119877000.0,93879182.0,11.9706687875,7.7604580944,12.357804216,1629.3195853155175,14706.2806266995,10.1678434373,0.7975101818546723,0.7326331287702746,0.479539356,0.4524487013,0.43147925,0.7259287238377689,673867746768.0,151559443810,0.0489795918,6.4734951361,0.3159668923,6.4734951361,0.0,1.1133536082372586,0.6182178176,2.1787366512,32.29054587273039,0.0,12.7089033927,44.99944926543039,0.0,0.0,0.1133536082,0.28611867837126365,1.352521957885667
SCS,2022,1,5.1174830497,7353051930000.0,50745700.0,13.6531424681,8.271892969,13.959925551,3695.421619388441,28314.7005260938,10.8111278343,0.8346749262706955,0.7625688439264482,0.5141866204,0.4339281269,0.4399590972,0.7721672906382776,675514376080.0,189887154358,0.0248447205,8.3413748178,0.4161129553,8.3413748178,0.0,1.0848585190947937,0.6360525628,2.127586514,31.539910410118534,0.0,13.5099848465,45.049895256618534,0.0,0.0,0.0848585191,0.28076070349325494,1.407613421101145
