ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
SGH,2024,3,2.2649484702,305393270000,12364100,20.295981807,7.1616954545,-2.8377410851,214.4679823036048,10905.3253639165,22.3236960443,0.4296111122653848,0.2562582846387078,0.0,0.0,0.0,0.20033054307267717,0.0,2072975783,0.016194332,0.0,0.0,0.0,0.0,1.161965019824151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18443567118816656,1.1119793346220106
SGH,2024,2,2.2649484702,305393270000,12364100,20.295981807,7.1616954545,-2.8377410851,161.56046675455553,10905.3253639165,22.3236960443,0.3604749832003158,0.1939538211108136,0.0854160645,0.0791380735,0.0713670288,0.1086480291410827,12430012855.0,1118976899,0.016194332,2.3882478468,0.4025791223,2.3840660722,0.0,1.5957265522417672,0.2022515378,1.5771363441,28.675110417299347,5.5412956964,8.2642017532,42.48060786689935,65.8690710618,0.0,0.5957265522,0.19305625791654815,1.09053253639165
SGH,2024,1,2.2454417069,435216320000,12364100,25.0062768702,10.1294320183,147.7145692477,348.54012981130853,15676.2029903511,31.7973357312,0.5186410825068258,0.4074532031490856,0.0926591766,0.0608170929,0.0834130738,0.33425940044879243,13580434844.0,3535258630,0.0113636364,11.2409434968,0.4347902345,11.2185621753,0.0,1.0934982507506983,0.2059197806,1.5501733475,28.80753746390974,5.5158066136,7.7450320794,42.068376156909736,66.1734584925,0.0,0.0934982508,0.13777545903207336,1.5676202990351098
SGH,2023,4,1.5788447476,299211220000,12364100,17.1758918294,7.0855080401,27.4350929935,363.9759849887982,15327.6628605398,21.3224111186,0.47857272702382214,0.39806444487802656,0.0947639281,0.0571777374,0.0856099424,0.28938500766268194,13643946934.0,3271582515,0.0165289256,10.0023682662,0.4307168198,9.9828078203,0.0,1.1044141893680701,0.2075259955,1.4678972898,31.298700007070043,5.5554395318,8.3500968059,45.204236344770045,65.7013721254,0.0,0.1086985643,0.143907948161768,1.5386577656036429
SGH,2023,3,2.1766579531,404306070000,12364100,23.9775140619,9.943081492,50.446364083,342.9130785095559,15023.0310431815,30.2431509944,0.46320142053378194,0.40526567990882617,0.0925694528,0.0552400403,0.083226703,0.2623568754524738,13094425772.0,2744727169,0.0122324159,9.8615987108,0.669426236,9.8414860696,0.0,1.109843818208757,0.2006992946,1.3973715806,37.350066709082554,5.4438959091,7.3242779026,50.11824052078256,67.0475714627,0.0,0.1098438182,0.1509594290385861,1.502303104318147
SGH,2023,2,1.8663804276,338776340000,12364100,21.0304376274,8.6587016807,2.897606144,352.2173820981713,14680.8226208135,26.629891129,0.42262059363824667,0.4099830545557991,0.0897167558,0.0527998887,0.0807912113,0.21051828774472997,12431614326.0,2236130864,0.0145985401,7.8664272086,0.5101399022,7.8532881773,0.0,1.13714132676744,0.1962274014,1.3126114253,44.23175592248463,5.3173334577,7.5258156847,57.07490506488463,68.6434286859,0.0,0.1371413268,0.15836176925798412,1.4680822620813485
SGH,2023,1,1.7613911078,322703010000,12364100,24.9245283689,9.3047082409,1205.0195950527,409.4645900631667,14817.8334073649,38.7228040339,0.524742931507476,0.5145246969723213,0.0730234669,0.0372434534,0.0664132052,0.35516397262022,8220271005.0,3494632721,0.0153256705,11.1755370115,0.5296474446,11.1547154359,0.0,1.0970205797112285,0.1779010985,1.1363851456,51.83785915159411,5.6862734342,8.0474643898,65.5715969755941,64.1896673146,0.0,0.0970205797,0.16075403406303154,1.481783340736487
SGH,2022,4,1.7906260124,318993780000,12364100,35.657518413,11.3605690477,59.9254141955,259.18269190640643,14408.3688173017,60.1966341367,0.4179232940777778,0.3290534497372732,0.0513539966,0.0132067933,0.0468794812,0.18330327741423538,5233275282.0,1785140023,0.019379845,10.1837893367,7.1630376844,10.1625940801,0.0,1.1050861206811917,0.1471410416,0.8885980145,48.81866039846259,6.2644785453,6.9306206844,62.01375962816259,58.2650251511,0.0,0.1050417159,0.16929468744966172,1.44082385752299
SGH,2022,3,4.9995037124,876614690000,12364100,133.9883380171,44.5317067986,-2186.9721096174,282.00884172725875,14181.4076113102,2516.1404220361,0.43896535591505736,0.3906633867438781,0.0379584598,-0.0059889766,0.0347927286,0.23170963450729154,346819462.0,2068076574,0.0070521862,10.4621636687,0.4961317926,10.4431421487,0.0,1.1024097467636325,0.1046854077,0.6160333139,86.83890373090763,7.0910594293,7.4062551093,101.33621826950764,51.4732676602,0.0,0.1024097468,0.17608009509836736,1.4181407611310164
SGH,2022,2,1.9422653914,335067110000,12364100,51.1510986616,15.7964186709,-224.9035216517,96.50511496995334,13952.7791207609,162.8780520098,0.22255953942268641,0.19313108415922642,0.0382729693,-0.0050771673,0.0350466319,-0.08489666120369131,2028742882.0,-524506982,0.0184501845,11.3921053884,0.6096011232,11.3702892056,0.0,1.0935401971101468,0.1134860857,0.6491128412,86.99593337988489,6.8603958982,8.7036333527,102.55996263078488,53.2039266272,0.0,0.0935401971,0.18313167114308365,1.3952779120760912
