ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
SGT,2024,2,1.3359554122,2279249403200.0,148003208.0,60.6304588956,1.9191405833,-1.2794920817,63.55249059871729,11527.3308223292,46.2111006503,0.09551037712272518,0.037444020149534234,0.0222143178,0.0196783779,0.0053736003,-0.014363838706849265,131928546666.0,-3608209565,1.9759406772,0.1497653017,0.80787809,0.1422627061414641,3.6324175954458635,0.169765139,19.1488634687,97.8056789744205,1035.4766999693,114.8302641443,1248.1126430880204,0.352494653,2.8535453206000003,2.6324175954,0.02886168542796224,1.3360017512732367
SGT,2024,1,1.2125147223,2057244591200.0,148003208.0,48.2311514672,1.5527285311,-1.7130722455,40.973067543238656,11463.7783317305,31.9831706179,0.5008577059412888,0.05531070914833193,0.0253333894,0.0285102881,0.0063411569,0.2937132127533958,177408788053.0,32202075631,2.167881427,0.1617331568,0.9317195307,-2.294395896152106,3.6009240543917165,0.1969698202,20.5200562416,107.05875853879283,816.4109372916,114.1951492689,1037.664845099293,0.4470787729,2.7517802905,2.6009240544,0.03050264150526801,1.3304946148496282
SGT,2023,4,1.0767932846,1820439458400.0,148003208.0,45.6145392525,1.3899037774,-1.1773685722,145.92948562979797,11422.8052641872,30.8991599239,0.2176936334259542,0.038843178911183156,0.0238883699,0.0258731032,0.0063168999,0.11737123055801628,161251341802.0,65262104346,2.1119784034,0.0412072099,0.9800960445,-2.021106325789451,3.668597435671281,0.2073106623,19.1898786603,103.0313607883176,705.2942953223,143.1234757176,951.4491318282176,0.5175144651,2.7173902418,2.6395019611,0.032103501878832395,1.3292186864929791
SGT,2023,3,1.0487226811,1753838014800.0,148003208.0,-579.4192986291,1.2284863789,-2.1046020111,3.5432359141836978,11299.4600132113,50.6056590578,0.1302374206919606,0.0019367341558945007,-0.0018048704,0.014769713,-0.00050438,0.06051816318055001,97141893737.0,16386527249,1.8062581401,0.0564791057,0.8612278128,-1.0612571316699049,3.3364756019688597,0.2388735344,20.4626078829,56.09202108464821,487.8577897203,92.7800168938,636.7298276987483,0.7481688469,2.2543790203,2.336475602,0.03483897889550046,1.3147966840909822
SGT,2023,2,1.2482386581,2086845232800.0,148003208.0,635.0327315091,1.5339372374,15.9632290568,97.75029770300655,11295.9167772972,50.088818039,0.1551422978885525,0.037240691872140096,0.0019258871,0.0156285857,0.0005174976,0.1020091206745173,95178651412.0,39628759764,1.6160245041,0.0550983323,0.9865686076,-1.8918416037978212,3.1416365740322134,0.2448430469,19.3554341183,54.25581268479354,412.3218066337,90.4480977568,557.0257170752936,0.8852308904,1.7497450533,2.141636574,0.034605398189530664,1.3130728082943273
SGT,2023,1,1.3395050009,2220048120000.0,148003208.0,-21.7507349049,1.9527047112,-9.3117443352,45.01264594886349,11198.1664796009,83.196212924,0.4486093832800271,0.07134091944925239,-0.0581308546,0.0071026362,-0.0146806302,0.1788161340165263,53945945751.0,16698354258,1.4380899288,0.073296605,0.8983001865,-0.9433755925560275,3.0015998104697545,0.2184361816,15.9439952625,44.332407885533215,415.9528045453,86.9156984245,547.2009108553332,0.8775033995,1.374507875,2.0015998105,0.03635232892557583,1.3058998498076242
SGT,2022,4,1.0490306307,1731637533600.0,148003208.0,13.7215481625,1.1909697403,7.6587739754,-166.67368582308026,11153.1538336453,15.9563946481,0.06688274905148081,-0.03654523409468407,0.0542539551,0.0624834164,0.0158911095,0.001043526052132211,262060546300.0,704386001,1.4045047289,0.0347808994,0.8506623028,-0.028640079776018193,2.918136653369245,0.2935900314,19.3851156208,44.683333340337796,325.2165525892,87.3381611076,457.2380470371378,1.1223290976,1.2238243146,1.9527668109,0.03908971737463776,1.2750261882362823
SGT,2022,3,1.1683340404,1990643147600.0,148003208.0,7.4468784742,1.6447200083,-3.7458350113,43.33892109960211,11512.1185681056,13.5449492885,0.1703061863470209,0.03150763509680908,0.1487909916,0.0868119407,0.0369981397,0.06449762979743058,327837854383.0,13130376300,1.1621268079,0.0111915524,0.6827312807,-0.8994351834828872,4.1019291190416975,0.2610665813,16.6002033467,72.80370510830451,333.6972648616,57.4817326205,463.98270259040453,1.0938057888,2.5385560862,3.101929119,0.059561533798711305,0.7926272666153787
SGT,2022,2,1.2381439383,2101645553600.0,148003208.0,6.4880281861,1.8715693057,-7.0981560254,-437.9454066225375,11468.779647006,13.3838626845,0.1347788373710034,-0.3929713751350683,0.1540644799,0.0889069161,0.0378928016,-0.00797180533501465,329230839459.0,-1314882281,1.1833818756,0.0469314063,0.7729158923,0.07108564480833497,4.02877725955301,0.2488918671,15.1819865325,69.9296312778851,336.4698980391,56.2688980283,462.66842734528507,1.084792435,2.4789639225,3.0287772596,0.06115536216746925,0.788033498869939
SGT,2022,1,1.8677448284,1909241383200.0,74001604.0,7.7793761899,1.842349512,-10.7138446647,2564.3340377459926,13813.4501072571,11.6865046298,0.5841107629880432,0.46208827679388964,0.2300516003,0.0964852507,0.0558315608,0.5374317046196013,349861341627.0,220705960857,1.4963840941,0.0557906443,1.0084412505,-13.525117018451546,3.735361193787524,0.2357494559,13.7772736188,68.96134591191799,374.958644259,62.0882565968,506.008246767718,0.9734406863,2.6058227564,2.7353611938,0.05991352514571073,0.8318554182414772
