ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
TAG,2022,4,10.7178665418,2767465393200,24798077,173.447031277,20.7148616063,234.5779494331,113.73041578990177,10412.5200257665,869.4471769562,0.007651738454914827,0.08127273565040788,0.0638563919,0.0045031185,0.0605228019,0.005528470276050786,3178424347.0,191846876,0.0,20.9860397042,0.6926031308,20.9860397042,0.0,1.0426284070845022,0.5060465137,44.3376312329,13.43542090592686,0.0,2.1490015506,15.584422456526859,0.0,0.0,0.0426284071,0.007766385355642806,1.0363659106399035
TAG,2022,3,10.83622486,2767465393200,24798077,162.0189697573,21.9511983597,-1229.3314685832,190.04293699870357,10298.7896099766,743.9610259284,0.005683730866183728,0.13755443895825128,0.0687444348,0.0060883348,0.0647547589,0.002878280412119238,3714538772.0,98611651,0.0,16.4677861211,0.3171142417,16.4677861211,0.0,1.0551418152169882,0.4772719377,39.285571059,23.321857664052445,0.0,1.9501738979,25.272031561952446,0.0,0.0,0.0551418152,0.009481332587985926,1.0250462372432725
TAG,2022,2,11.039944279,2767465393200,24798077,175.886271664,22.4055713272,2562.8281866462,148.45935077949795,10108.7466729779,714.1309752904,0.014974648183399815,0.11116201209219422,0.0644317879,0.0065862707,0.0600249471,0.013376086369818931,3865786390.0,442994390,0.0,16.6021931539,0.5311607392,16.6021931539,0.0,1.0605111551729065,0.4705375461,32.9460305434,30.961269658711974,0.0,2.0796841578,33.04095381651197,0.0,0.0,0.0605111552,0.011700938169924674,1.0061311215003048
TAG,2022,1,11.2044960542,2767465393200,24798077,177.0454420876,22.0320575148,264.8868182677,192.10084834400666,9960.2873221984,715.4836688526,0.015321427041822135,0.151145872666908,0.0650578822,0.0063178657,0.060217986,0.013621010363938665,3856300930.0,429299436,0.0,16.9665715947,0.6827025645,16.9665715947,0.0,1.0628089585834946,0.483217326,29.193120037,30.75384857433672,0.0,2.1013558157,32.85520439003672,0.0,0.0,0.0628089586,0.014012337818968636,0.9913548512138736
TAG,2021,4,19.041405536,4612442322000,24798077,324.8440715942,35.8710437982,306.8089722443,159.17869558998467,9768.1864738544,1202.2242032153,0.023317823909289714,0.14524453614203822,0.0604748504,0.0060296545,0.0562246275,0.02148851064041439,3826702779.0,583995442,0.0,16.2906899236,0.3268700305,16.2906899236,0.0,1.0683527297873807,0.508445134,24.7082249165,29.56251283496637,0.0,2.6252339891,32.187746824066366,0.0,0.0,0.0683527298,0.016599912660423027,0.9722349100146173
TAG,2021,3,19.3568372814,4612442322000,24798077,345.9198129778,34.0571810599,200.8749231939,135.65885790257042,9609.0077782644,1251.2199349744,0.0072716133132765546,0.10610927506146019,0.057273201,0.0052056035,0.0525951963,0.006142474538500625,3676855340.0,194740454,0.0,10.4640347541,0.610057582,10.4640347541,0.0,1.1031373155232815,0.5334569737,24.7670728442,30.10427065300589,0.0,1.8302041216,31.934474774605892,0.0,0.0,0.1031373155,0.019225208076007545,0.9563917353171029
TAG,2021,2,2.85010087,669548079000,24798077,51.8757645812,4.9119119831,49.8727610013,144.2992082007004,9473.3489203618,181.7734812734,0.01103335338612371,0.10162169483829235,0.0562440401,0.0046490262,0.0518264114,0.010009318444404018,3592105938.0,352452037,0.0,13.2517638764,1.1278606749,13.2517638764,0.0,1.0881436507070985,0.5465773741,22.429364482,30.66073080666227,0.0,1.9193327201,32.58006352676227,0.0,0.0,0.0881436507,0.021913417435428482,0.9428895076662881
TAG,2021,1,2.8941854565,669548079000,24798077,54.3305923301,5.203459095,369.426338578,134.254964286142,9329.0497121611,184.7527691815,0.010927845816756954,0.09652673696182504,0.0544686409,0.0045529557,0.050071185,0.009550103449793314,3574714262.0,329388785,0.0,15.9479874827,0.7731776653,15.9479874827,0.0,1.0807122888185072,0.5220676002,19.1983235622,29.867247114299275,0.0,2.1495831682,32.01683028249928,0.0,0.0,0.0807122888,0.02488433699699281,0.9285272994840736
TAG,2020,4,2.9364440143,669548079000,24798077,55.6755643639,5.1797419502,627.0094038945,124.24384862584304,9194.794747875,183.181656111,0.011532868502860455,0.09055025165069833,0.0544329413,0.0048848178,0.0497795977,0.010693055890232698,3635225214.0,363835503,0.0,16.3550003063,0.3139929729,16.3550003063,0.0,1.083286044605816,0.5325558451,16.9018047754,31.740848245625557,0.0,2.1678466385,33.90869488412556,0.0,0.0,0.0832860446,0.028012234841050886,0.9151648024155417
TAG,2020,3,2.9766659489,669548079000,24798077,51.9816351661,5.150046792,-142.8435167482,118.41190302780332,9070.5508992492,183.5062856257,0.002254337433952586,0.09012105876459611,0.0585066881,0.0049231374,0.0530532208,0.0014264254322134424,3628794364.0,46476793,0.0,15.3822431101,0.3224537075,15.3822431101,0.0,1.088840568197359,0.5347331317,16.3264291907,28.241411748756665,0.0,2.1427232948,30.384135043556665,0.0,0.0,0.0888405682,0.031198356733779603,0.9027987191807535
