ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
TBC,2024,2,2.4254840039,2540000000000,63500000,27.6919597144,6.3329296585,10.8676474567,232.51506448818898,16491.5538239055,11.5095800245,0.44525305527693654,0.14948898143367836,0.0865786607,0.1125798065,0.0601366209,0.30892871126836313,241693331505.0,30512227302,0.05,2.3179611763,0.7502979396,2.2610514982,-21.514465306433756,1.141712426603326,0.2629590053,0.4572434286,156.3281154728855,15.4832958085,7.9645636188,179.77597490018547,23.5737923317,0.0676997255,0.1417124266,0.6451233187936338,2.0935429565212598
TBC,2024,1,2.6304591127,2717800000000,63500000,29.1758620772,7.057399611,8.4672886669,616.7081560314961,16270.9238829449,12.373223139,0.6519637437289426,0.353354823209442,0.0871250149,0.1116903491,0.0608344177,0.5253357809388136,241908958204.0,58220961784,0.046728972,2.2433622935,0.6732155713,2.1998414719,-34.47822022942007,1.139773614869216,0.2514944141,0.4334319817,169.4793403352906,13.9721141688,6.0324748514,189.4839293554906,26.1234624617,0.0907111164,0.1397736149,0.6610336995668803,2.0832769497322836
TBC,2023,4,2.3471002187,2489200000000,63500000,19.8017555478,5.776160558,13.2080180988,430.12639543307085,16701.4598214016,9.9437535407,0.5963117530133498,0.24958347481314422,0.1164953573,0.1363672937,0.080312648,0.4099966337312752,284236484891.0,44867749239,0.0510204082,2.461606571,0.8452069488,2.4251925817,-34.93857004889201,1.1469665159822862,0.2753267342,0.4721775309,125.67312185792873,10.0850676227,10.5761245664,146.33431404702876,36.1921222203,0.11201479310000001,0.146966516,0.6636825919277448,2.1088328228850393
TBC,2023,3,2.2030725168,2416175000000,63500000,13.8003073709,4.7436100635,12.5018281764,165.11297941732283,17271.3334259685,8.0068735488,0.4570298032807666,0.12778440553549472,0.1609715769,0.1683349116,0.1109390886,0.29867399973205816,343873615119.0,24506116877,0.0525624179,3.9499953841,0.7443695271,3.8569189748,-10.991990979146667,1.1119011087640853,0.3227486031,0.5591412388,139.81815727991065,10.5692542982,5.7922162035,156.17962778161066,34.5341298166,0.1300038633,0.1119011088,0.6412248802188764,2.1804318720850393
TBC,2023,2,2.2506432745,2444750000000,63500000,9.4359043432,3.9616994719,8.0113950963,255.0185483622047,17106.2204465512,6.206719752,0.5354463630427808,0.1956017747433716,0.2371517628,0.236698786,0.1614762097,0.36490746639582294,447990424476.0,30210328884,0.0519480519,3.3937173351,0.7038070864,3.3531863549,-12.23972698252824,1.1325829651598744,0.3846011236,0.665604523,114.56609025429037,8.5150851012,4.7571737469,127.83834910239037,42.8651030096,0.1542659011,0.1325829652,0.6632836222340038,2.1437573636787404
TBC,2023,1,2.1660176064,2317750000000,63500000,7.2016545258,3.2403423134,7.540758161,1129.3645352755905,16851.2018981732,4.9669967565,0.7030680103386526,0.45774176265802985,0.299003746,0.299471472,0.1968287506,0.6213358381468842,540592234699.0,97345019728,0.0547945205,2.044622881,0.214258221,2.0231631146,-36.03725563865925,1.227800752693796,0.4374515176,0.7575189574,90.76154045148266,8.1662752834,3.4787737222,102.40658945708266,44.6960195845,0.1800167203,0.2278007527,0.6874261551436863,2.0995425058
TBC,2022,4,1.9381157345,2127250000000,63500000,6.5674700651,2.9297725291,4.9396108061,1207.6889022834646,17284.8294888976,4.4710874254,0.6890331816723242,0.4082541750536088,0.2501442297,0.2962605566,0.2044707264,0.5388019346378276,552299796703.0,101210905984,0.0895522388,3.2150696493,0.9471996905,3.1797256544,-33.47558397053848,1.1602221431079585,0.4583479986,0.7455055376,55.11317620483669,7.3788762607,7.0956519739,69.58770443943669,49.4655266066,0.1964623755,0.1602221431,0.6815082180374146,2.164266054711811
TBC,2022,3,1.7238298716,1924050000000,63500000,7.1025970604,2.9650688573,5.7549165069,1488.0880707716535,17577.1405865984,4.5768539384,0.7274202855713614,0.49787878585126116,0.209406926,0.2548716289,0.1673595338,0.6607368385932645,495139391941.0,125402807563,0.0660066007,4.5647699998,1.1426697332,4.5086909525,-35.6889069055397,1.18695303930686,0.4008970414,0.6610517112,76.17258519502471,8.7345150109,1.5987876469,86.50588785282471,41.7882389054,0.2489580306,0.1869530393,0.6873273091891672,2.182324005831496
TBC,2022,2,1.8335448884,1873250000000,63500000,9.7807850375,3.3615989049,5.6987362164,1243.138269464567,16089.0525158425,5.5168362735,0.7323140062393696,0.4361958519176525,0.15227855,0.2084680716,0.1196082286,0.6643023709173103,410596556589.0,120220196285,0.0677966102,2.2190709174,0.4638950387,2.1972376815,-28.804342457614073,1.274551751556052,0.3480077205,0.5566114666,70.425636915023,8.9488393569,2.0869311349,81.461407406823,40.7874122489,0.2740305926,0.2745517516,0.7439752968020378,2.0561829409212597
TBC,2022,1,2.0409655813,1924050000000,63500000,11.7503002913,3.7939506463,5.9342743547,1161.9835309606299,14845.9142463465,6.4510433654,0.724097212449965,0.44058830878666,0.13275895,0.1847914018,0.1026755344,0.6520671306366729,363720429687.0,109202614975,0.0660066007,1.8781354653,0.4464712723,1.8533238164,-22.057159361995314,1.3219836690180606,0.3179979063,0.496856577,70.60012499415184,9.5852837249,2.7707099383,82.95611865735184,38.079206675,0.36928860669999997,0.321983669,0.8233165010622583,1.8962069007023623
TBC,2021,4,2.1435880337,2076450000000,63500000,12.3156167234,4.1928151376,6.5868413665,372.8353151496063,15254.7968571496,7.1379427237,0.5698308115210327,0.2139250990173957,0.1377369362,0.1724317703,0.1062880332,0.39980379131467575,350009225043.0,44246195511,0.0764525994,2.1185016805,0.6459455555,2.0897645372,-8.233742319064104,1.2304944015473167,0.3122013818,0.4767576904,56.22173949185853,8.5236577273,2.7698980903,67.51529530945854,42.8219916468,0.3847594414,0.2947801939,0.7907121623937293,2.0141000777968503
TBC,2021,3,1.9707893082,1987550000000,63500000,11.1812746832,3.7841599738,5.0693260658,238.1606997952756,15881.9615419685,6.4771022619,0.5330757439037616,0.15410392692435748,0.1472890002,0.1825723168,0.110733485,0.4138320871247254,371994404859.0,40611990759,0.0,3.6377061418,0.961213387,3.5734640026,-7.114528172637972,1.2682360039968634,0.3271905841,0.5010731923,66.69919472852663,9.1069538313,4.1622083663,79.96835692612663,40.0792632487,0.4172830587,0.268236004,0.8296602165451457,1.956143479911811
TBC,2021,2,1.9685156184,1936750000000,63500000,8.590850769,3.3013495587,4.6243206135,805.6779563622047,15493.9080569134,5.6837336244,0.6527167669049311,0.3909603358985843,0.1891628076,0.2202471391,0.1393472945,0.5631048750533189,422709214314.0,73687155957,0.0,2.094998023,0.202295857,2.0623174439,-11.82786522339074,1.3557098737179305,0.362612862,0.552455562,67.24937346960914,8.5439410655,3.7950836493,79.58839818440914,42.7203321278,0.4459025957,0.3557098737,0.8685553172359846,1.902991835343307
TBC,2021,1,1.8041656359,1682750000000,63500000,7.249985013,2.7952288709,4.628400579,1088.5986918425197,14688.2301005669,4.942646815,0.692117803981876,0.44432539708031793,0.1990307684,0.2336818618,0.142436638,0.6116041614747482,438940487805.0,95150445821,0.0,1.6688012693,0.2075509711,1.6444032099,-14.3659539376028,1.4052942165974052,0.3694379023,0.5597801144,69.65643399560317,8.637311722,9.3767743458,87.67052006340317,42.2585188246,0.515230192,0.4052942166,0.9146157432946372,1.8018091158141731
TBC,2020,4,1.6078664196,1651000000000,63500000,9.1241631653,3.0974984038,4.8736763562,666.8857065669291,16170.4975504567,5.6915915045,0.586778366786887,0.3010640717257533,0.1521692722,0.1797604704,0.1117051991,0.46761795142449003,379299839429.0,65774473223,0.0769230769,3.6116750347,1.3778085062,3.5553081363,-8.787618256747619,1.2976261668701365,0.3290450325,0.4816497345,57.88516505204179,8.4160443725,19.4563237938,85.75753321834179,43.3695432018,0.4948345927,0.2969718574,0.8649460866114541,1.9413152101070865
TBC,2020,3,1.6864663745,1660525000000,63500000,11.5997938358,3.6595887451,-4.9302724495,989.1262976850394,15505.7938865197,6.7010224081,0.6603985756274356,0.39363814280699905,0.128152842,0.1477052649,0.0867996358,0.5769856959339184,323584165477.0,92064743254,0.0611854685,2.8920596807,0.5325946315,2.8461827654,-10.474182271472086,1.375478647885346,0.2751286964,0.4068196663,88.70029729667466,10.4469047497,26.2220819129,125.36928395927465,34.9385783393,0.5975599862000001,0.3754786479,0.9183054474993522,1.861255288384252
TBC,2020,2,1.7221583292,1587500000000,63500000,15.298262609,4.5502488281,-4.0063667289,910.5692735748031,14516.6675888346,8.753935901,0.6827855554484992,0.3954594182476359,0.0974084528,0.1051400364,0.0692604864,0.6009749062100745,240454751032.0,87870102258,0.064,1.5179548059,0.2732054023,1.4927617007,-8.972639880218846,1.5235752626483838,0.2328587182,0.3782769691,98.58996315427343,12.1107956698,31.0411940422,141.74195286627344,30.138399652,0.6758044916999999,0.5235752626,0.9980053144206056,1.7415800049622048
TBC,2020,1,1.7418659965,1504950000000,63500000,14.6818151094,5.0170503002,-3.9551371569,282.9951193543307,13606.0983152441,10.2625737398,0.5275059007143976,0.2075606310403455,0.0998366179,0.0895197282,0.0773090655,0.3942123252344346,196962930714.0,34130125643,0.0675105485,1.1286517137,0.2479196061,1.1082150051,-3.325403607777638,1.5899616741964822,0.2262360029,0.4125174934,98.96982580017111,12.4544321492,25.2903032781,136.7145612274711,29.3068359623,0.7444464942,0.5899616742,1.0874637849847606,1.6296511192346457
TBC,2019,4,1.4626767088,1428750000000,63500000,11.2733796415,4.8120245988,5.602529584,71.65972028346457,15382.7567392126,5.5902870651,0.4344244077354515,0.07411769033955533,0.1247948805,0.0891687105,0.0957612326,0.23561289899037474,192486175524.0,14465252517,0.0711111111,2.0515339978,0.2943842067,2.0128421451,-0.8521538017508397,1.4324775163965424,0.2243448069,0.3981533653,109.75892378065264,13.0445133424,35.5244827451,158.32791986815263,27.9811128571,0.6909872027999999,0.4324775164,1.0013176929946495,1.8039565596173228
TBC,2019,3,1.621716016,1581150000000,63500000,8.885550069,4.5298558778,8.2922404568,368.9483832913386,15354.1062395591,5.3441596108,0.5064954094399535,0.4283254258453822,0.1920031659,0.1902553675,0.1787953627,0.3908067361116766,229868317322.0,21376053236,0.0,13.3805267948,7.5276098641,13.2882997578,0.0,1.0480558678196432,0.3507164886,1.0624549564,76.25171412931552,12.2228981159,3.9034756875,92.37808793271552,29.8619849841,0.0,0.0480558678,0.32114560406190507,1.5354106239559056
TBC,2019,2,1.6583075226,1577975000000,63500000,7.8340864378,4.1131793339,8.8063092146,890.6386009448819,14985.1578562677,5.3843770779,0.6696720777782207,0.5812631448825772,0.2201361875,0.2249845526,0.2046689598,0.6072069319925836,258870658851.0,59079821264,0.0,13.4341167356,4.1884615528,13.3354728302,0.0,1.0461961835108846,0.3898187247,1.1345024858,72.14452104923254,11.9678919873,3.7481907618,87.86060379833253,30.4982699031,0.0,0.0461961835,0.33962819260113675,1.4985157856267717
TBC,2019,1,1.7595491943,1574800000000,63500000,9.1648904223,4.5601202603,7.1097386882,707.6147552440945,14094.5192553228,6.9359582961,0.6373231625139137,0.5379755524440334,0.1914879454,0.2000718367,0.1781256723,0.5647297263423888,223894433031.0,47168136014,0.0,8.6979569607,0.3492762947,8.6289600249,0.0,1.0699850982776389,0.357995442,0.9922816944,72.17458400784845,12.4722935317,3.9284400898,88.57531762934846,29.2648660867,0.0,0.0699850983,0.37253049650865544,1.4094519255322835
TBC,2018,4,1.8642592616,1651000000000,63500000,8.0322166969,4.1683989842,8.0571980162,835.1008536850394,13946.5580433858,6.1043266718,0.6591110029962141,0.46708111286523557,0.2352831984,0.253420153,0.2170412705,0.5097416297274838,269476496795.0,57872260962,0.0,4.836128569,0.6588635361,4.8013828489,0.0,1.1359546524663118,0.418223525,1.0888638147,60.04592953685389,11.6858208756,12.9789960243,84.7107464367539,31.234433925,0.0,0.1359546525,0.3889151781348213,1.3946558043385826
TBC,2018,3,1.6767663678,1555750000000,63500000,8.1686699436,4.1398900613,6.4954354911,738.681252992126,14611.4571897008,6.2212822082,0.6391859350606472,0.5253533459742468,0.2161728722,0.2198320071,0.2025987143,0.5596173362465428,249100187864.0,49965525550,0.0759183673,10.9799785654,0.121532305,10.8862597639,0.0,1.0534531637537867,0.3997598979,1.0220891314,63.60132338985804,12.4618265877,5.8535179894,81.91666796695804,29.2894462486,0.0,0.0534531638,0.3789569449455036,1.4611457189700787
TBC,2018,2,1.802090664,1587500000000,63500000,7.6991592178,3.9377209846,6.827005661,424.58202677165355,13872.7759367087,5.8260774019,0.5188423493332194,0.4569600821993631,0.0,0.0,0.0,0.4077709485244338,0.0,24058766029,0.0744,0.0,0.0,0.0,0.0,1.041575496923396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41168698429253286,1.3872775936708661
TBC,2018,1,1.7846262599,1524000000000,63500000,7.3744774492,3.7840858998,10.0528067971,1238.6003286771654,13448.193909937,5.4349188155,0.7414831620887905,0.5858253625994873,0.2394658085,0.2687770963,0.2261329209,0.6892304079369939,274381334307.0,92533965894,0.0775,4.2297347554,0.2649782509,4.193452947,0.0,1.144774579219021,0.4406908749,1.0411447914,50.053591567291654,12.9756605575,4.6591818679,67.68843399269166,28.1295891167,0.0,0.1447745792,0.43719466521642475,1.3448193909937007
TBC,2017,4,1.8129671199,1562100000000,63500000,9.383862501,4.5563318963,10.979355397,597.4006743937008,13568.9167938583,6.8483917561,0.6014742776843359,0.4067993872831776,0.1958655534,0.2072591675,0.1883246181,0.4011479205776107,223313783864.0,37407931051,0.1016260163,16.0186256748,0.5729820314,15.8523581735,0.0,1.0304895009627542,0.3878585586,0.852009328,42.01406066491867,13.8298604724,21.9867608786,77.83068201591867,26.3921679273,0.0,0.0306971188,0.4447223121400225,1.3565087565165355
TBC,2017,3,1.708112283,1536700000000,63500000,12.5182468224,5.7255277947,13.228717608,986.5247766929134,14167.6868907717,8.974959358,0.7025534980090345,0.5370642610009007,0.1450851896,0.1413956061,0.1379845196,0.6210440166965626,165288787714.0,72439901522,0.0710743802,14.5899636432,1.5212294642,14.4495930124,0.0,1.038901773617628,0.3016882174,0.6610956008,58.12111639636554,16.5380846886,7.8711967725,82.53039785746553,22.070270341,0.0,0.0389017736,0.4342433762344958,1.4167686890771654
