ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
TCK,2024,2,0.0,93015000000.0,23850000.0,20123.1337180775,0.3335838501,-39.2488425162,113.73358683438155,0.0,14.0332506907,0.24941031848722064,0.05091252286776072,0.0,0.1182810721,4.955e-06,0.08856760634305655,20776409986.0,4718754775,0.7220250244,0.0153633803,0.2722422804,-1.4938448592029432,-9.741948619892971,0.2989047524,1.8004154654,306.5635244624112,711.13851032,223.8610143326,1241.5630491150112,0.513261474,-2.3916612655,-10.7419486199,-1.561759305831171,-0.4115825666750524
TCK,2024,1,0.0,93015000000.0,23850000.0,-25.6377745788,0.3469140999,3.0361264403,-74.09788004192872,0.0,15.4104354348,0.2513453403813336,-0.04101909128998088,0.0,0.1024350583,-0.0039548744,0.025475000827536846,18564678323.0,1097545006,0.6942164294,0.0156581513,0.2569670741,-0.3150137101102847,-9.365817921382124,0.2922745929,1.715941741,315.7910244617574,734.8409147881,219.2937723996,1269.9257116494573,0.4967061478,-2.3158132386999997,-10.3658179214,-1.5755290478506017,-0.4121040556855346
TCK,2023,4,0.0,93015000000.0,23850000.0,-6.6235796639,0.315417052,3.6943684987,63.34423203354298,0.0,80.9882395164,0.1257585118585284,0.010277269344829377,0.0,-0.0456539832,-0.0153591335,0.04678871401394464,3317350570.0,6877947062,0.6943859915,0.0166708176,0.2824315089,-1.5991089816143356,-11.466468076216188,0.3225331154,1.8612716211,300.03420463091817,592.9453999757,176.202133668,1069.181738274618,0.6155710121,-1.9621427567999998,-10.356345799,-1.916309264932937,-0.34182024098113206
TCK,2023,3,0.0,93015000000.0,23850000.0,-13.503518329,0.3356229193,-65.4300706657,-102.78613203354298,0.0,16.7992843021,0.27685418151076535,-0.06910643604225544,0.0,0.0653307162,-0.0076097263,0.025190189807825544,15992727886.0,893584960,0.7256565564,0.0165432709,0.2654578865,-0.25181439460464083,-10.850650281867784,0.306171218,1.7500580159,307.2431738320666,713.9211509849,187.7111463024,1208.8754711193667,0.5112609418,-2.1758311434,-11.8506502819,-1.8297372590336136,-0.3554279702557652
TCK,2023,2,0.0,93015000000.0,23850000.0,-16.1860907308,0.3002326392,49.367250165,-38.579507379454924,0.0,14.8588898712,0.30245305127982053,-0.021617231462484152,0.0,0.1055567689,-0.0063826596,0.052378791725689884,18090772884.0,2229464002,0.7181982531,0.0136087971,0.2665751849,-0.45515043090182067,-11.341666897590077,0.344100856,1.9337365821,277.98706829672165,613.6052926179,159.7032702994,1051.2956312140216,0.5948449343,-2.2828287191,-12.3416668976,-2.014256995208443,-0.33061382089727465
TCK,2023,1,0.0,93015000000.0,23850000.0,-17.0678388844,0.2888194451,-14.5556484207,-87.81490620545074,0.0,15.0603853894,0.10271778717440307,-0.023205531888708678,0.0,0.1033337709,-0.0060259343,0.0065898053324145375,18324804939.0,594754427,0.7143558285,0.0098252081,0.2795453964,-0.24392857288586278,-11.784254324816864,0.356103711,1.9935607818,269.64372234341863,582.1188274551,157.5869613643,1009.3495111628187,0.6270197471,-2.3879938797999998,-12.7842543248,-2.0799257882998,-0.32020606924947587
TCK,2022,4,0.0,93015000000.0,23850000.0,-24.1961614532,0.3070942303,-12.273545521,-59.63307354297694,0.0,13.234708753,0.20724231599485166,-0.013066148865715096,0.0,0.1137041395,-0.0040723154,0.024780244628814185,20432096856.0,2697326783,0.7188609193,0.0128723632,0.2884453845,-0.4862687001330128,-12.315300387219464,0.3208604793,1.8436773713,298.2238083947151,648.9612349306,180.7951118962,1127.9801552215151,0.5624372926,-2.5121026743,-13.3232390923,-2.182372622879286,-0.308686099442348
TCK,2022,3,0.0,93015000000.0,23850000.0,-49.4427944572,0.2537458537,27.3059801127,-54.92013048218029,0.0,9.3412359418,0.1565434376212107,-0.01922231540652867,0.0,0.1874177453,-0.0020179259,0.07337038151356254,28948294721.0,4999597268,0.7178626732,0.0151094967,0.2796711689,-1.8846750397913337,-12.549174007531093,0.3931961618,2.2156461655,240.05920139822086,495.8959781675,140.4655857458,876.4207653115209,0.7360414604,-2.5184368066,-13.5491740075,-2.2648705440310333,-0.3008544818784067
TCK,2022,2,0.0,93015000000.0,23850000.0,214.7659013924,0.2301132126,-22.9168468054,-26.13182033542977,0.0,10.0303723285,0.2189051710210865,-0.011371629736166467,0.0,0.1764570436,0.0004543759,0.045774479482921196,26757730337.0,2508757888,0.7205140307,0.0137610634,0.2805190854,-1.0222734067287758,-12.781211128286477,0.4240714917,2.4126889607,220.29317621151364,454.5851334549,137.3591809998,812.2374906662137,0.8029299094,-2.4856088489,-13.7812111283,-2.3045741545412537,-0.29866815072955977
TCK,2022,1,0.0,93015000000.0,23850000.0,229.0962752054,0.2140444003,33.0284660039,-3.3576724109014675,0.0,9.99622531,0.13307844139707684,-0.0008360523981292936,0.0,0.1753449226,0.0004211118,0.03165023811501076,26900265701.0,3031588077,0.7205079415,0.0201438134,0.3012166093,-1.1311445723899587,-12.659012793820866,0.4507249067,2.5604132578,204.82838665130774,423.8526249655,129.0330680545,757.7140796713077,0.8611483768,-2.5115411896,-13.6590127938,-2.2550025443766777,-0.30876241301467505
TCK,2021,4,0.0,93015000000.0,23850000.0,-56.423313509,0.2495823373,-3.3852281244,5.530586498951782,0.0,10.4583174487,0.08782917378492854,0.0008922430799276565,0.0,0.1217668464,-0.001721389,0.06495441786338078,25038525564.0,9602516875,0.7329771382,0.0271333433,0.2991112017,-2.0180983581258105,-16.381746837523046,0.3891560213,2.1604838049,245.45853989765342,488.6324973311,143.2966161974,877.3876534261534,0.7469826546,-2.7812807106,-14.7675786121,-2.808598994751745,-0.2523676126792453
TCK,2021,3,0.0,93015000000.0,23850000.0,-9.6720309814,0.2528031085,5.1076539882,42.11821354297694,0.0,12.1620423471,0.11520727835230934,0.009495552184996826,0.0,0.083390855,-0.0056027244,0.03337250351113506,15161995453.0,3530424173,0.7378571993,0.0226570088,0.2935855211,-1.6729745898679034,-16.47866281352175,0.3844844307,2.1193892735,236.62826338368654,509.2865679444,149.7748047293,895.6896360573867,0.7166888408,-2.9879224802,-17.4786628135,-2.8615397025719056,-0.2503821255052411
TCK,2021,2,0.0,93015000000.0,23850000.0,-6.8016544719,0.2281703725,-2.4402296115,-27.267716855345913,0.0,19.7467973842,0.18330582558813754,-0.0076373247171464785,0.0,0.0,0.0,0.0367413896699584,0.0,3128610379,0.0,0.0,0.0,-1.1920447927416453,-16.204559934327513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9360605976431686,-0.24691544154716982
TCK,2021,1,0.0,93015000000.0,23850000.0,-6.8016544719,0.2281703725,-2.4402296115,-105.13048452830189,0.0,19.7467973842,0.22499266623970451,-0.05684674773218259,0.0,0.0615889077,-0.0142774945,0.014045471410464423,13406600985.0,619509180,0.7277077676,0.0184384923,0.2941638232,-0.3129848650082709,-16.003338478282064,0.4256055826,2.2865950732,212.73551144229546,459.9319759611,126.0687404969,798.7362279002955,0.7935956165,-3.0433305962999997,-17.0033384783,-2.9367386838112655,-0.24882337513626834
TCK,2020,4,0.0,93015000000.0,23850000.0,-9.6720309814,0.2528031085,5.1076539882,-134.7685649895178,0.0,12.1620423471,0.1363582984096586,-0.02411493786973603,0.0,0.0770755109,-0.0098476079,0.017023275980646253,21767514510.0,2268997305,0.7259751774,0.0229959368,0.3103336976,-0.5534199968240093,-16.19670628839411,0.3767610652,2.0094533178,258.5216396533957,510.1611739707,144.1154301142,912.7982437382957,0.7154601695,-2.9743893796000003,-17.5144523937,-3.038893541153868,-0.2443679996519916
TCK,2020,3,0.0,93015000000.0,23850000.0,-45.8643113272,0.2091200686,-17.2496569631,-213.7384625995807,0.0,6.6950312448,0.19500576060454342,-0.055442366885489605,0.0,0.2260700418,-0.0020078011,-0.00033642742503745763,36611232809.0,-30932904,0.7322658641,0.0244027235,0.3072701163,0.007811599944332183,-17.738091168354533,0.4403518702,2.4156814945,201.97196199382256,430.0407690121,116.3563140352,748.3690450411225,0.8487567373,-3.1047058287,-18.7380911684,-3.285793820763589,-0.22880818331236896
TCK,2020,2,0.0,66780000000.0,23850000.0,-17.5963540055,0.1491249832,4.2631948223,-119.75239119496855,0.0,5.7225773504,0.16105658928818514,-0.020649154822362327,-0.9237696073,0.2203497798,-0.0036742093,0.03133328950260527,37358194042.0,4333874075,0.7340230352,0.0251266436,0.3069610796,-0.9578451382295377,-19.621613629285562,0.4335469879,2.4086740307,205.3582815703212,427.6139776335,116.2684155357,749.2406747395212,0.8535735946,-3.3382976588,-20.6216136293,-3.691521937723975,-0.20719899090566038
TCK,2020,1,6.5188121051,66780000000.0,23850000.0,-15.850997434,0.1558519072,2.6259939058,-42.721147589098535,429.5261091824,6.3926191711,0.16586347612192137,-0.011962088598641677,-0.1581631398,0.0948505668,-0.0039510243,0.03535364644523557,35352115388.0,3011330989,0.8123466754,0.0290634139,0.384882765,-1.0200996426789615,42.1690443710189,0.4018409335,2.2825541867,220.47879489689828,445.6640019697,119.6795098177,785.8223066842983,0.8190026531,7.2641620306,41.169044371,7.469218534785085,0.10423472554716981
TCK,2019,4,8.1731505293,93015000000.0,23850000.0,-37.8181309385,0.2370163477,3.7094629932,291.17856498951784,477.1721732075,6.6441962628,0.17812391796087826,0.05368669922009173,-0.0723854844,0.0911199712,-0.0022421435,0.13324525278975807,36891346654.0,17235854787,0.8110433895,0.0275364362,0.3848384109,-4.878850360264058,39.77577967652337,0.3577545475,2.0309075459,268.3819731609505,494.9175639415,138.5961721619,901.8957092643506,0.7374965582,7.0590288995999995,38.7757796765,7.133268870189003,0.1111463345870021
TCK,2019,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14725173936826033,-0.07228666591684149,0.0,0.0,0.0,-0.0055710083144479405,0.0,-529052039,0.0,0.0,0.0,0.1399063454428227,73.14476403899017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.875983396647758,0.06071990448637317
TCK,2019,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11981580870180779,-0.027515458506994207,0.0,0.0,0.0,-0.0071334643745113915,0.0,-848787552,0.0,0.0,0.0,0.26975249486500574,27.107964581592533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.659775807097175,0.17064038208805032
TCK,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3061188219013023,0.014949638863220248,0.0,0.0,0.0,0.06380241665725647,0.0,3134930272,0.0,0.0,0.0,-1.1385961753705982,52.308554448505795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.407955351750976,0.08618844344654088
TCK,2018,2,0.7399704955,109710000000.0,23850000.0,-4.4591753931,0.2620942916,-5.3952545592,-126.63417819706498,6216.4640722432,28.0126250318,0.18424215686774734,-0.03406994074985279,0.0,0.0,0.0,-0.0008497224813428,0.0,-75326025,0.0,0.0,0.0,0.03984518727481742,7.0395017436175635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1333208044837992,0.7556541168301887
TCK,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1680867168845992,-0.07152642133805559,0.0,0.0,0.0,-0.030843224963314764,0.0,-2459460329,0.0,0.0,0.0,0.8443108605903363,6.8483189473844845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1345453063074513,0.769907716360587
TCK,2017,4,0.6973477129,109710000000.0,23850000.0,-2.9447182354,0.2453841339,115.7106714136,-455.1158027253669,6596.4222943816,-107.2948830102,0.15833270348438214,-0.10853313457150489,-0.1721092192,-0.0584458628,-0.0288551097,-0.06409491299125653,-2722704453.0,-6410199044,0.9441152941,0.0551812444,0.5261267852,1.2865193606314849,6.688327607590452,0.3462740908,2.0472365129,271.0295475968747,398.1736609757,138.4292765931,807.6324851656747,0.916685446,1.1007488492000002,5.6883276076,1.126881237638687,0.7921041557023061
