ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
TMB,2024,2,1.4017620626,1021500000000.0,15000000.0,3.9396309931,0.025190773,-0.4441074791,4143.9283738,48581.7114153333,9.4831234782,0.03676825615845638,0.005412410767105102,0.3739493827,0.1115403424,0.0590202372,0.010461854768920286,401992124604.0,120149353084,0.0293685756,1.1577316295,0.0080570172,0.328129302,-3.23384464059565,6.57419858634558,9.2302826904,663.9561621214,12.552146826369885,25.9826067239,5.9015140439,44.436267594169884,14.0478591651,3.8743921978,5.5741985863,0.060323837837085774,4.858171141533333
TMB,2024,1,1.8204789996,1314000000000.0,15000000.0,3.7599624965,0.0324201024,-0.3891503853,1848.4990542,48119.2038015333,9.8940847741,0.03803507053323358,0.0022818792937308124,0.5356988602,0.1121829677,0.0827722878,0.005597407875140473,505894137236.0,68015011957,0.0228310502,1.1340021156,0.0086630768,0.5023967525,-1.5784972110767592,7.568957603431105,9.5996210681,578.9811228719,13.5005030152289,23.6056160309,4.5694872862,41.6756063323289,15.4624221424,5.1710949141,6.5689576034,0.058957070156460054,4.8119203801533335
TMB,2023,4,1.8928564412,1317000000000.0,15000000.0,3.9713705097,0.0354860428,-0.548581664,9677.298902,46384.922854,6.7913445066,0.04795253690490785,0.017619347162149992,0.5785974219,0.1599751918,0.1067645246,0.01723085078935293,503921716805.0,141958801217,0.0113895216,1.1869688424,0.0084569178,0.3379393972,2.2720842374003873,5.3684917840992314,11.9484014305,584.6585726218,5.200035047240092,24.3912174548,6.5486521723,36.139904674340094,14.9644026862,3.4779314547,4.6676868092,0.10809181483623509,4.893858056333333
TMB,2023,3,1.0621150975,625500000000.0,15000000.0,2.0923251771,0.0166666212,-0.2793535267,1616.1565661333334,39261.2816613333,6.0862174349,0.03133353972159923,0.002794107407582235,0.5814418143,0.1603172189,0.0853589644,0.007616051428937696,448686891715.0,66078695605,0.0239808153,1.1807028264,0.0223632196,0.4690006355,-1.2508448772578509,5.735880694713049,10.7159518445,465.3259865569,9.140656472342991,23.5021030432,7.5919669526,40.234726468142995,15.5305250483,3.6807732804,4.7358806947,0.13318411210069553,3.926128166133333
TMB,2023,2,1.1024003744,622500000000.0,15000000.0,2.2586333419,0.0174925913,-1.0513901396,10156.150201466668,37645.1250952,2.6339371871,0.04818276471638503,0.013288329883885279,0.6127910711,0.3856810295,0.0833862319,0.019507004370974888,405904180265.0,223635402007,0.0240963855,1.134791035,0.0064499324,0.4810989631,-4.898532321263537,7.271924798998882,10.7667823758,441.0851278314,7.594057076143148,24.8757568374,7.643158266,40.11297217954315,14.6729204014,0.8313945292,6.271924799,0.14109814490900102,3.76451250952
TMB,2023,1,0.848207186,400500000000.0,15000000.0,2.4183533445,0.0132200362,5.1998832623,1442.9794492666667,31478.1582164,2.5707275116,0.02930842229606291,0.002478228608317493,0.4233309732,0.2855357657,0.0571569558,0.004806950307881202,277847042840.0,41983599604,0.0374531835,1.1006947419,0.0424922716,0.3073942008,-1.6910507322677661,9.031420859392954,10.4557743435,374.6419362119,4.370937662531823,28.4987191692,9.6340922261,42.503749057831826,12.8075931354,1.0057955438,8.0314208594,0.17235982515351334,3.14781582164
TMB,2022,4,0.8656515815,390000000000.0,15000000.0,2.0029245149,0.0157011065,0.8135356894,6714.694292933334,30035.1787671333,1.1450869954,0.03811318607591459,0.011636497863823874,0.5289982803,0.6537631208,0.1187409456,0.012735434497659051,302260315315.0,110232327209,0.0384615385,1.1961047431,0.0219772881,0.0956233386,-4.142913313537602,5.246513981581992,15.1472860225,298.0200820869,1.481702612487349,21.1513197276,6.8592338607,29.492256200787352,17.2566064293,0.0,4.0359040424,0.19292570340384202,2.8722743230333334
TMB,2022,3,0.9823416629,325500000000.0,15000000.0,3.2622164118,0.016837558,8.4028120925,60.1189316,22090.0739731333,1.352729007,0.025556247686027222,0.00013394225123536616,0.314402895,0.6043417001,0.0553314742,0.003416081220766382,208182388967.0,22999219965,0.0460829493,1.1080785539,0.0194321314,0.2109540519,-1.3022903588942325,7.815749253955259,10.7202744925,238.4576537344,3.2436476969299903,28.5947705327,5.4678705126,37.30628874222999,12.7645717451,0.0,6.815749254,0.23702639488825505,2.2090073973133335
TMB,2022,2,1.0167973542,336000000000.0,15000000.0,3.3463483765,0.0227760484,0.7470058524,2822.7775807333333,22029.9550415333,1.405651661,0.0417438732119717,0.00685939948409761,0.3319068766,0.557785382,0.0711329838,0.015424200534187976,192350376526.0,95210420904,0.0446428571,1.1119730779,0.030597015,0.1256393959,-13.847107655656226,7.490348340906773,10.4511432754,181.4886873837,2.3824206702848696,29.4917243551,9.926218736,41.80036376138487,12.3763532985,0.0,6.4903483409,0.24334100508874865,2.2029955041533333
TMB,2022,1,0.9617317929,310500000000.0,15000000.0,3.4315822873,0.0256233206,0.6007960867,2481.117246,21523.6723501333,4.0386021619,0.07687404751976117,0.011353406321237595,0.3147017443,0.2193793849,0.0795584002,0.015215040110893956,144995032412.0,49875293832,0.0483091787,1.2841097968,0.0330056424,0.1895095825,-14.183277916879565,3.5265248580591995,10.6547937954,148.6296100532,3.103796992048097,27.9153509031,11.7796848434,42.79883273854809,13.0752431258,0.9354041915,2.5265248581,0.25322903167278993,2.152367235013333
TMB,2021,4,1.1237987698,321000000000.0,15000000.0,5.2514351902,0.0291053446,0.3938543615,1287.9054465333334,19042.5551041333,2.40181541,0.05084061133961382,0.006136138101487956,0.2248882767,0.1594882118,0.0341427019,0.010216326795309563,121034359441.0,32164358198,0.0,1.2637459036,0.0190409916,0.2160545669,-14.295131056585557,3.545410002510031,6.1603182823,130.6352871194,3.50497035194706,51.1170198483,21.4424975331,76.06448773334705,7.1404788676,1.4843946368,2.538919595,0.2934628095185779,1.8985534687933334
TMB,2021,3,0.8713671208,237000000000.0,15000000.0,6.1778431414,0.023412821,0.1168481142,102.06344913333334,18132.426188,1.7254460763,0.04824673300416835,0.0007110155514058776,0.1440780161,0.4100495667,0.0217780798,0.00328337473075459,119796377573.0,7069730384,0.0443037975,1.2417305745,0.0403532393,0.2430906872,-2.6957177892678796,3.760486723230627,5.7464908201,122.9330897268,4.387746405262239,54.0195698875,27.6673641655,86.07468045826224,6.7568105551,0.0,2.7604867232,0.2919238696126475,1.8132426188
TMB,2021,2,1.37545763,372000000000.0,15000000.0,9.842790692,0.0358944443,1.2383258359,2161.116576133333,18030.3627388667,5.396925431,0.06896245425594219,0.009161615520493244,0.1441639396,0.1922937742,0.0163880772,0.01355753874036372,135035591053.0,47970941868,0.0282258065,1.1604055175,0.0263798144,0.1925475455,-5.185473355850063,5.095973237351266,4.4938546031,123.0700223136,4.783985344306583,70.6398600756,26.0254464147,101.44929183460658,5.1670544026,1.4272221644,4.0959732374,0.30095063698874186,1.8030362738866668
TMB,2021,1,0.78119194,207000000000.0,15000000.0,7.1885620446,0.0211233196,-0.2076267715,466.97058633333336,17665.3128294,9.9931727178,0.06220810388723184,0.0031998011408461654,0.11152524501085281,0.08583280444145203,0.010188226588070393,0.011376927513739149,114566979584.0,24904784444,0.0507246377,1.0950863361358643,0.012210733257234097,0.1786210983991623,-1.563326127512602,7.834109536360838,3.467196464538574,113.80422973632812,4.634617106007055,93.21268463134766,26.96878433227539,124.8160860696301,3.915776014328003,3.6229190826416016,6.834109306335449,0.3143683247709548,1.76653128294
TMB,2020,4,0.8198464597,211500000000.0,15000000.0,3.8413452863,0.0192442691,-0.2001614388,-172.62371453333333,17198.3422430667,16.2643565233,0.05729052425631357,-0.001154887058803812,0.2276402192,0.083578045,0.0263719887,0.01408619052345638,133955559239.0,31582445832,0.0,1.0702130947,0.0069220991,0.1406764662,-1.1508406850053017,9.972280692687713,5.2641081742,123.3015635216,3.1105203187470565,61.522723806,28.0949816252,92.72822574994706,5.9327672349,4.7471315072,8.9613334691,0.3309960731703512,1.7175843661466668
