ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
TNC,2024,3,2.090111656,685300000000,19250000,20.6890439011,5.141198714,19.250989615,688.2763846233767,17032.5828755844,31.7539043181,0.31700550630138075,0.3358203251274186,0.1010169512,0.0408055048,0.0913340696,0.23279013533009335,21184038371.0,9184408623,0.0337078652,5.5449693317,0.3514358307,4.5057800886,0.0,1.1095575211480293,0.367543579,1.2157475137,18.712133119015814,118.0212810583,7.0865552657,143.81996944301582,3.0926625836,0.0,0.1095575211,0.3262041967453473,1.7032582875584417
TNC,2024,2,2.2821402683,718025000000,19250000,29.7803222799,5.9545283682,-52.6599293026,555.864570077922,16344.306490961,44.4489519981,0.23621356634213317,0.49481698511729594,0.0735566582,0.0175815415,0.0657609119,-0.004217455785612304,15526364989.0,-91202274,0.0321715818,4.2633140109,0.5983901314,3.7171140565,0.0,1.1481612246506425,0.328889381,1.0942326577,19.49660697753544,114.9192846601,5.3265382491,139.74242988673544,3.1761422905,0.0,0.1481612247,0.3507828111308258,1.6344306490961038
TNC,2024,1,2.2075052159,743050000000,19250000,22.9278486868,6.0192282084,87.5285355807,211.2950421818182,17485.8023988052,43.1354031146,0.1543761139821181,0.10301357956833976,0.0982309092,0.0215624841,0.0868964374,0.05168754916464892,16998824526.0,2040851957,0.0310880829,8.7636934987,0.4404818991,7.5606867658,0.0,1.0660892485351654,0.3309973138,1.1169968618,17.900823760676722,106.6334119699,4.8029988174,129.33723454797672,3.422942146,0.0,0.0660892485,0.3250581196550617,1.7485802398805195
TNC,2023,4,2.9060163027,966350000000,19250000,29.4271794108,7.4608389283,87.8090646434,265.281508,17274.5073566234,52.2814755805,0.22499163925749568,0.15601071070948958,0.0971118386,0.0253953775,0.0852135308,0.06858980765719336,18157573699.0,2245137176,0.0199203187,5.9239707044,0.3105649845,4.6764751436,-1108.59748815552,1.1030635606306924,0.3361007901,1.2954926873,36.307933842025164,159.8324899734,4.2779192382,200.41834305362516,2.2836408296,0.0,0.1028313793,0.33631713393895374,1.7273100641766235
TNC,2023,3,3.7806140514,1237775000000,19250000,41.7123391168,9.8673323865,-184.2248315788,220.06379387012987,17007.8191337662,71.2202745512,0.12837261392284016,0.1584078763918863,0.0,0.0,0.0,0.049989901080456596,0.0,1336856633,0.0155520995,0.0,0.0,0.0,0.0,1.1597442858538272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3335117085752708,1.7007819133766233
TNC,2023,2,3.3893751039,1095325000000,19250000,39.2571280761,9.1695661073,45.0855882374,986.9018202077922,16787.7553398961,76.6805479877,0.18048960209992268,0.7758563064407483,0.082243443,0.0209821157,0.0705507972,0.06677701942493414,13998808908.0,1635122971,0.0175746924,3.6046694463,0.3456930604,3.2784110455,-16.50178007007774,1.1959319152050865,0.3020450096,1.2635165834,31.552432159622267,134.1875206541,4.6539188251,170.39387163882228,2.7200741039,0.0,0.1959319152,0.3454256525490186,1.6787755339896104
TNC,2023,1,3.3166476975,1155000000000,19250000,21.7431238392,9.0114228334,31.5743414244,232.25209781818182,18090.5557274805,62.7884921764,0.13556603463124126,0.09812827645082531,0.1547331494,0.03109314,0.1314570903,0.0752441251382167,18538509399.0,3428220957,0.0166666667,5.8275095351,0.2670349421,5.1592194332,-9.400924463743019,1.1476305460711889,0.3171849604,1.4296967936,30.495703461638488,138.6695395896,4.0726769567,173.2379200079385,2.6321570049,0.057431129,0.1476305461,0.2546949387010136,1.809055572748052
TNC,2022,4,3.7853539396,1301300000000,19250000,25.1249062016,13.3661568886,-64.2051434383,102.29257885714286,17858.3036296623,67.4550318566,0.21698525150946504,0.06872690264209869,0.0,0.0,0.0,0.03609306061387675,0.0,1034122055,0.025147929,0.0,0.0,0.0,-72.87316203725366,1.175162466658455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25636286261403246,1.785852034851948
TNC,2022,3,3.3394873492,1141525000000,19250000,20.4486432186,11.3643051442,-320.833129093,127.97180722077923,17757.2165424416,54.4357550621,0.1680712061029484,0.11870340891734531,0.1638858373,0.0340722197,0.1421203408,0.03292068863572588,20807974305.0,683204561,0.0286677909,5.4986471137,0.225297248,4.3310076854,0.0,1.1461446587940551,0.2557277463,1.1309685325,29.04088138311501,189.9250212715,5.3715481887,224.337450843315,1.921811026,0.0,0.1461446588,0.26241805403118734,1.7757216542441558
TNC,2022,2,3.8912614256,1320550000000,19250000,20.4507495982,14.3835039715,-90.244052908,2296.9766065974027,17629.2447352208,63.8587052613,0.26480217527697913,1.3316406227098536,0.1907329547,0.0325069392,0.1611527127,0.18986105683300697,20048703562.0,6304289741,0.0247813411,3.4036330892,0.5549379778,2.9607994209,0.0,1.2403297232995016,0.229130105,1.076445661,31.414877774852116,189.8445142053,6.6723292008,227.93172118095208,1.9226260054,0.0,0.2403297233,0.2712924919065998,1.762924473522078
TNC,2022,1,2.8663649526,979825000000,19250000,26.9393964361,13.9899055148,-31.0741571332,164.5218072207792,17757.6829338182,72.3455216484,0.24175521914980838,0.21473703415003514,0.1052399349,0.013444158,0.0916302147,0.1129050382053955,13107779686.0,1665177664,0.0333988212,9.9228051612,1.4602858575,7.870318227,0.0,1.0904639908148632,0.1764459864,0.8873455986,39.02145016107143,217.8331158541,9.5942780281,266.44884404327144,1.6755946339,0.0,0.0904639908,0.2504205438625783,1.7757682933818182
TNC,2021,4,2.7851731504,943250000000,19250000,24.0196799566,13.4383593863,-90.8541018377,310.47768093506494,17593.1611265974,71.206283413,0.21798379727609235,0.18828976616271778,0.1149312637,0.0140046101,0.1020352021,0.09432650933226232,12752305466.0,2994112861,0.0306122449,5.8872534298,0.0763374288,4.8496552428,0.0,1.1361686643852487,0.1823773891,0.9168702422,44.915661352915635,206.9613645875,4.1570926923,256.0341186327156,1.7636141931,0.0,0.1389302219,0.258904266872073,1.763556316316883
