ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
TST,2023,2,0.1939480542,15360000000,4800000,-18.2101020183,0.3297056498,1.4761949175,195.36347645833334,16499.2632335417,-46.9093452001,-0.11129839204725821,0.9390603104950035,-0.0104803473,-0.0169876882,-0.0033889331,-0.798813328473191,-858917477.0,-797694191,0.0,1.4779741086,0.0129553977,0.9939494557,9.73174471762918,2.4067999191646496,0.187175491,2.2933405395,562.6378977123557,615.5734247817,650.18611902,1828.3974415140558,0.592943076,0.0907566809,1.4067999192,0.13414235940806885,2.0225942679583335
TST,2023,1,0.2099367835,16800000000,4800000,-2.8825559202,0.2270606962,2.0758937975,-232.638251875,16671.6853570833,-12.7947307442,0.0,0.0,-0.0718468655,-0.0407047624,-0.022617813,0.0,-3445941591.0,-1480641617,0.0,1.4823055907,0.0075963054,0.9993847837,2.0028118777674035,2.396437315928226,0.2871351664,3.0705108189,372.4512923243359,402.6006494377,428.5547103734,1203.606652135436,0.9066055917,0.1058853166,1.3964373159,0.13665636448513596,2.0412077428125
TST,2022,4,0.6152277702,49920000000,4800000,-7.4123726401,0.971172823,4.3390173693,-102.61568416666667,16904.30846,-24.9385753198,0.046391631803835646,-0.0129222007698282,-0.3756174046,-0.2014049216,-0.1047653515,0.008939063722756567,-18956166237.0,340730124,0.0,1.1908242727,0.0043614819,0.7331601329,-0.7014187351335971,2.6113623476806467,0.1937659262,1.8248557435,580.3540949546995,584.5916098476,656.4122489161,1821.3579537183996,0.6243674966,0.2820236823,2.1241892909,0.27300088171836967,2.0668262681458334
TST,2022,3,0.6884881712,56160000000,4800000,-18.4323152073,0.6009711309,3.3364923811,-35.836178125,16993.7560129167,675.5339151849,0.13149712978049274,-0.023022860169059824,-0.0297031635,-0.0109552741,-0.0113030049,0.018561958250190375,153346223.0,138684345,0.0,1.3146651322,0.0026907282,0.8432021059,-0.7482886791522034,2.6902755216459333,0.3466731389,3.2963323811,301.6496359674714,351.3124604181,361.1061059606,1014.0682023461713,1.038961156,0.2992505275,1.6902755216,0.2786104887108132,2.0757710234375
TST,2022,2,0.6107016471,49920000000,4800000,-20.3130118753,0.549277348,2.8035090549,-843.1100945833333,17029.59219125,212.8576409519,0.03244803409654337,-0.14249438345350982,-0.0237100413,-0.0084048577,-0.0091920905,-0.12004075552961269,466637877.0,-3409231560,0.0,1.3111665593,0.0033016242,0.8415593641,8.949642112133787,2.696728394394854,0.339935815,3.1620078305,302.967485306692,367.8023943545,344.936053854,1015.7059335151921,0.9923807066,0.3213304015,1.6967283944,0.2824456326440197,2.0766234856458334
TST,2022,1,0.6377669134,54720000000,4800000,25.7614716873,0.6062222673,4.3778561778,-434.66381958333335,17874.8689522917,21.2124306204,-0.14212003771046686,-0.942073233829378,0.0203032349,0.0242141767,0.0079443844,-0.8268276903847892,4916446631.0,-1831154874,0.0,1.3770116,0.0204399826,0.8372796831,4.536521469702398,2.429589478346815,0.3375973529,3.098062834,298.82105851884756,379.3123694499,319.8031900896,997.9366180583476,0.962267591,0.3339620079,1.4295894783,0.27512594700314885,2.1614551281666667
TST,2021,4,0.5133930367,45120000000,4800000,-154.4635318585,0.474493463,33.9493180007,678.8553222916667,18309.5588135417,26.0239270088,0.13306503800378675,0.058858132758290854,-0.0027484817,0.0172802434,-0.001029089,0.06653485067229124,4152802925.0,3683504213,0.0,1.3201466191,0.0524963456,0.8969494496,-7.769156351683015,2.6978285133396365,0.335002984,3.1985801026,366.1562379524472,323.7163122766,348.5858827981,1038.4584330271473,1.1275304523,0.4052012913,1.7002572598,0.2698618538328402,2.2341256659791666
TST,2021,3,0.7564903989,65280000000,4800000,-72.753886741,0.8266062165,42.1508173874,86.93149395833333,17977.7562547917,316.1216197062,0.3682234008197983,0.0850579347553094,-0.0085803751,-0.007845989,-0.0033554425,0.09170902891186185,405642108.0,449899636,0.0367647059,1.3505960746,0.0050612425,0.8289322153,-0.7910868803842384,2.494211026468402,0.2953298439,2.6393365475,347.41260747078496,378.3270827959,313.5228965418,1039.262586808485,0.9647736485,0.4435358856,1.4942110265,0.28221536798430663,2.165268623458333
TST,2021,2,0.5813043992,49920000000,4800000,104.2270027206,0.5547538481,-39.8339387568,111.398305625,17890.7987191667,44.9584981329,0.12624640407795829,0.01924705402268946,0.0045598009,0.0065397539,0.0017647543,0.037757267547524447,2579711961.0,1048953206,0.0480769231,1.330005585,0.0245585263,0.8679604179,-1.811682949160945,2.596461698679909,0.331561561,2.9969635233,322.3986899225891,336.6464140298,283.2339125674,942.2790165197891,1.0842236388,0.5075224935,1.5964616987,0.28706732385880135,2.157392856375
TST,2021,1,0.4780759381,40800000000,4800000,88.7114433894,0.4492373531,-4.6049723613,-663.02834,17779.6021989583,26.0396923676,-0.14528164624011056,-0.451960107741497,0.004372562747448683,0.016175270080566406,0.0016814531991258264,-0.3726333938036803,3954862336.0,-2623946632,0.0588235294,1.3437447547912598,0.010913795791566372,0.855010449886322,4.67428881845529,2.4908357048201237,0.3320385813713074,3.014909267425537,347.4887162477634,334.9891357421875,288.33721923828125,970.8150712282322,1.0895875692367554,0.4447585344314575,1.4908356666564941,0.29155276888661413,2.1515201203958334
