ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
TTE,2024,2,2.3698609012,683769600000,28490400,-109.4145594227,5.1798631785,5.2952350402,-692.7494015879033,10127.1766574004,11.5572144078,0.4640444515394588,-0.772302397568459,-0.0206047121,0.0806887156,-0.0051911712,0.3985798788722865,109597071936.0,10185977060,0.0,0.1417255344,0.004587131,0.1417255344,-0.5288199851092097,3.9033085705707813,0.1096534193,0.178487951,67.49581332942446,0.0,24.9389190228,92.43473235222447,0.0,2.8413932244,2.9033085706,2.466745910845393,1.0314384295130992
TTE,2024,1,1.3430452879,427356000000,28490400,173.5595737504,3.1100815155,3.1633062185,84.28273239406958,11168.6479488178,9.6265988552,0.5865187823943527,0.07055076687077454,0.0079782114,0.082320228,0.0020071117,0.5433712382686967,104840748140.0,18494051439,0.0,1.8615197155,0.1195874756,1.8615197155,-1.110996109196418,3.7271303913215976,0.1120078187,0.1833666074,69.86119872723576,0.0,25.5563364548,95.41753518203576,0.0,3.5524137187,2.7271303913,2.2706668265640775,1.1356502131595203
TTE,2023,4,0.7921067042,250145712000,28490400,-134.6972202282,1.7534189389,3.0594273407,656.2753096832618,11084.3652164238,7.442126602,0.7343111547945199,0.3742655641747959,-0.0058755776,0.0824038954,-0.0014361822,0.6934946583635225,120928249838.0,34645582106,0.0,1.5791102039,0.2152176687,1.5791102039,-1.773080241270265,3.9146155280868418,0.1103271701,0.1867113527,110.45343555344593,0.0,24.8987098149,135.35214536834593,0.0,3.8137959740999996,2.8934742551,2.342113300033524,1.1156889817692976
TTE,2023,3,1.2069046342,354705480000,28490400,81.8111028464,2.5089232769,7.9870784266,-267.1578763372926,10315.6452025595,9.3019537459,0.3850668856949234,-0.3389496587306419,0.0140690212,0.0831143689,0.0033867259,0.31788215578909434,107990551286.0,7138344081,0.0,0.4354164984,0.0165038262,0.4354164984,-0.3740081136314991,4.074186054250842,0.110434536,0.183852828,86.73191784709246,0.0,27.5039161152,114.23583396229246,0.0,4.080283466,3.0741860543,2.5228103805001147,1.0494077401405386
TTE,2023,2,1.1631461562,360403560000,28490400,4230.191508174,2.4590935945,9.9552588618,-386.97450983489176,10875.6753678081,9.0497765951,0.5497456678886352,-0.35610382593064216,0.0002774526,0.0857812491,6.52142e-05,0.49181059716161435,113135389697.0,15226572271,0.0,0.5129553009,0.0225158331,0.5129553009,-0.7026309103827317,3.933010304103218,0.1121830295,0.1881918291,86.71144482896246,0.0,26.6888283245,113.40027315346245,0.0,3.9618197267,2.9330103041,2.425770079984779,1.1055637546331396
TTE,2023,1,1.0252669726,327639600000,28490400,24.9541036454,2.1261024168,5.8500728775,113.10143034144835,11216.5907093968,7.7744641319,0.6555390536592868,0.08201848581913967,0.043059762,0.0898727022,0.0098851776,0.6181823538593285,131402536917.0,24286867336,0.0,0.6324505732,0.1015401386,0.6324505732,-1.1830147179802373,4.091852788076828,0.1160225134,0.1954214715,81.51402314784886,0.0,29.2107730598,110.72479620764886,0.0,4.106354495,3.0918527881,2.383283168391233,1.1397064513555444
TTE,2022,4,0.9456486818,299149200000,28490400,13.9133440731,1.9534646786,18.780283691,693.2107892132086,11103.4892790554,7.6317072945,0.7334642672693467,0.4057590393080907,0.0692396259,0.0904485183,0.0176622305,0.6569995896077058,133280463039.0,31978696323,0.0,0.6446975147,0.0207873002,0.6446975147,-1.7202954786528772,4.246271779942273,0.1257973553,0.1906531728,99.83982140537206,0.0,17.6486111127,117.48843251807206,0.0,4.1948604785,3.1566087583,2.4922916583095738,1.10367284738368
TTE,2022,3,1.1760255665,340460280000,28490400,15.6934653931,2.1568126293,5.425400804,-416.3473013716901,10161.3437161991,7.6742914213,0.5157613841257607,-0.4291898827105249,0.0720325825,0.0959940802,0.0179173021,0.44340375502138213,137923946836.0,12254742541,0.0,0.7886488069,0.2446800443,0.7886488069,-0.5108094948637351,4.493990969402815,0.1303704165,0.1953428574,67.99019125859338,0.0,25.9557446396,93.94593589819338,0.0,4.873524333000001,3.4939909694,2.6952406530710027,1.033350601451717
TTE,2022,2,1.0687363477,321941520000,28490400,13.3255590412,2.1466510287,6.6890363197,70.88112795889141,10573.2344783857,7.9751702203,0.6549654615903445,0.05244716154694063,0.0817956752,0.0884272367,0.0218182218,0.6123120301237742,131852862808.0,23576534556,0.0,0.7730869341,0.206919712,0.7730869341,-1.2580670289561855,4.331126844336091,0.1354388761,0.1833983019,67.6938313486588,0.0,22.0096864878,89.7035178364588,0.0,4.7077159732,3.3311268443,2.623682380550903,1.0745674875993316
TTE,2022,1,1.161644404,347582880000,28490400,14.4119407948,2.5023750811,14.47254964,153.5352665108247,10502.3533514798,9.1144903693,0.6544153110533422,0.11414570341295141,0.0834520523,0.0804510736,0.0240486448,0.6153641275417716,121263155541.0,23581927548,0.0,0.6872085179,0.1154709863,0.6872085179,-1.2670017671482192,3.6026060920317216,0.1385034751,0.1678968383,67.84425454531277,0.0,15.9457497061,83.79000425141277,0.0,4.8185026777,2.602606092,2.6738089912507337,1.0673139860128324
