ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
TV2,2024,2,1.5928897176,2022408641750,67526165,36.1990973781,1.4521000294,-14.2486188377,207.23563979977243,18802.3060663966,15.232270636,0.11136318453921078,0.03861007055657811,0.0424170671,0.0609359601,0.0226679252,0.07381156628242928,136321018744.0,26752252679,0.0333889816,1.5510441701,0.1555126757,1.4147184258,-13.34156136918531,1.7154057498941573,0.565083958,3.120641463,300.10471390163434,32.8308103141,165.6035029426,498.5390271583343,11.1176055817,0.15484006990000002,0.7154057499,0.34946996188470064,1.8803054300758824
TV2,2024,1,1.8977004054,2552489037000,67526165,45.6744847117,2.1717739001,-37.6205751761,168.2910391697796,19918.8448775819,21.1441426992,0.14817029040239496,0.04764867645232578,0.0421615031,0.0466068798,0.0211246383,0.04401709763608842,121282902738.0,10497929191,0.0264550265,1.5910888721,0.253847698,1.4783028312,-4.427695790661726,1.7138606789589514,0.4442713719,2.6183368474,401.53164609431286,39.64978993,277.4303247682,718.6117607925129,9.2055973221,0.1903393437,0.713860679,0.3333975099390204,1.991959311194409
TV2,2023,4,1.8531125911,2471457639000,67526165,46.5031557361,2.3286210799,-16.5086974608,199.11049475414455,19750.5538384121,19.944968524,0.23760137818933644,0.023149695324793006,0.0395131931,0.045986297,0.0195038416,0.060022703171020375,118316067094.0,34860732461,0.0273224044,1.4814535449,0.1171683661,1.4148429507,-22.96923861187647,1.8515525698197355,0.3894966808,2.3307580045,476.2961979766784,34.2217050576,338.6925874849,849.2104905191784,10.6657455958,0.1550716705,0.8452356292,0.3333391206635093,1.9749353812333337
TV2,2023,3,1.8926320011,2498468105000,67526165,33.4966081014,3.2473614556,-34.144432824,252.73152244022742,19549.495083217,23.771718917,0.1719874491654786,0.08087435906637525,0.0555792651,0.0359603118,0.0255025764,0.07892186861060597,100405894433.0,16653978768,0.027027027,1.3142074458,0.1351686756,1.2365066088,-11.03684170119884,2.201348175533933,0.2630596619,1.6842863507,733.577402145474,59.6407136683,615.3937479756,1408.6118637893742,6.1199804219,0.0738926759,1.2013481755,0.33972878213817703,1.9550243317579192
TV2,2023,2,2.1272997345,2771949073250,67526165,40.9037210989,2.8817507626,3293.2210686396,207.46248715590468,19296.7635607768,30.1132689146,0.26065098362709666,0.09661890798118783,0.0502636636,0.0302187406,0.0229401428,0.08226870481145747,89384719209.0,11928455128,0.0243605359,1.2982360022,0.1137383401,1.228658785,-6.699244789331137,2.2263957340655365,0.3256135874,2.1077967747,590.9988503645867,48.1497445605,491.6263820915,1130.7749770165867,7.5805178892,0.0745677109,1.2263957341,0.3484094825291291,1.9297511795138966
TV2,2023,1,1.5264168049,2083182190250,67526165,28.9828450117,1.7683160598,-55.7331477156,125.79060812945619,20210.7313687368,21.0508902647,0.20494155927991356,0.06820714816136554,0.0529996074,0.0333304223,0.0243382049,0.05943064841095992,97039331830.0,7401178516,0.0324149109,1.3535399481,0.1009293254,1.2935064229,-3.6520880478034665,2.105262059183392,0.3989051708,2.5796117323,468.7505665139552,45.4259867327,379.9275212488,894.1040744954553,8.0350483556,0.0792230216,1.1052620592,0.33595943340697176,2.0211479603099036
TV2,2022,4,1.1973699287,1624004268250,67526165,30.7073417496,1.2283979471,200.0662651792,518.6048346740852,20085.6889949696,15.0775585821,0.15757671414206145,0.121242784164155,0.0387089484,0.038226387,0.0141891516,0.051923463921517386,101169567771.0,14997414802,0.0831600832,1.3147002813,0.1242554656,1.262091688,-11.33734202656504,2.1871883147629796,0.3546986765,2.9046663889,589.9922787629657,62.2722515605,557.7154942603,1209.9800245837657,5.8613586446,0.0914815903,1.2035933294,0.3378022539111541,2.043727897586069
TV2,2022,3,1.139634086,1532843945500,67526165,13.6818940553,1.1411962075,394.5431031961,151.71824592733793,19918.6741411866,8.5634951767,0.10407586435520028,0.025388195217613527,0.0822952782,0.0856781921,0.0313370166,0.01979247699268372,167481820502.0,7986899475,0.0881057269,1.2963528942,0.1180438008,1.2127802603,-6.615819146512043,2.2479337746344425,0.3757020387,3.0181534977,531.4040675563206,73.5233178364,502.4598841017,1107.3872694944207,4.9644114376,0.0708509053,1.2479337746,0.3321094093138533,1.9918674141186605
TV2,2022,2,1.2512658385,1670173031100,45018141,8.2249414268,0.6543529737,-15.1791075271,402.45737594984206,29649.9743365902,5.891160679,0.1600869138311838,0.05016634440368477,0.1502426205,0.1510223772,0.0514241172,0.05179977249994022,269872389920.0,18707805470,0.0539083558,1.3362943427,0.1587550004,1.2221796963,-10.75534735597425,2.1708999213019835,0.6463795061,5.7243536944,327.55571731411544,41.4449001756,306.9959157665,675.9965332562153,8.8068736673,0.1218152939,1.1708999213,0.34112086405870495,1.9766955895259268
TV2,2022,1,1.3186716179,1832238338700,45018141,7.1436063127,0.515860575,-6.4420565522,294.2326630280002,30864.3937189454,5.7226651824,0.15102327829635898,0.04932793933056843,0.1944563882,0.1645982084,0.0628364796,0.055479741185962834,298998882525.0,14897722923,0.0491400491,1.2366515695,0.1186062881,1.1169734607,-8.149159530580842,2.8446044888369717,0.8701558019,7.9523141566,239.9920984922591,33.7812346916,229.8522906727,503.6256238565591,10.8048152571,0.1396527028,1.8446044888,0.3123647111614948,2.057658136396462
TV2,2021,4,1.7468013957,2403968729400,45018141,8.8460411504,0.6624071685,-13.3718825348,1564.3880683567097,30570.1610559174,6.9550791528,0.18168129136910027,0.22719709489826817,0.2136889587,0.1857261571,0.069665406,0.26393035887508626,320342620737.0,81812304556,0.0,1.1891897179,0.1051695579,1.0903937582,-56.0353341150968,3.2167327177417206,0.9303387366,9.1310719721,180.2451123752622,25.6269682091,185.7294347505,391.6015153348622,14.2428084751,0.0990760613,2.2449548367,0.3227046338420888,2.0380423215326977
TV2,2021,3,2.2340380319,2917175536800,45018141,9.1781549751,0.6345836208,-15.3689248444,2249.592312663466,29005.7729875607,7.8514023939,0.09445722141063731,0.06279507343513964,0.260879525,0.218675006,0.0881435692,0.068653542575632,349137001660.0,110720682904,0.0385802469,1.2341662855,0.100084993,1.1554804639,-78.15951721305177,3.460006133142685,1.2748443415,11.4471670784,116.89677515182115,22.0409305463,125.0493999989,263.98710569702115,16.5600993675,0.108663286,2.4600061331,0.34468833806552973,1.933748167348168
TV2,2021,2,2.1116616264,2543524966500,45018141,9.4969245518,0.6318108338,-20.3922304708,1589.1893908946618,26756.1806748973,8.9013176238,0.043891998726337464,0.052582960293350536,0.2319687067,0.1878453487,0.082077927,0.037012696338547285,282935074597.0,50358050173,0.0442477876,1.3070842182,0.0698881968,1.128536589,-32.34163281156763,2.8474922101307465,1.2337361724,11.1951739383,80.74213141987862,30.9856749551,103.2728685405,215.0006749154786,11.7796368977,0.1114674034,1.8474922101,0.3805163670684678,1.7837730222707004
TV2,2021,1,1.6444623131,1966416379200,36014952,8.3316288653,0.644183841,14.6610853577,791.7764324661601,33202.3419235988,6.7782373664,0.15037716139987037,0.08244969657698555,0.21391548216342926,0.17456386983394623,0.07972937822341919,0.08009996837369127,265977987072.0,27703120676,0.0457875458,1.4957292079925537,0.18593068420886993,1.358195424079895,-21.81359374547377,2.625739129071327,1.0311894416809082,9.663893699645996,72.45901192421692,38.04300308227539,102.1683578491211,212.6703728556134,9.594405174255371,0.13652771059423685,1.6257390975952148,0.2902855245250184,1.7708406077347945
TV2,2020,4,1.5797318163,1843965542400,36014952,7.0326984162,0.5510304751,3.6767799173,3235.0004798007226,32410.5645470803,5.3869863828,0.18084750297661792,0.09117690508499289,0.2499035641,0.2190259306,0.0924846144,0.09703924364140698,301882981380.0,123999446371,0.048828125,1.5855967919,0.1770225698,1.4901206387,-131.75882475138656,2.8579771731501187,1.1803637563,10.4446837387,70.38583124371205,46.5242095668,102.0346647669,218.94470557741204,7.8453777807,0.0770867315,1.8579771732,0.30052234717276327,1.728611311564932
