ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
UDC,2024,2,0.6912137065,136082226000,34706000,-2.1431668147,0.8906549048,8.033986239,-364.45578358208957,5672.6305674235,-103.0722189917,0.007238310023149539,-0.19280818729759341,-0.288821439,-0.0591452611,-0.0717178997,-0.05644709350060396,-3305333383.0,-3703100699,0.8608318208,0.0698608387,0.3265535834,0.44673014149830925,4.201682178619958,0.1725734871,0.5018736088,170.58514299702378,663.6232189768,180.9961793312,1015.2045413050238,0.5500108941,1.2425083998,3.2016821786,0.35170596072399835,0.6320591424628571
UDC,2024,1,0.6855956267,143648134000,34706000,-2.2098716914,1.3951412853,-2.3341725007,-372.33883481242435,6037.0863510056,-83.4408429552,-0.003987078149989901,-0.5219272306038407,-0.2739408075,-0.0556141758,-0.0740116911,-0.17104230525259848,-5005664437.0,-4234834895,0.8687270653,0.0426490875,0.2903036913,0.5280603571645905,3.74773495918848,0.1172328155,0.2691755804,234.60472745485492,919.2912846107,260.7006141198,1414.596626185355,0.3970449912,1.3944163454,2.7477349592,1.5909823203305866,0.6734931731971429
UDC,2023,4,0.5109255052,116369218000,34706000,-1.736510382,1.2120605846,-5.9432912723,-475.3129851322538,6562.6005477439,-40.3254998447,0.00856181145258002,-0.3531063267049591,-0.2560207515,-0.0645517241,-0.0754120618,-0.09349140595717902,-8570818335.0,-4367676191,0.8950854116,0.021609137,0.2752078779,0.5391642701118124,3.371128920828484,0.1080423123,0.2468236607,299.2466247076074,939.2877105664,267.091397196,1505.6257324700073,0.38859233,1.1814399677,2.3711289208,1.4812829472895508,0.7313087761828572
UDC,2023,3,0.5385224016,132056330000,34706000,-2.0744329876,1.7747074258,5.30971416,-617.4280038610038,7065.6299317985,-36.8172596432,-0.6273262512077639,-1.3640433348347798,-0.2335844404,-0.0678006097,-0.0708746501,-0.881865213056084,-9813594193.0,-13853672900,0.927243028,0.0300550605,0.3151614397,1.858127744048966,3.121862129560868,0.0828444791,0.1895566712,363.2127690377346,1122.3938882045,341.5628962184,1827.1695534606347,0.3251977793,1.0042068598,2.1218621296,1.391252665315021,0.79222940458
UDC,2023,2,0.5312984129,141669892000,34706000,-2.7171190214,1.6341805924,4.6858449131,-407.8795955742523,7683.0645475998,-61.9445890743,-0.07741699548219859,-0.8972339908654191,-0.180438381,-0.0435465794,-0.0565212285,-0.3589552275227715,-5913159059.0,-5663320067,0.9924211675,0.0908213492,0.3652139495,0.7627200581284872,2.996535724264367,0.0939767036,0.2183211298,369.9854729998633,1117.9817870312,349.9803842835,1837.9476443145631,0.3264811683,1.0073052308,1.9965357243,1.2971397678721004,0.8592707975485714
UDC,2023,1,0.4966045901,139448708000,34706000,-2.8680327956,1.2718988889,3.8315767506,-430.2633506598283,8090.9441431741,108.1972714355,-0.21853912620495525,-0.8386693276424524,-0.1607265391,-0.0366981973,-0.0516604359,-0.45154178247420873,3316583799.0,-8039815831,1.022391947,0.0903211054,0.3821255237,1.1305658743272908,2.883078597908991,0.1164902537,0.2730186858,343.21784332275445,940.2988653158,302.6842970376,1586.2010056761546,0.3881744554,0.9538343663,1.8830785979,1.2522185395841097,0.9000268278228571
UDC,2022,4,0.4518139011,133618100000,34706000,-3.3338183058,1.0180149015,7.0910709839,-378.66521114504695,8521.2074938339,35.392572658,-0.039927294404608765,-0.5232045066126291,-0.1139988242,-0.0241018366,-0.0408241505,-0.2199564170859518,11018701546.0,-5524909015,1.0534745437,0.0338670146,0.3985816432,0.8538189524251023,2.7537118836972567,0.1336918546,0.3217917712,419.52747128311097,798.1880434428,314.2229862571,1531.938500983011,0.4572857273,0.9151120785,1.7708849154,1.199783257072896,0.9522164313685715
UDC,2022,3,0.5357556422,166588800000,34706000,-4.8878876668,0.7755787693,12.1789467808,-285.51837590042066,8959.3083522734,26.4365543156,0.02046019777739123,-0.3540136353407903,-0.0943342476,-0.0136879932,-0.0342242523,-0.1405888915986434,15998714886.0,-3935225685,1.0806258044,0.0252638113,0.4327123187,0.6470469469937898,2.77419351111124,0.2156896335,0.5233963395,251.2639680919201,523.1499338274,193.5884342386,968.0023361579201,0.6976967336,0.9078420619,1.7741935111,1.163822283441582,0.9915759583685714
UDC,2022,2,0.6674002857,214136020000,34706000,-8.1903055438,0.8528424024,5.5670702326,-306.51333242090703,9244.8267281738,18.4560902767,0.08187926147411645,-0.2747113994619824,-0.070733271,0.0014012914,-0.0257652113,-0.05951290990339145,25263643768.0,-2304562213,1.1024115036,0.0367176527,0.4511899242,0.3311027163100638,2.7345822893499503,0.2474372197,0.6053138531,227.58979151080706,456.2186388475,177.5167462479,861.325176606207,0.8000549932,0.8952749011,1.7345822893,1.143399211188077,1.0197287615057142
UDC,2022,1,0.8574713023,284242140000,34706000,-11.4786649866,0.9924045181,5.1625663638,-167.53065403676598,9551.3400605947,18.6367439461,0.060663081714323344,-0.14682706047623204,-0.0658183726,0.007081258,-0.0239410785,-0.0417265353905275,29092901911.0,-1652361504,1.1264933744,0.0266400722,0.4728571924,0.39220927034468817,2.708483280660845,0.2769149218,0.6830325672,212.3238382104548,401.6610489776,163.3763695645,777.3612567525548,0.9087264023,0.8832865932,1.7084832807,1.1228351652592157,1.049857941662857
